Pitch,Roll,Rtoe,Rheel,Ltoe,Lheel,RHipX,RhipY,LHipX,LHipY,RHCur,RHAng,RKCur,RKAng,LHCur,LHAng,LKCur,LKAng,State,FootState,MinState,KeyState,WeightShift,HMI,RefTime,Thigh,Tlow,Column1
664,65512,0,16,0,9,65243,239,65243,183,0,9976,0,52,0,10079,0,59,4144,1028,0,0,1000,0,0,77,28123,
664,65512,0,19,0,17,65243,244,65243,184,0,9967,0,52,0,10074,0,51,4144,1028,0,0,1000,0,0,77,28139,
664,65512,0,18,0,9,65243,244,65243,181,0,9967,0,52,0,10079,0,51,4144,1028,0,0,1000,0,0,77,28171,
664,65511,0,15,0,10,65243,248,65243,179,0,9967,0,67,0,10079,0,44,4144,1028,0,0,1000,0,0,77,28207,
665,65511,0,16,0,14,65243,240,65243,186,0,9971,0,44,0,10074,0,59,4144,1028,0,0,1000,0,0,77,28239,
665,65512,0,16,0,14,65243,249,65243,182,0,9967,0,67,0,10074,0,44,4144,1028,0,0,1000,0,0,77,28265,
665,65512,0,13,0,14,65243,244,65243,188,0,9971,0,59,0,10074,0,66,4144,1028,0,0,1000,0,0,77,28301,
665,65512,0,18,0,12,65243,233,65243,184,0,9976,0,30,0,10079,0,59,4144,1028,0,0,1000,0,0,77,28333,
665,65512,0,19,0,9,65243,249,65243,184,0,9967,0,67,0,10079,0,59,4144,1028,0,0,1000,0,0,77,28359,
665,65512,0,7,0,12,65243,245,65243,180,0,9962,0,44,0,10074,0,37,4144,1028,0,0,1000,0,0,77,28395,
665,65512,0,12,0,14,65243,234,65243,188,0,9967,0,15,0,10074,0,66,4144,1028,0,0,1000,0,0,77,28427,
665,65512,0,18,0,8,65243,240,65243,188,0,9967,0,37,0,10074,0,66,4144,1028,0,0,1000,0,0,77,28453,
665,65512,0,18,0,22,65243,244,65243,182,0,9971,0,59,0,10074,0,44,4144,1028,0,0,1000,0,0,77,28489,
665,65512,0,16,0,14,65243,247,65243,188,0,9967,0,59,0,10074,0,66,4144,1028,0,0,1000,0,0,77,28521,
665,65512,0,22,0,10,65243,243,65243,182,0,9962,0,37,0,10079,0,51,4144,1028,0,0,1000,0,0,77,28547,
665,65512,0,13,0,16,65243,244,65243,184,0,9971,0,59,0,10074,0,51,4144,1028,0,0,1000,0,0,77,28583,
665,65512,0,15,0,0,65243,243,65243,186,0,9967,0,44,0,10074,0,59,4144,1028,0,0,1000,0,0,77,28617,
665,65512,0,18,0,13,65243,249,65243,182,0,9967,0,67,0,10079,0,51,4144,1028,0,0,1000,0,0,77,28643,
665,65512,0,21,0,12,65243,242,65243,184,0,9967,0,44,0,10074,0,51,4144,1028,0,0,1000,0,0,77,28669,
665,65512,0,15,0,12,65243,245,65243,182,0,9967,0,52,0,10074,0,44,4144,1028,0,0,1000,0,0,77,28705,
665,65512,0,12,0,2,65243,264,65243,182,0,9935,0,59,0,10074,0,44,4144,1028,0,0,1000,0,0,77,28737,
664,65512,0,16,0,20,65243,242,65243,188,0,9971,0,52,0,10074,0,66,4144,1028,0,0,1000,0,0,77,28763,
665,65512,0,18,0,14,65243,244,65243,186,0,9967,0,52,0,10074,0,59,4144,1028,0,0,1000,0,0,77,28799,
665,65512,0,10,0,12,65243,242,65243,187,0,9967,0,44,0,10070,0,51,4144,1028,0,0,1000,0,0,77,28831,
665,65512,0,19,0,9,65243,240,65243,182,0,9971,0,44,0,10074,0,44,4144,1028,0,0,1000,0,0,77,28857,
665,65512,0,16,0,17,65243,249,65243,184,0,9967,0,67,0,10074,0,51,4144,1028,0,0,1000,0,0,77,28893,
664,65512,0,13,0,13,65243,246,65243,182,0,9971,0,67,0,10074,0,44,4144,1028,0,0,1000,0,0,77,28925,
664,65512,0,18,0,13,65243,244,65243,184,0,9967,0,52,0,10074,0,51,4144,1028,0,0,1000,0,0,77,28951,
664,65512,0,15,0,9,65243,245,65243,186,0,9962,0,44,0,10079,0,66,4144,1028,0,0,1000,0,0,77,28987,
664,65512,0,16,0,16,65243,239,65243,186,0,9976,0,52,0,10074,0,59,4144,1028,0,0,1000,0,0,77,29019,
664,65512,0,13,0,14,65243,238,65243,184,0,9971,0,37,0,10074,0,51,4144,1028,0,0,1000,0,0,77,29045,
664,65512,0,27,0,9,65243,244,65243,186,0,9967,0,52,0,10074,0,59,4144,1028,0,0,1000,0,0,77,29081,
664,65512,0,16,0,9,65243,242,65243,181,0,9971,0,52,0,10083,0,59,4144,1028,0,0,1000,0,0,77,29117,
664,65512,0,15,0,13,65243,242,65243,181,0,9967,0,44,0,10079,0,51,4144,1028,0,0,1000,0,0,77,29143,
664,65512,0,19,0,10,65243,248,65243,181,0,9967,0,67,0,10079,0,51,4144,1028,0,0,1000,0,0,77,29169,
