#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 8 
#Date 10-20-15-16
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8224	-4748	13624	20	-17	-19	-15320	-2592	-4136	67	-9	-11	-15912	1376	-2000	68	-8	11	-7872	5248	12608	-19	8	-27	-16072	-704	-3800	22	-20	23	-15408	-928	-4632	37	-21	23	127	123	8
-8184	-4736	13728	21	-16	-22	-15272	-2504	-3800	43	-12	-19	-16000	1120	-2176	73	-8	6	-7896	5296	12896	-7	6	-22	-16264	-984	-3960	50	-26	32	-15648	-1280	-4192	32	-14	25	126	127	8
-8080	-4680	13672	14	-13	-25	-15784	-2520	-3568	21	-17	-19	-16352	840	-1936	102	0	22	-7848	5288	13024	-1	12	-18	-16112	-960	-3656	52	-25	33	-15704	-1256	-4400	59	-17	24	126	127	8
-8052	-4880	13760	10	-4	-24	-15840	-3008	-3424	37	-4	-4	-16568	952	-1976	113	12	23	-7936	5272	12584	5	17	-18	-16328	-720	-3568	65	-28	40	-15920	-1320	-3976	58	-25	45	123	128	8
-8044	-4832	13660	14	-8	-21	-15528	-2728	-3848	66	5	3	-16288	832	-1856	92	11	29	-7920	5296	12704	2	17	-18	-16064	-744	-3416	56	-18	41	-15664	-888	-4032	71	-39	53	129	121	8
-8060	-4904	13560	21	-12	-20	-15496	-2536	-3816	62	0	20	-16144	1296	-2416	104	20	17	-7848	5296	12888	0	11	-19	-16232	-720	-3416	55	-12	45	-15512	-1016	-4136	81	-28	49	126	123	8
-8176	-4696	13680	25	-18	-16	-15600	-2528	-3976	42	-9	7	-15864	1160	-2128	113	15	32	-7648	5256	12888	-5	5	-19	-16264	-488	-3552	48	-12	45	-15472	-792	-4376	86	-30	59	123	125	8
-8216	-4736	13620	21	-24	-20	-15600	-2520	-3880	-1	-26	19	-16080	1104	-2408	108	37	44	-7832	5360	13008	-8	6	-18	-16304	-608	-3888	19	-31	46	-15576	-968	-4336	85	0	55	125	123	8
-8216	-4828	13604	21	-16	-23	-15440	-2728	-3800	-1	-26	9	-16160	1024	-1912	135	33	55	-7840	5304	12952	-9	6	-21	-16104	-768	-3760	23	-28	45	-15496	-848	-4096	62	-15	57	128	122	8
-8108	-4788	13584	24	-23	-20	-15504	-2744	-3400	9	-19	11	-16288	1048	-1664	154	35	42	-7800	5264	12632	-9	13	-21	-16120	-728	-3432	50	-25	53	-15688	-944	-3832	51	-24	60	124	123	8
