#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 1 8 
#Date 10-20-15-19
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8108	-4664	13752	14	-2	-15	-15560	-1392	-4016	-4	-7	-16	-16080	2376	-2272	-41	14	-5	-7752	4992	12824	-17	32	-37	-16296	-1528	-3904	-65	19	-6	-15664	-1176	-4600	-32	-14	3	126	125	8
-8108	-4628	13620	10	-2	-21	-15544	-1032	-4056	17	-6	-12	-15968	2384	-2144	-44	3	-7	-7912	5224	12672	-16	30	-31	-16176	-1624	-4024	-15	2	2	-15584	-1424	-4736	-52	4	6	127	125	8
-8032	-4668	13656	11	0	-20	-15656	-1320	-3968	2	-13	-20	-15864	1792	-1984	-9	23	10	-7984	5040	12792	-9	22	-29	-16016	-1592	-3768	36	-2	12	-15480	-1440	-4376	-17	4	13	128	125	8
-8068	-4696	13696	9	-2	-20	-15712	-1352	-4008	35	-13	-21	-16136	1960	-1920	38	9	-3	-7752	5056	12576	-10	14	-18	-16096	-1456	-3424	52	-7	14	-15592	-1464	-4176	8	2	11	124	126	8
-8084	-4704	13736	14	-7	-18	-15760	-1392	-3816	58	-11	-11	-16248	1936	-2008	56	9	3	-7808	5272	13080	-12	4	-24	-16304	-1376	-3464	26	-15	19	-15808	-1544	-4184	9	-3	3	129	126	8
-8144	-4676	13680	14	-9	-16	-15632	-1232	-3928	79	-9	-15	-16152	2336	-1768	77	12	2	-7896	5152	12896	-9	8	-21	-16272	-1440	-3440	12	-9	15	-15720	-1416	-4024	14	-24	17	129	127	8
-8208	-4592	13708	9	-11	-24	-15752	-1136	-4208	61	-8	-12	-16256	2600	-1768	82	-6	0	-7832	5072	12720	-9	10	-18	-16296	-1520	-3392	22	-9	23	-15832	-1448	-3944	13	-30	11	127	126	8
-8084	-4700	13696	12	-10	-23	-15864	-1464	-4032	25	-5	-4	-16216	2120	-1952	47	-17	9	-7864	5144	12808	-8	13	-25	-16224	-1496	-3304	32	3	24	-15816	-1456	-3888	30	-29	23	128	126	8
-8060	-4708	13688	13	-5	-21	-15752	-1408	-3736	7	-7	-15	-16088	2088	-1528	26	-26	5	-7760	5344	12800	-8	18	-26	-16312	-1528	-3432	39	-2	26	-15648	-1264	-3976	35	-26	30	129	127	8
-8048	-4848	13532	21	-5	-16	-15752	-1632	-3640	33	-2	-9	-16136	1976	-1728	39	-5	7	-7688	5224	12864	-10	25	-25	-16248	-1456	-3568	38	-2	24	-15672	-1200	-3952	39	-12	32	123	127	8
