#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 8 
#Date 10-20-15-22
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7476	-4640	14012	20	-14	-29	-15720	-664	-3904	-151	-49	-15	-16232	2288	-1160	-44	3	-5	-7416	5736	12864	-10	24	-29	-16456	-1000	-3176	17	-8	13	-15840	-1056	-3648	-11	-17	3	120	126	8
-7488	-4660	14152	23	-10	-26	-15688	-928	-3616	-125	-41	-16	-16232	2240	-1144	-41	-2	-8	-7480	5840	12672	-10	24	-30	-16264	-776	-2864	3	-5	14	-15856	-1232	-3384	-30	-21	4	126	126	8
-7544	-4696	14080	18	-3	-19	-15848	-1032	-3672	-67	-30	-14	-16272	2288	-952	-41	4	-9	-7376	5720	12728	-5	25	-29	-16208	-872	-2632	-15	-5	13	-15848	-1336	-3320	-50	-26	-2	126	126	8
-7516	-4616	14020	17	-8	-22	-15704	-736	-3864	-48	-16	-13	-15928	2160	-904	-24	-5	-11	-7536	5840	12672	-6	19	-31	-16392	-840	-2720	-32	0	7	-15928	-1280	-3600	-28	-21	-6	124	127	8
-7472	-4696	14012	16	-1	-23	-15776	-656	-3720	-37	-11	-17	-16040	2216	-496	-21	-2	-12	-7544	5744	12736	-8	25	-28	-16480	-744	-2488	-37	2	10	-15776	-1216	-3448	-37	-32	-1	126	126	8
-7464	-4624	13956	15	-1	-19	-15704	-640	-3832	-36	-9	-17	-16136	2216	-1248	7	-15	-3	-7448	5880	12672	-15	22	-28	-16456	-952	-2768	-45	7	15	-15808	-1056	-3496	-29	-13	8	132	126	8
-7328	-4732	14044	21	-7	-15	-15808	-976	-4128	-7	-9	2	-16240	2208	-1632	4	11	1	-7296	5888	12872	-8	25	-34	-16456	-664	-2840	-25	11	17	-16064	-1248	-3552	-29	-3	7	121	128	8
-7500	-4584	14064	20	0	-12	-15848	-696	-4168	-7	-17	-1	-16176	2568	-1640	6	2	-3	-7376	5792	12944	-13	32	-29	-16464	-976	-2880	-31	7	14	-15856	-1344	-3992	-11	-5	9	127	126	8
-7472	-4720	14040	16	3	-12	-15760	-792	-4192	-17	-28	3	-16232	2312	-1856	-6	4	1	-7536	5696	12488	-9	30	-37	-16392	-936	-3000	-33	-4	18	-15584	-1088	-3984	10	-10	6	127	126	8
-7520	-4632	14012	17	-6	-15	-15608	-744	-3904	-31	-40	-7	-16080	2416	-1224	7	16	2	-7368	5584	12936	-9	32	-26	-16360	-1064	-3040	-16	-12	16	-15608	-1184	-3832	-8	-1	6	128	126	8
