#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 8 
#Date 10-20-15-23
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7784	-4416	13960	8	0	-17	-15616	-224	-4240	-76	20	-21	-15960	2752	-848	-19	-36	0	-7664	5672	12720	-23	31	-46	-16784	-608	-3152	-4	-47	37	-15856	-1344	-3800	173	-37	64	128	127	8
-7784	-4344	13984	3	3	-20	-15744	-496	-3960	-62	40	-18	-16024	2704	-1392	-2	-43	-5	-7688	5320	12648	-20	39	-54	-16416	-1000	-3416	-9	-55	35	-15920	-1080	-3976	201	-20	61	130	126	8
-7876	-4440	14016	1	9	-13	-15536	-616	-4344	4	43	-5	-15912	2328	-1104	40	-48	23	-7696	5552	12840	-19	37	-52	-16128	-1000	-3184	40	-60	28	-15560	-1120	-3912	168	-30	75	128	126	8
-7720	-4608	13904	0	5	-14	-15648	-768	-4616	57	48	15	-16192	2224	-1800	33	-45	17	-7664	5296	12880	-18	30	-41	-16232	-1112	-2960	70	-56	44	-15816	-1016	-3752	138	-48	62	129	126	8
-7840	-4560	13960	11	6	-11	-15632	-360	-4824	36	33	-7	-16040	2648	-2176	55	-12	9	-7744	5448	12952	-16	35	-47	-16560	-800	-3032	61	-46	37	-15984	-1128	-3816	99	-47	45	128	126	8
-7992	-4372	13872	8	3	-17	-15776	-312	-4952	-4	9	10	-15824	2736	-2032	71	-12	2	-7840	5224	12808	-17	39	-45	-16576	-1016	-3144	-25	-55	37	-15704	-1368	-3816	81	-62	35	124	126	8
-7856	-4340	13956	5	-2	-17	-15680	-368	-4976	-41	-7	1	-15640	2288	-1704	106	38	45	-7816	5176	12632	-7	41	-36	-16328	-1136	-3272	-46	-53	29	-15608	-1352	-3712	54	-69	41	126	125	8
-7864	-4332	13896	0	2	-17	-15688	-416	-4536	-43	-15	-2	-17544	2984	-1568	95	6	26	-7776	5448	12744	1	41	-34	-16336	-1200	-2920	29	-49	33	-15760	-1432	-3720	80	-50	59	127	126	8
-7824	-4464	13980	5	-1	-17	-15656	-536	-4272	-30	-11	0	-15944	2536	-1056	112	-20	28	-7672	5400	12936	-1	41	-34	-16616	-880	-2880	43	-51	42	-15960	-1544	-3656	112	-42	61	123	126	8
-7636	-4424	14032	-5	8	-18	-15720	-416	-4280	18	-2	19	-16192	2848	-1312	109	-23	16	-7792	5536	12824	-9	41	-39	-16304	-1000	-3128	72	-51	45	-15696	-968	-3504	158	-61	62	120	127	8
-7756	-4668	13916	-2	15	-7	-15696	-432	-4408	10	-1	6	-16232	2728	-1312	56	8	29	-7888	5448	12824	-8	38	-44	-16184	-784	-2824	70	-42	38	-15664	-1112	-3512	121	-57	60	129	126	8
