#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 8 
#Date 10-20-15-26
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8328	-4504	13748	12	-6	-23	-15640	-784	-4288	-37	-45	-15	-15728	2144	-2584	11	-26	-10	-7792	5392	12784	-16	0	-12	-16400	-1112	-3184	42	-10	12	-15472	-1840	-4144	-12	-64	27	124	127	8
-8340	-4452	13692	7	-16	-25	-15728	-784	-4208	-39	-51	-28	-15856	2320	-1984	37	-33	-6	-7776	5440	12744	-20	3	-22	-16656	-1160	-2904	0	-15	11	-15640	-2016	-4192	25	-49	23	123	126	8
-8184	-4416	13732	3	-9	-29	-15688	-1032	-3632	-62	-44	-30	-16280	2008	-1416	54	-27	-5	-7696	5368	12856	-8	20	-21	-16456	-1192	-3304	6	-23	21	-15760	-1760	-4512	57	-21	22	126	126	8
-8192	-4700	13756	3	-10	-27	-15544	-1400	-4184	-16	-21	-21	-16280	2008	-1536	55	-22	-2	-7856	5320	12560	-6	24	-27	-16304	-1248	-3568	16	-24	13	-15248	-1416	-4584	65	-36	12	126	125	8
-8228	-4656	13640	7	-10	-27	-15528	-1032	-4032	14	-9	-22	-16128	1992	-2168	40	-36	-24	-8008	5184	12800	-9	10	-21	-16104	-1256	-3272	42	-23	16	-15328	-1432	-4376	25	-48	21	127	126	8
-8088	-4608	13580	20	-22	-19	-15536	-1064	-4008	-3	-9	-20	-16000	2120	-2056	35	-24	-17	-7832	5288	12792	-9	7	-17	-16328	-1256	-3040	79	-21	18	-15776	-1608	-4120	11	-48	23	119	126	8
-8084	-4648	13776	18	-4	-9	-16224	-1232	-4384	91	-17	-23	-16192	2384	-2360	37	-6	-11	-7784	5304	12896	-13	-1	-15	-16448	-976	-2880	68	-17	17	-15880	-1816	-4152	23	-59	15	125	126	8
-8332	-4400	13792	8	3	-14	-15720	-704	-4312	63	-21	-15	-15944	2536	-2176	-1	-23	-8	-7776	5432	12840	-12	8	-26	-16600	-1032	-2904	16	-13	13	-15696	-1848	-4280	46	-57	22	127	126	8
-8332	-4592	13768	8	-1	-19	-15600	-880	-4400	-13	-34	-24	-15776	2080	-2104	-41	-19	-9	-7968	5288	12648	-13	22	-31	-16472	-1232	-3752	-54	-29	18	-15504	-1808	-4576	45	-54	13	128	126	8
-8324	-4564	13720	8	-11	-18	-15712	-1144	-4160	-41	-39	-36	-16248	1984	-2072	-23	-16	-13	-7968	5240	12560	-6	31	-29	-16264	-1488	-3736	6	-24	12	-15424	-1832	-4472	32	-29	20	127	126	8
-8220	-4624	13648	9	-16	-24	-15664	-1288	-3968	-13	-34	-24	-16032	1808	-1752	10	-29	-8	-7936	5264	12760	0	24	-25	-16248	-1456	-3456	50	-33	30	-15256	-2152	-4528	59	-25	37	126	127	8
-8276	-4624	13664	14	-11	-22	-15632	-1008	-3912	5	-23	-17	-16200	1608	-1864	51	-19	-8	-8080	5296	12656	5	17	-18	-16176	-1096	-3288	102	-37	33	-15592	-1712	-4312	96	-19	31	128	126	8
-8288	-4592	13688	18	-18	-23	-15464	-1112	-3912	33	-13	-17	-16008	1928	-1944	94	-31	-5	-7976	5264	12648	6	7	-16	-16304	-1080	-3344	113	-40	31	-15680	-1448	-4096	81	-32	24	126	126	8
-8240	-4576	13768	16	-20	-30	-15472	-1152	-3664	37	-5	-16	-16048	1872	-1880	106	-24	3	-7968	5456	12784	-2	1	-18	-16240	-1144	-3288	86	-31	28	-15696	-1384	-4336	35	-54	26	129	126	8
-8056	-4736	13592	23	-18	-28	-15864	-1368	-3960	60	-1	-8	-16136	1728	-1728	119	-22	4	-7848	5408	12880	-7	2	-20	-16176	-1312	-2880	59	-25	25	-15768	-1752	-3968	-5	-49	20	126	127	8
-8276	-4584	13812	19	-10	-17	-15896	-1120	-4576	107	-1	-5	-16064	1944	-1856	92	-34	4	-7920	5352	12888	-7	3	-18	-16472	-1200	-3176	29	-27	26	-15656	-1960	-3712	-8	-40	25	127	126	8
-8272	-4548	13800	20	-9	-22	-15712	-864	-4256	29	-11	4	-16008	1824	-2112	93	-19	6	-7920	5176	12696	-2	7	-16	-16352	-1232	-3032	41	-20	26	-15720	-1912	-3808	5	-37	26	130	126	8
-8148	-4648	13672	28	-20	-19	-15576	-1256	-3808	0	-17	-8	-16216	2088	-2168	75	-17	8	-7896	5320	12672	-1	5	-9	-16184	-1200	-3040	63	-8	24	-15680	-1912	-4088	10	-35	21	129	126	8
-8216	-4484	13556	30	-13	-16	-15560	-1224	-4008	35	-8	-6	-15976	2104	-2064	42	-16	5	-7824	5320	12584	-7	0	-10	-16304	-1080	-2752	73	5	24	-15664	-1776	-3832	58	-42	36	125	126	8
-8236	-4484	13752	28	-20	-25	-15792	-1088	-4248	46	-10	-1	-15992	1960	-2176	66	-21	3	-7704	5552	12744	-10	5	-25	-16552	-968	-2968	21	2	26	-15536	-1664	-4080	83	-36	47	123	126	8
