#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 8 
#Date 10-20-15-28
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7344	-4448	14144	11	12	-5	-15816	-120	-4160	80	31	-21	-16296	3096	-1544	-49	29	-15	-7424	5704	12824	-8	36	-46	-16392	-888	-3344	7	11	-11	-15408	-1480	-4088	80	25	11	127	127	8
-7756	-4280	14144	14	20	-1	-15776	416	-4496	91	17	-25	-15824	3248	-1808	-24	21	-23	-7424	6032	12736	-14	35	-41	-16304	-1064	-2704	6	11	-10	-15872	-1488	-4464	58	43	-5	126	127	8
-7712	-4152	14212	2	18	-6	-15744	752	-4736	4	-3	-14	-15640	3264	-1744	-22	38	-12	-7352	5744	12648	-19	36	-47	-16656	-1216	-3112	-20	0	-8	-15520	-1616	-4696	41	27	-5	128	127	8
-7720	-4196	14092	-1	12	-14	-15584	328	-4304	-82	-13	-31	-16096	3504	-1528	-43	30	-26	-7488	5808	12920	-13	40	-46	-16272	-1416	-3264	0	-15	-10	-15200	-1720	-4408	49	30	2	125	125	8
-7672	-4316	14116	-10	14	-15	-15760	176	-3968	-97	-16	-45	-16136	3136	-1528	-66	30	-10	-7448	5744	13064	-20	39	-46	-16312	-1192	-3048	36	-24	-3	-15336	-1616	-4576	68	40	19	126	124	8
-7732	-4432	14136	2	10	-15	-15784	-72	-3784	-13	-10	-32	-16128	2944	-1312	-80	32	-9	-7504	5720	12792	-14	39	-46	-16368	-1200	-3056	29	-29	3	-15488	-1744	-4280	83	60	10	125	124	8
-7672	-4248	14060	3	7	-15	-15768	144	-4088	21	-4	-16	-15872	2504	-1296	-36	13	-21	-7328	5520	12760	-15	38	-46	-16280	-1328	-2800	30	-31	8	-15616	-1912	-4376	61	34	1	128	124	8
-7576	-4352	14088	2	12	-16	-15616	16	-4016	26	-5	-7	-16112	2488	-928	26	42	-14	-7536	5672	12888	-15	35	-39	-16168	-1248	-2776	23	-31	8	-15552	-1680	-4416	48	41	2	132	121	8
-7684	-4412	14148	10	14	-12	-15760	224	-4160	29	-4	-18	-16168	3168	-1464	51	38	-11	-7576	5608	12808	-12	35	-36	-16256	-1360	-3000	18	-26	8	-15352	-1784	-4320	50	15	10	124	122	8
-7720	-4360	14120	18	14	-7	-15856	80	-4288	42	3	-10	-16024	3280	-1064	43	28	-7	-7480	5808	12728	-13	31	-35	-16296	-1256	-2808	29	-20	11	-15448	-1824	-4304	55	7	29	124	126	8
-7760	-4256	14152	20	4	-8	-15712	488	-4056	29	5	-10	-15960	3416	-1584	26	20	-15	-7504	5728	12680	-17	30	-38	-16368	-1184	-2576	27	-16	14	-15672	-1760	-4320	61	5	37	126	121	8
-7708	-4272	14072	15	3	-15	-15648	376	-4352	2	1	-8	-15880	3392	-1168	5	-2	-9	-7560	5832	12864	-21	29	-31	-16408	-1080	-2592	7	-10	8	-15800	-1808	-4304	64	-3	31	126	123	8
-7608	-4280	13992	11	11	-17	-15808	408	-3856	-9	5	-15	-16072	3216	-1368	-7	-15	-12	-7488	5880	12680	-24	32	-46	-16464	-1136	-2624	-37	-16	7	-15560	-1504	-4416	53	-23	24	128	122	8
-7592	-4368	14144	10	13	-11	-15952	0	-3952	23	12	-20	-16208	3224	-1472	-34	-5	-8	-7424	5648	12760	-20	34	-47	-16216	-1408	-3192	-33	-10	11	-15240	-1672	-4568	42	-36	36	126	123	8
-7660	-4364	14144	8	25	-1	-15792	0	-4504	66	9	-9	-16120	3184	-2040	-52	18	-10	-7504	5616	12696	-18	35	-39	-16288	-1352	-3112	-11	-9	10	-14944	-2048	-3992	29	-71	44	123	123	8
-7788	-4272	14036	15	17	1	-15704	288	-4776	47	-9	-3	-15736	3192	-2184	-58	20	-15	-7568	5920	12600	-16	26	-39	-16224	-880	-3160	-18	-12	8	-15512	-2048	-3808	0	-100	89	127	125	8
-7780	-4244	14008	11	13	-4	-15576	528	-4536	-16	-31	-8	-15744	3168	-1920	-42	29	-13	-7392	5832	12648	-36	18	-39	-16256	-960	-2936	-21	-12	11	-16992	-1200	-5056	120	20	24	122	122	8
-7780	-4248	14140	7	10	-12	-15600	256	-4288	-52	-47	-11	-16024	3176	-1696	-26	41	-7	-7640	5640	12816	-28	25	-49	-16728	-1392	-3200	19	-14	13	-16016	-1600	-4888	77	-18	65	127	124	8
-7728	-4440	14116	10	4	-10	-15680	-56	-4400	-25	-52	-10	-15976	3080	-2088	-30	61	1	-7448	5824	12560	-20	34	-44	-16408	-1360	-3008	70	-17	16	-15536	-1440	-4488	69	21	71	126	124	8
-7888	-4256	14116	14	-3	-18	-15616	360	-4168	-11	-54	-12	-15784	3112	-1520	-18	33	-8	-7576	5672	12616	-16	32	-39	-16280	-1208	-3064	73	-22	16	-15032	-1520	-4312	50	8	59	126	125	8
-7824	-4292	14188	6	-7	-19	-15816	208	-4128	-34	-61	-5	-15936	3192	-1120	24	15	-12	-7880	5872	12720	-19	17	-41	-16320	-1200	-2672	45	-25	9	-15280	-1608	-4000	38	-6	51	128	123	8
-7616	-4336	14124	2	-2	-23	-15896	208	-3904	-53	-52	-8	-16400	3440	-1552	4	25	-9	-7464	5712	12896	-23	22	-39	-16024	-1216	-3152	13	-27	11	-15160	-1512	-3712	-36	-42	69	130	122	8
-7752	-4444	14136	10	3	-13	-15776	-16	-4032	-22	-44	-17	-16112	3520	-1184	-60	32	-7	-7520	5824	12824	-20	22	-35	-16224	-1144	-2688	-22	-23	5	-16104	-1424	-4784	-83	14	24	127	124	8
-7724	-4336	14132	8	10	-11	-15808	304	-4424	-3	-47	-11	-15944	3200	-1552	-98	46	-19	-7504	5648	12864	-18	32	-36	-16704	-1184	-3088	-67	-23	15	-16592	-816	-5120	-60	44	-52	127	123	8
-7816	-4236	14112	7	5	-19	-15640	360	-4608	-32	-59	-14	-15720	2944	-1704	-78	45	-14	-7552	5736	12576	-10	39	-39	-16360	-1344	-3184	-54	-30	6	-15224	-1376	-4648	-144	-7	-18	124	123	8
-7788	-4292	14100	3	3	-25	-15632	152	-4344	-39	-67	-9	-16088	2904	-1392	-27	39	2	-7512	5680	12816	-12	27	-37	-16064	-1256	-3136	-13	-28	8	-15016	-1448	-4112	-176	-9	-1	126	121	8
-7748	-4280	14040	9	-6	-27	-15712	320	-3728	-49	-65	-15	-15776	2952	-1008	-4	3	-12	-7488	5656	12680	-10	18	-27	-16248	-1304	-2848	-11	-27	11	-15112	-1512	-4352	-164	-13	-5	131	124	8
-7716	-4472	14012	19	-15	-29	-15664	256	-3664	-48	-63	-18	-16256	3048	-1032	8	32	0	-7664	5840	12928	-13	11	-24	-16288	-1216	-2752	-4	-26	5	-15024	-2048	-4024	-168	-14	22	126	127	8
-7788	-4388	14164	15	-11	-20	-15896	80	-3800	-2	-37	-16	-16080	3176	-1024	42	7	3	-7440	5744	12672	-14	12	-26	-16312	-1112	-2672	-12	-18	11	-15736	-2064	-4064	-121	-58	43	123	123	8
-7672	-4456	14092	13	-7	-19	-15848	320	-4168	13	-32	-9	-16032	3312	-1768	44	43	-5	-7480	5824	12728	-19	7	-25	-16312	-1216	-2536	-31	-16	10	-16720	-1808	-4680	-28	-23	7	123	122	8
