#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 8 
#Date 10-20-15-31
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7872	-4532	13836	6	-6	-25	-15656	-280	-4016	-42	-5	-19	-16016	1976	-368	2	-12	-5	-7464	5736	13024	-10	15	-19	-16392	-1128	-3104	50	-9	17	-15840	-1432	-3792	81	-35	12	117	115	8
-7804	-4656	13972	11	-6	-21	-15712	-504	-3824	-38	9	-23	-16232	1848	-1160	27	-30	8	-7504	5800	12776	-7	20	-21	-16320	-1088	-3592	41	-9	15	-15640	-1288	-3768	47	-27	16	120	116	8
-7844	-4588	13916	20	-7	-17	-15600	-536	-4440	8	18	-18	-16272	2128	-1240	36	-33	-10	-7464	5712	12656	-3	11	-18	-16080	-1136	-3480	59	2	9	-15608	-1336	-3576	43	-34	30	118	117	8
-7852	-4576	13956	16	-10	-17	-15720	-328	-4320	-2	22	-9	-16088	2240	-880	28	-26	-6	-7440	5816	12840	-8	7	-17	-16424	-1080	-2976	90	5	10	-15880	-1496	-3424	41	-46	37	117	114	8
-7904	-4504	13944	13	-13	-23	-15704	-176	-4576	-8	10	-21	-15776	2416	-1896	25	-17	-12	-7480	5744	12640	-16	5	-15	-16424	-880	-3472	52	10	9	-15800	-1280	-3808	74	-64	17	118	113	8
-7844	-4564	13856	14	-12	-22	-15640	-352	-4432	-51	-1	-23	-16064	2224	-1304	9	-12	-7	-7360	5920	12632	-12	6	-21	-16248	-1016	-3456	20	15	1	-15608	-1432	-3928	64	-56	15	116	114	8
-7788	-4524	13868	13	-18	-23	-15624	-128	-4240	-46	-12	-28	-16136	2240	-1424	12	-19	-1	-7272	5880	13088	-17	20	-32	-16480	-1288	-3864	-68	-18	14	-15536	-1280	-4664	78	-19	10	117	114	8
-7864	-4616	13908	10	-9	-24	-15896	-568	-4152	-13	-12	-20	-16168	2176	-1008	5	-18	-9	-7584	5552	12824	-7	22	-32	-16112	-1584	-3936	-15	-30	17	-15712	-1320	-4480	74	-21	7	118	112	8
-7756	-4684	14008	9	-14	-23	-15656	-192	-4440	-13	-15	-32	-16328	2384	-896	-15	-7	-16	-7416	5768	12896	-4	20	-24	-16080	-1296	-3944	51	-35	10	-15592	-1232	-3976	-2	-20	7	116	113	8
-7900	-4584	13992	9	-3	-26	-15840	-240	-4272	-42	-17	-24	-16200	2224	-944	-20	-15	-16	-7432	5792	12808	-5	13	-16	-16208	-1000	-3264	39	-33	26	-15960	-1448	-3720	-21	-40	0	115	111	8
-7868	-4592	13896	8	-6	-21	-15688	-352	-4208	-59	-22	-29	-16632	1904	-1296	-20	-2	2	-7472	5808	12848	-7	10	-19	-16352	-1072	-3360	34	-33	11	-15968	-1472	-3200	-23	-42	8	117	113	8
-7952	-4484	13960	4	-10	-28	-15720	-576	-4520	-19	-16	-22	-16096	2144	-960	-41	-25	-15	-7536	5712	12880	-8	15	-20	-16208	-1088	-3112	30	-26	14	-15888	-1448	-3296	15	-35	-3	117	112	8
-7824	-4652	13892	5	-14	-20	-15704	-376	-4320	-31	-13	-19	-16296	1936	-784	-8	-44	-16	-7480	5720	12672	-12	12	-19	-16304	-1112	-3424	38	-15	11	-15976	-1136	-3688	-8	-46	1	114	113	8
-7732	-4640	13964	9	-11	-23	-15864	-128	-4288	-35	-18	-26	-16392	2200	-992	2	-50	-23	-7504	5688	12696	-17	13	-18	-16296	-1328	-3440	44	-9	14	-15792	-1576	-3640	-53	-38	13	115	110	8
-7848	-4588	13868	10	-8	-25	-15752	-376	-4472	-70	-17	-27	-16280	1976	-872	-16	-45	-12	-7456	5648	12792	-8	0	-11	-16088	-1320	-3632	56	-6	13	-15592	-1816	-3520	-39	-57	9	115	115	8
-7828	-4616	13928	8	-4	-23	-15576	-496	-4056	-46	-17	-22	-15952	2280	-1632	-34	-35	-22	-7400	5864	13032	-15	-7	-7	-16096	-1232	-3360	63	0	5	-15600	-1560	-3520	-1	-69	7	115	113	8
-7804	-4544	13896	10	-11	-25	-15584	-496	-4424	-37	-26	-28	-16144	2024	-1016	-14	-32	-21	-7080	5800	13032	-13	-7	-11	-16232	-1216	-3064	78	5	11	-15944	-1488	-3376	32	-41	12	116	114	8
-7756	-4640	13896	14	-15	-19	-15904	-464	-4328	-16	-30	-24	-16128	1936	-560	4	-26	-16	-7400	5808	12856	-12	-1	-13	-16568	-1048	-2960	67	6	9	-16088	-1208	-3600	30	-27	17	116	110	8
-7764	-4604	13924	6	-10	-22	-15848	-368	-4328	-26	-29	-25	-16264	2016	-888	16	-31	-16	-7384	5736	12808	-14	4	-14	-16352	-1096	-3488	50	4	9	-15744	-1504	-3296	-14	-62	29	114	113	8
-7780	-4612	13996	5	-11	-27	-15704	-368	-3808	-46	-15	-20	-16400	1992	-528	19	-47	-16	-7376	5728	13080	-13	-1	-11	-16072	-1296	-3256	61	18	3	-15896	-1576	-3584	-7	-75	18	113	112	8
-7740	-4760	13868	12	1	-27	-15632	-600	-4080	-21	-7	-20	-16216	2048	-544	11	-55	-12	-7384	5704	13056	-17	2	-12	-16384	-1184	-3232	59	18	14	-15984	-1504	-3288	-8	-79	8	116	112	8
-7872	-4684	13940	17	-9	-21	-15656	-432	-4328	32	-5	-16	-16096	2168	-768	-17	-49	-17	-7248	5888	12656	-11	3	-19	-16400	-1024	-3496	7	19	10	-15872	-1568	-3344	4	-74	14	117	110	8
-7804	-4584	13860	15	-8	-20	-15792	-288	-4120	-3	-3	-12	-16280	1960	-784	-3	-42	-16	-7288	5848	12688	-11	6	-19	-16256	-1400	-3352	3	13	-3	-15656	-1328	-3552	4	-61	24	115	112	8
-7832	-4608	13824	17	-8	-22	-15688	-328	-4280	-19	-2	-19	-16216	2072	-1304	16	-18	-12	-7392	5848	12736	-11	9	-24	-16128	-1264	-3736	3	12	6	-15640	-1432	-3840	1	-67	23	116	113	8
-7940	-4680	13956	19	-8	-17	-15656	-632	-4624	17	-4	-19	-16312	1928	-832	21	-19	-9	-7368	5776	12784	-20	11	-21	-16288	-1368	-3616	11	7	14	-15696	-1312	-3840	24	-47	3	115	113	8
-7948	-4600	14004	16	-17	-23	-15664	-344	-4728	17	-17	-6	-15984	2168	-912	25	-26	-13	-7328	5832	12752	-15	12	-23	-16416	-1336	-3552	21	4	13	-15712	-1528	-3784	5	-40	10	117	112	8
-7744	-4548	13916	11	-4	-18	-15704	-200	-4216	-46	-15	-10	-16368	1928	-88	37	-26	-8	-7376	5712	12784	-14	13	-23	-16440	-1336	-3536	20	-9	16	-15704	-1400	-3400	15	-30	19	116	112	8
-7632	-4808	13944	13	-6	-20	-15616	-568	-4048	-28	-5	-15	-16232	1976	-664	46	-18	5	-7368	5848	12888	-8	18	-25	-16208	-1264	-3176	22	-7	15	-15688	-1376	-3240	6	-30	22	117	113	8
-7716	-4688	14024	19	3	-17	-15728	-560	-4120	42	4	-11	-16376	1888	-1016	24	-3	-2	-7432	5736	13112	-8	19	-28	-16288	-1104	-3016	30	-3	20	-15928	-1352	-3128	-17	-42	19	116	112	8
-7880	-4528	13828	21	0	-20	-15648	-480	-4288	55	4	-8	-15880	2056	-1192	38	-23	-7	-7136	5664	12920	-8	21	-27	-16368	-1040	-3112	-19	5	18	-15984	-1448	-3192	0	-40	9	114	113	8
-7772	-4648	13908	14	-9	-20	-15696	-160	-4152	-12	2	-9	-16280	1952	-640	58	-25	-13	-7256	5848	12696	-11	25	-27	-16264	-1176	-3360	-44	10	9	-15824	-1544	-3520	7	-40	19	114	114	8
-7748	-4612	14136	12	-4	-18	-15864	-520	-4024	11	4	-13	-16280	2016	-736	71	-13	0	-7352	5712	12936	-12	23	-30	-16184	-1216	-3560	-34	14	4	-15704	-1424	-3432	15	-27	21	117	113	8
-7752	-4744	14012	20	-9	-19	-15808	-440	-4512	38	8	-12	-16232	2240	-1192	18	-2	11	-7632	5768	12640	-14	20	-26	-16336	-1392	-3680	-6	9	13	-15528	-1512	-3616	13	-16	16	117	114	8
-7852	-4620	13856	17	-10	-14	-15800	-328	-4344	5	6	-8	-16048	2088	-792	-1	12	-4	-7304	5856	13056	-14	17	-26	-16160	-1216	-3480	28	5	14	-15856	-1656	-3688	3	-14	22	118	113	8
-7904	-4480	13864	16	-14	-19	-15624	-400	-4232	-18	4	-14	-16096	1816	72	17	-24	-5	-7416	5728	12856	-11	17	-25	-16280	-1128	-3296	39	0	24	-15776	-1576	-3528	29	-12	15	118	113	8
-7728	-4616	13916	13	-4	-19	-15536	-488	-4048	-31	15	-12	-16232	1728	-40	18	-19	0	-7360	5760	12856	-9	23	-30	-16336	-1152	-3256	2	4	15	-15968	-1448	-3280	16	-25	17	117	113	8
-7552	-4872	13940	18	4	-9	-15792	-736	-3768	73	29	-5	-16536	1744	-1312	51	12	11	-7336	5880	12776	-9	27	-27	-16312	-1184	-3088	-25	13	9	-16088	-1256	-3408	20	-1	-1	119	113	8
-7908	-4732	13872	23	12	-2	-15848	-688	-4776	174	25	-5	-16256	2120	-1224	48	14	5	-7384	5760	12896	-10	33	-36	-16224	-1096	-3176	-39	14	11	-16048	-1096	-3448	13	-5	16	118	114	8
-7896	-4456	13980	19	3	-6	-15696	-104	-5080	75	11	12	-16112	2232	-1512	34	15	-1	-7448	5896	12768	-14	35	-42	-16312	-1104	-3320	-73	19	5	-15680	-1544	-3512	-20	-19	20	119	115	8
-7848	-4592	13952	10	9	-10	-15760	-280	-4408	-26	-4	-9	-16312	2144	-1048	34	25	-1	-7328	5656	12824	-18	37	-41	-16232	-1456	-3752	-49	16	12	-15976	-1600	-3560	-7	-17	21	118	116	8
-7896	-4632	13992	14	2	-9	-15664	-600	-4200	9	3	-9	-16256	2112	-872	24	9	20	-7416	5960	12928	-13	35	-35	-16200	-1392	-3208	-4	28	8	-15936	-1680	-3504	11	-11	21	119	116	8
-7788	-4656	13932	18	1	-8	-15632	-600	-4344	55	8	1	-16080	1888	-80	18	-1	24	-7456	5696	12912	-14	31	-36	-16224	-1216	-3512	-12	23	16	-15632	-1568	-3808	30	-5	5	118	114	8
-7816	-4624	13972	16	9	-13	-15696	-360	-4016	50	5	-3	-16112	1776	-488	44	-6	10	-7336	5728	13032	-14	35	-33	-16176	-1144	-3448	-21	18	17	-15760	-1632	-3448	16	-6	18	118	114	8
-7864	-4560	13968	16	7	-9	-15512	-384	-4304	46	20	5	-16064	2032	-440	57	-22	2	-7464	5568	13008	-15	33	-30	-16112	-1312	-3488	-5	23	16	-15936	-1464	-3848	7	1	26	117	113	8
-7824	-4792	13860	18	10	-4	-15584	-400	-4176	27	27	4	-16296	2304	-736	36	4	8	-7440	5760	12808	-18	26	-37	-16136	-1136	-3592	-24	18	20	-15808	-1576	-3376	1	-22	24	117	116	8
-7868	-4652	13880	25	10	-4	-15488	-584	-4384	62	22	-2	-16016	2200	-1032	-18	10	17	-7464	5616	12856	-16	27	-32	-16288	-1312	-3736	-16	25	16	-15944	-1352	-3856	0	-24	11	117	114	8
-7984	-4472	13976	28	0	-8	-15768	-360	-4648	26	21	8	-16232	1928	-1376	-3	9	19	-7488	5704	12744	-18	23	-27	-16272	-1176	-3624	0	18	17	-15936	-1408	-3416	-3	-10	26	117	112	8
-7924	-4532	13912	23	-3	-16	-15688	-408	-4656	-24	12	1	-16136	1992	-1104	42	5	9	-7256	5696	12968	-16	19	-26	-16232	-1288	-3736	-4	24	15	-15800	-1544	-3504	11	-6	25	117	116	8
-7876	-4672	13908	22	-3	-21	-15712	-384	-4624	-29	14	-2	-16304	2112	-968	42	3	7	-7520	5656	12880	-18	26	-32	-16424	-1080	-3472	-5	22	19	-15840	-1424	-3696	10	4	32	118	114	8
-7856	-4572	14120	19	-7	-15	-15672	-464	-4008	-12	21	6	-16232	2200	-272	39	-16	19	-7360	5592	12960	-13	23	-30	-16128	-1336	-3664	1	19	21	-15792	-1544	-3488	22	10	41	119	114	8
-7812	-4656	13956	19	2	-17	-15616	-488	-3952	2	37	-1	-16248	2200	-536	18	-15	30	-7336	5760	12920	-16	25	-30	-16248	-992	-3760	0	23	13	-15984	-1480	-3504	41	18	26	117	113	8
-7964	-4604	13900	20	-4	-17	-15432	-432	-4544	7	42	-5	-16024	2048	-488	4	-17	19	-7432	5720	13024	-11	28	-29	-16232	-1288	-3712	4	24	27	-15664	-1368	-3736	14	-10	28	115	116	8
-7940	-4540	13896	23	-4	-15	-15600	-368	-4408	-8	46	3	-16104	2096	-600	26	-32	4	-7408	5880	12792	-11	24	-24	-16216	-1024	-3808	9	25	23	-15656	-1256	-3832	-14	-25	20	118	115	8
-7824	-4636	13856	21	-8	-17	-15656	-304	-4360	-10	45	2	-16216	2008	-1016	27	-22	5	-7520	5824	12888	-15	24	-25	-16216	-1104	-3728	-10	21	15	-15776	-1256	-3432	-29	-9	18	115	114	8
-7844	-4664	13908	26	-2	-11	-15848	-568	-4496	33	39	7	-16344	2160	-1336	18	-17	12	-7400	5688	12928	-11	22	-24	-16240	-968	-3696	-28	21	12	-15816	-1552	-3416	-42	-10	14	118	112	8
-7936	-4512	13856	25	-4	-11	-15568	-376	-4712	33	35	1	-16336	2288	-856	-12	11	9	-7352	5760	12760	-18	23	-30	-16112	-1160	-3576	-20	27	16	-15712	-1504	-3376	-7	-11	14	117	114	8
-7868	-4588	13940	20	-4	-16	-15704	-152	-4568	-8	22	0	-16152	2104	-1352	-10	14	8	-7368	5840	12936	-16	16	-25	-16104	-1232	-3424	7	29	16	-15848	-1648	-3320	-2	-7	24	117	116	8
-7808	-4548	14068	18	-10	-14	-15536	-400	-4256	-19	23	-3	-16288	2096	-296	24	4	4	-7384	5568	12960	-13	18	-27	-16152	-1216	-3432	8	29	18	-16176	-1608	-3464	19	-9	28	119	118	8
-7804	-4564	13968	17	-4	-12	-15648	-216	-4520	7	23	-1	-16512	2104	-848	17	5	10	-7408	5736	12792	-18	19	-22	-16208	-1128	-3752	-13	30	13	-15760	-1400	-3744	47	2	28	117	115	8
-7876	-4440	13900	21	-2	-14	-15568	-480	-4432	16	27	-6	-16224	2080	-928	42	-10	12	-7440	5728	13008	-14	21	-25	-16168	-1176	-4056	0	25	11	-15712	-1208	-3856	30	4	35	119	116	8
-7892	-4588	13864	19	-9	-19	-15808	-464	-4672	9	24	3	-16088	2056	-856	56	-13	11	-7440	5704	12824	-16	23	-27	-16240	-1200	-3944	1	24	13	-15816	-1256	-3840	27	0	28	117	117	8
