#Activity	sitting standing_up standing walking going_up walking running walking standing 
#ActivityID	5 7 8 1 3 1 2 1 8 
#Date 08-18-09-55
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7504	-5096	13176	-14	19	-23	-16056	2760	-3256	9	-8	23	408	6664	15816	20	-4	3	-10240	5840	12056	12	-2	-18	-15584	3856	-3040	-6	-7	-4	-240	-3992	16376	4	-11	26	124	128	5
-7476	-5076	13116	-17	19	-28	-16064	2696	-3520	6	0	16	392	6496	15936	25	1	6	-10320	5744	11800	14	-5	-16	-15640	3848	-2976	-4	-8	1	-152	-3976	16472	3	-15	21	124	128	5
-7532	-5040	13064	-12	20	-24	-16088	2736	-3344	6	-2	17	216	6496	15928	23	0	3	-10272	5944	11880	17	-1	-16	-15520	3800	-2912	-3	-1	-1	-112	-4008	16448	3	-13	20	124	128	5
-7500	-5104	13120	-11	18	-28	-16184	2648	-3056	6	-1	17	368	6512	16160	25	-2	6	-10352	5920	11792	16	-6	-19	-15520	3808	-2800	1	-2	-6	-64	-4048	16400	4	-19	23	124	128	5
-7488	-5080	13068	-16	19	-23	-16176	2632	-3152	12	-4	17	392	6456	15976	22	2	6	-10304	5832	11880	15	-4	-17	-15608	4016	-2944	4	-5	1	-208	-3896	16536	0	-14	22	124	129	5
-7504	-5088	13048	-10	17	-26	-16144	2616	-3256	13	-2	17	272	6472	15736	19	3	4	-10264	5776	11848	18	-5	-16	-15704	3952	-2808	-2	-7	0	-112	-3984	16528	-1	-16	26	124	129	5
-7532	-5100	13072	-12	17	-29	-16104	2680	-3272	11	-4	14	224	6424	16136	22	1	5	-10168	5672	11616	13	0	-24	-15752	3904	-3056	-10	-2	-10	-192	-3928	16480	-1	-12	23	124	128	5
-7592	-5056	13160	-11	23	-24	-16152	2584	-3136	6	-7	18	304	6512	16008	27	2	3	-10168	5856	11856	14	-7	-16	-15728	3976	-2640	-4	-2	-4	-48	-3928	16488	-7	-21	27	124	128	5
-7444	-5084	13096	-15	19	-25	-16224	2656	-3144	4	-1	20	480	6536	16096	20	-3	5	-10224	5904	11920	15	-5	-20	-15632	3760	-3112	-4	-3	-3	-160	-3960	16496	-4	-16	29	124	128	5
-7480	-5072	13100	-13	20	-20	-16200	2736	-2936	2	-5	19	288	6392	16136	23	1	7	-10168	5928	11808	14	-3	-21	-15640	3864	-2920	-3	-1	-4	-240	-4160	16552	-5	-17	27	124	128	5
