#Activity	standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down 
#ActivityID	8 6 5 7 8 6 5 7 8 6 
#Date 08-18-10-09
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7312	-4508	13356	-16	20	-24	-15752	4776	-2984	5	-4	22	-16144	2112	-2224	10	10	-4	-9592	5584	12592	21	-4	-15	-15864	1768	-2936	11	-2	-4	-16024	-736	-1928	0	10	22	126	128	8
-7252	-4528	13488	-10	15	-25	-15696	4632	-2896	-2	1	10	-16112	2064	-2064	22	8	-4	-9504	5440	12456	22	-5	-22	-15912	1712	-3064	21	-5	-5	-16160	-808	-2320	4	-11	22	126	128	8
-7256	-4500	13348	-16	19	-25	-15872	4640	-2760	11	-1	14	-16136	1984	-2344	22	3	2	-9640	5560	12544	16	3	-17	-15992	1824	-2824	6	-6	0	-16040	-864	-1640	-15	-9	20	126	129	8
-7308	-4488	13440	-15	18	-24	-15648	4856	-3280	8	0	20	-16048	2016	-2208	30	2	-2	-9640	5600	12472	20	2	-20	-16072	1720	-2680	9	-1	-7	-16192	-984	-1816	-8	13	12	126	131	8
-7348	-4508	13460	-11	19	-25	-15808	4840	-2976	7	-4	14	-16000	2040	-2224	31	8	1	-9704	5568	12392	24	0	-24	-15952	1720	-2640	11	-9	-8	-16200	-776	-1832	9	5	15	126	125	8
-7324	-4484	13460	-15	21	-25	-15768	4832	-3136	15	-5	15	-16088	2048	-2304	34	18	-8	-9584	5520	12352	21	7	-20	-15952	1688	-3088	14	-5	-4	-15928	-752	-1880	14	-6	19	126	127	8
-7296	-4432	13444	-8	17	-25	-15744	4824	-3200	15	-10	18	-16104	2128	-2320	39	11	-4	-9752	5560	12432	27	-2	-20	-15944	1768	-2888	12	-7	-11	-16056	-880	-1696	9	-8	17	126	128	8
-7340	-4508	13420	-8	17	-25	-15776	4696	-2768	8	-7	19	-15952	2040	-2240	32	5	-4	-9648	5584	12544	30	3	-25	-15888	1680	-3016	20	-12	-8	-16104	-936	-1992	16	3	17	126	131	8
-7252	-4592	13436	-13	20	-25	-15832	4704	-2880	16	-10	17	-16176	2104	-2216	38	1	1	-9688	5648	12384	30	5	-21	-16056	1776	-2752	39	-9	-6	-16096	-784	-2096	28	6	19	126	130	8
-7320	-4444	13468	-18	21	-25	-15864	4736	-2992	16	-12	14	-16096	2120	-2384	33	6	-2	-9648	5712	12208	33	2	-24	-15832	1928	-2600	39	-12	-7	-16256	-896	-2048	32	-7	19	126	127	8
-7252	-4404	13536	-14	22	-23	-15784	4736	-3128	6	-5	20	-16016	2000	-2328	32	3	-5	-9784	5400	12368	27	1	-23	-15904	1896	-2960	31	-13	-8	-16152	-976	-1848	37	-14	23	126	128	8
-7340	-4464	13488	-14	15	-26	-15688	4784	-2936	0	-4	14	-15960	1976	-2336	26	4	-5	-9744	5368	12464	30	0	-23	-15976	1624	-3032	41	-17	-7	-15960	-928	-1680	25	-11	31	126	124	8
-7260	-4496	13516	-14	21	-26	-15976	4792	-2688	4	-9	12	-15808	2208	-2416	26	14	-7	-9608	5448	12640	24	0	-17	-15920	1752	-2832	47	-15	-4	-16032	-1040	-2160	44	-16	27	126	129	8
-7272	-4492	13400	-13	18	-22	-15840	4712	-3136	18	-14	14	-16168	2032	-2192	35	6	-1	-9688	5592	12440	23	2	-16	-15888	1688	-2712	38	-14	-5	-16160	-968	-1744	30	-14	24	126	126	8
-7276	-4592	13436	-17	17	-25	-15584	4920	-2784	20	-10	18	-15992	2008	-1992	41	4	-3	-9768	5584	12416	20	-2	-15	-15904	1880	-2640	8	-10	-7	-16048	-784	-1664	27	-6	21	126	130	8
-7324	-4432	13388	-13	17	-30	-15784	4632	-3128	17	-10	15	-15944	1912	-1976	48	5	-3	-9696	5536	12360	16	-4	-13	-15952	1808	-2800	-1	-3	-8	-16200	-664	-1680	50	-13	25	126	127	8
-7308	-4484	13452	-12	18	-28	-15768	4704	-2728	17	-11	13	-16016	2016	-2296	51	10	-1	-9680	5632	12304	19	-6	-21	-16032	1792	-2792	8	-8	-12	-16096	-728	-1656	27	-10	30	126	130	8
-7316	-4508	13340	-6	16	-27	-15816	4520	-3048	8	-5	14	-15936	2056	-2072	52	6	1	-9632	5416	12360	21	-5	-20	-15968	1720	-2768	20	-1	-8	-16096	-856	-1712	26	-20	24	126	130	8
-7236	-4512	13432	-8	16	-27	-15824	4696	-2768	20	-14	15	-16072	2080	-2064	52	3	1	-9624	5584	12528	15	-9	-21	-16008	1752	-2824	14	-1	-12	-16056	-1176	-1632	18	-21	21	126	130	8
-7300	-4548	13460	-10	17	-31	-15680	4672	-2960	28	-8	16	-16176	2248	-2032	50	-3	1	-9712	5544	12368	13	-2	-22	-16024	1856	-2744	3	4	-6	-16208	-904	-1792	18	-21	12	126	129	8
-7300	-4452	13392	-9	19	-29	-15768	4768	-3000	21	-4	13	-16096	2088	-2192	40	6	0	-9696	5552	12432	18	-7	-18	-16000	1712	-2624	8	8	-7	-16184	-696	-1840	32	-31	15	126	126	8
-7268	-4512	13344	-13	18	-25	-15856	4768	-2568	12	7	12	-16048	2104	-2104	36	4	1	-9640	5536	12280	12	-4	-17	-15856	1832	-2752	-14	7	-9	-16056	-1016	-1808	20	-29	21	126	130	8
-7308	-4448	13424	-10	18	-21	-15800	4592	-2792	7	0	11	-16048	2272	-2288	34	0	0	-9712	5672	12472	10	0	-24	-16048	1720	-2784	0	7	-6	-15896	-912	-1680	17	-19	26	126	128	8
-7340	-4464	13376	-9	21	-23	-15776	4608	-2536	20	10	14	-16144	2080	-2208	27	-1	-1	-9640	5512	12480	13	-6	-22	-16048	1688	-2816	5	5	-4	-16080	-952	-1880	0	-4	27	126	129	8
-7312	-4440	13420	-12	17	-21	-15656	4888	-2616	21	5	9	-16112	2160	-2152	16	-9	-2	-9728	5408	12384	15	-6	-24	-15984	1496	-2800	10	7	-7	-16136	-920	-1928	3	-4	21	126	128	8
-7308	-4480	13460	-10	21	-26	-15728	4648	-2992	26	9	11	-16040	2152	-2264	4	-9	1	-9624	5560	12456	15	5	-20	-15904	1640	-2816	3	3	-7	-16192	-872	-2056	10	4	16	126	131	8
