#Activity	walking going_up walking going_up walking going_up walking going_up walking running 
#ActivityID	1 3 1 3 1 3 1 3 1 2 
#Date 08-18-10-15
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-6984	-8204	20808	-2009	8953	3010	-27560	16272	5928	-3408	4067	-843	-21664	8336	2944	-2024	-1976	1477	-13928	19672	10120	421	1935	-635	-18672	11336	-6936	-1207	2217	1309	-8584	-1528	-9824	-3482	297	-870	39	196	1
-32768	-13772	15948	-2910	8484	3333	-25480	-2144	-9792	-4325	4675	-842	-20984	-1160	536	-2289	-2664	1511	-32768	26040	17400	-713	1167	-442	-16632	10040	-7048	-1383	2095	1280	-3520	-2296	-9912	200	403	-138	204	191	1
-29976	-21536	17740	-2554	6719	4005	-29872	-6984	-9680	-2606	4104	-583	-28056	-13888	-7280	-1168	-3279	850	-11520	13264	9832	-569	729	-681	-14992	9256	-8528	-1368	1305	913	-14232	-1544	-2416	38	940	669	52	123	1
-32768	-18172	23420	-3049	4569	3675	-21792	-10736	-16464	-421	3028	-11	-27992	-12112	-10408	-338	-3111	-79	-12832	4608	13056	-447	329	-543	-16928	3664	-4728	-193	838	947	-22200	10384	-3864	675	2117	786	112	0	1
16584	-25348	27720	-1183	-981	3541	-15848	-6768	-13104	-46	1874	149	-27144	-3344	-2792	580	-3334	-194	-11128	6880	13064	-143	31	-285	-15936	2856	-3128	1656	564	623	-20688	12736	-512	28	1768	921	252	144	1
-16292	-32312	27836	-275	-3769	1509	-15576	-856	-9504	-247	641	462	-26416	-496	-832	-42	-3615	237	-10048	7224	12176	-27	19	-140	-18416	6232	-4024	1782	552	551	-14768	7288	-392	-453	1626	801	133	154	1
11668	-23608	16428	1171	-4904	1325	-9584	-1072	-632	-72	-679	548	-24288	1008	-360	-177	-3558	269	-9712	6384	12032	-47	108	-106	-14944	8800	-4080	1238	422	605	-13280	656	-528	-576	1551	430	123	135	1
13964	-11664	8692	1467	-3996	401	-6744	104	-4520	1428	-2139	271	-20096	-992	-1368	64	-3089	220	-10424	5928	12472	8	145	-37	-14408	7968	-4344	118	367	372	-13872	-5112	-936	-225	1856	360	80	110	1
2408	-6708	8452	322	-3847	-1063	-4880	2536	-7240	1872	-3048	16	-17024	-1088	-1752	381	-2577	9	-10056	5752	12408	128	124	66	-18624	3024	-2136	-322	352	143	-14400	-5176	-448	565	2313	576	140	118	1
708	-12120	9496	-405	-3935	-2494	-5016	8048	-4648	1023	-3491	195	-15120	-1600	-3176	684	-2266	248	-9480	6928	11904	228	111	130	-17720	1976	96	197	350	238	-14984	-776	-1032	994	2412	732	125	125	1
