#Activity	walking going_down walking going_down walking going_down walking going_down walking running 
#ActivityID	1 4 1 4 1 4 1 4 1 2 
#Date 08-18-10-17
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7928	-5464	12992	172	53	167	-15472	1712	-2520	-11	994	-71	-14880	256	-1296	-844	536	-510	-22664	16768	4984	-745	-3938	3458	-10536	4464	-9592	-2769	-4173	-2231	-7968	-5576	-1648	-2360	-638	189	115	142	1
-7636	-5500	13008	113	71	126	-15456	2048	-2840	-9	1001	-75	-14504	296	-824	-780	616	-307	-24176	14944	7264	-856	-3660	4361	-13992	5944	-9488	-2171	-4410	-2170	-7968	-8488	-616	-1418	12	353	141	133	1
-7788	-5512	13016	54	97	65	-15632	3240	-3256	-345	1111	-272	-15136	-800	-248	-746	737	-142	-25184	11832	10264	-338	-3338	4963	-18592	5888	-8816	-1681	-4766	-2071	-7728	-9672	8	-555	321	496	116	133	1
-7708	-5836	12948	-1	136	24	-15936	1464	-3480	-572	1196	-334	-15624	-1016	-608	-729	846	-141	-30536	10144	11664	591	-3124	4881	-20528	6472	-8816	-796	-5000	-1731	-7560	-8776	-848	275	651	618	104	125	1
-7724	-6048	12876	-46	182	7	-16576	-320	-3576	-452	1164	-318	-15160	-176	-1080	-701	821	-279	-32768	10968	12040	1324	-3412	4125	-21888	9960	-10104	118	-5247	-1192	-9920	-9168	-776	653	814	606	105	105	1
-7656	-6132	12616	-59	217	26	-16144	40	-3080	-206	1106	-271	-14760	960	-792	-723	792	-424	-32768	6840	8128	2039	-3965	3317	-22472	12008	-10864	546	-5168	-512	-12080	-7472	-152	1042	691	569	163	100	1
-7804	-6044	12672	-70	280	34	-15896	816	-2984	-91	1143	-285	-14568	2112	320	-751	807	-438	-32768	3584	16	2859	-4076	2757	-21080	9128	-13176	639	-4813	-57	-16368	-4872	608	1806	624	463	153	94	1
-7808	-5900	13136	-130	376	48	-16384	1728	-2736	-49	1202	-323	-15536	1624	1640	-907	871	-389	-31120	-21752	2368	3759	-2914	3134	-13456	7832	-13856	1471	-3620	239	-21208	2008	7752	1577	359	250	63	100	1
-7700	-6324	13120	-219	557	54	-17696	1472	-2152	-63	1341	-354	-16472	-1160	2432	-1062	909	-263	-32768	3728	-7232	1807	-2088	2587	-13968	9384	-16016	1096	-2439	-17	-22184	1256	12696	555	-429	110	90	129	1
-9248	-9496	12908	-294	786	203	-17968	-1480	-256	-137	1518	-448	-18216	-3888	2920	-974	918	-205	-32768	-21056	-15160	-285	-1026	1247	-10224	9648	-17048	97	-1061	468	-24872	-2992	22688	-140	-1415	200	120	108	1
-5652	-5948	15176	-311	1100	339	-18648	2568	-1592	170	1569	-495	-18808	-1744	1464	-705	697	-204	-32768	-20984	-17464	804	201	498	-6784	9288	-20896	-577	676	912	-15112	11168	20384	106	-847	1330	147	136	1
-8216	-4704	14664	-387	1471	343	-18256	4960	-2312	109	1857	-354	-18152	200	2880	-459	455	-203	-8952	6056	5072	-3733	1757	-852	-16280	4344	-12368	-2445	1873	1014	-6376	13816	7832	-242	441	1366	121	175	1
-7860	-4756	16016	-554	1912	328	-19856	1600	-2584	391	2062	-395	-19928	1976	5240	-446	311	-72	32208	21536	32767	-1997	3366	1265	-32768	-30672	9544	-4091	553	-1096	-14656	10432	-4936	-2708	1255	623	132	187	1
-6812	-7104	17456	-813	2561	526	-25248	1216	-576	713	2133	-427	-25072	1072	6696	-622	81	70	-24088	-22912	7936	-1336	5350	729	-23264	-9472	-9376	-3937	842	694	-29152	1792	-5056	-3702	2553	673	127	152	1
-6120	-8932	17772	-1273	3394	1010	-25832	8144	3184	546	2394	-598	-20032	4416	6096	-549	-408	70	-32768	-28792	32767	75	2941	-1973	-19704	-13872	-8528	-2521	1748	835	-32768	-3008	-5392	-1090	3565	197	128	121	1
-4232	-8036	19776	-1721	4583	1307	-27704	11632	3016	-220	2971	-897	-24456	9200	8184	-817	-697	440	-9688	23320	7592	1412	1533	-316	-22264	7304	-1440	-1915	1930	675	-32768	-13408	3280	-4285	867	-857	143	132	1
-3572	-7264	21612	-2209	6563	1339	-30888	17344	4048	-943	3295	-1020	-22944	10632	4568	-1671	-1317	1073	-11408	25168	6200	343	1498	-81	-14000	24080	5640	-2446	1004	402	-2576	-16728	4832	-6329	-383	-1203	131	128	1
-8416	-7560	20136	-2594	8617	1594	-25336	15864	1888	-1650	3513	-1215	-18752	12288	1176	-1393	-2162	1504	-7152	20808	12304	-906	1453	-839	-11080	1872	5216	-1996	840	1056	11016	-17520	-10120	-3117	-869	-439	139	139	1
-32768	-4156	19552	-3838	7357	1600	-23192	-2128	-13720	-1928	4038	-1399	-22192	9464	-872	-1374	-3127	1644	-11224	5368	12184	-1497	953	-1328	-14184	-2536	-1528	-71	794	706	-6408	160	-8968	3310	1525	1517	139	41	1
-32768	-18356	18192	-4315	4742	1953	-28448	-5936	-21032	-2084	4129	-1026	-19576	-12536	-9016	-4112	-3995	1246	-13144	2096	14720	-967	398	-1145	-20744	-1920	-4880	1336	593	1062	-26184	9984	3176	4107	2725	2282	99	118	1
-15460	-32768	27872	-2717	1167	2429	-18944	-1856	-17568	-1938	3253	-663	-29736	-5448	-8832	-3436	-3589	87	-13040	4536	14536	-394	169	-603	-17376	9904	-5664	533	523	839	-31384	17096	-384	1390	1152	1530	127	135	1
-32768	592	32767	-642	-2067	4842	-16656	-1024	-8616	-1828	1833	-302	-28416	1880	-584	-916	-3706	328	-11024	6336	12688	-304	195	-256	-16808	9144	-88	-998	690	438	-7968	10976	-9664	-1583	890	-150	106	178	1
8600	-9248	18732	-2295	-4273	3177	-12240	-1104	-3560	-735	457	-226	-24048	2328	2432	-251	-3259	902	-10120	9544	10520	-429	168	-298	-15224	5928	4368	-1228	726	347	-11848	6752	-1632	-1820	998	-217	143	177	1
9000	-20136	13716	-442	-4418	3060	-9704	5168	-4120	-180	-700	-529	-21520	800	3984	-899	-2956	848	-9968	8376	11024	-406	-23	-398	-13152	744	3696	-95	546	368	-18480	632	4632	-994	1019	207	82	69	1
7372	-20220	12780	1369	-3846	1107	-6800	2808	-7384	-306	-1545	-221	-20168	-3072	-616	-1267	-2883	770	-10192	6328	11920	-348	-164	-377	-15800	-488	1720	811	520	414	-19456	-3880	3600	-307	851	674	75	114	1
2368	-1980	14388	1515	-3838	-731	-7816	5016	-8856	-544	-2297	336	-20296	-2776	-2440	-602	-2654	676	-10264	5760	12448	-216	-142	-297	-18016	1176	2016	1042	605	540	-16448	-5816	-64	212	762	772	115	118	1
-1420	2040	14420	445	-4409	-1832	-9552	5016	-9384	-866	-2850	510	-16080	-5296	-448	292	-2512	561	-9784	6176	12048	-171	-80	-268	-15344	4248	2424	704	735	570	-13504	-5656	-304	554	647	504	120	81	1
-3484	196	14168	-18	-4880	-1667	-9552	3064	-8080	-982	-3396	551	-17392	-6696	-2328	1525	-2320	455	-9448	6536	11928	-195	-60	-234	-13968	6080	952	134	846	412	-15112	-2024	1696	469	611	175	139	131	1
-6044	3064	14684	-77	-4942	-1117	-9920	2144	-9944	-241	-4029	660	-14928	-5176	-2016	2644	-2149	584	-10008	6640	11392	-178	-73	-274	-15944	3904	376	-76	900	284	-16200	2368	2416	512	625	341	141	118	1
-8620	3576	16032	-331	-4991	-1012	-9800	3832	-11992	145	-4546	967	-11512	-1912	-2352	3032	-1971	668	-10000	6176	11984	-132	-129	-274	-16008	1816	8	296	884	372	-16120	2776	-872	803	801	741	141	128	1
-10080	560	16052	-393	-4926	-1266	-9752	6448	-11824	69	-4742	1413	-9208	-728	-992	2588	-1750	664	-9808	5816	12040	-148	-173	-259	-14872	2392	-360	734	858	430	-15704	2248	-2648	1078	816	726	136	127	1
-12372	-1888	14824	-274	-4472	-1780	-8784	6432	-12152	-479	-4671	1800	-7168	232	-96	2165	-1468	657	-9848	7448	11888	-153	-152	-264	-15400	2704	-1024	837	870	416	-14912	328	-1648	869	628	410	142	143	1
-11296	-4196	14732	-177	-3666	-2419	-10968	5728	-12560	-968	-4549	1978	-5592	1704	-216	2068	-1094	520	-9640	5296	12552	-127	-126	-262	-15560	3576	-1368	676	892	404	-14920	-304	-1152	589	532	274	141	123	1
