#Activity	sitting standing_up standing walking going_up walking going_up walking going_up standing 
#ActivityID	5 7 8 1 3 1 3 1 3 8 
#Date 08-18-10-53
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10240	-4032	12564	110	-26	-140	-13496	-1364	-8992	51	-53	-38	-3916	-2900	16208	-22	-114	174	-8976	4096	12848	-6	15	-26	-14536	4520	-6616	8	-4	20	-2208	1560	17080	24	0	8	126	125	5
-10244	-4064	12564	154	3	-167	-13544	-1376	-9008	9	-44	-33	-3916	-2972	16132	23	-84	180	-8944	4040	12624	-8	15	-27	-14528	4608	-6344	7	-4	14	-2088	1568	16824	26	-1	3	126	125	5
-10156	-4016	12400	137	24	-125	-13524	-1292	-9032	5	-20	-28	-3916	-2912	16188	23	-107	189	-8928	4336	12856	-3	22	-25	-14584	4520	-6792	7	-7	20	-2096	1504	16888	25	1	4	126	125	5
-10196	-4012	12412	142	-13	-127	-13540	-1320	-8952	-7	21	-14	-3880	-2880	16052	18	-120	153	-8960	4184	12800	-16	20	-28	-14656	4472	-6880	8	-2	20	-2128	1632	17000	21	-1	3	126	125	5
-10128	-4008	12556	96	7	-154	-13528	-1344	-8964	-3	2	-33	-3920	-2912	16108	17	-131	193	-8840	4336	12744	-7	19	-30	-14488	4560	-6408	4	0	16	-2232	1584	16680	20	-1	1	126	125	5
-10240	-4024	12424	133	-13	-120	-13568	-1280	-8904	-11	-63	-22	-3936	-2956	16196	15	-108	187	-8824	4136	12768	-6	21	-27	-14496	4512	-6616	4	-2	19	-2104	1600	16824	17	3	5	126	125	5
-10188	-4032	12608	130	16	-159	-13604	-1372	-8856	-6	-21	-44	-3868	-2952	16060	-8	-129	169	-8920	4272	12768	-9	18	-24	-14568	4568	-6576	7	-2	14	-2320	1536	16784	20	-1	2	126	125	5
-10208	-4008	12556	154	-21	-118	-13548	-1304	-8988	30	-11	-63	-3968	-2968	16036	-9	-109	192	-8960	4208	12848	-12	16	-26	-14560	4496	-6808	10	-6	14	-2192	1664	16992	23	-1	2	126	125	5
-10276	-4040	12492	166	-32	-106	-13496	-1320	-8940	6	-82	-13	-3896	-2960	16124	-7	-151	153	-8888	4216	12688	-12	17	-31	-14560	4568	-6648	9	-6	13	-2304	1600	16832	21	-3	5	126	125	5
-10232	-4104	12512	145	7	-131	-13584	-1312	-8948	19	-33	-38	-3968	-2952	16188	-15	-120	170	-8808	4264	12648	-12	15	-23	-14632	4624	-6616	8	-8	19	-2144	1656	16864	25	-1	4	126	125	5
-10220	-4072	12508	151	9	-141	-13540	-1296	-8992	-15	-38	9	-3972	-2948	16172	8	-131	127	-8880	4176	12568	-15	12	-31	-14640	4584	-6664	6	-9	17	-2120	1488	16824	22	-5	2	126	125	5
-10260	-4028	12524	173	-43	-136	-13504	-1288	-8992	-52	-42	-8	-3928	-2936	16160	-21	-119	155	-8824	4080	12624	-14	16	-26	-14488	4488	-6840	12	-5	14	-2120	1488	16968	23	-1	4	126	125	5
-10252	-4008	12488	143	-78	-146	-13496	-1292	-8896	-20	-43	-36	-3884	-2952	16028	-25	-116	167	-8848	4280	12736	-11	13	-22	-14576	4456	-6624	13	-8	16	-2088	1592	16776	20	-3	3	126	125	5
-10244	-3972	12540	125	-50	-105	-13532	-1268	-8992	-12	-61	-33	-3896	-2892	16040	-52	-111	164	-8776	4264	12592	-12	18	-28	-14592	4512	-6608	7	-5	16	-2080	1432	16944	24	-5	4	126	125	5
-10200	-4084	12576	166	-54	-183	-13496	-1328	-9080	3	-48	-53	-3852	-2956	16124	15	-138	189	-8928	4264	12736	-16	15	-27	-14568	4608	-6952	13	-5	19	-2200	1376	16704	26	1	3	126	125	5
-10244	-3996	12588	69	-58	-166	-13580	-1352	-8972	6	-32	-20	-3844	-2900	16088	-21	-123	183	-8960	4264	12960	-12	18	-26	-14488	4536	-6920	8	-7	17	-1992	1432	17048	24	1	4	126	125	5
-10248	-4076	12480	126	21	-166	-13580	-1356	-8924	-40	-22	-54	-3836	-2960	16180	29	-114	202	-8904	4200	12656	-6	13	-27	-14632	4656	-6656	4	-6	17	-2240	1576	17080	28	-2	9	126	125	5
-10172	-4044	12580	159	-39	-122	-13532	-1372	-9032	-45	-50	-66	-3920	-2952	16124	40	-106	197	-8992	4152	12784	-12	16	-27	-14488	4544	-6648	5	-4	19	-2168	1624	16712	20	0	0	126	125	5
-10220	-4060	12524	172	-49	-123	-13488	-1364	-8868	-1	-8	-24	-3940	-2996	16048	24	-86	182	-8944	4096	12512	-15	18	-30	-14656	4640	-6712	6	-3	19	-2168	1592	16760	24	-3	4	126	125	5
-10280	-4000	12512	113	4	-123	-13488	-1288	-8932	-29	-26	-33	-3860	-3028	16228	34	-99	186	-8888	4096	12736	-13	15	-26	-14488	4520	-6856	8	1	13	-2248	1424	16744	25	-2	5	126	125	5
-10236	-4048	12532	130	7	-131	-13520	-1392	-8980	1	-16	-6	-3936	-2992	16184	54	-89	192	-8960	4232	12624	-12	19	-27	-14560	4624	-6664	10	-5	14	-2176	1536	16968	24	-1	5	126	125	5
-10240	-4096	12492	131	-62	-103	-13596	-1376	-9096	-20	-3	-14	-3956	-2976	15992	45	-117	167	-8976	4184	12840	-12	18	-30	-14632	4608	-6528	10	-3	17	-2240	1560	16656	23	-1	3	126	125	5
-10240	-4080	12528	126	-15	-155	-13556	-1292	-8964	-9	-11	50	-3880	-2928	16144	21	-91	149	-8888	4200	12584	-13	16	-22	-14592	4560	-6624	9	-2	16	-2192	1584	17016	21	-3	1	126	125	5
-10212	-4028	12484	124	-53	-148	-13480	-1320	-9036	18	6	-16	-3928	-2884	16164	42	-104	120	-9032	4280	12912	-16	13	-29	-14520	4672	-6328	12	-2	16	-2160	1536	16944	21	-1	1	126	125	5
