#Activity	sitting standing_up standing walking going_down walking going_down walking going_down standing 
#ActivityID	5 7 8 1 4 1 4 1 4 8 
#Date 08-18-11-01
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9724	-2644	13332	137	-25	-153	-13300	1304	-9392	29	-77	-43	-3840	-2448	16092	-6	-117	155	-9176	3960	12592	-11	14	-27	-13280	3768	-8920	0	-8	10	-3968	1480	16552	22	4	3	126	127	5
-9676	-2648	13284	128	-21	-183	-13192	1188	-9572	21	-75	-24	-3820	-2536	16248	-33	-138	182	-9120	3904	12432	-13	12	-28	-13176	3672	-9056	2	-3	12	-4072	1384	16488	28	2	6	125	127	5
-9604	-2624	13272	161	47	-175	-13320	1252	-9452	-39	-34	-32	-3864	-2532	16120	-43	-143	193	-9072	4000	12880	-12	13	-24	-13456	3616	-9160	3	-6	14	-3944	1440	16584	33	2	4	125	127	5
-9688	-2660	13312	121	-43	-157	-13396	1200	-9416	-39	-59	-84	-3844	-2496	16080	52	-137	208	-9152	3904	12464	-10	15	-29	-13400	3704	-9232	2	-7	15	-3920	1392	16360	32	5	7	125	126	5
-9628	-2628	13316	122	-24	-173	-13360	1264	-9408	-53	-123	-98	-3744	-2556	16064	20	-63	195	-9144	3896	12704	-10	14	-23	-13552	3792	-9040	7	-1	18	-3976	1376	16504	28	1	4	125	127	5
-9688	-2656	13256	147	-9	-139	-13328	1176	-9376	41	-46	-82	-3744	-2576	16076	10	-109	212	-9168	3976	12720	-14	19	-24	-13576	3568	-8912	7	-5	17	-3888	1456	16544	30	-2	2	126	127	5
-9732	-2628	13248	162	-46	-136	-13296	1276	-9476	62	-49	-76	-3748	-2532	16112	-11	-111	172	-9136	3904	12512	-10	17	-26	-13472	3640	-9072	18	-3	20	-3840	1456	16208	21	3	1	125	127	5
-9632	-2684	13284	141	-18	-177	-13356	1228	-9352	35	-41	-55	-3732	-2564	16152	25	-121	173	-9216	4024	12776	-8	22	-26	-13536	3592	-9160	18	5	22	-3784	1400	16368	22	0	0	125	127	5
-9620	-2644	13292	171	-13	-135	-13384	1220	-9472	-35	30	-89	-3800	-2560	16052	36	-99	194	-9184	3880	12592	-9	20	-26	-13336	3808	-8912	5	4	23	-3984	1520	16664	17	1	-2	125	127	5
-9704	-2584	13288	137	21	-130	-13252	1188	-9536	68	48	-51	-3844	-2524	16076	67	-92	177	-9168	3816	12768	-13	26	-30	-13400	3592	-9272	7	5	18	-4024	1464	16424	14	0	6	125	127	5
-9712	-2684	13260	154	-18	-136	-13336	1200	-9440	64	38	-51	-3832	-2564	16100	100	-90	202	-9152	4032	12648	-13	24	-29	-13288	3680	-9352	8	6	16	-4008	1528	16280	18	5	5	125	127	5
-9708	-2672	13292	140	46	-165	-13332	1176	-9544	18	-26	-30	-3908	-2540	16060	65	-96	224	-9176	3960	12512	-13	19	-26	-13376	3760	-9200	15	2	13	-4168	1512	16528	26	2	9	126	127	5
-9680	-2648	13236	139	24	-135	-13344	1192	-9572	17	6	-18	-3944	-2568	16116	14	-70	174	-9192	3992	12472	-12	18	-24	-13312	3688	-8984	9	2	11	-3984	1512	16648	31	5	6	126	127	5
-9712	-2536	13288	114	-28	-153	-13284	1196	-9548	11	-34	-31	-3924	-2504	16168	54	-106	179	-9096	3920	12624	-16	19	-27	-13392	3720	-8920	7	-11	12	-4112	1584	16616	35	1	10	126	127	5
-9684	-2652	13264	157	-57	-136	-13272	1148	-9512	4	-36	-26	-3928	-2536	16180	28	-120	213	-9160	3976	12616	-16	17	-28	-13440	3632	-9224	0	-5	14	-4000	1520	16336	22	4	7	125	127	5
-9684	-2600	13276	160	-33	-131	-13256	1212	-9572	-73	-94	-18	-3824	-2520	16068	37	-125	150	-9112	3912	12440	-12	9	-27	-13504	3744	-9000	5	-3	14	-4048	1480	16552	19	0	7	126	127	5
-9684	-2676	13272	162	-60	-136	-13336	1180	-9468	8	-55	-8	-3832	-2468	16188	18	-115	144	-9056	3960	12720	-13	12	-25	-13448	3760	-9160	14	-5	16	-4056	1256	16424	27	0	4	126	127	5
-9688	-2692	13352	160	-38	-126	-13352	1212	-9472	1	-60	-15	-3736	-2472	16060	31	-103	138	-9072	4032	12424	-12	14	-28	-13480	3616	-9096	15	-6	15	-3920	1416	16568	23	-1	2	126	127	5
-9700	-2640	13268	138	3	-143	-13316	1228	-9500	-2	-43	13	-3760	-2416	16092	11	-130	149	-9072	3952	12368	-10	18	-30	-13384	3688	-9080	12	-3	16	-3992	1448	16360	25	-2	1	126	127	5
-9660	-2656	13264	151	-18	-152	-13304	1316	-9508	0	-13	-34	-3780	-2476	16100	-27	-158	167	-9144	3920	12616	-15	16	-26	-13336	3616	-9296	14	-7	18	-3952	1376	16504	23	-1	1	126	127	5
-9696	-2676	13196	160	15	-195	-13336	1300	-9512	-7	-17	-48	-3804	-2496	16056	-1	-126	151	-9224	3920	12600	-8	18	-28	-13360	3656	-9096	11	-8	22	-3864	1328	16360	27	-3	-4	126	127	5
-9716	-2656	13116	159	-7	-145	-13392	1180	-9472	-29	21	-87	-3796	-2520	16104	5	-129	183	-9008	4040	12568	-7	18	-22	-13344	3664	-8984	9	-5	19	-3976	1504	16560	27	-3	-4	126	127	5
-9676	-2676	13284	159	-26	-140	-13320	1164	-9472	50	22	-46	-3864	-2488	16056	25	-111	168	-9272	3888	12520	-7	15	-26	-13432	3720	-8976	6	-4	18	-3960	1584	16608	23	3	-1	126	127	5
-9692	-2628	13332	120	16	-113	-13312	1208	-9524	40	-10	-33	-3824	-2516	16144	-10	-130	181	-9160	3960	12632	-14	15	-26	-13432	3736	-9056	2	-4	18	-3928	1504	16648	18	2	-1	126	127	5
-9684	-2564	13208	142	41	-166	-13256	1204	-9532	46	-37	-70	-3868	-2572	16164	-6	-146	140	-9176	4040	12824	-11	14	-27	-13408	3808	-9184	11	-2	19	-4088	1328	16600	19	-7	-2	126	127	5
