#Activity	standing walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 1 4 1 4 1 4 1 4 8 
#Date 08-18-11-08
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9568	-3160	13244	142	-16	-172	-15852	2548	-2872	-103	-89	-49	-15792	-1360	-3412	-169	-126	125	-9464	3640	12328	-11	16	-29	-15928	3456	-3736	15	-2	15	-16120	2152	-1800	25	6	-4	127	127	8
-9544	-3112	13152	180	-74	-130	-15832	2552	-2920	-11	-100	-46	-15884	-1400	-3392	-1	-133	96	-9680	3616	12416	-14	15	-28	-15792	3688	-3624	17	-3	11	-16048	2272	-1808	29	3	-4	125	126	8
-9576	-3168	13300	140	-36	-169	-15892	2568	-2892	29	-92	-13	-15828	-1372	-3408	38	-159	159	-9400	3712	12360	-13	18	-24	-15848	3832	-3552	-36	0	9	-16216	2352	-1520	23	-3	-4	128	126	8
-9552	-3140	13240	127	17	-158	-15812	2576	-2900	70	-73	-38	-15788	-1220	-3316	-59	-144	156	-9480	3616	12608	-15	21	-25	-15912	3720	-3512	-24	-4	3	-16152	2536	-1768	13	-1	-2	124	125	8
-9552	-3160	13272	117	7	-197	-15884	2608	-2968	20	-72	-55	-15836	-1252	-3344	-151	-86	119	-9592	3600	12432	-11	11	-26	-15888	3736	-3672	12	-9	10	-16024	2408	-1584	3	-4	4	126	128	8
-9580	-3160	13228	117	-3	-201	-15824	2508	-2816	0	-77	-63	-15764	-1336	-3268	-235	-62	98	-9712	3656	12448	-16	14	-28	-15688	3664	-3616	9	-5	10	-16136	2344	-1600	21	-6	-1	127	127	8
-9612	-3140	13204	154	-27	-159	-15848	2588	-2896	-21	-105	-70	-15932	-1364	-3312	-62	-110	139	-9592	3728	12296	-17	17	-26	-16024	3776	-3568	-16	-2	6	-16160	2368	-1832	34	-18	-6	127	133	8
-9516	-3120	13348	141	-21	-128	-15944	2604	-2832	87	-133	-84	-15960	-1440	-3280	98	-59	119	-9384	3544	12344	-12	16	-24	-15968	3632	-3800	-3	-5	7	-16072	2552	-1584	47	-10	-3	128	127	8
-9576	-3184	13160	137	18	-143	-15888	2648	-2840	17	-106	-89	-15912	-1324	-3388	35	-38	147	-9512	3744	12456	-14	17	-29	-15912	3704	-3736	5	1	4	-15968	2392	-1728	32	-2	-2	129	127	8
-9532	-3172	13184	97	28	-158	-15732	2588	-2920	-98	-106	-51	-15840	-1356	-3268	-63	-89	149	-9512	3648	12424	-20	11	-28	-15880	3768	-3568	15	3	7	-16136	2496	-1352	20	-6	-4	126	126	8
-9612	-3232	13272	124	-34	-165	-15812	2508	-2860	-60	-87	-58	-15832	-1300	-3276	50	-179	103	-9600	3808	12376	-10	14	-28	-15952	3792	-3432	5	-1	5	-16176	2496	-1392	12	-1	-5	124	122	8
-9576	-3196	13272	146	-46	-156	-15920	2528	-2848	-1	-61	-97	-15892	-1276	-3288	6	-178	133	-9560	3680	12576	-5	8	-29	-16016	3864	-3480	-10	8	1	-16080	2448	-1296	6	-5	-4	128	125	8
-9556	-3224	13128	164	-40	-149	-15888	2600	-2872	-23	-112	-92	-15856	-1344	-3256	-186	-127	74	-9504	3768	12392	-1	9	-34	-15944	3808	-3352	-26	16	3	-16200	2576	-1712	3	-9	0	126	128	8
-9564	-3184	13268	73	5	-173	-15888	2540	-3128	-128	-83	-67	-15876	-1368	-3492	-176	-47	113	-9640	3568	12232	-4	5	-36	-15984	3968	-3512	-38	7	2	-16240	2576	-1648	-11	-14	6	127	126	8
-9592	-3224	13172	140	11	-168	-15856	2608	-2844	-183	-94	-65	-15832	-1424	-3392	-260	-30	130	-9520	3576	12456	-11	-5	-36	-15864	3656	-3968	-30	12	0	-16072	2472	-1768	-13	-15	5	126	124	8
-9624	-3192	13260	131	-7	-156	-15824	2492	-2840	-143	-116	-49	-15756	-1408	-3400	-130	-153	150	-9552	3688	12608	-13	0	-34	-15952	3544	-3800	-9	0	5	-16200	2168	-1728	6	0	-4	126	128	8
-9516	-3164	13196	111	30	-187	-15800	2580	-2796	-72	-154	-91	-15804	-1456	-3316	-67	-145	131	-9456	3632	12584	-17	6	-35	-15800	3520	-3648	6	1	3	-16144	2176	-1768	21	-8	-3	129	127	8
-9488	-3220	13184	120	-28	-150	-15824	2552	-2876	-87	-124	-92	-15900	-1416	-3296	-1	-140	126	-9480	3648	12440	-14	14	-31	-16040	3592	-3632	-5	-2	10	-16200	2088	-1696	30	-9	-5	126	123	8
-9576	-3212	13204	115	1	-170	-15860	2580	-2912	-76	-88	-67	-15860	-1376	-3196	-9	-108	71	-9488	3584	12424	-15	15	-28	-15840	3712	-3640	11	-7	9	-16064	2504	-1720	47	-12	-5	127	127	8
-9504	-3192	13280	101	-45	-185	-15896	2500	-2756	-114	-61	-83	-15796	-1352	-3236	-173	-69	157	-9520	3496	12360	-15	17	-27	-15832	3736	-3728	22	-1	12	-16168	2560	-1648	22	-4	-3	127	130	8
-9552	-3132	13232	148	-33	-168	-15876	2408	-2788	-28	-59	-55	-15800	-1452	-3248	-110	-218	159	-9560	3672	12536	-19	14	-31	-15840	3776	-3624	12	-6	9	-16088	2552	-1528	19	-6	-6	126	126	8
-9528	-3220	13236	139	-30	-159	-15912	2536	-2808	54	-63	-51	-15912	-1516	-3500	65	-208	135	-9592	3504	12712	-19	16	-26	-15832	3752	-3576	5	1	7	-16024	2416	-1728	16	-9	-7	126	125	8
-9528	-3196	13220	132	5	-158	-15912	2576	-2836	42	-51	-62	-15868	-1500	-3256	28	-143	162	-9328	3608	12432	-18	16	-28	-16040	3720	-3768	5	2	11	-15960	2304	-1488	17	-9	-7	127	128	8
