#Activity	standing sitting_down sitting 
#ActivityID	8 6 5 
#Date 08-18-11-51
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9740	-2740	13260	285	-86	-150	-15888	1928	-3256	202	-223	65	-15824	-1012	-3052	-72	-636	173	-9336	3408	12824	-7	5	-22	-15928	3592	-3912	36	-48	21	-16216	2624	-1136	20	-48	4	128	124	8
-9708	-2628	13256	237	-128	-133	-15896	1980	-3372	-42	-262	44	-15900	-1256	-3156	-196	-666	115	-9496	3536	12608	-5	8	-19	-15760	3544	-4056	30	-52	16	-16104	2496	-856	20	-39	-3	132	126	8
-9700	-2676	13292	219	-70	-151	-15876	1772	-3236	-84	-275	64	-15848	-1420	-2944	-221	-741	167	-9408	3512	12680	-4	10	-15	-15824	3696	-3888	7	-49	18	-16120	2680	-880	36	-35	1	131	126	8
-9720	-2688	13148	172	-83	-178	-15980	1936	-3172	5	-322	46	-15932	-1360	-3160	-53	-670	144	-9464	3448	12816	-6	13	-21	-15880	3640	-4032	6	-53	12	-16200	2744	-608	27	-31	7	126	127	8
-9712	-2644	13304	175	-65	-132	-15860	1884	-3324	37	-374	38	-15980	-1288	-2888	104	-662	195	-9480	3592	12712	-4	8	-20	-15896	3720	-4000	3	-58	20	-16216	2704	-904	21	-34	9	124	126	8
-9704	-2708	13348	179	-114	-147	-15956	1948	-3164	-59	-356	79	-15924	-1300	-2684	185	-546	169	-9408	3488	12696	-7	8	-23	-15672	3752	-3912	2	-49	16	-16112	2496	-568	13	-36	4	124	127	8
-9700	-2716	13288	174	-30	-177	-15828	1844	-3076	70	-417	25	-15940	-1372	-2552	93	-439	205	-9352	3584	12624	-9	12	-21	-15864	3656	-3656	8	-48	13	-16192	2648	-712	21	-28	4	122	126	8
-9688	-2788	13204	226	-82	-178	-15832	1904	-3032	94	-357	80	-15960	-1324	-2568	305	-514	161	-9480	3608	12552	-12	9	-25	-15800	3632	-3816	5	-44	19	-16232	2448	-440	28	-35	-1	119	127	8
-9652	-2776	13364	210	-62	-140	-15880	1916	-3000	85	-292	6	-15988	-1296	-2580	93	-566	155	-9480	3520	12752	-6	10	-23	-15840	3832	-3808	3	-43	16	-16208	2560	-624	32	-33	-3	132	125	8
-9664	-2776	13300	217	-78	-120	-15872	1872	-2948	98	-265	39	-15992	-1304	-2516	16	-465	168	-9296	3368	12536	-10	8	-25	-15832	3632	-3776	11	-44	10	-16208	2736	-616	60	-22	-2	126	128	8
-9648	-2748	13216	207	-130	-139	-15932	1928	-3116	159	-205	58	-16024	-1216	-2660	-91	-404	106	-9336	3528	12544	-10	5	-23	-15984	3608	-3832	30	-47	16	-16248	2552	-504	62	-35	-1	130	131	8
-9644	-2752	13316	196	-72	-148	-15944	1976	-2920	66	-154	-10	-16080	-1304	-2556	-50	-362	114	-9400	3528	12648	-11	13	-26	-15912	3616	-3856	31	-46	17	-16208	2664	-432	61	-35	-6	128	119	8
-9640	-2660	13312	181	-36	-130	-15916	1844	-2928	97	-167	1	-16068	-1228	-2736	-36	-389	154	-9328	3496	12616	-7	11	-24	-15856	3720	-3616	14	-41	15	-16128	2744	-528	36	-35	0	127	122	8
-9668	-2692	13280	164	-26	-137	-15832	1884	-3068	135	-149	23	-16092	-1320	-2644	-5	-383	106	-9464	3504	12504	-10	16	-26	-15768	3584	-3864	9	-37	11	-16080	2680	-408	30	-28	-1	125	125	8
-9684	-2716	13284	124	-72	-117	-15972	1868	-3020	106	-162	19	-15904	-1332	-2880	-49	-371	141	-9296	3616	12640	-7	12	-26	-15888	3800	-3592	12	-34	16	-16112	2792	-464	22	-33	1	124	123	8
-9592	-2680	13244	162	0	-158	-15996	1928	-3064	119	-187	3	-15984	-1328	-2760	45	-360	99	-9272	3616	12528	-9	13	-25	-15912	3816	-3552	3	-26	10	-16144	2704	-320	21	-25	-5	124	124	8
-9724	-2716	13376	126	15	-138	-15868	1924	-3032	150	-230	17	-16024	-1348	-2600	109	-348	140	-9440	3696	12632	-5	16	-30	-15872	3696	-3696	-23	-21	10	-16256	2616	-320	13	-27	-2	124	127	8
-9680	-2772	13296	122	23	-183	-15904	1892	-3060	93	-228	-38	-15924	-1292	-2832	103	-277	180	-9224	3440	12600	-10	13	-29	-15832	3512	-3680	-14	-19	7	-16088	2600	-536	10	-34	-1	124	124	8
-9604	-2760	13304	119	64	-161	-15900	1968	-3120	47	-194	-32	-15900	-1112	-2896	57	-336	185	-9440	3568	12504	-10	15	-30	-15880	3768	-3776	5	-20	11	-16080	2688	-616	11	-26	-2	123	122	8
-9664	-2660	13136	223	134	-129	-15996	2012	-3176	-178	-296	-73	-15896	-1176	-2876	-179	-267	119	-9336	3560	12600	-16	11	-30	-15824	3728	-3704	-14	-24	9	-16048	2568	-584	28	-17	-4	121	122	8
-9704	-2784	13404	181	131	-114	-15880	1924	-3212	-458	-289	-115	-15836	-1168	-2868	-304	-187	136	-9376	3520	12680	-13	9	-32	-15792	3584	-3640	-12	-22	6	-16008	2560	-768	40	-4	-3	125	123	8
-9800	-2664	13324	165	86	-157	-15848	2020	-3172	-264	-322	-73	-15932	-1160	-2708	-310	-159	138	-9408	3584	12608	-8	10	-32	-15872	3656	-3464	3	-28	6	-16272	2600	-360	22	-12	-3	121	124	8
-9656	-2636	13428	156	34	-130	-15956	1904	-2964	-179	-350	-44	-16032	-1232	-2732	-224	-143	130	-9360	3424	12488	-12	12	-29	-15952	3728	-3792	1	-31	16	-16272	2656	-256	9	-6	-4	126	125	8
-9748	-2708	13304	102	132	-219	-15984	1892	-2976	-31	-396	-59	-16016	-1272	-2444	-278	-143	132	-9432	3704	12656	-15	11	-27	-15872	3696	-3696	-23	-14	10	-16104	2472	-264	-23	-10	5	129	125	8
-9672	-2748	13276	52	76	-189	-15960	1868	-2940	-194	-329	-85	-16064	-1452	-2404	-441	-95	111	-9424	3648	12592	-13	2	-27	-15872	3608	-3616	-18	-10	10	-16192	2608	-24	-21	-14	-2	127	126	8
-9704	-2692	13232	73	64	-160	-15868	1904	-2840	-311	-289	-64	-16032	-1604	-2484	-303	-125	65	-9424	3760	12504	-9	7	-24	-15952	3576	-3448	-11	-5	12	-16128	2568	-656	-19	-12	2	125	126	8
-9696	-2764	13240	115	59	-136	-15948	1848	-2876	-267	-238	-16	-16084	-1480	-2384	-279	-170	85	-9296	3536	12608	-9	11	-22	-15880	3624	-3704	-10	-3	17	-16168	2624	-304	4	-7	-3	126	125	8
-9672	-2740	13264	99	43	-135	-15876	1932	-2896	-260	-208	-20	-15976	-1424	-2332	-168	-206	124	-9304	3536	12672	-12	13	-31	-15912	3816	-3776	-14	-8	10	-16064	2560	-360	13	2	2	123	126	8
-9708	-2668	13284	104	8	-163	-15900	1868	-2796	-140	-176	5	-15972	-1484	-2324	-144	-236	204	-9312	3616	12560	-12	11	-29	-15816	3616	-3400	-6	-3	17	-16136	2488	-664	21	-1	1	125	127	8
-9700	-2724	13220	138	29	-144	-16044	1880	-2772	25	-109	61	-16092	-1472	-2384	-24	-235	115	-9264	3584	12736	-6	14	-30	-15832	3616	-3824	5	-8	18	-16064	2536	-744	19	-4	3	129	127	8
-9680	-2688	13284	165	26	-156	-15828	1848	-2732	-43	-50	26	-15968	-1460	-2528	-13	-201	132	-9248	3576	12576	-6	14	-24	-15744	3592	-3616	10	-13	23	-16080	2496	-624	27	-10	6	128	123	8
-9652	-2688	13352	178	-30	-123	-15924	1852	-2776	-35	9	29	-16008	-1356	-2352	28	-201	128	-9360	3448	12808	-8	19	-27	-16008	3712	-3736	4	-4	25	-16304	2448	-280	27	-15	2	126	126	8
-9696	-2740	13308	200	-31	-134	-15956	1884	-2808	0	39	30	-15920	-1356	-2368	-40	-246	204	-9408	3496	12720	-11	19	-28	-15896	3656	-3704	10	-10	23	-16104	2640	-392	33	-5	8	126	123	8
-9680	-2740	13356	164	-82	-110	-15976	1992	-2864	28	57	52	-16064	-1308	-2596	31	-210	190	-9304	3568	12768	-10	18	-29	-15864	3728	-3912	15	-9	27	-16072	2808	-472	35	-2	9	128	123	8
-9756	-2708	13296	179	-42	-133	-15936	1904	-2980	-11	59	33	-15952	-1316	-2688	125	-187	202	-9328	3504	12568	-7	17	-27	-15896	3536	-3848	10	-11	25	-16136	2688	-536	36	4	9	127	128	8
-9752	-2760	13340	206	-77	-98	-15924	1904	-2912	36	16	47	-15932	-1372	-2664	115	-144	220	-9496	3640	12552	-3	15	-27	-15784	3552	-3536	22	-16	25	-16128	2640	-680	34	7	14	129	127	8
-9680	-2736	13404	141	33	-144	-15988	1996	-2860	100	-2	52	-16044	-1344	-2800	241	-113	253	-9344	3568	12384	-2	15	-29	-15952	3624	-3744	27	-18	30	-16008	2472	-480	34	8	8	123	126	8
-9704	-2704	13320	150	-60	-165	-15916	1920	-2880	22	17	45	-15932	-1316	-2468	167	-139	220	-9408	3464	12600	-3	18	-28	-15880	3688	-3608	25	-14	27	-15960	2680	-600	32	-1	9	120	127	8
