#Activity	sitting standing_up standing 
#ActivityID	5 7 8 
#Date 08-18-11-53
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9508	-3024	13288	150	56	-93	-14968	784	-6308	-32	-14	-98	-3024	-1868	16500	-9	-136	192	-9224	3776	12632	-8	15	-29	-14992	3952	-6152	8	-1	17	-2888	1616	16592	26	-1	4	125	126	5
-9552	-2952	13312	112	28	-144	-14892	828	-6400	-10	-23	-23	-2972	-1888	16376	9	-51	183	-9408	3752	12808	-8	19	-30	-14928	3936	-6240	11	1	19	-2888	1584	16560	25	-2	3	125	126	5
-9524	-3036	13416	151	25	-105	-15004	840	-6408	-120	-48	-56	-3000	-1976	16536	-17	-103	201	-9288	3648	12688	-15	14	-29	-15080	4056	-6256	9	-4	20	-2832	1704	16832	27	-2	3	125	126	5
-9520	-3040	13360	172	27	-124	-15000	720	-6340	-111	-80	-51	-3080	-1956	16396	48	-109	177	-9264	3640	12736	-14	14	-27	-14936	4152	-6080	4	-10	16	-3096	1728	16904	25	4	3	126	127	5
-9564	-2976	13368	128	-8	-156	-15012	648	-6276	-38	-37	-6	-2996	-1960	16412	59	-125	155	-9184	3816	12544	-7	11	-27	-14944	4056	-6312	9	-2	16	-2896	1584	16360	24	2	2	126	127	5
-9608	-3068	13352	145	-21	-138	-14928	796	-6360	-16	-10	-21	-3012	-1872	16424	73	-106	130	-9368	3720	13008	-11	12	-26	-14928	4136	-6272	5	-6	13	-2792	1424	16496	25	1	5	125	127	5
-9520	-3052	13396	143	-55	-128	-15040	788	-6320	-124	-63	5	-2996	-1848	16628	25	-99	103	-9224	3608	12568	-16	10	-29	-15008	3936	-6384	5	-5	15	-2848	1576	16864	23	-2	2	125	127	5
-9556	-3024	13424	137	-5	-129	-14940	836	-6300	-42	-41	-22	-2932	-1764	16424	30	-103	91	-9416	3816	12768	-11	14	-26	-15112	3960	-5984	6	-13	15	-2984	1544	16784	15	1	6	126	126	5
-9552	-2984	13400	111	-12	-130	-14992	844	-6440	-49	-51	-13	-2924	-1768	16356	5	-74	134	-9144	3720	12656	-10	13	-26	-15000	3928	-6272	6	-7	15	-2760	1672	16888	23	1	6	125	126	5
-9500	-2984	13388	146	-59	-137	-14928	860	-6324	-53	-69	-21	-2852	-1836	16460	-26	-114	188	-9232	3688	12904	-14	16	-28	-14920	3960	-6184	12	-6	15	-2856	1488	16888	22	0	-1	126	126	5
-9484	-3004	13392	155	-31	-129	-15024	756	-6228	-18	-45	-46	-2944	-1856	16416	60	-133	163	-9184	3696	12792	-13	13	-29	-15072	3968	-6328	10	-8	14	-2824	1416	16736	22	2	1	125	126	5
