#Activity	standing going_up standing 
#ActivityID	8 3 8 
#Date 08-18-11-53
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9640	-3244	13312	69	0	-131	-15896	1592	-3204	-194	-82	-44	-15832	-1436	-3028	-486	-269	72	-9064	3864	12808	-9	16	-28	-16016	3928	-3568	-16	11	14	-16240	2728	-320	-7	20	-4	124	126	8
-9676	-3264	13300	68	73	-157	-15924	1652	-3084	-223	-76	-39	-15896	-1456	-3140	-434	-298	60	-9104	4072	12776	-13	13	-28	-16000	3936	-3360	-5	13	14	-15960	2792	-856	-5	8	-2	129	126	8
-9584	-3268	13296	112	49	-155	-15828	1660	-3204	-234	-63	-22	-15892	-1364	-2968	-322	-281	36	-9160	3880	12552	-12	15	-30	-15920	3984	-3560	4	3	16	-16016	2664	-568	-6	12	-1	127	127	8
-9584	-3264	13196	129	23	-156	-15760	1612	-3168	-252	-59	-1	-15816	-1472	-2924	-322	-263	60	-9288	3872	12856	-11	15	-26	-15888	3824	-3344	10	5	18	-16128	2696	-440	11	8	3	129	128	8
-9588	-3288	13292	149	-5	-113	-15900	1640	-3112	-125	-109	-57	-15928	-1564	-2940	-225	-265	83	-9040	3808	12744	-17	16	-31	-16072	3888	-3208	2	1	18	-16216	2720	-528	18	9	-4	129	127	8
-9580	-3268	13336	160	-44	-150	-15912	1676	-3124	-109	-22	-24	-15996	-1504	-2704	-121	-169	86	-8976	3872	12856	-16	16	-30	-15784	3824	-3136	9	3	15	-16136	2736	-552	9	19	-1	127	126	8
-9648	-3292	13256	177	11	-166	-15684	1628	-2972	-112	-22	-42	-15800	-1476	-2848	75	-174	117	-8992	3928	12456	-11	14	-26	-15744	3968	-3672	21	6	18	-16024	2688	-264	14	18	-3	128	127	8
-9584	-3324	13268	174	-33	-150	-15884	1596	-2972	42	40	-32	-15964	-1552	-2828	215	-119	146	-8968	3896	13040	-13	10	-29	-15848	3968	-3328	10	18	17	-16112	2984	-336	12	6	2	124	128	8
-9544	-3280	13136	142	-33	-133	-15880	1652	-3044	194	39	4	-16012	-1528	-2776	335	-130	166	-9264	3616	12912	-16	8	-29	-15888	4112	-3184	-10	22	12	-16240	2816	-176	0	8	3	128	129	8
-9616	-3276	13224	142	-40	-159	-15904	1640	-2980	198	92	-39	-15988	-1416	-2808	350	-79	155	-8936	4008	12728	-20	11	-29	-15784	3928	-3160	5	34	3	-16280	3000	-552	3	3	1	126	127	8
-9552	-3256	13252	160	-59	-131	-15976	1596	-3088	304	170	-51	-15912	-1336	-3028	201	-98	149	-8992	4080	12608	-12	12	-31	-15904	4024	-3720	-9	29	8	-16168	2784	-760	20	-24	-3	130	127	8
-9644	-3276	13264	154	-40	-115	-15912	1788	-3212	246	163	-29	-15876	-1120	-3180	-90	-283	111	-9048	3856	12808	-16	17	-32	-15912	3864	-3560	-12	19	0	-16008	2888	-896	41	-26	2	128	128	8
-9588	-3268	13248	148	5	-119	-15924	1748	-3328	84	133	-39	-15812	-1140	-3524	-267	-382	27	-9112	4056	12800	-15	17	-32	-15856	3936	-3672	16	3	3	-16168	2736	-1416	46	-17	-7	128	129	8
-9560	-3268	13264	154	37	-142	-15852	1748	-3368	-60	82	-107	-15828	-1244	-3472	-333	-399	-9	-9088	3944	12768	-14	11	-31	-15896	3712	-3720	30	-13	6	-16040	2648	-1376	52	-12	-5	127	127	8
-9580	-3252	13260	144	75	-122	-15904	1612	-3468	-62	-31	-67	-15776	-1396	-3660	-452	-376	34	-9080	3832	12904	-16	12	-30	-15872	4000	-3856	40	-28	11	-16048	2696	-1120	61	-18	-15	128	124	8
-9560	-3272	13304	73	14	-142	-15892	1648	-3552	-71	-171	-95	-15760	-1376	-3672	-366	-340	-2	-9032	3912	12768	-15	10	-23	-15832	4000	-3776	29	-40	8	-16088	2736	-896	51	-3	-11	128	127	8
-9572	-3312	13244	77	17	-161	-15856	1636	-3528	-211	-261	-106	-15720	-1476	-3496	-170	-279	15	-9192	3960	12528	-10	9	-23	-15824	3792	-3736	19	-42	4	-16136	2864	-792	19	11	-11	129	126	8
-9664	-3192	13180	138	-28	-176	-15872	1644	-3280	-173	-380	-135	-15852	-1412	-3220	13	-276	16	-8984	3840	12560	-12	7	-20	-15976	3832	-3552	9	-43	14	-16200	2824	-384	-8	13	-10	127	129	8
