#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up 
#ActivityID	5 7 8 6 5 7 8 6 5 7 
#Date 08-20-11-39
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8080	-4636	13132	-130	144	-178	-16396	-1292	-2132	86	-21	168	-3328	1472	16764	170	23	33	-7468	6676	13388	85	4	-191	-15424	5284	-2128	13	-16	-81	-1716	-2320	16844	17	-96	169	128	124	5
-8100	-4568	13252	-50	106	-175	-16400	-1284	-2172	72	-12	123	-3260	1528	16732	147	13	21	-7468	6640	13444	154	-4	-165	-15380	5360	-2148	18	22	-44	-1668	-2348	16824	-24	-110	201	128	125	5
-8068	-4584	13180	-114	119	-188	-16384	-1252	-2140	55	1	132	-3216	1416	16856	159	9	64	-7464	6676	13392	127	-32	-164	-15352	5316	-2208	19	9	-76	-1696	-2424	16860	-26	-90	182	127	125	5
-7972	-4632	13132	-102	115	-197	-16452	-1324	-2120	36	-24	125	-3308	1512	16792	130	3	13	-7456	6648	13596	160	-28	-170	-15372	5292	-2204	12	-11	-39	-1652	-2380	16788	-10	-100	152	128	125	5
-8060	-4608	13160	-118	134	-184	-16400	-1284	-2052	71	-35	135	-3272	1448	16728	172	-10	71	-7440	6632	13464	109	-18	-166	-15308	5332	-2152	-13	-6	-28	-1684	-2344	16776	-17	-96	178	128	125	5
-8064	-4656	13128	-116	125	-208	-16384	-1324	-2012	43	-19	130	-3236	1456	16700	190	-7	44	-7408	6620	13460	155	-29	-139	-15312	5344	-2208	0	-14	-57	-1676	-2396	16824	-8	-89	175	128	124	5
-8080	-4516	13084	-96	149	-193	-16404	-1328	-1992	99	-49	125	-3244	1480	16708	175	-20	10	-7464	6660	13412	117	-5	-153	-15304	5296	-2156	45	-36	-20	-1648	-2360	16884	32	-82	200	128	124	5
-8036	-4592	13128	-71	114	-171	-16396	-1348	-2012	78	-54	125	-3212	1492	16780	140	26	31	-7448	6660	13504	138	-26	-151	-15384	5312	-2196	65	-3	-25	-1668	-2296	16808	10	-100	181	128	124	5
-8080	-4612	13232	-89	115	-167	-16416	-1224	-2184	68	-8	131	-3220	1456	16776	146	26	36	-7488	6592	13436	126	1	-174	-15376	5304	-2112	17	26	-22	-1640	-2356	16916	-61	-98	155	128	124	5
-8096	-4592	13172	-97	135	-155	-16432	-1276	-2056	45	-25	127	-3304	1436	16720	136	-2	25	-7448	6644	13444	152	6	-168	-15384	5328	-2120	13	15	-45	-1648	-2416	16896	-46	-90	164	128	124	5
