#Activity	standing walking standing up_by_elevator standing down_by_elevator standing up_by_elevator standing down_by_elevator 
#ActivityID	8 1 8 10 8 11 8 10 8 11 
#Date 08-20-12-33
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-6712	-7616	12320	-228	183	-329	-16316	-2316	2120	453	-90	-203	-16052	-2856	-1020	950	334	-177	-8584	4828	13576	69	-116	-238	-15692	200	-4308	265	169	-156	-16168	-2064	208	508	-161	112	125	123	8
-6732	-7656	12448	-216	219	-312	-16340	-2376	2112	306	14	-175	-16040	-2948	-1164	794	295	-162	-8620	4836	13536	49	-91	-277	-15776	296	-4416	151	164	-179	-16516	-1904	96	385	-185	104	125	122	8
-6748	-7600	12380	-215	199	-274	-16340	-2404	2068	222	44	-160	-15992	-2948	-1324	672	300	-196	-8600	4860	13560	193	-82	-370	-15780	656	-4344	169	-121	-120	-16304	-1972	-24	330	-135	59	125	122	8
-6752	-7652	12424	-184	160	-264	-16348	-2448	2088	233	61	-110	-15912	-3016	-1504	603	220	-184	-8740	5232	13300	484	-425	-826	-15548	620	-4288	-1611	-676	221	-16028	-1908	-8	255	-59	89	124	122	8
-6736	-7576	12360	-205	138	-254	-16328	-2484	1988	365	35	-150	-15920	-3040	-1456	512	231	-119	-8644	5052	13220	664	-365	-922	-15364	472	-4240	-2790	-982	57	-15888	-1956	156	125	-130	171	124	122	8
-6768	-7632	12272	-134	159	-258	-16424	-2432	1884	261	12	-111	-15848	-3036	-1596	496	308	-151	-9028	4740	13392	1440	-685	-874	-15328	260	-4288	-2992	-672	161	-15920	-2096	408	-39	-308	170	124	122	8
-6792	-7564	12344	-177	129	-244	-16308	-2384	1864	220	-19	-132	-15840	-2884	-1676	542	283	-169	-8524	4736	13468	1312	-672	-658	-15472	88	-4208	-1290	-248	257	-15888	-2308	620	-120	-501	46	124	122	8
-6756	-7504	12324	-141	139	-339	-16436	-2328	1856	194	-24	-141	-15904	-3012	-1672	571	283	-104	-8484	4832	13636	1094	-661	-515	-15684	164	-4104	6	-51	184	-16056	-2512	496	188	-466	8	124	122	8
-6692	-7640	12392	-157	156	-353	-16356	-2488	1872	277	-70	-126	-15904	-3188	-1744	833	289	-121	-8200	5184	13756	484	-470	-405	-15788	284	-4132	131	-22	204	-16340	-2356	332	466	-452	1	124	123	8
-6788	-7592	12260	-252	148	-366	-16328	-2520	1904	413	-130	-102	-15940	-3400	-1532	991	294	-66	-8244	4764	13780	145	-233	-250	-15980	48	-4292	946	256	30	-16364	-2116	264	530	-437	202	124	122	8
-6752	-7688	12356	-191	145	-334	-16340	-2580	2020	411	-106	-68	-15884	-3288	-1392	992	235	-16	-8380	4988	13732	45	35	-166	-16108	304	-4284	823	365	-75	-16480	-2044	160	567	-377	361	124	122	8
-6716	-7648	12416	-246	166	-339	-16356	-2512	1960	461	-175	-34	-15896	-3156	-1636	979	261	-5	-8436	5084	13708	-20	215	-205	-16008	220	-4324	614	353	-59	-16744	-1984	-16	403	-226	317	123	122	8
-6736	-7688	12364	-134	149	-304	-16348	-2528	2048	373	-138	16	-15808	-3096	-1428	839	298	-4	-8536	5000	13632	-28	352	-278	-15764	332	-4408	255	129	-2	-16312	-2196	-24	413	-197	162	123	122	8
-6732	-7616	12488	-101	159	-216	-16348	-2504	2012	366	-128	27	-15964	-2816	-1532	638	197	-52	-8600	4924	13540	79	278	-339	-15672	296	-4408	294	17	77	-16116	-2240	-4	520	-36	33	123	122	8
-6660	-7680	12424	-78	149	-241	-16328	-2412	2188	164	-51	80	-16012	-2844	-1396	560	196	-24	-8644	4976	13444	215	203	-359	-15608	416	-4428	911	-57	98	-16032	-2108	108	781	143	10	123	122	8
-6764	-7700	12348	-77	144	-219	-16280	-2464	2080	27	-38	87	-15940	-2852	-1316	265	120	-73	-8692	4864	13472	282	105	-408	-15596	532	-4292	1222	-87	72	-16036	-1936	32	927	275	-16	123	122	8
-6792	-7676	12292	-110	112	-157	-16376	-2500	2124	-44	-24	67	-15984	-3004	-1296	182	116	-75	-8628	4912	13548	263	31	-432	-15572	548	-4212	1206	-150	59	-16044	-1768	132	897	290	-21	123	123	8
-6776	-7620	12336	-83	145	-158	-16304	-2484	2112	-80	34	70	-15924	-3004	-1484	79	109	-54	-8588	4932	13468	285	6	-392	-15508	416	-4300	1273	-83	34	-16072	-1632	124	746	253	110	123	123	8
-6756	-7656	12460	-68	93	-201	-16292	-2448	2044	-107	38	42	-15896	-3112	-1424	200	102	-27	-8512	4768	13500	197	-12	-293	-15576	372	-4176	1337	28	-28	-16112	-1752	220	356	219	157	123	123	8
-6748	-7704	12344	-73	119	-193	-16408	-2536	2064	40	18	107	-15928	-3144	-1516	282	82	7	-8488	4804	13688	-123	42	-142	-15620	208	-4180	1338	126	-131	-16136	-1880	320	118	121	233	124	123	8
-6712	-7620	12344	-41	138	-162	-16372	-2440	2008	94	30	111	-15928	-3160	-1508	327	34	39	-8552	4852	13528	-128	154	-11	-15628	268	-4276	1168	162	-221	-16176	-2028	248	29	121	247	123	124	8
-6788	-7608	12332	-85	138	-198	-16348	-2440	2036	168	38	79	-15904	-3044	-1568	406	84	57	-8524	4896	13568	-123	169	-17	-15724	316	-4088	848	160	-195	-16164	-2192	372	-7	101	193	124	123	8
-6800	-7616	12348	-26	155	-167	-16260	-2364	2056	209	40	84	-15928	-2884	-1492	376	59	43	-8584	4940	13580	-80	106	-59	-15800	352	-4116	810	129	-177	-16180	-2264	536	130	96	104	124	123	8
-6720	-7692	12244	-27	126	-171	-16320	-2416	1944	180	80	69	-15972	-2924	-1348	354	51	30	-8620	4884	13560	-60	105	-97	-15680	176	-4104	496	44	-102	-16096	-2344	448	255	73	127	124	123	8
-6768	-7620	12336	-14	94	-162	-16356	-2468	2128	133	117	55	-15928	-2900	-1360	370	30	31	-8608	4848	13504	14	76	-108	-15700	204	-4192	520	36	-122	-16096	-2196	460	360	64	146	123	123	8
-6736	-7652	12424	-6	153	-164	-16352	-2424	2004	159	129	53	-15964	-2884	-1480	243	-12	-16	-8716	5044	13564	263	-94	-384	-15716	556	-4048	-367	-373	144	-16076	-2152	408	398	55	178	124	123	8
-6780	-7664	12400	-26	130	-187	-16380	-2444	1960	68	178	11	-15976	-2928	-1540	172	-57	-13	-8640	4900	13476	301	-151	-564	-15608	436	-4024	-1246	-461	113	-16100	-2016	404	397	-26	230	124	123	8
-6720	-7668	12392	-25	97	-207	-16332	-2436	1892	7	128	30	-15840	-2956	-1676	195	-81	-45	-8596	4856	13608	370	-203	-477	-15620	308	-4072	-1531	-406	42	-16004	-1864	572	248	-72	265	124	123	8
-6692	-7644	12396	21	121	-194	-16448	-2472	1908	-30	148	26	-15828	-3000	-1864	95	-28	-29	-8584	4844	13544	490	-198	-346	-15568	180	-4212	-1689	-324	99	-16100	-1716	464	9	-123	285	124	123	8
-6776	-7664	12332	-32	127	-216	-16400	-2488	1844	-40	66	12	-15764	-3020	-1876	144	2	-23	-8420	4804	13540	388	-117	-235	-15600	148	-4160	-1040	-98	32	-16084	-1932	316	-206	-209	151	124	123	8
-6748	-7656	12304	-71	120	-219	-16404	-2428	1744	-5	-29	11	-15824	-3124	-1892	135	50	-41	-8444	4992	13548	223	-74	-151	-15764	288	-4044	-293	140	34	-16180	-1992	348	-210	-326	32	124	123	8
-6756	-7552	12372	-117	137	-253	-16412	-2516	1788	48	-38	52	-15840	-3124	-1856	226	59	-36	-8564	4984	13672	94	38	-245	-15800	384	-4156	161	289	25	-16268	-2052	260	-280	-379	13	124	123	8
-6796	-7624	12324	-133	148	-242	-16376	-2532	1864	51	-119	1	-15868	-3080	-1824	246	106	-34	-8604	4956	13684	35	48	-248	-15816	436	-4156	262	241	-47	-16272	-1880	204	-276	-368	10	124	123	8
-6780	-7568	12364	-105	169	-234	-16324	-2392	1916	10	-201	67	-15948	-2968	-1640	171	92	-62	-8632	4964	13528	118	37	-347	-15736	600	-4188	-478	14	-26	-16244	-1828	140	-346	-280	83	124	123	8
-6728	-7604	12248	-124	132	-209	-16300	-2436	2024	-100	-159	55	-15972	-2728	-1552	210	79	-65	-8652	4796	13392	282	-59	-383	-15644	472	-4260	-1085	-80	4	-16164	-1808	224	-342	-167	117	124	123	8
-6760	-7628	12448	-109	151	-210	-16320	-2328	2108	-149	-170	46	-15952	-2892	-1576	-16	42	-67	-8592	4824	13424	396	-74	-421	-15744	420	-4220	-678	22	-24	-16140	-1864	80	-353	-119	117	124	123	8
-6728	-7648	12336	-144	168	-185	-16316	-2468	1936	-211	-123	36	-15980	-2944	-1264	-50	-26	-101	-8632	4956	13420	462	-165	-511	-15692	472	-4276	-104	62	22	-16160	-2128	116	-162	-52	12	124	123	8
-6704	-7684	12376	-169	147	-206	-16368	-2500	2084	-244	-42	11	-15940	-2848	-1412	-150	-6	-131	-8780	4972	13380	606	-166	-698	-15644	472	-4164	552	-19	42	-16200	-2292	80	93	-69	-49	124	123	8
-6820	-7748	12280	-168	196	-202	-16400	-2504	2044	-524	-46	94	-15840	-2996	-1240	-362	12	-108	-8684	4928	13616	402	-274	-767	-15708	460	-4172	480	-134	140	-16128	-2276	196	266	-132	-56	124	123	8
-6824	-7688	12368	-134	111	-182	-16288	-2584	1980	-636	-23	39	-15940	-3212	-1464	-295	50	-114	-8852	4764	13400	916	-377	-977	-15524	740	-4184	464	-257	141	-16048	-2160	116	344	-142	20	124	123	8
