#Activity	standing walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking 
#ActivityID	8 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 
#Date 08-22-14-00
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11108	-4048	11752	85	160	-66	-15900	1784	-1952	210	-26	-12	-15984	504	-2120	29	5	4	-9684	7448	10728	-65	148	-153	-15664	4392	-3240	4	-16	35	-15888	-504	-1736	1	-22	36	128	131	8
-11136	-3840	11800	149	146	-59	-16000	1788	-2068	194	-74	23	-16144	336	-2328	59	16	8	-9692	7436	10728	-108	99	-133	-15584	4232	-3384	8	-8	39	-16016	-440	-1984	18	-24	45	128	132	8
-11120	-3852	11820	143	94	-57	-15976	1760	-2016	173	-111	25	-16008	248	-2120	97	26	26	-9628	7448	10840	-163	87	-121	-15800	4224	-3608	-1	-9	41	-16032	-456	-2376	40	-22	45	129	132	8
-11180	-3924	11820	181	79	-114	-15964	1680	-1928	352	-99	20	-16208	56	-2008	99	26	29	-9636	7468	10760	-140	51	-136	-15880	4232	-3568	8	-17	47	-16024	-296	-2448	48	-13	57	129	132	8
-11176	-4008	11908	211	-8	-138	-16064	1652	-1740	357	-49	8	-16248	488	-1648	159	30	47	-9648	7544	10772	-107	69	-79	-15648	4288	-3832	19	-31	48	-15888	-400	-2472	59	-12	60	130	132	8
-11088	-4096	11872	251	-77	-96	-16024	1552	-1536	578	20	110	-16208	576	-1344	155	23	53	-9664	7544	10796	-139	23	-56	-15776	4456	-3792	15	-38	57	-15952	-280	-2560	62	-6	61	130	132	8
-11060	-3992	11924	242	-48	-62	-16172	1684	-1672	589	61	106	-16304	720	-1488	124	21	52	-9660	7496	10828	-121	91	-52	-15904	4216	-3752	19	-50	64	-16048	-312	-2600	59	-7	59	130	132	8
-11036	-3976	11852	289	-3	-61	-16064	1788	-1896	419	113	88	-16048	912	-1952	81	20	43	-9620	7504	10888	-62	89	-50	-15904	4312	-3576	30	-67	73	-15944	-16	-2592	32	-5	48	130	132	8
-11076	-3908	11840	305	-129	-50	-15924	1804	-2176	379	83	70	-15736	912	-2104	44	20	41	-9652	7476	10736	-47	77	-35	-15640	4200	-3608	25	-69	75	-15848	-24	-2384	6	4	44	129	132	8
-11096	-3948	11824	343	-181	-73	-16036	1876	-2316	356	-10	51	-15896	904	-2512	34	31	24	-9636	7464	10724	-50	20	42	-15608	4360	-3464	13	-73	76	-15752	56	-1944	-27	15	36	127	131	8
