#Activity	standing walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking 
#ActivityID	8 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 
#Date 08-22-14-07
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11228	-3644	11932	126	-38	-134	-16092	2208	-1272	-99	-62	-69	-16152	1400	-1984	-5	-18	-15	-9788	7168	10952	-105	123	-169	-15848	4512	-3144	-9	1	10	-15904	-960	-3112	-24	-18	-2	132	138	8
-11156	-3640	11848	129	-19	-153	-16148	2200	-1196	-66	-91	-94	-16096	1368	-2112	3	-15	-12	-9856	7268	11004	-107	120	-174	-15800	4552	-3112	-12	3	18	-15896	-920	-3400	-44	-18	4	127	137	8
-11232	-3564	11792	129	-51	-174	-16172	2188	-1240	-46	-100	-51	-16064	1416	-2088	3	-14	-5	-9832	7240	10912	-73	123	-219	-15864	4592	-3360	-15	6	18	-15984	-896	-3224	-25	-14	15	128	135	8
-11188	-3576	11788	126	16	-138	-16112	2212	-1220	73	-147	-33	-16040	1392	-2264	8	-14	-4	-9820	7180	10916	-72	124	-163	-15864	4304	-3112	0	1	17	-15920	-1080	-3280	-15	-18	20	130	134	8
-11248	-3584	11896	97	-29	-155	-16152	2216	-1252	-53	-79	-45	-16128	1416	-2232	12	-19	-2	-9792	7168	10984	-80	118	-220	-15856	4472	-3232	10	-9	23	-15840	-936	-3040	-1	-25	18	127	134	8
-11292	-3648	11820	130	-5	-146	-16108	2212	-1332	-45	-88	-46	-16088	1432	-2088	9	-21	1	-9764	7136	10788	-75	109	-188	-15808	4584	-3016	0	-3	21	-15720	-920	-3264	14	-28	16	128	134	8
-11140	-3676	11940	77	46	-156	-16044	2192	-1308	121	-80	3	-16328	1376	-2128	1	-24	2	-9756	7172	10932	-75	109	-211	-15848	4448	-3088	1	-7	27	-15752	-1128	-3248	7	-30	16	125	136	8
-11192	-3604	11828	117	32	-166	-16032	2196	-1316	-31	-67	-47	-15976	1584	-2064	2	-25	-3	-9740	7120	10832	-81	140	-146	-15864	4464	-3256	-1	-9	26	-15760	-824	-3208	17	-30	31	127	136	8
-11180	-3616	11896	74	46	-124	-16108	2152	-1284	78	-104	6	-16032	1528	-2176	-2	-19	3	-9708	7136	10956	-77	146	-167	-15800	4464	-3168	4	-17	31	-15848	-840	-3192	28	-32	27	128	136	8
-11160	-3684	11828	113	15	-124	-16172	2260	-1444	-5	-139	-9	-16112	1360	-2272	-4	-13	13	-9780	7148	10892	-59	175	-184	-15888	4400	-3320	4	-23	33	-15808	-928	-3264	19	-21	27	125	135	8
-11176	-3556	11868	108	19	-159	-16116	2296	-1496	105	-237	-20	-15864	1352	-2280	10	-6	10	-9688	7136	10972	-64	140	-162	-15920	4464	-3280	4	-32	31	-15856	-968	-3008	24	-23	24	124	131	8
-11188	-3660	11936	103	37	-173	-16096	2208	-1296	-50	-224	6	-16040	1416	-2248	19	-1	11	-9760	7072	10984	-6	149	-150	-15776	4736	-3088	5	-27	35	-15952	-800	-2896	27	-42	25	124	130	8
-11240	-3584	11712	113	64	-140	-16136	2260	-1240	-118	-252	-18	-16168	1264	-2128	13	-4	19	-9808	7244	10844	-42	148	-145	-15744	4800	-3168	6	-26	32	-16056	-808	-2664	20	-33	23	127	129	8
-11240	-3620	11832	109	30	-139	-16028	2184	-1028	-164	-169	-7	-16240	1264	-1856	56	-16	10	-9788	7144	10836	-9	144	-193	-15744	4488	-2872	13	-19	31	-15896	-848	-2504	63	-38	22	129	128	8
-11180	-3644	11864	110	-7	-135	-16012	2136	-992	-40	-92	11	-16168	1456	-1808	35	-25	16	-9748	7172	10828	-55	166	-216	-15712	4808	-3104	34	-20	32	-15832	-688	-2552	39	-34	29	128	128	8
-11220	-3608	11844	163	30	-122	-16060	2188	-900	79	12	13	-16240	1392	-1704	19	-28	19	-9876	7212	10804	-85	134	-230	-15864	4544	-3160	6	-9	32	-15968	-912	-2912	28	-16	30	127	128	8
-11224	-3612	11808	166	-27	-76	-16124	2296	-1188	54	56	29	-16376	1576	-1896	27	-11	23	-9816	7176	10948	-92	161	-252	-15872	4408	-3296	2	-5	32	-15952	-976	-3112	16	-11	35	127	128	8
-11192	-3664	11792	190	-21	-91	-16104	2252	-1060	20	82	-2	-16248	1512	-2120	18	10	20	-9800	7152	10896	-74	209	-191	-15776	4432	-3112	1	-2	31	-15776	-936	-2928	29	-9	32	127	128	8
-11180	-3556	11792	162	30	-92	-16156	2316	-1236	181	74	54	-16152	1560	-1960	15	20	26	-9832	7188	10876	-66	178	-137	-15680	4552	-3224	2	2	31	-16024	-872	-2784	32	-14	40	127	128	8
-11212	-3688	11856	146	37	-115	-16064	2308	-1072	132	92	64	-16168	1512	-2032	28	14	17	-9772	7200	10896	-61	152	-163	-15656	4376	-3096	21	-14	33	-15888	-1040	-2952	30	-24	39	127	128	8
-11208	-3608	11852	182	18	-74	-16056	2272	-1100	84	124	44	-16176	1456	-1832	22	4	15	-9816	7044	10944	-90	125	-138	-15640	4640	-3048	33	-11	36	-15904	-928	-2904	35	-26	47	128	128	8
-11188	-3672	11908	155	-12	-116	-16124	2240	-1224	82	152	26	-16144	1544	-1888	15	4	18	-9708	7324	10852	-102	89	-163	-15936	4624	-3096	35	-12	40	-15872	-736	-2976	41	-17	40	128	129	8
-11224	-3560	11808	183	7	-125	-16052	2292	-1240	53	174	38	-16112	1480	-2016	28	9	21	-9732	7232	10972	-81	132	-154	-15752	4488	-3056	23	-12	36	-15976	-680	-3056	35	-16	42	128	129	8
-11240	-3632	11844	199	9	-97	-16208	2248	-1256	157	195	41	-16176	1376	-2096	53	16	30	-9788	7192	10948	-62	169	-186	-15784	4488	-3072	26	-7	33	-16040	-1008	-2792	19	-14	39	128	129	8
-11192	-3624	11872	173	2	-99	-16128	2244	-1272	185	151	72	-16192	1512	-2152	68	21	37	-9760	7172	10932	-34	150	-186	-15784	4808	-2952	30	-4	40	-15896	-832	-2960	27	-20	44	127	128	8
-11216	-3624	11892	153	44	-85	-16096	2300	-1284	187	132	48	-15944	1656	-1960	70	23	35	-9820	7276	10800	-99	161	-197	-15792	4784	-3144	24	3	38	-16000	-784	-2640	43	-20	49	126	128	8
-11228	-3648	11864	145	9	-102	-16100	2256	-1308	113	178	81	-16240	1568	-2360	59	29	36	-9788	7120	10896	-64	147	-207	-15616	4640	-2920	23	6	32	-15944	-832	-2736	36	-17	54	127	128	8
-11200	-3588	11860	179	17	-121	-16092	2304	-1340	39	184	58	-16120	1600	-2008	61	29	32	-9760	7244	10948	-38	171	-233	-15808	4760	-3112	36	1	33	-15872	-808	-3048	65	-16	46	128	128	8
-11204	-3576	11884	169	4	-75	-16056	2160	-1200	7	217	102	-16136	1528	-1984	53	14	26	-9812	7080	10892	6	195	-264	-15808	4688	-3264	46	-7	40	-16040	-616	-3280	70	-12	48	127	128	8
-11220	-3628	11824	182	-3	-52	-16120	2344	-1252	116	216	120	-16144	1512	-2192	12	13	27	-9844	7184	10828	-11	184	-231	-15816	4488	-3096	45	-6	35	-15880	-928	-2936	50	-19	46	127	128	8
-11240	-3588	11812	159	-3	-101	-16164	2340	-1332	118	202	91	-16144	1552	-2032	14	14	30	-9824	7080	10828	-43	190	-183	-15632	4600	-2992	52	-7	36	-15864	-752	-2840	51	-31	39	125	127	8
-11212	-3616	11672	159	33	-71	-16120	2348	-1308	14	217	85	-16136	1584	-2160	29	16	27	-9820	7160	10764	-57	151	-171	-15536	4920	-2936	50	0	35	-15856	-664	-2848	68	-31	43	127	128	8
-11224	-3480	11808	155	13	-73	-16028	2288	-1448	29	207	89	-16144	1576	-2240	34	27	26	-9800	7232	10860	-74	128	-208	-15768	4800	-3016	37	2	33	-15984	-512	-3072	66	-10	45	127	128	8
-11232	-3588	11896	160	14	-91	-15980	2352	-1352	-46	169	35	-16144	1584	-2000	26	23	27	-9848	7172	10908	-78	154	-227	-15832	4616	-3344	35	2	30	-16080	-680	-3064	46	0	47	128	129	8
-11264	-3632	11776	160	-49	-98	-16172	2408	-1324	5	194	105	-16216	1784	-1984	39	20	25	-9852	7160	10908	-71	177	-238	-15808	4632	-3296	33	1	33	-15944	-688	-3152	51	-3	38	127	130	8
-11172	-3676	11892	168	4	-119	-16120	2340	-1276	60	226	38	-16296	1664	-1872	26	16	22	-9848	7132	10864	-55	187	-240	-15776	4624	-3272	36	-7	27	-15936	-560	-3040	31	-4	38	127	130	8
