#Activity	standing walking going_down walking going_down walking going_down going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking 
#ActivityID	8 1 4 1 4 1 4 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 
#Date 08-22-14-15
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11060	-4168	11828	2	163	5	-16420	2052	-1108	241	-207	121	-16256	968	-1936	74	89	36	-9768	7656	10580	74	399	-352	-15800	4808	-2472	14	30	31	-16232	-1056	-1904	-106	-9	32	128	130	8
-10884	-4384	12072	-38	239	-83	-16124	2048	-728	-44	-182	264	-16456	1152	-1688	84	79	31	-9840	7784	10568	174	444	-373	-15648	5048	-2800	-18	53	27	-15992	-888	-1872	2	-20	34	128	130	8
-10996	-4456	11976	-92	348	63	-16312	1776	-860	-46	-114	256	-16760	752	-1296	-5	38	40	-9772	7960	10440	124	384	-364	-15536	4936	-2912	3	56	21	-15880	-648	-2600	59	-3	46	127	130	8
-10988	-4412	11940	-143	474	144	-16272	1752	-756	-390	-68	376	-16240	864	-1544	-18	31	37	-9704	7892	10392	183	381	-465	-15856	4608	-2848	55	36	36	-16176	-1008	-2760	79	10	67	127	130	8
-11204	-4036	11684	-168	448	293	-16276	1816	-952	-673	-18	309	-16328	784	-1944	-58	35	38	-9856	7736	10620	277	352	-559	-15920	4672	-3200	106	23	48	-16032	-1016	-2784	168	-5	53	128	130	8
-11260	-4052	11740	-180	434	294	-16036	2120	-1048	-785	53	506	-16328	896	-1984	-62	15	45	-9932	7524	10528	307	377	-603	-15888	4712	-3368	114	1	58	-16032	-368	-2752	194	23	40	128	130	8
-11220	-4160	11800	-196	289	249	-15944	2424	-824	-1011	171	359	-16192	1296	-1864	-53	11	42	-9904	7568	10336	271	400	-572	-15856	4368	-3336	75	10	53	-15928	-136	-3184	100	39	68	127	130	8
-11212	-4200	11804	-151	210	189	-16076	2268	-968	-549	219	375	-16288	1392	-1584	-76	6	50	-10000	7728	10408	323	383	-517	-15800	4200	-3064	115	-7	62	-15808	-824	-3000	97	23	52	127	130	8
-11168	-3992	11692	-136	258	186	-16092	2484	-1144	-212	230	345	-16088	1552	-2016	-78	12	46	-10060	7592	10384	289	423	-438	-15664	4752	-3384	100	-14	68	-15656	-224	-2856	39	25	27	128	130	8
-11232	-4032	11748	-204	252	129	-16080	2536	-1212	-227	278	303	-16248	1664	-2360	-46	18	35	-10000	7624	10368	257	397	-399	-15584	4992	-3424	-3	33	58	-15872	-40	-2952	-50	51	43	127	131	8
-11188	-4072	11708	-146	235	114	-16056	2144	-1268	-114	266	269	-16064	1336	-2216	-12	24	24	-10036	7552	10328	242	385	-368	-15584	4520	-3152	2	13	57	-15984	-432	-2928	-62	50	38	127	130	8
-11256	-4084	11724	-144	306	89	-16120	2276	-1400	162	188	274	-16192	1280	-2352	-5	33	20	-10004	7664	10272	277	346	-328	-15760	4824	-3056	79	-19	64	-15952	-408	-2720	-28	47	8	127	130	8
-11320	-3944	11592	-14	275	88	-15892	2388	-1336	-145	255	280	-15968	1432	-2224	2	21	18	-10000	7576	10308	198	354	-313	-15368	4816	-3144	72	-12	68	-15720	-408	-2592	-37	43	9	128	130	8
-11332	-4012	11504	48	110	9	-15672	2340	-1252	-643	359	217	-15832	1312	-2000	-18	9	22	-10036	7432	10220	109	306	-300	-15360	4952	-2984	28	12	50	-15752	-392	-2328	-47	17	35	127	130	8
-11288	-3992	11592	170	26	-37	-15864	2232	-1168	-147	399	184	-15952	1392	-2120	-36	-4	34	-9980	7528	10248	-81	246	-231	-15336	4920	-3168	-6	39	27	-15848	-440	-2256	-33	-11	43	127	130	8
-11140	-4136	11676	303	-108	-39	-16024	2460	-1316	45	366	194	-16048	1240	-2352	-28	9	37	-9976	7680	10232	-197	150	-202	-15200	4912	-3248	16	41	27	-15760	-352	-2416	22	-2	46	127	131	8
-11304	-4000	11624	323	-43	-32	-16088	2528	-1488	55	328	150	-16136	1568	-2272	-1	22	38	-9992	7704	10288	-265	39	-204	-15504	5048	-3088	32	42	37	-16032	-8	-2296	32	20	56	127	130	8
-11200	-4040	11724	331	-66	-113	-16052	2432	-1208	-112	290	185	-15912	1664	-2464	31	32	38	-9972	7760	10364	-441	38	-277	-15696	4936	-3040	-7	62	24	-15856	-352	-2704	17	26	54	127	130	8
-11236	-4104	11644	354	-70	-116	-15984	2392	-1152	89	259	56	-16136	1480	-2288	44	25	37	-9948	7660	10408	-367	63	-236	-15784	4664	-3128	-19	53	14	-16024	-360	-3128	-6	38	46	127	130	8
-11312	-4100	11700	366	-90	-168	-15988	2424	-1120	305	343	121	-16240	1424	-2104	46	6	28	-9996	7600	10440	-370	55	-170	-15592	4592	-3344	5	37	23	-15752	-328	-2976	-46	49	38	127	130	8
-11156	-4132	11652	367	-195	-195	-16080	2304	-1124	242	385	73	-16032	1680	-1776	38	1	14	-9972	7436	10460	-314	37	-84	-15592	4664	-3456	6	28	25	-15576	-448	-3472	-71	59	28	127	130	8
-11212	-4112	11780	372	-200	-140	-16168	2308	-1356	301	344	23	-16256	1656	-2072	9	1	10	-10004	7732	10428	-307	63	2	-15672	4896	-3256	-1	32	32	-15872	-392	-3160	-81	42	21	127	130	8
-11236	-4100	11740	397	-234	-184	-16040	2460	-1348	195	322	77	-15888	1608	-2408	10	11	8	-9964	7744	10492	-323	73	-86	-15584	5232	-3048	-22	27	30	-15968	-376	-3016	-96	39	24	127	130	8
-11200	-4104	11720	308	-175	-165	-16252	2328	-1656	9	313	33	-16064	1296	-2512	-13	19	10	-9908	7660	10476	-292	77	-63	-15896	5104	-3304	-62	39	22	-16152	24	-3152	-147	39	11	127	131	8
-11112	-4184	11788	272	-131	-205	-16272	2340	-1448	-79	159	80	-16144	1224	-2672	-17	38	11	-9976	7852	10476	-210	129	-138	-15928	4936	-2824	-33	23	23	-16464	-208	-2904	-142	45	0	127	131	8
-11180	-4100	11784	160	-47	-186	-16380	2364	-1304	-232	116	75	-16304	1432	-2160	-12	46	-1	-9872	7692	10532	-146	151	-133	-15776	5248	-2776	10	9	26	-16088	-376	-2424	-137	25	-5	127	131	8
-11140	-4280	11752	127	16	-112	-16220	2224	-1204	-595	89	77	-16368	1384	-2064	-14	26	-6	-9964	7860	10332	-100	189	-166	-15744	5288	-3000	-13	33	16	-16208	-376	-2592	-89	18	1	127	131	8
-11224	-4236	11852	103	-24	-116	-15972	2416	-1168	-456	154	49	-16224	1320	-1824	-27	9	0	-9928	7748	10380	-32	199	-260	-15624	4984	-3256	-38	40	11	-16056	-408	-2496	-68	25	20	127	130	8
-11172	-4040	11656	105	36	-103	-16108	2484	-1204	-329	194	89	-16120	1352	-2008	-39	-6	7	-10024	7636	10452	-75	186	-283	-15448	4936	-3256	8	34	8	-16008	-512	-2872	-39	23	32	128	130	8
-11132	-4108	11872	77	14	-130	-16144	2416	-1244	-320	201	39	-16112	1584	-1992	-35	3	7	-9948	7704	10392	-110	187	-268	-15528	4592	-3160	7	41	4	-15912	-648	-2760	1	25	19	127	130	8
-11168	-4044	11684	87	41	-102	-16200	2404	-1380	-60	198	25	-16192	1592	-2064	-10	17	10	-9980	7584	10360	-160	157	-280	-15712	4816	-3264	36	30	10	-15792	-400	-2952	32	23	17	127	130	8
-11192	-4104	11600	96	44	-113	-16052	2564	-1364	1	144	76	-15912	1624	-2096	22	28	6	-9996	7732	10316	-167	149	-298	-15688	5080	-3672	19	30	11	-15776	-56	-3104	3	29	27	127	131	8
-11144	-4084	11740	81	22	-123	-15968	2496	-1276	-26	184	-31	-15984	1552	-2112	23	33	6	-10020	7620	10372	-133	154	-260	-15560	4848	-3392	-1	36	-3	-15800	-232	-3400	-18	18	29	127	131	8
-11200	-4200	11628	134	-46	-115	-15916	2472	-1312	221	197	-47	-16128	1376	-1888	5	21	5	-10024	7640	10460	-179	155	-240	-15432	4968	-3336	9	24	5	-15896	-200	-3088	-37	6	18	127	130	8
-11188	-4152	11640	160	-10	-124	-16024	2456	-1344	99	249	-68	-16096	1504	-2328	4	20	-3	-9972	7684	10440	-205	131	-239	-15464	4984	-3208	-18	32	-4	-15912	8	-3104	-51	15	15	127	130	8
-11164	-4168	11980	178	-78	-113	-16144	2432	-1444	127	208	-121	-16152	1504	-2336	3	31	-3	-9996	7736	10416	-217	119	-272	-15784	4808	-3616	-21	23	-5	-15992	-304	-3496	-56	27	7	127	130	8
-11124	-4104	11784	112	5	-140	-16216	2456	-1592	47	151	-126	-16208	1328	-2400	9	36	7	-9980	7664	10328	-140	157	-236	-15840	4912	-3616	28	-2	5	-15912	-104	-3192	-53	31	9	127	131	8
-11216	-4008	11712	68	16	-114	-16052	2396	-1356	-67	119	-92	-16032	1344	-2608	50	48	3	-10024	7668	10420	-122	159	-313	-15680	4976	-3360	12	5	7	-16000	-192	-3152	-57	34	10	127	131	8
-11192	-4204	11904	99	59	-119	-16124	2264	-1248	-92	94	-103	-16352	1352	-2344	51	28	9	-9952	7756	10552	-52	209	-268	-15728	4544	-3240	18	6	5	-15968	-768	-2520	-16	-1	0	127	130	8
-11072	-4360	11920	54	108	-12	-16136	2192	-1248	360	40	3	-16232	1320	-2000	51	35	4	-10056	7656	10392	-36	234	-262	-15600	4960	-3152	31	0	10	-16032	-576	-2552	-5	-4	9	127	130	8
-11240	-4152	11700	-21	77	-26	-16260	2392	-1332	250	62	-56	-16368	1520	-2152	49	26	3	-10040	7624	10428	-14	210	-327	-15632	4984	-3192	11	16	6	-16080	-360	-2984	18	9	26	127	130	8
