#Activity	standing up_by_elevator standing down_by_elevator standing up_by_elevator standing down_by_elevator 
#ActivityID	8 10 8 11 8 10 8 11 
#Date 08-22-14-17
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10828	-3860	12148	86	30	-178	-16136	1888	-1204	-164	-35	-1	-16120	1024	-1808	-11	-16	8	-9536	7620	10800	-83	141	-98	-15976	4832	-2080	-11	7	26	-16296	-192	-1752	-22	-16	23	128	130	8
-10856	-3832	12100	127	-21	-164	-16188	1868	-1120	-207	-14	4	-16312	992	-1880	-9	-14	9	-9624	7548	10820	-99	161	-89	-15792	4976	-2304	-12	13	25	-16304	128	-1696	-39	-16	29	127	130	8
-10864	-3840	12068	110	69	-123	-16180	1848	-1196	-132	1	-9	-16040	992	-1800	-14	-10	6	-9584	7572	10852	-62	156	-73	-15776	5176	-2128	-23	15	28	-16216	-16	-1552	-50	-13	26	127	129	8
-10868	-3852	12088	83	26	-116	-16152	1912	-1088	-90	8	-24	-16168	824	-1872	-12	-15	10	-9628	7568	10848	-87	135	-77	-15688	5112	-2288	-33	17	21	-16104	-16	-1608	-62	-15	21	127	129	8
-10796	-3836	12128	147	43	-168	-16156	1828	-1164	-69	34	1	-16192	944	-2184	6	-4	8	-9504	7620	10768	-126	165	-93	-15800	5112	-2192	-28	12	14	-16232	-40	-1744	-46	-14	17	128	129	8
-10792	-3848	12240	151	-22	-150	-16144	1820	-1000	95	11	36	-16200	816	-2008	24	-4	2	-9620	7656	10792	-134	100	-99	-15864	5040	-2408	-17	10	23	-16248	-16	-1768	-47	-19	17	128	129	8
-10740	-3712	12124	166	0	-114	-16148	1832	-1032	172	-11	37	-16216	848	-2144	30	-3	2	-9652	7600	10800	-132	98	-178	-15856	4960	-2448	20	-4	19	-16304	-120	-1712	-9	-16	18	128	130	8
-10852	-3884	12176	137	64	-120	-16112	1808	-1016	25	14	-18	-16200	896	-1920	35	-3	6	-9488	7636	10848	-141	67	-199	-15784	5072	-2056	25	-8	17	-16152	-120	-1864	13	-23	24	128	130	8
-10848	-3864	12112	125	0	-103	-16252	1876	-980	76	37	-3	-16272	904	-2040	40	-6	10	-9556	7604	10772	-133	64	-214	-15656	4968	-2464	14	0	20	-16256	-176	-1760	21	-27	30	128	130	8
-10924	-3816	12116	154	-7	-97	-16140	1876	-1116	35	20	-7	-16112	1072	-1944	35	-5	11	-9612	7520	10952	-148	109	-189	-15888	4832	-2224	15	-6	20	-16200	-208	-1624	24	-26	37	127	130	8
-10840	-3816	12124	141	29	-122	-16156	1932	-1164	-25	54	-29	-16248	920	-1984	20	-4	15	-9628	7472	10844	-120	115	-180	-15712	5016	-2480	17	-2	18	-15968	-56	-1696	24	-25	34	128	130	8
-10816	-3836	12148	131	0	-121	-16244	1800	-1116	65	-8	6	-16224	1040	-2224	20	1	13	-9576	7636	10756	-85	98	-148	-15768	4960	-2232	18	-6	27	-16184	64	-1936	25	-23	31	130	130	8
-10876	-3884	12132	144	8	-119	-16192	1896	-1188	4	15	9	-16280	984	-1976	23	1	8	-9660	7576	10908	-100	111	-150	-15712	4944	-1840	10	-3	17	-16176	128	-1688	-1	-22	34	130	130	8
-10896	-3808	12160	141	12	-103	-16144	1868	-1148	53	2	-39	-16160	896	-2000	28	2	4	-9480	7588	10800	-106	112	-132	-15848	5000	-2056	2	1	20	-16160	0	-1736	-18	-17	28	130	130	8
-10852	-3768	12168	155	9	-122	-16104	1936	-1180	50	25	-11	-16200	1120	-1720	14	-8	8	-9544	7596	10776	-108	135	-138	-15728	5160	-2424	-18	5	13	-16240	88	-1600	-28	-18	23	130	130	8
-10700	-3752	12172	142	36	-144	-16140	1876	-1136	-80	14	-53	-16200	1008	-1864	-2	-10	13	-9572	7624	10752	-71	152	-161	-15728	5144	-2528	-28	12	15	-16200	-24	-1696	-28	-21	16	130	130	8
-10832	-3864	12076	153	9	-127	-16168	1800	-1116	26	33	12	-16224	928	-2416	4	-7	6	-9540	7576	10788	-93	173	-179	-15784	4984	-2232	1	2	21	-16120	32	-1648	-37	-13	22	130	130	8
-10792	-3840	12128	143	45	-113	-16168	1936	-1140	-19	25	7	-16112	928	-2176	1	-9	-1	-9620	7604	10896	-122	147	-169	-15752	5056	-2120	6	-3	15	-16128	-88	-1792	-20	-12	15	129	130	8
-10832	-3840	12040	133	-32	-116	-16160	1868	-1212	-67	-1	-27	-16048	1040	-2128	5	-2	-3	-9552	7588	10848	-75	134	-189	-15744	4784	-2344	1	1	18	-16008	-248	-1968	-10	-10	16	129	130	8
-10864	-3700	12104	146	-25	-113	-16096	1920	-1176	-76	-7	-3	-16160	1032	-2208	8	-8	10	-9708	7580	10808	-101	115	-161	-15856	4800	-2296	12	-5	22	-16240	-200	-1648	-3	-20	23	129	130	8
-10784	-3820	12248	127	-41	-124	-16260	1820	-1024	-109	-16	-20	-16120	912	-1888	3	2	11	-9556	7560	10876	-92	130	-134	-15864	5000	-2120	11	0	21	-15936	56	-1760	-3	-25	25	129	130	8
-10888	-3752	12120	115	-21	-129	-16160	1832	-1124	-71	-20	1	-16240	824	-2040	19	0	15	-9580	7508	10760	-85	113	-151	-15752	5056	-2288	-9	7	19	-16136	-40	-1496	-11	-19	25	129	130	8
-10756	-3828	12172	125	-26	-179	-16156	1840	-1060	-61	-70	-19	-16168	992	-2248	27	1	7	-9612	7584	10740	-110	140	-155	-15832	4968	-2184	-4	0	20	-16328	8	-1656	-12	-12	33	128	130	8
-10920	-3856	12168	139	12	-144	-16144	1784	-896	-51	-6	27	-16152	928	-1960	23	0	4	-9524	7576	10764	-88	132	-172	-15736	4968	-2424	8	-2	21	-16184	96	-1792	-7	-8	24	128	130	8
-10808	-3812	12188	137	-60	-143	-16172	2000	-1052	90	-15	-11	-16240	888	-1880	15	0	8	-9508	7516	10800	-112	126	-185	-15776	5008	-2576	10	-4	26	-16040	120	-1624	-8	-6	24	128	130	8
-10804	-3804	12160	147	-21	-122	-16184	1868	-1028	-40	25	-47	-16224	904	-1936	15	-2	9	-9520	7596	10844	-93	127	-200	-15728	5064	-2296	5	1	21	-16304	112	-1912	-6	-13	23	128	130	8
-10868	-3812	12148	148	33	-110	-16120	1856	-1132	13	-5	-22	-16096	1016	-2088	15	-1	6	-9596	7576	10764	-115	100	-155	-15680	5008	-2248	2	1	20	-16240	-136	-1928	-11	-15	26	128	130	8
-10816	-3824	12096	181	-31	-105	-16180	1824	-1032	120	21	15	-16152	992	-2072	19	1	8	-9628	7692	10896	-113	100	-190	-15816	5112	-2288	10	-1	21	-16096	72	-1904	8	-21	24	128	130	8
-10856	-3832	12124	173	14	-133	-16256	1904	-1132	66	-2	38	-16200	960	-2000	8	0	9	-9544	7556	10852	-77	139	-199	-15968	4992	-2376	20	-9	23	-16232	-16	-1848	20	-11	26	128	130	8
-10832	-3820	12140	161	21	-139	-16244	1928	-1108	52	8	26	-16152	960	-2096	14	-3	8	-9544	7584	10964	-77	119	-188	-15840	4880	-2208	26	-12	23	-16040	72	-2040	23	-14	32	129	130	8
-10832	-3824	12188	149	-88	-123	-16172	1832	-960	0	-14	-9	-16152	816	-1944	17	0	11	-9520	7548	10808	-81	122	-180	-15896	4920	-2232	33	-19	27	-16184	40	-1872	18	-9	30	128	130	8
-10812	-3884	12116	144	-33	-120	-16184	1852	-1036	-4	-18	17	-16272	928	-1896	27	-6	5	-9544	7576	10768	-63	101	-164	-15808	4888	-2296	18	-16	27	-16184	-104	-1936	13	-10	31	129	130	8
-10868	-3820	12096	161	6	-106	-16132	1820	-908	82	25	-20	-16152	992	-1912	29	-3	8	-9600	7576	10776	-94	114	-139	-15864	5048	-2040	19	-12	25	-15976	-64	-1760	6	-20	29	128	130	8
-10832	-3832	12172	194	7	-109	-16092	1920	-1140	153	37	27	-16176	984	-2008	41	-2	11	-9612	7568	10820	-95	103	-197	-15592	4872	-2288	9	-8	26	-16072	104	-1488	7	-15	31	128	130	8
-10872	-3828	12176	172	-8	-98	-16100	1948	-1092	142	22	-59	-16224	984	-1856	34	7	13	-9500	7512	10724	-87	142	-181	-15776	4896	-2056	14	-8	26	-16328	8	-1456	1	-14	29	129	131	8
-10844	-3712	12100	156	-18	-106	-16188	1924	-1076	117	10	-3	-16152	1096	-2008	37	8	13	-9532	7564	10768	-98	123	-194	-15712	5072	-2144	0	-2	20	-16208	264	-1888	4	-8	16	129	131	8
-10896	-3816	12156	139	2	-120	-16164	1884	-1144	15	60	-60	-16256	1120	-1952	39	14	14	-9604	7660	10800	-109	111	-173	-16032	4944	-2304	10	-5	19	-16168	120	-1832	-8	-3	21	129	131	8
-10860	-3780	12192	154	26	-109	-16148	2020	-1132	71	14	7	-16128	1056	-2112	44	13	11	-9576	7600	10772	-95	124	-162	-15776	5056	-2216	24	-11	24	-16248	-24	-1872	-6	-7	22	129	130	8
-10792	-3812	12236	129	-49	-166	-16124	1956	-1016	50	16	-64	-16040	1176	-2176	48	7	9	-9660	7636	10936	-89	144	-203	-15800	5064	-2200	7	-8	22	-16248	48	-1528	-4	-12	20	129	130	8
-10804	-3912	12200	101	-15	-144	-16180	1980	-1024	-113	22	-55	-16272	1168	-1936	18	0	11	-9532	7560	10928	-95	149	-162	-15816	4920	-2064	-6	-2	16	-16232	-72	-1624	3	-16	22	129	130	8
-10884	-3816	12188	154	-18	-135	-16212	1776	-1088	39	-16	-72	-16216	888	-1952	7	4	11	-9668	7656	10860	-59	117	-182	-15824	4976	-2296	10	-8	18	-16240	0	-1312	24	-18	27	129	130	8
-10840	-3832	12160	138	13	-139	-16104	1884	-1044	58	34	-49	-16232	1048	-1960	26	4	3	-9400	7592	10900	-90	101	-186	-15728	5048	-2232	24	-12	22	-16008	144	-1760	27	-16	32	129	130	8
-10788	-3816	12220	154	-2	-136	-16032	1876	-1048	83	20	-17	-16072	952	-1984	33	10	3	-9640	7588	10844	-128	98	-175	-15848	5000	-2304	14	-11	23	-16240	-64	-1712	26	-12	31	129	130	8
