#Activity	standing up_by_elevator standing down_by_elevator 
#ActivityID	8 10 8 11 
#Date 08-22-14-19
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10864	-3552	12232	151	11	-113	-16036	1928	-1724	22	32	14	-16032	1008	-2640	15	7	11	-9992	6608	11136	-57	107	-126	-15728	4872	-3512	15	-19	30	-15784	120	-3112	0	36	22	129	130	8
-10868	-3632	12268	190	33	-167	-16040	1876	-1596	143	67	-29	-16224	800	-2328	27	12	10	-9996	6592	11044	-80	82	-131	-15640	4784	-3304	18	-12	36	-15888	-120	-3112	-4	41	26	128	130	8
-10808	-3688	12252	161	4	-132	-16180	1928	-1612	111	61	25	-16032	832	-2848	30	27	13	-9932	6692	11144	-26	96	-86	-15624	4560	-3104	34	-27	31	-15888	184	-2944	4	47	26	128	130	8
-10776	-3596	12268	161	-16	-101	-16072	1956	-1804	-44	115	23	-15712	848	-3096	51	38	18	-9932	6760	11016	-61	95	-117	-15752	4840	-3416	28	-22	31	-15904	24	-2704	3	53	25	129	130	8
-10904	-3576	12108	130	41	-124	-16124	1928	-1732	44	158	-36	-15928	1040	-2608	62	42	23	-9904	6628	11096	-36	112	-155	-15768	4856	-3104	29	-16	36	-16008	-48	-2528	-7	60	24	129	130	8
-10892	-3560	12220	150	-1	-114	-15972	1952	-1620	2	170	-24	-15976	968	-2936	63	44	16	-9912	6540	11176	-40	115	-151	-15728	4592	-2992	40	-22	36	-15888	-120	-2616	-8	59	19	128	130	8
-10856	-3616	12104	132	6	-96	-16036	1816	-1488	-5	244	-14	-16152	1016	-2520	49	41	14	-10000	6784	10956	-66	119	-133	-15568	4648	-2776	41	-16	29	-15936	168	-2504	-11	58	28	129	131	8
-10912	-3680	12216	158	91	-115	-16200	1832	-1628	183	286	-24	-16264	1056	-2784	35	42	13	-10012	6696	11024	-62	130	-146	-15680	4896	-2984	38	11	25	-16152	320	-2384	-19	56	25	129	130	8
-10884	-3660	12380	144	68	-34	-16156	2048	-1700	76	294	37	-16016	1032	-2944	31	48	8	-9912	6752	11216	-86	139	-197	-15696	4920	-3296	37	25	21	-16152	192	-2608	-26	59	20	129	130	8
-10880	-3556	12244	163	62	-69	-16116	1960	-1772	-200	328	2	-16128	1136	-3072	17	48	-2	-9988	6680	11220	-101	185	-202	-15680	4928	-3016	22	33	10	-16096	192	-2560	-48	49	16	128	130	8
-10920	-3576	12240	141	86	-67	-15932	1940	-1868	-29	321	-1	-15840	960	-3328	12	37	-4	-9940	6560	11188	-105	179	-291	-15688	4976	-2792	34	42	11	-15920	104	-2744	-41	51	12	129	130	8
-10960	-3536	12216	171	19	-75	-16060	1992	-1884	-140	344	18	-15944	1096	-3464	0	35	-5	-9964	6816	11108	-125	204	-293	-15600	4864	-2904	39	42	3	-15864	8	-3088	-30	42	9	129	130	8
