#Activity	standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator 
#ActivityID	8 10 8 10 8 10 8 10 8 10 8 11 8 11 8 11 8 11 8 11 
#Date 08-22-14-20
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10836	-3552	12304	151	-45	-135	-16092	1792	-1180	-45	100	-12	-15872	992	-2440	38	22	19	-9700	6756	11352	-57	113	-121	-15784	4936	-2232	14	-11	27	-15896	248	-1648	5	-1	21	129	130	8
-10740	-3616	12272	134	-36	-144	-16256	1844	-1208	-64	102	-25	-16104	776	-2520	21	10	12	-9648	6836	11228	-82	112	-109	-15744	4928	-2520	10	-3	23	-16256	72	-2136	-31	4	21	129	130	8
-10672	-3636	12328	155	-12	-152	-16184	1748	-960	90	78	-22	-16160	616	-2208	27	-1	12	-9700	6700	11332	-122	68	-152	-15704	4800	-2536	4	4	18	-16304	-272	-1800	-32	-2	13	129	130	8
-10732	-3632	12388	177	22	-151	-16248	1768	-928	81	93	-58	-16304	776	-2288	34	10	12	-9372	6596	11388	-57	72	-154	-15768	4688	-2488	50	-6	17	-16040	-264	-2176	23	-18	10	129	131	8
-10696	-3696	12316	125	41	-144	-16208	1728	-940	150	83	-62	-16240	696	-2120	45	12	16	-9588	6760	11276	-79	107	-211	-15648	4992	-2824	28	1	20	-16280	168	-2120	34	-5	32	129	130	8
-10708	-3684	12332	114	38	-76	-16268	1704	-1068	202	78	3	-16456	688	-2224	51	27	28	-9636	6960	11232	-102	174	-239	-15920	4872	-2560	8	13	16	-16064	-48	-2232	5	1	43	129	131	8
-10836	-3716	12244	93	93	-92	-16188	1732	-972	287	109	5	-16088	712	-2280	54	19	21	-9616	6776	11368	-89	175	-236	-15968	4736	-2576	7	11	17	-16096	-288	-1992	5	-11	34	129	130	8
-10812	-3696	12296	117	50	-82	-16200	1644	-1112	141	143	6	-16152	816	-2328	22	27	16	-9628	6716	11308	-117	207	-243	-15848	4712	-2416	-13	17	25	-16088	32	-1832	-7	-16	29	129	130	8
-10824	-3684	12216	69	51	-79	-16236	1700	-1020	-59	116	80	-16216	784	-2104	-45	21	20	-9544	6740	11388	-85	354	-263	-15824	4784	-2352	-87	56	17	-16344	48	-1984	-69	-9	27	129	129	8
-10768	-3628	12400	72	81	-48	-16096	1676	-1032	-386	143	66	-16216	776	-2328	-19	28	2	-9672	6768	11336	-60	385	-280	-15840	4696	-2536	-80	57	15	-16264	-112	-1944	-117	-10	26	129	129	8
-10744	-3680	12348	81	23	-41	-16056	1720	-1144	-519	139	24	-16136	832	-2472	-52	13	-3	-9652	6792	11212	-58	395	-266	-15656	4864	-2632	-55	47	21	-15944	176	-2168	-127	3	16	129	130	8
-10780	-3700	12320	85	75	9	-16188	1788	-1048	-571	137	36	-16248	568	-2512	-89	13	2	-9760	6872	11280	-132	413	-314	-15768	4984	-2920	-80	57	22	-15896	272	-2096	-157	29	13	129	130	8
-10832	-3540	12296	18	54	-36	-16200	1884	-1180	-606	130	82	-16160	888	-2536	-72	16	7	-9736	6716	11336	-111	403	-394	-15920	4664	-2976	-104	51	20	-15880	-88	-2520	-188	48	5	129	130	8
-10888	-3728	12504	49	184	-58	-16244	1824	-1112	-462	82	44	-16120	1168	-2400	-27	26	4	-9720	6648	11272	-40	396	-331	-15936	4576	-3096	-63	30	28	-15912	-640	-2408	-189	43	6	128	130	8
-10680	-3308	12372	109	112	-102	-15968	1800	-996	-410	146	107	-16280	776	-2352	-14	4	1	-9740	6500	11152	-40	337	-235	-15760	4728	-2864	-24	8	40	-15864	-296	-2272	-130	38	-3	129	130	8
-10668	-3640	12272	77	-22	-64	-16124	2016	-1164	-170	192	-30	-16048	720	-2192	-22	4	-8	-9752	6632	11196	-46	254	-174	-15480	4680	-2656	-33	23	27	-15944	-40	-1592	-116	26	9	129	129	8
-10756	-3496	12388	132	90	-74	-16196	1532	-1192	-370	179	86	-16040	1064	-2536	-38	-6	-9	-9724	6704	11292	-73	196	-170	-15688	5064	-2680	-19	25	28	-16176	64	-1544	-88	17	21	128	130	8
-10808	-3652	12324	146	-2	-29	-16104	2056	-1252	56	105	-71	-16064	1008	-2512	-37	-4	-12	-9676	6680	11352	-115	175	-217	-15608	5280	-2536	-39	42	15	-16256	72	-1600	-50	22	10	129	130	8
-10820	-3748	12304	95	1	-142	-16132	1744	-1296	-52	72	106	-15936	1024	-2904	-36	-3	-11	-9748	6716	11228	-151	165	-229	-15776	4640	-2584	-14	40	12	-16160	96	-1992	-67	35	9	129	130	8
-10824	-3616	12280	67	30	-97	-16088	1968	-1372	-286	13	-104	-16192	800	-2736	-46	3	-15	-9728	6788	11208	-161	151	-279	-15736	4912	-2400	0	35	9	-16040	-56	-2040	-55	55	11	129	130	8
-10816	-3616	12220	105	44	-110	-16128	1748	-1184	-304	43	31	-15976	744	-2496	-38	-2	-12	-9792	6784	11296	-124	200	-273	-15688	4744	-2776	-24	47	5	-16128	-216	-2392	-68	66	2	129	130	8
-10872	-3688	12260	80	61	-129	-16176	1740	-964	-242	-18	-31	-16192	720	-2240	-37	-8	-16	-9828	6756	11304	-145	222	-208	-15688	4832	-2848	-11	40	13	-16016	-168	-2416	-69	42	9	129	130	8
-10896	-3680	12264	137	-20	-103	-16148	1920	-1072	-176	15	-16	-16200	832	-2008	-23	-7	-15	-9748	6656	11256	-142	161	-210	-15664	4808	-2776	2	33	10	-16120	-192	-2416	-39	13	7	128	130	8
-10828	-3624	12288	138	-5	-142	-16080	1744	-1052	51	27	-68	-16112	656	-2392	-9	-6	-10	-9736	6744	11240	-151	84	-214	-15616	5120	-2936	12	30	8	-16008	-16	-2512	-28	15	18	129	130	8
-10804	-3556	12296	143	-1	-89	-16216	1880	-1120	182	57	-53	-16032	504	-2376	3	3	-4	-9776	6712	11236	-151	98	-278	-15760	4856	-2912	23	21	7	-16168	-128	-2776	-6	18	20	129	129	8
-10856	-3700	12304	117	34	-152	-16092	1836	-1112	173	68	-83	-16136	672	-2112	32	14	4	-9752	6668	11304	-134	128	-206	-15768	4776	-2840	38	5	13	-16080	-232	-2824	8	19	11	129	130	8
-10776	-3652	12288	167	14	-120	-16140	1844	-1056	115	82	-67	-16176	656	-2232	44	16	8	-9784	6596	11324	-111	88	-231	-15768	4736	-2984	33	-5	17	-15936	-120	-2864	8	20	9	129	130	8
-10772	-3676	12300	164	19	-66	-16156	1824	-968	144	120	-95	-16200	600	-2184	49	22	11	-9724	6668	11332	-103	98	-186	-15688	4752	-2984	17	-3	17	-15912	-200	-2488	-4	12	22	129	130	8
-10828	-3680	12348	172	66	-84	-16232	1836	-1060	186	177	-68	-16208	768	-2424	56	20	8	-9768	6712	11256	-102	80	-213	-15672	4648	-3080	21	-2	20	-16112	-264	-2384	30	-8	24	129	129	8
-10832	-3692	12212	169	49	-92	-16172	1860	-1084	311	172	-33	-16024	776	-2416	50	21	13	-9768	6752	11208	-128	66	-191	-15848	4824	-2808	37	-16	22	-16096	-56	-2392	56	-14	35	129	129	8
-10796	-3640	12320	172	70	-110	-16156	1664	-1240	442	159	-89	-16024	752	-2440	74	28	16	-9704	6700	11296	-108	53	-188	-15808	4920	-2720	54	-25	22	-16128	-16	-2504	70	-14	38	129	130	8
-10776	-3632	12232	183	52	-84	-16152	1748	-1264	559	185	-51	-16120	488	-2360	81	22	12	-9744	6740	11280	-111	73	-204	-15832	4856	-3104	46	-28	23	-16160	-152	-2784	76	-9	31	129	129	8
-10808	-3696	12220	172	47	-131	-16112	1740	-1208	405	175	-36	-15912	656	-2400	92	22	16	-9704	6652	11196	-61	53	-227	-15800	4784	-3080	48	-27	20	-16152	-144	-2288	82	-19	27	129	129	8
-10864	-3584	12252	184	27	-99	-16100	1836	-1260	265	113	-79	-16200	616	-2616	94	19	24	-9764	6776	11260	-43	32	-198	-15856	4776	-2736	58	-36	25	-16088	-104	-2288	67	-24	35	129	129	8
-10864	-3660	12264	147	-2	-87	-16132	1796	-1164	333	118	-49	-16016	720	-2472	84	21	20	-9772	6828	11092	-100	92	-167	-15696	4960	-2544	46	-26	16	-15968	-288	-2520	75	-29	34	129	129	8
-10772	-3668	12340	182	47	-98	-16240	1752	-1228	152	148	-44	-15976	776	-2536	78	25	25	-9756	6792	11208	-86	77	-150	-15648	4768	-2616	46	-24	17	-16008	-152	-2136	98	-25	33	129	129	8
-10828	-3624	12344	177	9	-80	-16200	1780	-1236	365	107	-48	-16080	824	-2672	74	27	27	-9828	6900	11156	-98	60	-182	-15896	4856	-2912	46	-24	21	-16184	-112	-2392	87	-26	36	128	129	8
-10780	-3536	12288	163	79	-99	-16132	1836	-1332	390	62	-11	-16008	616	-2736	75	24	20	-9756	6752	11172	-44	107	-192	-15816	4872	-2880	31	-23	21	-16072	-320	-2344	62	-27	36	129	129	8
-10824	-3632	12284	149	52	-110	-16128	1744	-1164	182	79	-8	-16120	720	-2320	63	16	22	-9756	6900	11188	-85	98	-206	-15808	4896	-2824	59	-26	28	-16024	-88	-2512	103	-39	31	128	129	8
-10824	-3616	12224	164	41	-91	-16116	1740	-1140	257	82	-6	-16096	728	-2360	58	5	16	-9596	6492	11452	-19	59	-222	-15536	4920	-2680	91	-34	36	-15848	120	-1976	113	-50	46	128	129	8
-10860	-3604	12156	171	31	-96	-16196	1664	-1264	199	92	12	-16032	776	-2320	33	11	20	-9760	6656	11348	-44	30	-212	-15864	4744	-2800	61	-28	29	-16024	-384	-2080	118	-49	44	129	129	8
-10812	-3640	12364	161	-8	-123	-16080	1868	-1308	136	98	-5	-16120	888	-2640	46	10	21	-9672	6620	11432	-22	34	-199	-15656	4832	-2816	60	-22	27	-16208	-536	-1968	181	-81	27	128	129	8
-10872	-3644	12180	205	-10	-95	-16052	1836	-1132	107	92	19	-15992	880	-2624	59	7	18	-9672	6688	11240	38	-9	-254	-15808	4648	-2696	92	-36	23	-16216	64	-1872	232	-72	25	128	129	8
-10848	-3608	12292	189	19	-105	-16088	1916	-1232	104	83	-83	-16024	760	-2680	62	10	20	-9700	6684	11296	-19	29	-244	-15736	4856	-2480	165	-53	35	-16112	144	-1832	214	-61	47	129	128	8
-10816	-3620	12280	165	-43	-175	-16136	2040	-1148	290	21	-82	-16032	960	-2712	88	14	21	-9660	6592	11248	10	61	-284	-15776	4848	-2464	112	-28	8	-16088	0	-2064	208	-64	48	129	128	8
