#Activity	standing up_by_elevator standing up_by_elevator standing up_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	8 10 8 10 8 10 8 11 8 11 8 11 8 
#Date 08-22-14-23
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11548	-4788	12480	160	74	-152	-16776	-1960	-1216	-197	130	-22	-16384	-2312	-3248	2	1	6	-9980	7108	11776	1	66	-101	-16976	3832	-1648	-7	-25	28	-14568	32	9480	-8	18	10	129	129	8
-11480	-3760	12564	198	-21	-77	-16476	-1196	-1400	192	78	-88	-16344	-2304	-3176	49	3	-3	-9616	7164	11724	-23	96	-73	-16632	3808	-1928	5	-25	21	-14664	80	9112	-51	11	3	129	129	8
-11308	-4000	12552	139	14	-90	-16440	-1440	-1324	-58	115	-67	-15984	-2392	-3200	31	-1	10	-9984	6936	11840	-39	24	-111	-16688	3760	-1648	1	-22	32	-14528	-192	9480	-57	3	-7	129	129	8
-10936	-3684	12504	194	131	-46	-16784	-1124	-1220	201	51	-61	-16080	-2240	-2984	39	11	-5	-10108	7520	11552	-62	131	-159	-16544	3896	-1872	6	-24	28	-14472	-272	9224	-53	12	-17	129	129	8
-11460	-5092	12424	162	-23	-145	-16908	-1956	-1408	24	30	-130	-16496	-2432	-3392	1	13	5	-9908	7124	12004	-1	90	-79	-16856	3736	-1448	7	-15	36	-14576	-392	9264	-55	-2	-7	129	129	8
-11576	-3752	12496	124	-27	-167	-16392	-1068	-1404	132	44	-85	-16360	-2240	-3192	68	6	1	-9528	7396	11612	4	190	-104	-16496	3952	-1472	9	-12	32	-14696	-392	9008	-24	-4	-4	129	129	8
-12064	-4100	12356	96	-39	-138	-16308	-1708	-1328	-269	75	-106	-16264	-2352	-2904	47	4	13	-9452	6764	11616	16	129	-81	-16560	3936	-1560	-7	-1	35	-14504	-256	9368	15	-15	2	129	129	8
-10872	-3036	12344	131	93	-102	-16184	-1004	-1188	356	68	-24	-15720	-2296	-2744	69	3	-1	-10064	7364	11544	-64	104	-198	-16448	4040	-1800	18	-14	30	-14360	-168	9256	64	-3	11	129	129	8
-11272	-5284	12320	167	-99	-46	-15948	-1060	-1224	255	84	24	-16840	-2464	-2976	-7	26	10	-9904	7176	11772	-62	125	-189	-16776	3880	-1864	32	-14	30	-14568	56	9096	82	-12	21	129	129	8
-11116	-4196	12180	46	29	-247	-15860	-1040	-1272	-293	81	22	-16008	-2128	-3120	77	-7	0	-9708	7576	11488	-33	153	-207	-16360	4072	-1496	36	-20	26	-14408	-16	8872	106	9	17	129	129	8
-11356	-4040	12284	127	-87	-109	-16444	-1912	-1416	369	95	-212	-16416	-2280	-2944	32	4	4	-8916	6816	11352	55	173	-184	-16368	3856	-1480	19	-15	20	-14344	168	9008	88	6	32	129	129	8
-11088	-3564	12268	91	35	-165	-15888	-1436	-1148	-50	133	118	-15760	-2296	-2528	41	-14	-1	-9492	6820	11404	-85	41	-201	-16160	3984	-1888	20	-23	23	-14104	184	8800	85	4	27	129	129	8
-10832	-4224	12340	226	-79	2	-16992	-1416	-1332	332	45	-149	-16016	-2368	-2920	6	11	-2	-9628	6768	11288	-31	103	-165	-16480	3848	-1952	19	-29	11	-14488	288	8584	53	2	24	129	129	8
