#Activity	standing walking running walking 
#ActivityID	8 1 2 1 
#Date 08-22-14-30
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11444	-3536	11736	223	-66	-151	-16196	732	-1668	1119	-4	-34	-16016	128	-3032	191	22	46	-10152	7792	10056	-152	58	-170	-15616	5064	-2400	-1	-20	17	-15960	80	-2144	37	-65	49	130	128	8
-11440	-3520	11700	239	-63	-155	-16104	832	-1524	624	-31	-7	-16008	104	-3120	160	26	38	-10136	7828	10076	-151	57	-156	-15672	5200	-2312	9	-22	14	-16008	-96	-1992	47	-72	43	128	128	8
-11372	-3460	11692	240	-59	-128	-16136	1032	-1616	88	-66	-109	-15928	320	-2808	103	13	29	-10092	7864	10068	-139	59	-173	-15864	5096	-2448	15	-39	21	-15984	-216	-1992	65	-68	35	127	128	8
-11492	-3444	11792	280	-42	-119	-16248	856	-1544	173	-59	-54	-16080	264	-3016	74	2	31	-10152	7852	10108	-144	44	-174	-15792	5208	-2352	20	-40	22	-16128	-112	-2032	71	-66	38	127	128	8
-11416	-3440	11772	220	-34	-128	-16232	892	-1544	365	-86	-8	-16008	456	-3096	68	-3	25	-10152	7908	10120	-107	37	-129	-15712	5056	-2000	13	-46	24	-16080	-208	-2064	66	-64	38	127	128	8
-11440	-3480	11736	223	-50	-161	-16188	948	-1452	184	-76	-24	-16032	256	-2744	62	-4	3	-10064	7872	10068	-106	24	-112	-15824	5208	-2312	7	-43	23	-16216	-40	-2024	53	-66	37	129	128	8
-11420	-3476	11744	241	-60	-161	-16224	932	-1384	60	-53	-58	-16224	104	-2528	51	-20	6	-10080	7876	10108	-145	58	-111	-15880	5144	-2040	4	-39	24	-16272	-104	-1808	68	-66	37	128	128	8
-11448	-3412	11704	213	-72	-176	-16224	836	-1304	-68	-9	-53	-16176	200	-2688	30	-17	5	-10136	7884	10212	-54	54	-100	-15768	5160	-1984	18	-46	23	-16256	48	-1576	63	-60	38	127	128	8
-11444	-3408	11772	236	-85	-131	-16148	916	-1288	-142	85	-68	-16120	128	-2480	25	-18	7	-10132	7908	10092	-61	93	-143	-15816	5280	-2136	27	-50	22	-16360	104	-1568	57	-61	23	126	128	8
-11452	-3460	11628	235	-82	-163	-16072	900	-1284	-337	225	-87	-16088	64	-2592	32	-22	12	-10140	7880	10016	-82	91	-129	-15832	5344	-2152	33	-49	21	-16104	160	-1584	62	-61	26	125	128	8
