#Activity	standing walking running walking standing 
#ActivityID	8 1 2 1 8 
#Date 08-22-14-35
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11280	-4284	11520	38	109	-53	-15972	2252	-1424	-47	-61	-215	-15960	848	-2328	121	-4	9	-9984	7008	10664	-189	70	-184	-15144	5144	-3576	10	-3	-3	-15776	104	-2560	-12	-6	-3	130	129	8
-11352	-4152	11404	83	49	-128	-16032	2264	-1404	27	-156	-221	-15912	1136	-2216	192	7	30	-9956	7100	10756	-215	48	-162	-15512	5136	-4112	-10	11	-7	-16040	-96	-2608	-13	-7	-4	131	129	8
-11344	-4248	11408	113	-9	-187	-15924	2280	-1316	-204	-166	-208	-16064	1384	-1712	204	13	37	-9880	7120	10912	-191	73	-239	-15664	5192	-4032	-16	13	-5	-16064	64	-3208	-11	14	4	130	129	8
-11304	-4256	11504	143	-126	-166	-16112	2108	-960	-247	-195	-254	-16288	1600	-1400	174	8	31	-9944	7104	10864	-156	139	-292	-15456	4992	-4080	-3	6	0	-16136	-88	-2960	-16	10	8	129	129	8
-11280	-4404	11540	82	-86	-133	-16384	2080	-788	-127	-109	-134	-16696	1904	-872	98	6	11	-9952	7092	10936	-109	158	-312	-15400	5136	-3920	-4	5	1	-16048	-48	-3088	-21	2	6	128	129	8
-11348	-4408	11492	36	12	-116	-16280	2128	-888	-303	-83	-140	-16496	1840	-1112	0	19	-16	-9996	7000	10776	-124	121	-249	-15112	5128	-3440	14	9	2	-15824	56	-2856	-26	-17	9	128	130	8
-11348	-4300	11520	8	8	-73	-16180	2144	-728	-515	-36	-71	-16344	1672	-1136	-72	16	-35	-9936	7020	10720	-159	93	-234	-15392	5144	-3936	24	4	5	-15840	88	-2928	-11	-27	11	128	129	8
-11304	-4404	11468	21	2	-102	-16012	2112	-652	-646	92	-125	-16440	1400	-1216	-115	5	-42	-9988	7100	10812	-191	93	-222	-15472	5296	-4032	9	12	3	-16032	32	-2952	-1	-22	14	127	129	8
-11336	-4304	11424	58	19	-18	-15964	2064	-892	-228	209	-107	-16328	1048	-1296	-135	-3	-41	-9932	7020	10792	-179	108	-249	-15552	5032	-4088	2	15	0	-16184	32	-2896	-4	-8	13	127	129	8
-11308	-4320	11524	173	-30	-75	-16032	2168	-824	8	250	-51	-16064	1072	-1568	-112	-6	-40	-10016	7036	10868	-150	153	-267	-15336	4912	-4088	-5	10	2	-15960	48	-3232	-12	-7	16	128	129	8
-11304	-4268	11480	166	-74	-44	-16148	2232	-1048	177	216	-78	-16144	1120	-1944	-54	11	-18	-9892	7044	10868	-125	142	-230	-15408	5040	-4200	-3	4	8	-15824	-104	-3280	-10	-15	15	128	129	8
-11376	-4284	11392	156	24	0	-16220	2384	-1276	390	116	-91	-16120	1264	-2320	27	32	1	-9992	6992	10744	-146	130	-206	-15192	4944	-4016	19	-9	14	-15864	-200	-3016	-7	-26	24	129	129	8
-11380	-4176	11532	208	-21	-88	-15956	2432	-1384	563	23	-92	-15856	1464	-2376	111	27	21	-9952	6976	10764	-160	92	-179	-15376	5064	-3960	17	-7	13	-15792	-56	-3248	13	-27	25	129	129	8
-11324	-4128	11432	230	-49	-141	-15840	2320	-1240	735	-12	-155	-15760	1480	-2056	176	7	25	-9892	7040	10772	-138	66	-171	-15328	5032	-4192	-5	-6	10	-15840	-144	-3464	26	-18	26	128	129	8
-11312	-4248	11588	268	-137	-253	-15960	2312	-1068	919	-42	-130	-15952	1432	-1840	200	-5	23	-9972	7064	10752	-153	56	-217	-15624	4800	-4464	8	-21	19	-15968	152	-3744	34	-8	24	129	129	8
-11312	-4220	11612	261	-139	-184	-16156	2176	-1440	806	-96	-137	-16024	1624	-1680	171	-2	20	-10048	7000	10876	-117	87	-160	-15400	4872	-4400	26	-38	26	-15832	56	-3496	12	-18	21	129	130	8
-11320	-4340	11352	264	-137	-164	-16216	2168	-1316	830	-166	-196	-16192	1656	-1952	140	24	13	-9956	6984	10832	-106	34	-131	-15392	5000	-4152	1	-37	27	-15848	40	-3296	10	-22	18	129	129	8
-11336	-4312	11544	290	-113	-146	-16096	2308	-1132	747	-205	-188	-16144	1560	-1808	134	21	11	-9976	6952	10808	-117	10	-122	-15392	4816	-3960	2	-43	26	-15920	-72	-3120	16	-20	18	128	130	8
-11324	-4208	11568	251	-125	-194	-16040	2244	-1000	547	-129	-163	-16344	1560	-1704	118	8	4	-9924	6976	10752	-73	46	-62	-15544	5056	-3992	25	-56	36	-16128	-56	-2984	19	-24	25	128	129	8
-11316	-4208	11528	270	-117	-214	-16188	2108	-860	652	-101	-200	-16368	1600	-1520	107	-5	-4	-9992	7064	10804	-55	74	-100	-15456	5160	-3704	20	-50	36	-16112	120	-2872	18	-36	23	129	129	8
-11232	-4308	11644	260	-110	-190	-16288	2084	-864	673	-38	-142	-16552	1528	-1224	63	-5	-10	-9976	7008	10856	-100	90	-94	-15288	5280	-3896	-10	-38	21	-15944	160	-2744	3	-38	19	128	129	8
-11328	-4388	11536	223	-57	-159	-16192	2104	-804	584	8	-183	-16424	1160	-1344	44	-13	-8	-9928	7104	10832	-79	68	-150	-15400	5328	-3752	-19	-31	22	-15984	192	-2832	11	-32	19	129	129	8
-11236	-4308	11524	247	-95	-67	-16128	2004	-960	445	85	-228	-16376	1320	-1408	32	-14	-10	-9992	7100	10800	-105	58	-158	-15424	5008	-4000	-3	-41	22	-16040	88	-3160	16	-20	22	129	129	8
-11324	-4300	11580	294	-108	-31	-16036	2052	-1256	480	50	-199	-16096	1232	-1800	45	-11	-6	-10016	6976	10844	-102	68	-169	-15384	4920	-3936	27	-50	25	-15768	16	-2928	16	-33	21	129	129	8
-11232	-4224	11572	257	-85	-121	-16040	2244	-1216	559	31	-129	-16176	1448	-2048	63	-14	-3	-9944	6904	10704	-148	2	-111	-15272	4992	-3632	29	-39	19	-15864	-8	-2592	21	-54	12	129	129	8
