#Activity	standing walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking 
#ActivityID	8 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 
#Date 08-22-17-32
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7568	-7844	11820	-16	21	-25	-15800	-2384	-2576	80	38	-38	-15824	-112	-3168	120	34	72	-6784	8376	12808	39	-3	-34	-16328	888	-3032	-13	36	-10	-15928	2416	-2760	23	23	-25	120	137	8
-7464	-7688	11968	-19	22	-27	-15808	-1888	-3096	61	45	-34	-15912	-16	-3496	85	54	66	-7000	8376	12856	29	1	-34	-16224	568	-2936	-21	41	-15	-15904	2256	-2872	20	15	-16	119	137	8
-7540	-7864	11844	-24	27	-25	-15752	-2440	-3040	46	45	-37	-15760	-16	-3728	76	73	49	-6816	8256	12848	22	-3	-34	-16160	488	-3048	6	42	-7	-15744	1888	-3000	29	11	-11	119	137	8
-7504	-7792	11948	-25	26	-22	-15952	-2456	-3528	51	38	-44	-15696	-152	-4040	31	94	49	-6880	8360	12680	15	-1	-35	-16312	544	-3480	25	41	-6	-15712	1824	-3168	76	13	-13	118	136	8
-7592	-7852	11924	-27	27	-21	-15880	-2264	-3160	13	25	-27	-15640	-504	-4128	20	102	35	-6968	8304	12704	6	-7	-31	-16232	616	-3520	25	32	-3	-15848	1752	-3400	100	13	-7	118	137	8
-7536	-7856	11836	-23	24	-21	-15760	-2424	-3032	2	22	-19	-15712	-688	-3776	70	62	16	-6872	8192	12984	7	-8	-30	-16320	224	-3432	32	23	3	-15904	1616	-3120	100	22	6	118	135	8
-7532	-7720	11808	-23	24	-19	-15696	-2360	-2712	-3	29	-22	-16008	-784	-3760	96	28	25	-6912	8096	13120	12	-8	-23	-16208	152	-3464	39	13	11	-15816	1696	-3056	83	34	7	117	135	8
-7568	-7816	11740	-14	18	-24	-15696	-2496	-2608	7	42	-11	-15808	-800	-3672	106	7	28	-6912	8248	12728	14	-9	-8	-16176	632	-3184	15	11	15	-15584	2160	-3168	49	29	1	117	135	8
-7516	-7764	11848	-10	12	-22	-15608	-2632	-2944	23	50	-6	-15616	-848	-3472	110	4	31	-6896	8352	13048	6	-17	-8	-16296	712	-3248	-47	12	13	-15648	2192	-2880	5	31	9	117	135	8
-7532	-7924	11948	-1	9	-19	-15800	-2496	-2752	49	59	-8	-15776	-504	-3632	93	30	55	-6824	8376	12944	2	-13	-9	-16304	632	-2968	-66	9	14	-16160	2368	-2920	-41	28	9	117	135	8
-7576	-7756	11952	-5	14	-13	-16024	-2240	-3576	9	48	-8	-15952	-24	-4288	30	47	78	-6920	8440	12824	8	-9	-19	-16456	528	-3336	-57	13	11	-16256	2184	-2704	-87	29	5	117	135	8
-7576	-7712	11880	-12	16	-17	-15816	-1944	-3256	-36	28	-3	-15624	144	-4200	-11	55	81	-6816	8264	13032	16	-2	-24	-16576	368	-3232	-20	15	18	-16200	2080	-2872	-108	42	-11	117	134	8
-7584	-7776	11916	-16	18	-22	-15520	-2464	-2968	-53	22	1	-15736	-160	-4136	-30	35	42	-6960	8336	12728	21	0	-22	-16240	432	-3008	16	26	18	-15872	1864	-2696	-96	60	-19	117	134	8
-7536	-7804	11848	-9	14	-24	-15608	-2640	-2872	-15	23	2	-15832	-344	-3840	-25	2	6	-6864	8120	12968	19	-5	-15	-16152	488	-3064	0	31	29	-15680	1992	-2744	-55	67	-22	117	134	8
-7572	-7876	11880	-9	10	-21	-15760	-2400	-3032	13	28	16	-15696	-408	-3992	-29	0	-16	-6784	8336	12808	14	-4	-18	-16368	736	-3360	-45	35	25	-15768	1912	-3192	-29	56	-23	117	133	8
-7620	-7840	11804	1	7	-10	-15728	-2240	-3200	3	20	14	-15752	-344	-4152	-52	5	-5	-7000	8232	12920	13	1	-17	-16232	712	-3480	-72	25	21	-15648	1808	-3392	-36	54	0	117	133	8
-7584	-7780	11884	-3	8	-21	-15840	-2072	-3368	-42	10	9	-15584	-120	-4456	-76	17	23	-6752	8376	13064	10	-1	-18	-16336	384	-3344	-43	26	25	-15808	2032	-3048	-36	50	10	117	133	8
-7512	-7736	11860	-2	9	-23	-15616	-2136	-3192	-64	-13	7	-15336	-224	-4224	-64	17	30	-6832	8240	12856	9	3	-19	-16408	496	-3320	21	25	29	-15928	1888	-3328	-20	46	11	117	133	8
-7516	-7848	11900	-3	8	-24	-15816	-2424	-3184	-31	-10	3	-15624	-424	-4000	-34	-15	17	-6864	8304	12704	19	-3	-21	-16320	824	-3432	45	21	33	-16080	2144	-3216	-1	46	-3	116	133	8
-7584	-7820	11820	-3	9	-23	-15808	-2576	-2936	39	-1	14	-15752	-424	-3792	11	-32	0	-6872	8352	12872	19	2	-25	-16328	760	-3304	13	21	32	-16104	2304	-3320	-18	44	-16	116	133	8
-7520	-7804	11892	-1	5	-18	-15728	-2296	-2856	44	3	22	-15800	-584	-3632	20	-33	-15	-6856	8232	12736	22	4	-26	-16288	640	-3248	-15	22	27	-15880	2240	-3280	-53	41	-17	116	133	8
-7516	-7808	11996	-4	6	-22	-15720	-2152	-2936	-8	7	26	-15704	-528	-3672	2	-35	-8	-6904	8200	12704	20	2	-20	-16096	464	-3280	-11	31	29	-15640	2160	-3352	-66	34	-5	116	133	8
-7576	-7780	11928	-3	2	-21	-15688	-2136	-2880	-42	5	19	-15768	-352	-3840	-25	-20	18	-6728	8248	12760	15	2	-13	-16088	760	-3344	-2	24	29	-15664	1848	-3288	-51	22	3	116	133	8
-7552	-7692	11896	0	7	-20	-15888	-2368	-2936	-27	8	17	-15624	-320	-3832	-38	-10	26	-6912	8232	12864	13	-4	-11	-16320	688	-3336	-8	17	35	-15760	1688	-3208	-13	-2	11	116	133	8
-7532	-7760	11904	-1	5	-22	-15672	-2296	-3288	5	8	22	-15688	-304	-3784	-28	-6	39	-6776	8248	12928	9	-6	-15	-16480	296	-3560	-4	10	31	-15976	1616	-3632	31	-1	22	116	133	8
-7516	-7772	11932	-2	9	-21	-15808	-2064	-3088	18	10	21	-15712	-296	-3864	15	-18	34	-6848	8256	12856	12	-8	-12	-16320	496	-3672	24	-2	37	-16120	1696	-3464	68	-7	28	115	133	8
-7548	-7744	11868	-3	6	-25	-15648	-2160	-2832	8	15	18	-15704	-536	-3928	42	-28	31	-6952	8304	12840	18	-9	-15	-16336	600	-3568	41	-18	43	-15864	1808	-3344	89	-13	35	115	134	8
-7664	-7868	11896	4	1	-24	-15544	-2440	-2888	25	24	17	-15616	-776	-3584	71	-31	45	-6736	8336	12880	15	-2	-15	-16216	816	-3480	40	-22	41	-15944	2152	-3776	94	-23	58	114	133	8
-7544	-7752	11860	2	1	-28	-15816	-2184	-2912	48	28	21	-15648	-576	-3720	104	-20	62	-6880	8240	12840	13	-10	-16	-16280	728	-3248	47	-29	44	-15856	2128	-3488	97	-48	67	114	133	8
-7556	-7788	11900	10	-2	-22	-15712	-2208	-3160	46	28	22	-15672	-520	-3984	125	-3	79	-6768	8272	12664	15	-6	-15	-16352	736	-3424	56	-41	44	-16040	2016	-3640	117	-66	70	114	133	8
-7520	-7736	11932	6	4	-22	-15672	-2112	-2960	20	26	23	-15624	-280	-3792	156	7	99	-6848	8248	12984	10	-2	-18	-16304	448	-3472	75	-37	43	-15784	1864	-3496	146	-57	66	114	133	8
-7560	-7768	11900	2	8	-24	-15784	-2176	-3056	20	29	21	-15888	-368	-3768	175	5	116	-6776	8128	12968	14	-11	-16	-16232	408	-3528	73	-45	45	-15864	1776	-3264	162	-58	69	114	133	8
-7520	-7788	11876	-2	8	-25	-15864	-2264	-2968	27	38	26	-15808	-512	-3520	192	1	124	-6992	8216	12832	18	-4	-15	-16312	656	-3560	72	-46	50	-15832	1872	-3488	182	-75	61	114	133	8
-7540	-7776	11980	0	6	-25	-15752	-2232	-3208	41	46	22	-15760	-256	-3656	209	5	129	-6792	8256	12728	22	-5	-15	-16368	712	-3200	42	-64	51	-15872	2008	-3576	197	-76	87	115	132	8
-7500	-7788	11860	-6	9	-21	-15688	-2256	-3024	75	52	28	-15624	-368	-3680	217	11	139	-6784	8184	12880	26	-5	-17	-16304	792	-3472	56	-71	43	-15760	2280	-3464	179	-82	92	114	132	8
