#Activity	standing walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking 
#ActivityID	8 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 
#Date 08-22-17-35
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7672	-8124	11548	-13	12	-28	-15576	-728	-4968	1	-6	-3	-16376	-568	32	-5	-61	4	-7008	8480	12656	19	-4	-15	-16208	2808	-2592	36	-25	27	-15544	3584	-3432	66	-19	15	122	137	8
-7648	-8164	11576	-15	14	-27	-15384	-600	-4816	2	-8	-2	-16392	-672	184	23	-59	8	-7128	8592	12632	24	-5	-20	-16216	2776	-2752	7	-28	23	-15336	3848	-3344	59	-20	15	122	137	8
-7692	-8148	11608	-14	13	-19	-15432	-640	-5128	2	-5	3	-16112	-672	184	37	-47	20	-7088	8584	12496	18	-1	-16	-16056	2608	-2712	14	-30	24	-15472	3568	-3384	28	-25	10	122	137	8
-7684	-8164	11516	-11	8	-27	-15552	-712	-4864	6	-8	3	-16216	-672	104	49	-45	29	-7096	8496	12440	19	-5	-20	-16248	2600	-2824	32	-26	28	-15536	3680	-3352	21	-30	14	122	137	8
-7652	-8124	11580	-7	11	-25	-15488	-744	-5128	11	-9	4	-16208	-432	176	71	-39	25	-7096	8616	12456	17	-2	-16	-16240	2632	-2480	41	-29	22	-15632	3512	-3224	43	-33	17	122	138	8
-7632	-8168	11604	-15	12	-20	-15680	-872	-4968	20	-9	1	-16296	-680	144	75	-42	18	-7024	8664	12616	18	-6	-18	-16344	2688	-2584	50	-30	27	-15576	3720	-3424	84	-31	19	122	136	8
-7660	-8112	11604	-12	14	-25	-15600	-584	-5120	21	-6	2	-16336	-536	296	62	-38	18	-7064	8536	12736	14	-10	-15	-16368	2824	-2432	34	-33	26	-15536	3960	-3440	92	-26	24	122	137	8
-7676	-8116	11564	-10	12	-22	-15496	-576	-5008	12	-6	7	-16088	-384	224	44	-48	21	-7024	8552	12560	16	-1	-19	-16264	2744	-2496	22	-34	21	-15400	4008	-3400	58	-29	19	122	136	8
-7728	-8120	11604	-13	11	-27	-15384	-528	-5008	10	-7	2	-16336	-392	48	14	-43	16	-7184	8512	12792	19	-2	-23	-16184	2568	-2472	24	-30	25	-15496	3720	-3176	22	-29	15	122	136	8
-7636	-8100	11628	-10	18	-24	-15544	-608	-5008	1	-10	4	-16392	-264	-8	-9	-29	20	-6904	8432	12448	18	-8	-17	-16256	2808	-2496	38	-28	26	-15704	3768	-3304	24	-35	22	122	136	8
-7628	-8104	11544	-13	15	-27	-15520	-456	-4704	-21	-10	-5	-16240	-280	72	-24	-29	23	-7016	8528	12592	22	-2	-20	-16344	2784	-2544	12	-33	23	-15624	3688	-3248	53	-34	19	122	137	8
-7672	-8132	11588	-19	17	-21	-15640	-616	-4544	-21	-14	2	-16200	-456	88	-32	-23	23	-7120	8576	12440	19	-1	-23	-16320	2576	-2576	34	-34	23	-15648	3648	-3624	88	-31	16	122	136	8
-7624	-8124	11496	-10	17	-23	-15416	-784	-4992	-21	-15	-4	-16128	-560	288	-28	-34	21	-6960	8568	12760	16	-5	-20	-16240	2584	-2776	61	-46	28	-15536	3880	-3408	98	-26	23	122	136	8
-7628	-8072	11520	-14	16	-26	-15336	-696	-4776	-12	-7	0	-16296	-672	312	-10	-36	24	-7032	8480	12424	17	-3	-23	-16280	2728	-2384	60	-41	30	-15728	3816	-3056	74	-32	24	122	136	8
-7624	-8140	11612	-15	11	-27	-15488	-664	-4720	2	-2	-3	-16160	-752	344	-1	-29	20	-7120	8536	12608	26	-1	-23	-16240	2816	-2384	20	-38	28	-15848	3784	-3192	37	-26	18	122	137	8
-7692	-8184	11588	-13	14	-19	-15648	-856	-4744	8	-10	-2	-16336	-616	-8	30	-16	21	-7128	8592	12664	29	1	-20	-16384	2680	-2704	6	-37	22	-15560	3600	-3248	52	-22	12	122	135	8
-7676	-8096	11484	-9	11	-18	-15632	-624	-4656	7	-10	-2	-16272	-544	-64	22	-17	29	-7056	8624	12512	25	-2	-25	-16448	2560	-2536	38	-47	30	-15432	3744	-3280	85	-21	21	122	137	8
-7680	-8128	11544	-8	12	-19	-15408	-496	-4944	-9	-8	1	-16160	-704	392	42	-17	42	-7024	8528	12680	24	-5	-21	-16096	2704	-2400	59	-46	30	-15544	3808	-3424	103	-25	30	121	137	8
-7644	-8152	11604	-11	9	-23	-15560	-544	-4816	-12	-12	-4	-16120	-656	272	57	-24	48	-6888	8504	12488	26	-4	-21	-16280	2720	-2384	58	-43	30	-15424	3848	-2816	90	-26	27	121	137	8
-7640	-8080	11460	-5	9	-21	-15624	-712	-4880	8	-4	0	-16336	-496	552	77	-35	41	-6904	8384	12624	24	0	-21	-16296	2640	-2480	57	-46	29	-15664	3712	-3344	81	-13	22	122	136	8
-7696	-8088	11488	-6	12	-28	-15504	-632	-4784	11	-1	2	-16408	-536	336	61	-30	35	-7032	8496	12528	32	6	-16	-16328	2664	-2592	42	-45	28	-15648	3856	-3432	73	-13	23	122	135	8
-7648	-8116	11664	-2	10	-27	-15416	-872	-4792	25	2	8	-16392	-648	656	50	-16	26	-7152	8736	12768	30	6	-17	-16120	2680	-2408	30	-37	24	-15552	4008	-3088	53	-15	29	122	135	8
-7692	-8156	11588	-7	11	-23	-15744	-752	-4968	28	7	6	-16216	-520	152	31	0	26	-6952	8600	12608	26	-2	-22	-16120	2608	-2248	35	-29	31	-15480	4056	-2856	36	-18	20	122	136	8
-7684	-8180	11640	0	6	-25	-15448	-568	-4880	8	8	8	-16208	-448	216	20	-19	28	-7032	8688	12536	28	1	-14	-16216	2864	-2472	22	-15	36	-15568	3808	-2856	37	-17	14	121	136	8
-7708	-8088	11584	-6	8	-25	-15512	-488	-5032	-1	2	8	-16216	-288	384	16	-26	30	-7016	8552	12472	17	1	-21	-16320	2864	-2192	2	-5	24	-15648	3984	-2912	23	-11	17	121	135	8
-7712	-8100	11500	-2	10	-23	-15560	-560	-4688	-5	4	5	-16304	-456	576	13	-34	29	-7064	8592	12592	15	-7	-20	-16296	2664	-2280	-5	1	24	-15480	3744	-3048	9	0	14	121	135	8
-7596	-8096	11572	-4	10	-23	-15480	-576	-4760	5	6	3	-16336	-272	184	0	-36	29	-7008	8504	12648	11	-3	-20	-16264	2728	-2584	10	1	37	-15648	3760	-3200	15	11	8	121	135	8
-7628	-8120	11520	-4	8	-22	-15480	-520	-4840	-2	1	0	-16288	-136	320	-20	-44	31	-7128	8600	12504	17	2	-17	-16528	2704	-2504	-2	1	35	-15512	3784	-3104	6	21	6	121	135	8
-7636	-8188	11792	-10	14	-17	-15664	-560	-5024	-5	0	-3	-16408	-96	208	-42	-54	18	-7144	8584	12784	22	-5	-12	-16224	2840	-2488	-28	0	27	-15592	3968	-3112	-23	16	-2	121	135	8
-7640	-8104	11576	-13	14	-21	-15616	-392	-4744	-13	-5	-4	-16344	-216	-120	-67	-48	10	-7088	8592	12576	26	-1	-13	-16208	2800	-2296	-40	5	27	-15520	4136	-3400	-40	9	-3	122	135	8
-7652	-8092	11672	-14	21	-18	-15472	-592	-5040	-29	-15	-5	-16400	-304	-224	-100	-43	11	-7176	8592	12392	15	-1	-18	-16232	2728	-2280	-27	9	22	-15456	3976	-3000	-62	9	9	122	137	8
-7628	-8108	11724	-12	16	-21	-15560	-464	-4840	-29	-23	-8	-16352	-336	-24	-97	-33	10	-7112	8496	12528	15	-9	-20	-16320	2632	-2416	-17	10	24	-15584	3704	-3504	-56	12	4	122	135	8
-7624	-8176	11576	-17	16	-22	-15600	-496	-4792	-37	-35	-8	-16360	-320	40	-101	-34	7	-7168	8656	12616	16	-8	-20	-16272	2768	-2616	-16	0	24	-15744	3760	-3304	-33	10	-11	122	135	8
-7656	-8056	11468	-17	16	-24	-15512	-584	-4888	-40	-42	-13	-16360	-408	-40	-100	-29	9	-7024	8608	12776	19	1	-17	-16392	2840	-2576	-33	2	23	-15480	3824	-3752	-26	12	-1	121	135	8
-7636	-8088	11648	-16	13	-25	-15440	-480	-5040	-44	-42	-13	-16112	-392	232	-83	-29	8	-7088	8656	12408	19	-1	-18	-16128	2776	-2536	-33	0	23	-15472	3696	-3048	-35	4	-2	122	134	8
-7648	-8120	11516	-21	16	-25	-15472	-656	-4576	-34	-38	-12	-16072	-704	352	-64	-32	4	-7104	8568	12608	14	-5	-17	-16040	2592	-2248	-33	6	22	-15608	3832	-3312	-21	-1	-9	122	134	8
-7576	-8208	11600	-20	15	-29	-15664	-616	-4560	-24	-44	-17	-16328	-760	488	-52	-34	10	-7048	8704	12704	17	-4	-19	-16392	2912	-2312	21	-1	27	-15552	3816	-3264	0	-3	6	122	134	8
-7632	-8104	11596	-20	12	-26	-15496	-520	-4784	-22	-34	-20	-16352	-752	680	-14	-32	16	-6960	8464	12472	14	-4	-19	-16240	2944	-2144	5	-1	17	-15712	3896	-3160	27	0	4	123	135	8
-7660	-8192	11580	-20	12	-24	-15552	-616	-4776	-17	-24	-12	-16176	-560	808	6	-37	19	-7128	8672	12592	12	-5	-21	-16176	2728	-2696	5	-3	19	-15552	3992	-3328	39	7	-9	122	135	8
-7608	-8080	11580	-16	13	-24	-15576	-672	-4728	-12	-13	-13	-16360	-672	600	10	-29	19	-7032	8576	12472	15	-6	-24	-16232	2896	-2272	8	0	16	-15632	4048	-3016	16	18	-6	122	135	8
-7692	-8208	11560	-11	13	-29	-15568	-528	-4664	-17	0	-7	-16272	-792	664	18	-31	21	-7168	8608	12424	8	-6	-24	-16176	2624	-2344	26	1	20	-15552	3752	-3208	-4	4	-8	122	135	8
-7672	-8156	11512	-16	11	-29	-15568	-648	-4432	-10	7	-7	-16296	-736	672	5	-30	22	-7128	8624	12576	12	-10	-28	-16336	2744	-2312	19	2	27	-15672	3560	-3384	6	1	-11	122	134	8
-7628	-8156	11628	-16	12	-26	-15584	-616	-4736	-8	16	-4	-16376	-656	656	-5	-28	27	-6984	8624	12616	11	-2	-20	-16312	2776	-2704	24	2	20	-15592	3728	-3040	36	0	-1	122	134	8
-7660	-8176	11496	-10	11	-29	-15448	-712	-4712	-11	23	4	-16232	-600	448	6	-26	26	-7088	8528	12448	9	-11	-16	-16288	2816	-2368	26	3	19	-15640	3744	-3400	71	16	-4	122	135	8
-7744	-8140	11532	-15	8	-24	-15616	-688	-4592	-8	27	3	-16272	-520	440	28	-13	24	-7104	8504	12488	14	2	-20	-16320	2832	-2792	37	-2	28	-15664	3752	-3304	67	12	0	122	135	8
-7664	-8144	11612	-14	10	-26	-15488	-656	-4576	-15	32	5	-16288	-520	336	2	-29	18	-7016	8536	12712	16	0	-22	-16336	2656	-2640	31	-12	26	-15496	3752	-3224	33	15	0	121	135	8
-7688	-8168	11548	-15	10	-22	-15640	-768	-4720	7	34	5	-16384	-440	168	-20	-34	12	-7032	8648	12616	22	-2	-19	-16128	2696	-2528	35	-11	27	-15576	3552	-3424	26	10	-2	122	134	8
-7740	-8204	11444	-8	11	-19	-15568	-688	-5032	29	22	6	-16520	-472	240	-37	-27	17	-7160	8680	12408	25	-3	-20	-16208	2888	-2376	26	-8	29	-15696	3944	-3248	45	-6	14	122	134	8
-7716	-8136	11592	-5	6	-19	-15560	-432	-5008	-8	22	2	-16400	-592	48	-48	-8	30	-7040	8632	12552	24	2	-17	-16096	2760	-2528	31	-7	31	-15608	3904	-3320	63	-12	18	122	135	8
-7624	-8020	11580	-9	7	-26	-15432	-344	-5192	-37	12	7	-16176	-600	288	-26	4	33	-7120	8616	12656	20	-4	-16	-16248	2848	-2480	23	-11	19	-15376	3984	-3312	67	-3	18	122	135	8
