#Activity	standing going_down standing 
#ActivityID	8 4 8 
#Date 08-22-17-45
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7528	-8500	11420	-16	13	-29	-15712	-2456	-3224	39	-38	-3	-16008	-1352	-3576	11	-69	-1	-7024	7968	12904	16	-4	-17	-16448	1688	-2936	19	-39	22	-16040	3144	-2792	21	-24	-5	120	132	8
-7564	-8532	11368	-17	12	-25	-15600	-2408	-2976	7	-44	-7	-15816	-1272	-3512	32	-60	12	-7176	7920	13048	24	-8	-14	-16288	1752	-2848	-6	-29	16	-16024	3520	-2616	13	-20	-7	121	132	8
-7588	-8480	11388	-14	7	-27	-15472	-2512	-3128	-31	-39	1	-15632	-1240	-3528	31	-63	21	-7056	8032	13160	24	-3	-16	-16184	1480	-2800	-2	-18	17	-15960	3584	-2360	-8	-32	7	121	132	8
-7536	-8512	11372	-11	16	-24	-15776	-2784	-3040	-11	-27	0	-15824	-1008	-3496	41	-65	18	-7224	7808	12904	22	-5	-17	-16304	1816	-2688	1	-21	16	-15744	3384	-2624	-18	-47	17	121	132	8
-7576	-8488	11344	-16	13	-25	-15648	-2768	-3144	51	-19	11	-15920	-984	-3328	47	-54	17	-7168	7888	13040	17	-7	-16	-16208	1528	-3096	26	-10	24	-15896	2912	-2848	2	-64	24	121	133	8
-7476	-8456	11348	-17	17	-25	-15816	-2248	-3168	50	-11	13	-15552	-984	-3312	37	-41	16	-7048	7912	13088	18	-9	-16	-16440	1752	-3168	5	-8	19	-15928	3240	-2568	41	-76	29	120	133	8
-7596	-8572	11412	-18	15	-21	-15744	-2360	-3032	12	-11	10	-15832	-904	-3632	18	-45	13	-7176	8008	13056	21	-6	-18	-16320	1840	-2736	-17	-10	17	-15952	3256	-2584	64	-74	27	121	132	8
-7608	-8504	11352	-13	13	-25	-15688	-2384	-2912	-26	-9	2	-15752	-976	-3488	17	-53	4	-7152	7888	12800	12	-12	-16	-16272	1688	-2896	13	-7	17	-15712	3344	-2536	49	-69	27	120	132	8
-7496	-8504	11452	-4	8	-23	-15560	-2728	-2800	7	6	8	-15640	-1032	-3272	41	-60	6	-7176	7968	12984	5	-7	-17	-16048	1536	-3040	45	-5	19	-15784	3176	-2360	39	-67	25	120	132	8
-7556	-8484	11320	-3	14	-25	-15864	-2704	-2920	86	20	10	-16032	-1384	-3448	70	-62	14	-7168	7848	12752	-2	-14	-21	-16168	1608	-2912	57	-3	25	-15944	3216	-2696	35	-99	27	120	132	8
-7556	-8492	11360	-12	10	-20	-15856	-2496	-3312	94	20	12	-15984	-1184	-3432	96	-43	33	-7080	7920	13232	9	-14	-16	-16608	1744	-2808	8	-4	30	-16120	3352	-2576	19	-112	30	119	132	8
