#Activity	standing up_by_elevator standing down_by_elevator standing up_by_elevator standing 
#ActivityID	8 10 8 11 8 10 8 
#Date 08-22-17-47
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7136	-7888	12132	-9	10	-27	-15832	-1784	-3392	22	13	-7	-15784	240	-3672	19	9	33	-6872	8392	13056	17	-2	-20	-16520	856	-2560	-12	26	14	-16152	2648	-2048	2	18	-14	123	134	8
-7156	-7888	12136	-10	9	-24	-15704	-1648	-3200	27	12	-7	-15696	408	-3856	25	2	30	-6760	8240	12880	21	-3	-21	-16624	784	-2312	-27	28	9	-15960	2552	-2216	-21	26	-16	123	133	8
-7244	-7824	12056	-12	16	-21	-15928	-1824	-3416	13	5	-5	-15744	368	-3744	26	1	23	-6768	8376	13136	19	-1	-18	-16552	768	-2560	-22	18	14	-15824	2616	-2112	-33	38	-15	123	133	8
-7220	-7856	12120	-16	10	-24	-15888	-1640	-3312	0	7	-11	-15792	112	-3944	25	-5	16	-6768	8248	13048	19	-3	-19	-16584	560	-2472	-6	17	17	-15976	2224	-2272	-44	29	-9	123	133	8
-7172	-7908	12100	-5	12	-24	-15632	-1680	-3512	10	3	-11	-15608	208	-3896	14	-14	5	-6736	8352	12968	16	-4	-16	-16576	896	-2352	-5	23	19	-15984	2536	-1912	-49	12	-7	123	133	8
-7196	-7924	12060	-9	15	-26	-15784	-1688	-3520	6	5	-11	-15592	272	-4032	-4	-20	7	-6616	8408	13032	21	-6	-20	-16600	704	-2320	-23	16	18	-15992	2520	-2016	-39	7	-10	123	133	8
-7192	-7988	12200	-9	7	-30	-15728	-1784	-3696	-1	0	-12	-15600	448	-3968	-22	-23	10	-6648	8320	13040	15	-2	-20	-16576	640	-2336	-22	11	17	-15960	2496	-1936	-35	8	-11	123	133	8
-7168	-7928	12060	-10	12	-28	-15800	-1680	-3064	-5	-8	-10	-15752	368	-4024	-37	-25	7	-6776	8344	12992	19	-3	-19	-16552	608	-2296	-17	7	16	-16136	2744	-2016	-31	17	-13	123	133	8
-7272	-7960	12096	-13	13	-24	-15848	-1864	-3424	-3	-11	-9	-15672	192	-3976	-40	-30	-10	-6712	8384	12936	17	-8	-14	-16584	648	-2288	7	11	18	-16072	2592	-1976	-25	14	-11	123	133	8
-7180	-7904	12080	-8	12	-25	-15744	-1800	-3056	-13	-12	-7	-15768	128	-3784	-40	-31	-13	-6792	8464	12680	20	-5	-16	-16440	768	-2208	7	7	15	-16096	2592	-2224	-28	12	-8	123	133	8
-7124	-7872	12064	-7	8	-25	-15808	-1600	-3168	-26	-18	-9	-15688	296	-3656	-45	-39	-9	-6728	8352	12920	20	0	-15	-16456	648	-2112	1	14	12	-16048	2480	-1936	-8	-6	-1	123	133	8
-7196	-7924	12036	-14	12	-26	-15816	-1952	-3032	-13	-13	-7	-15504	88	-3864	-46	-37	-4	-6760	8336	12824	19	-2	-19	-16560	744	-2400	-8	5	21	-15896	2528	-1824	7	0	0	122	132	8
-7168	-7888	12144	-11	13	-29	-15856	-1832	-3128	7	-13	-11	-15680	176	-3664	-33	-36	3	-6736	8304	12816	17	-8	-23	-16520	608	-2344	4	7	15	-15992	2528	-2272	16	3	5	122	132	8
-7188	-7804	12172	-13	8	-27	-15720	-1808	-3064	7	-9	-10	-15904	240	-3848	-21	-26	5	-6728	8336	12960	15	-5	-14	-16376	568	-2280	11	-4	17	-16104	2496	-2120	14	-2	6	122	132	8
-7216	-7908	12060	-13	16	-25	-15832	-1728	-3288	-5	-12	-5	-15800	40	-3920	-5	-24	8	-6656	8216	12840	17	-4	-17	-16424	784	-2520	6	-4	18	-15992	2600	-2224	23	2	2	122	132	8
-7180	-7904	11984	-10	13	-26	-15800	-1896	-3040	-3	-8	-13	-15744	64	-3512	-2	-25	5	-6856	8352	12968	18	-3	-18	-16464	800	-2176	9	-12	19	-16216	2776	-1976	11	-3	2	122	133	8
-7192	-7896	12128	-10	14	-26	-15800	-1856	-3320	10	-4	-8	-15704	80	-3760	9	-17	11	-6696	8408	12888	15	-6	-14	-16560	872	-2400	8	-12	18	-15992	2648	-2072	-1	-1	1	122	132	8
-7196	-7868	12116	-12	14	-27	-15816	-1816	-3256	5	-5	-8	-15824	64	-3728	11	-20	11	-6872	8400	13032	18	-3	-21	-16528	816	-2296	13	-10	16	-16040	2568	-1912	-4	-7	1	122	132	8
-7144	-7928	12064	-12	15	-27	-15808	-1744	-3064	-10	-7	-8	-15848	128	-3680	11	-23	17	-6752	8432	12944	15	-3	-20	-16568	688	-2408	6	-7	17	-16104	2560	-1832	16	-1	5	121	132	8
-7236	-7908	12108	-10	13	-24	-15848	-1880	-2960	1	-7	-9	-15712	128	-3616	3	-20	20	-6768	8448	12832	13	-3	-18	-16552	776	-2328	6	-9	19	-16080	2488	-1944	36	-1	6	121	132	8
-7224	-7888	12048	-14	14	-25	-15744	-1808	-3064	13	-2	-3	-15760	152	-3568	-1	-17	18	-6568	8208	12664	20	-4	-20	-16536	712	-2248	18	-2	11	-16032	2648	-2184	45	2	3	122	131	8
-7284	-7888	12056	-11	14	-22	-15688	-1768	-3336	8	-2	-10	-15832	240	-3664	-8	-12	18	-6544	8168	12864	16	-4	-17	-16592	760	-2192	16	-7	13	-15984	2784	-1800	35	2	2	121	132	8
-7220	-7860	12176	-16	15	-24	-15680	-1752	-3176	-18	-6	-9	-15824	240	-3688	-20	-7	19	-6512	8304	12832	15	-6	-17	-16512	728	-2080	14	-9	20	-15936	2728	-2248	19	5	-6	121	131	8
-7244	-7960	12156	-10	15	-27	-15760	-1752	-3216	-15	-12	-12	-15712	136	-3872	-20	-21	14	-6480	8256	13120	18	-1	-20	-16408	872	-2104	1	-7	13	-15968	2616	-2088	19	13	-9	121	131	8
-7096	-7908	12004	-10	15	-22	-15800	-1752	-3416	-2	-5	-10	-15736	168	-3856	-17	-17	10	-6840	8560	12976	18	-3	-19	-16456	760	-2328	3	-11	15	-16008	2512	-1936	1	5	-3	121	131	8
-7200	-7856	12076	-14	11	-26	-15840	-1680	-3280	4	-2	-7	-15656	64	-3856	-18	-17	2	-6688	8264	12960	15	-1	-21	-16472	784	-2448	0	-7	16	-15952	2616	-2224	8	5	6	121	131	8
-7180	-7932	12140	-9	15	-22	-15880	-1768	-3360	0	-5	-4	-15768	112	-3832	-26	-18	6	-6624	8512	12800	17	-2	-22	-16464	712	-2232	12	-9	20	-16072	2528	-1872	13	0	5	121	131	8
-7092	-7848	12008	-10	14	-27	-15896	-1800	-3248	-13	-12	-7	-15752	168	-3752	-21	-21	4	-6656	8488	13200	17	-4	-17	-16552	648	-2208	13	-7	22	-15952	2576	-1944	21	5	4	121	130	8
-7096	-7876	12132	-12	14	-26	-15912	-1760	-3360	-10	-12	-1	-15664	80	-3880	-14	-20	12	-6688	8264	12888	18	0	-20	-16536	720	-2088	5	-11	22	-16160	2600	-2216	16	5	2	121	130	8
-7048	-7892	12068	-12	13	-29	-15776	-1760	-3104	-2	-9	-7	-15632	80	-3544	-10	-25	13	-6704	8376	12944	19	-2	-18	-16560	600	-2208	3	-17	19	-15976	2664	-1840	13	11	6	121	130	8
-7156	-7932	12088	-13	8	-29	-15840	-1672	-2976	-2	-3	-4	-15704	128	-3720	-6	-22	17	-6736	8432	13024	18	-2	-19	-16520	688	-2320	10	-13	19	-16168	2568	-1856	12	6	10	121	130	8
-7116	-7984	12096	-12	12	-26	-15840	-1816	-3064	-3	-4	-4	-15800	208	-3696	3	-27	20	-6768	8264	12968	20	-5	-18	-16440	744	-2416	15	-16	19	-15976	2680	-2168	17	4	12	121	130	8
-7136	-7916	12140	-11	10	-25	-15768	-1800	-3032	-9	-9	-1	-15648	80	-3568	-3	-21	25	-6648	8288	13024	20	-4	-17	-16416	768	-1960	19	-11	23	-16064	2536	-1768	20	-7	9	121	130	8
-7180	-7960	12196	-7	13	-21	-15952	-1760	-2992	-4	-5	3	-15776	152	-3512	-9	-18	28	-6632	8432	13016	17	-5	-20	-16496	632	-2432	13	-10	27	-16088	2600	-1800	24	-6	10	120	130	8
-7120	-7884	12148	-18	15	-24	-15880	-1656	-3104	3	-9	1	-15672	208	-3792	-6	-23	27	-6824	8400	13056	19	-5	-19	-16464	824	-2240	4	-8	25	-15936	2624	-1688	18	2	11	120	130	8
-7204	-7808	11940	-15	15	-26	-15832	-1872	-3096	-8	-5	2	-15752	96	-3520	-7	-20	25	-7064	8200	13088	17	-3	-21	-16392	736	-2408	-11	-5	23	-16096	2536	-2048	20	5	8	120	130	8
-7604	-7744	11832	-15	16	-26	-15528	-1912	-3520	17	6	-8	-15704	176	-3648	-3	-24	23	-7320	7984	12880	11	-2	-20	-16336	544	-2728	-13	6	18	-15952	2576	-2160	17	8	16	120	130	8
-7560	-7844	11892	-8	12	-21	-15808	-2072	-3552	19	15	-8	-15488	64	-3768	10	-10	18	-6848	8152	13064	6	1	-20	-16592	576	-2544	-5	6	18	-15968	2680	-2376	6	18	4	120	130	8
-7196	-7900	12124	-7	13	-26	-15960	-1736	-3544	16	12	-3	-15744	-56	-4080	-1	12	22	-6584	8416	13056	10	-5	-15	-16496	600	-2304	-8	-6	24	-15984	2664	-2264	-14	20	-5	120	130	8
-6940	-7912	12200	-9	10	-25	-15760	-1416	-2904	-25	-4	-3	-15672	136	-3872	12	-3	25	-6720	8608	12840	16	-8	-15	-16176	944	-2344	-22	-9	28	-15968	2432	-2128	-51	11	-9	121	130	8
-7116	-7880	12144	-6	9	-26	-15752	-1576	-3360	-33	-9	-6	-15736	552	-3656	28	-27	31	-6760	8448	13072	15	-10	-13	-16336	1120	-2112	-59	-12	33	-16128	2760	-1992	-59	-10	5	120	130	8
-7300	-7848	12172	-13	13	-29	-15648	-1872	-3320	13	1	-12	-15832	376	-3384	27	-33	32	-6856	8352	12952	7	-9	-19	-16624	760	-2128	-54	0	22	-16064	2768	-2016	-45	-18	19	120	130	8
-7336	-7952	12136	-15	16	-31	-15856	-1896	-3192	51	10	-5	-15832	96	-3496	26	-24	27	-6624	8344	12984	10	-2	-18	-16592	648	-2376	-3	-1	14	-16144	2456	-2064	-15	6	17	120	130	8
-7148	-7892	12148	-13	12	-25	-15824	-1728	-3352	37	10	-1	-15720	80	-3800	28	-12	19	-6688	8296	12712	15	2	-15	-16368	592	-2448	43	-2	27	-16000	2544	-1840	9	0	5	120	129	8
-7104	-7900	12032	-9	10	-25	-15688	-1544	-3272	-8	1	-1	-15680	32	-3640	35	-16	15	-6792	8256	12952	17	-9	-13	-16280	872	-2200	38	8	26	-15968	2592	-1800	23	-15	3	120	130	8
-7200	-7964	12116	-7	10	-25	-15688	-1752	-3016	-25	2	-7	-15776	152	-3512	39	-19	28	-6832	8320	12768	19	-4	-18	-16592	1104	-2328	-11	7	23	-16152	2616	-2048	33	-14	9	120	130	8
-7156	-7884	12140	-7	13	-22	-15920	-1864	-3312	20	6	-3	-15824	168	-3800	28	-7	36	-6816	8352	12976	13	-2	-17	-16648	856	-2400	-40	-3	17	-15984	2688	-2112	39	-4	14	120	129	8
-7168	-7928	12144	-11	14	-25	-15792	-1704	-3192	45	2	3	-15784	272	-3968	30	0	39	-6760	8504	12784	14	-6	-20	-16512	696	-2416	-14	-3	14	-16064	2600	-2216	39	2	20	120	130	8
-7144	-7916	12036	-12	15	-23	-15768	-1640	-3432	21	2	1	-15792	256	-3832	32	-12	34	-6824	8456	13024	17	-5	-17	-16416	592	-2496	52	-5	22	-15840	2760	-2184	36	1	22	120	130	8
-7104	-7820	12060	-8	11	-21	-15744	-1616	-3184	-11	-5	-4	-15832	200	-3872	20	-19	30	-6624	8424	12920	18	3	-19	-16480	880	-2224	61	-11	26	-16112	2600	-1824	44	-6	13	120	130	8
-7176	-7884	12040	-9	15	-24	-15808	-1744	-3320	-12	-3	-12	-15792	360	-3560	5	-31	26	-6680	8400	13032	19	-2	-21	-16464	736	-2344	29	-11	25	-16008	2808	-1872	52	-6	3	121	130	8
-7252	-7880	12020	-7	14	-24	-15968	-1928	-3248	1	-4	-2	-16000	320	-3840	-7	-13	21	-6856	8368	12944	22	1	-22	-16520	856	-2400	-11	-7	18	-16016	2752	-2000	43	-2	3	120	130	8
-7180	-7932	12104	-12	16	-30	-15728	-1768	-3088	5	5	-3	-15784	288	-3696	-11	-1	21	-6608	8344	12832	21	4	-17	-16384	616	-2480	-7	-11	16	-15840	2752	-2272	27	3	12	120	130	8
-7104	-7932	12124	-10	12	-29	-15704	-1664	-3208	9	1	-6	-15664	144	-4008	-6	-2	26	-6848	8432	13056	20	-3	-16	-16360	736	-2424	24	-18	20	-16064	2680	-2040	11	-1	9	121	130	8
-7172	-7956	12012	-9	10	-24	-15704	-1808	-3240	5	1	-4	-15800	216	-3680	3	-15	17	-6896	8304	12952	19	-2	-17	-16480	816	-2088	34	-9	20	-16024	2752	-2056	10	-5	5	120	130	8
-7216	-7980	12112	-8	9	-26	-15944	-1824	-3432	2	0	-8	-15960	-136	-3768	20	-15	20	-6616	8480	12904	19	-2	-21	-16616	792	-2328	19	-8	16	-16112	2624	-1944	16	-2	1	120	130	8
-7184	-7888	12072	-5	11	-26	-15968	-1744	-3352	7	1	-6	-15888	160	-3720	23	-7	21	-6760	8336	12936	21	0	-19	-16512	856	-2136	-1	-12	17	-16064	2704	-1856	30	0	1	120	130	8
-7200	-7904	12116	-8	8	-20	-15680	-1896	-3168	10	-1	-1	-15864	200	-3656	21	-9	22	-6648	8416	12968	24	-1	-19	-16440	824	-2208	9	-8	14	-15912	2568	-1856	36	5	10	120	130	8
-7156	-7856	12096	-9	8	-28	-15912	-1624	-3120	5	4	-5	-15664	184	-3800	3	-8	22	-6816	8152	12872	15	-1	-21	-16424	824	-2160	25	0	13	-15904	2776	-2016	42	5	12	120	130	8
-7216	-7868	12000	-9	11	-23	-15856	-1744	-3352	6	1	-13	-15832	168	-3776	-1	-9	22	-6792	8384	12872	17	-2	-23	-16424	704	-2080	27	-4	14	-16032	2680	-1920	48	6	11	120	131	8
-7244	-7892	12120	-7	9	-28	-15840	-1848	-3320	-3	-1	-10	-15928	208	-3696	2	-9	21	-6736	8240	13056	15	0	-21	-16448	776	-2392	26	-4	14	-16016	2600	-1632	48	5	4	120	131	8
-7160	-7884	12180	-9	13	-23	-15912	-1832	-3136	7	-1	-11	-15792	32	-3520	5	-6	22	-6696	8320	13096	18	2	-17	-16400	952	-2408	18	-8	11	-16088	2592	-2392	52	3	-3	120	130	8
-7160	-7904	12148	-7	12	-25	-15712	-1680	-3264	4	4	-2	-15816	248	-3768	6	-14	18	-6720	8384	13056	21	-2	-22	-16440	784	-2192	10	-5	16	-16008	2688	-1944	45	3	2	120	130	8
-7212	-7872	12076	-13	13	-24	-15776	-1808	-3024	-11	2	-14	-15704	360	-3488	-3	-13	21	-6776	8248	12784	19	-4	-22	-16536	816	-2328	2	-9	15	-15880	2680	-2168	29	3	7	120	131	8
-7264	-7848	12064	-10	15	-25	-15816	-1912	-3352	4	-1	-12	-15664	256	-3720	-10	-4	22	-6808	8488	12928	17	-4	-18	-16608	816	-2368	5	-15	16	-15960	2648	-1984	11	7	-2	120	130	8
-7204	-7948	12196	-10	13	-26	-15712	-1640	-3296	10	1	-8	-15624	184	-3712	-13	6	22	-6832	8400	12960	20	0	-21	-16480	848	-2240	6	-13	15	-16104	2496	-2032	9	15	-5	120	130	8
-7176	-7880	12096	-13	15	-24	-15776	-1608	-3296	5	-2	-2	-15632	208	-3608	-7	1	16	-6768	8368	12904	19	8	-24	-16408	720	-2480	13	-17	17	-15936	2584	-1856	12	12	-5	120	130	8
-7148	-7844	12084	-14	14	-24	-15792	-1600	-3096	-8	-1	-14	-15704	224	-3872	-5	-8	15	-6712	8392	13184	14	2	-21	-16456	848	-2288	20	-18	16	-16008	2576	-1888	26	4	-1	120	130	8
-7184	-7884	12032	-11	15	-25	-15888	-1792	-3216	4	2	-10	-15824	184	-3688	-3	-9	16	-6696	8328	12792	20	-5	-18	-16448	680	-2312	18	-23	10	-15992	2536	-1936	35	4	-3	120	131	8
-7208	-7848	12064	-11	12	-24	-15744	-1864	-3224	10	6	-9	-15680	216	-3680	1	-8	12	-6944	8384	13352	23	0	-22	-16400	640	-1912	13	-15	16	-16144	2616	-2064	46	0	3	120	131	8
-7232	-7960	12076	-8	15	-26	-15680	-1688	-3032	12	6	-12	-15672	128	-3880	-2	-6	12	-6720	8344	13016	17	0	-24	-16544	728	-2368	16	-15	15	-16072	2608	-2000	53	5	1	120	131	8
-7128	-7928	12068	-10	13	-26	-15944	-1632	-3016	21	4	-14	-15816	280	-3752	-7	-2	23	-6840	8344	12784	20	1	-20	-16600	792	-2248	23	-17	16	-16040	2592	-2016	45	4	-3	120	131	8
-7232	-7916	12116	-11	15	-22	-15712	-1752	-3144	-3	2	-8	-15664	80	-4000	3	1	32	-6848	8376	12840	20	3	-26	-16592	736	-2328	24	-21	18	-16000	2664	-2336	42	8	-7	120	131	8
-7160	-7792	12096	-15	14	-21	-15864	-1832	-3024	-10	-5	-15	-15848	200	-3816	8	0	32	-6808	8424	13048	19	0	-22	-16464	704	-2192	26	-22	15	-16072	2608	-2224	41	11	-7	120	131	8
-7156	-7920	12044	-8	8	-24	-15728	-1752	-3096	-3	-11	-11	-15840	152	-3616	21	-8	28	-6728	8368	12736	21	1	-21	-16304	864	-2304	24	-20	15	-15928	2752	-1896	46	-1	-1	120	131	8
-7204	-7896	12108	-9	13	-30	-15648	-1824	-3200	12	2	-7	-15752	64	-3800	26	-14	25	-6688	8256	12888	17	0	-24	-16352	864	-2192	19	-16	15	-16072	2736	-1856	50	-4	5	121	131	8
