#Activity	standing down_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 11 8 10 8 10 8 10 8 10 8 
#Date 08-22-17-49
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7276	-8020	12020	-13	15	-28	-15864	-1944	-3504	20	5	-12	-15704	144	-3808	27	-13	18	-6728	8200	13160	15	-2	-16	-16464	768	-2632	26	-8	12	-15960	2640	-2192	57	-2	-1	121	131	8
-7224	-7980	12092	-10	9	-26	-15840	-1768	-3392	12	6	-11	-15904	208	-4064	17	-10	17	-6656	8288	13144	21	2	-22	-16504	792	-2512	26	-6	11	-15872	2608	-2376	56	1	-2	121	131	8
-7216	-7960	11956	-9	11	-22	-15712	-1576	-3280	3	4	-14	-15744	248	-3912	6	-4	21	-6784	8280	12888	13	-2	-19	-16400	912	-2480	18	-9	9	-16024	2592	-2344	47	-4	-1	122	131	8
-7232	-7988	11920	-10	12	-25	-15696	-1776	-3504	9	4	-8	-15576	264	-3928	2	-7	19	-6832	8248	13088	17	-5	-20	-16424	680	-2728	15	-19	8	-16064	2520	-2248	39	-3	3	121	131	8
-7240	-8024	12044	-11	12	-26	-15720	-1792	-3568	11	2	-8	-15688	152	-3928	3	-13	22	-6792	8224	13016	18	4	-19	-16472	888	-2400	21	-17	10	-15904	2520	-2576	36	-9	9	121	131	8
-7264	-7968	12024	-9	12	-27	-15752	-1688	-3224	17	1	-11	-15672	128	-3728	9	-13	14	-6736	8288	13000	17	-2	-20	-16456	832	-2568	23	-22	6	-15912	2584	-2408	42	-16	5	121	131	8
-7228	-7988	12008	-9	6	-21	-15752	-1696	-3416	14	-5	-9	-15784	40	-3840	17	-15	12	-6600	8120	13032	21	-3	-18	-16440	648	-2496	26	-22	7	-15928	2624	-2440	49	-18	5	122	131	8
-7200	-7984	12000	-10	11	-32	-15664	-1752	-3328	6	-9	-14	-15600	120	-3816	12	-12	19	-6712	8272	13152	18	-1	-19	-16416	736	-2752	36	-25	11	-16088	2560	-2512	53	-14	4	121	131	8
-7184	-8012	11992	-12	7	-29	-15832	-1576	-3288	4	-8	-13	-15760	160	-3792	0	-12	19	-6728	8232	13072	25	2	-22	-16496	760	-2368	42	-32	16	-16080	2440	-2408	67	-13	1	121	131	8
-7264	-8036	12016	-12	10	-26	-15960	-1808	-3344	3	-9	-9	-15808	40	-4008	11	-21	21	-6752	8376	12928	21	-6	-18	-16400	936	-2432	44	-34	11	-15992	2568	-2320	70	-14	2	121	131	8
-7160	-8016	12060	-8	10	-23	-15856	-1888	-3368	-1	-8	-11	-15872	184	-3544	9	-20	17	-6584	8200	13072	19	1	-24	-16368	920	-2424	44	-34	12	-16208	2704	-2328	70	-15	11	121	131	8
-7136	-7944	12040	-9	8	-27	-15584	-1744	-3144	6	-8	-6	-15672	120	-3800	8	-27	20	-6688	8304	12936	20	-3	-21	-16416	560	-2424	50	-28	13	-15832	2528	-2008	71	-24	11	122	131	8
-7216	-7984	11972	-10	11	-28	-15768	-1616	-3496	2	-5	-11	-15760	160	-3680	5	-23	17	-6744	8136	12944	15	1	-23	-16440	768	-2304	40	-26	12	-15896	2472	-2384	75	-17	10	121	131	8
-7224	-7996	11976	-5	11	-27	-15768	-1768	-3208	2	-5	-11	-15696	232	-3976	-15	-16	22	-6712	8352	12944	20	0	-20	-16568	792	-2424	15	-32	12	-15992	2448	-2240	75	-10	0	122	131	8
-7188	-7940	12108	-8	14	-24	-15808	-1816	-3592	-6	-6	-7	-15688	168	-3968	-23	-11	25	-6504	8160	13160	40	10	-23	-16392	680	-2416	10	-27	8	-15976	2560	-2384	49	-12	4	122	131	8
-7268	-7964	12112	-11	14	-26	-15664	-1864	-3240	-15	-6	-3	-15784	136	-3744	-13	-13	18	-6688	7984	13160	23	-2	-21	-16392	632	-2152	59	-20	11	-15952	2504	-2056	45	-5	1	122	131	8
-7236	-7972	12096	-6	8	-22	-15832	-1792	-3200	-11	0	-5	-15640	8	-3568	-3	-20	12	-6640	8272	13048	19	1	-23	-16232	880	-2008	62	-9	21	-16088	2704	-1952	46	-12	13	122	131	8
-7200	-8032	11944	-7	12	-24	-15632	-1816	-3216	3	7	-7	-15792	-24	-3688	-9	-13	16	-6768	8352	13112	17	-1	-19	-16560	888	-2296	24	-7	13	-15992	2472	-2144	59	-2	9	122	131	8
-7152	-8024	12048	-6	12	-29	-15728	-1808	-3288	2	9	-3	-15768	-56	-3712	-9	-10	26	-6688	8160	12952	22	-7	-20	-16520	832	-2472	-7	-12	13	-15912	2504	-2272	62	13	1	122	131	8
-7248	-7964	11944	-8	15	-21	-15752	-1848	-3344	6	13	-4	-15608	80	-3912	-2	4	34	-6848	8304	12800	21	-1	-18	-16320	616	-2728	5	-8	19	-15952	2584	-2400	60	15	3	122	131	8
-7208	-7976	12108	-6	12	-23	-15728	-1632	-3096	0	15	-4	-15784	88	-3808	4	6	37	-6648	8272	12816	18	4	-23	-16352	664	-2584	32	-5	22	-15800	2608	-2104	41	12	2	122	131	8
-7264	-7984	12104	-11	17	-21	-15544	-1728	-3592	-4	10	-3	-15856	104	-3880	20	-4	36	-6768	8296	13016	21	-5	-19	-16408	816	-2624	43	0	23	-15896	2512	-2168	17	-3	1	122	131	8
-7292	-7964	12000	-9	14	-24	-15680	-1752	-3288	-1	12	-6	-15656	168	-3888	34	-2	34	-6632	8160	13184	16	4	-18	-16344	920	-2160	11	-2	23	-16008	2696	-2208	10	-3	-3	122	131	8
-7228	-8048	12128	-5	15	-19	-15776	-1816	-3392	8	9	-8	-15856	240	-3816	31	5	33	-6728	8208	13120	18	0	-18	-16408	728	-2384	-36	1	18	-16072	2512	-2128	23	12	6	122	131	8
-7160	-7980	11992	-12	12	-24	-15752	-1928	-3272	10	13	-2	-15696	184	-3848	13	-2	31	-6656	8200	12776	18	-2	-16	-16552	688	-2328	-44	0	19	-15984	2440	-2288	28	18	3	121	131	8
-7224	-8028	12028	-10	13	-18	-15704	-1680	-3344	-5	11	-7	-15624	280	-3984	3	-2	20	-6688	8264	13016	16	0	-15	-16408	616	-2472	5	-7	20	-16032	2568	-2448	29	22	3	121	131	8
-7224	-7980	12028	-9	9	-24	-15712	-1768	-3448	-9	9	-6	-15640	280	-3904	1	-2	18	-6736	8272	13080	19	1	-15	-16328	784	-2384	45	-2	18	-15976	2584	-2320	34	15	1	121	131	8
-7248	-7988	12060	-9	13	-23	-15864	-1568	-3144	-7	8	-10	-15592	152	-3776	-6	0	17	-6792	8352	13096	19	-6	-15	-16464	952	-2536	37	-1	16	-15960	2672	-2328	30	-2	-2	121	131	8
