#Activity	up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	10 8 10 8 10 8 10 8 
#Date 08-22-17-51
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7132	-8040	12104	-8	11	-20	-15896	-1976	-2880	2	-2	-8	-15840	-376	-3320	25	-26	32	-6720	8096	12968	20	-7	-15	-16344	576	-2448	35	-29	24	-16080	2320	-1832	28	-10	15	120	130	10
-7176	-8052	12092	-10	11	-21	-15752	-2120	-2832	9	6	1	-15896	-304	-3648	35	-15	43	-6648	8104	13200	17	-5	-17	-16336	728	-2472	20	-22	23	-16264	2520	-1496	21	-16	14	120	130	10
-7208	-8008	11964	-7	14	-27	-15760	-2056	-2984	35	10	-1	-15800	-304	-3728	52	-7	44	-6808	8184	13088	20	6	-23	-16440	496	-2224	-7	-12	24	-16096	2536	-2040	21	-10	19	119	130	10
-7268	-7920	12008	-9	11	-23	-15760	-1976	-3128	35	19	1	-15832	-312	-3712	42	-8	38	-6624	8224	13048	19	3	-17	-16584	528	-2632	-5	-4	23	-16080	2488	-1728	40	-4	14	119	130	10
-7304	-7892	12008	-8	10	-18	-15952	-1928	-3160	19	21	-1	-16032	-144	-3768	23	-12	38	-6832	8136	13240	13	1	-19	-16592	544	-2408	-7	-2	23	-16272	2504	-1992	34	7	13	120	130	10
-7332	-7920	12136	-11	9	-20	-15888	-1736	-3016	2	20	3	-15808	-112	-4152	14	-6	36	-6856	7960	12864	19	-1	-13	-16520	632	-2576	-5	4	25	-16200	2536	-2216	13	4	10	120	130	10
-7196	-7996	12064	-8	11	-20	-15752	-1944	-3072	-18	16	3	-15696	-128	-4080	5	-9	32	-6576	8272	13096	19	1	-16	-16472	720	-2712	-14	9	23	-16048	2448	-2040	0	6	5	120	131	10
-7032	-7904	12008	-10	13	-20	-15776	-2048	-3016	-9	14	4	-15560	-176	-4040	-12	-15	35	-6640	8256	12960	18	5	-19	-16408	712	-2632	-22	6	22	-15888	2536	-1928	-5	6	11	120	131	10
-7192	-8044	12124	-5	11	-25	-15832	-1888	-3120	1	12	6	-15488	-112	-4064	-5	-23	33	-6720	8112	13072	19	5	-17	-16392	552	-2592	-19	3	24	-15904	2368	-2480	9	9	17	119	131	10
-7180	-7896	11960	-5	11	-25	-15760	-1856	-3168	6	3	5	-15632	48	-3872	9	-27	28	-6632	8136	13160	24	0	-20	-16440	480	-2840	4	-5	25	-15928	2320	-2176	7	6	13	119	131	10
-7244	-7928	12076	-10	9	-27	-15856	-1848	-3496	-9	-2	3	-15616	64	-4000	-5	-31	21	-6696	8168	13152	15	-2	-14	-16464	456	-2792	12	-15	29	-15864	2344	-2472	16	6	8	120	131	10
-7312	-7916	12064	-10	9	-23	-15696	-1904	-3280	-29	-12	1	-15656	232	-4024	-40	-28	24	-6840	8024	13216	21	-6	-20	-16464	496	-2992	14	-15	30	-15984	2312	-2232	9	6	3	120	131	10
-7284	-7972	12060	-5	4	-24	-15688	-1800	-3144	-27	-18	0	-15632	-24	-4024	-47	-24	15	-6624	8120	12968	19	-4	-16	-16488	648	-2784	-4	-10	27	-15952	2656	-2160	-3	8	2	120	130	10
-7180	-7896	12100	-8	10	-22	-15840	-1928	-2968	-10	-22	-2	-15776	32	-4168	-46	-22	3	-6672	8208	13152	17	3	-14	-16408	560	-2672	0	-12	25	-15936	2592	-2056	-26	9	5	120	130	10
-7172	-8040	12044	-11	12	-23	-15880	-2056	-3312	-24	-18	0	-15736	-16	-3888	-61	-18	-1	-6632	8120	12984	22	-2	-19	-16320	752	-2680	-2	-18	25	-15968	2440	-2016	-27	7	6	120	131	10
-7200	-8060	11936	-12	11	-19	-15624	-1904	-3120	-27	-23	1	-15776	-64	-3664	-57	-20	1	-6600	8088	13176	18	1	-17	-16520	568	-2736	-4	-21	23	-15912	2360	-1912	-11	6	6	120	131	10
-7020	-7960	11940	-13	14	-24	-15696	-1920	-2944	-20	-19	-2	-15824	-320	-3392	-47	-23	4	-6632	8224	13248	17	5	-18	-16504	616	-2672	3	-28	26	-15992	2344	-2112	19	20	-2	120	131	10
-7156	-8028	11984	-12	10	-20	-15704	-1848	-3024	-12	-12	3	-15768	-296	-3584	-57	-11	10	-6792	8104	13000	20	4	-17	-16544	696	-2800	7	-28	22	-16144	2344	-2120	34	17	-6	120	131	10
-7152	-7856	11944	-12	7	-17	-15680	-1832	-3320	-35	-7	0	-15704	-296	-3776	-49	-6	20	-6552	8120	13112	21	7	-14	-16448	592	-2880	26	-23	20	-16048	2480	-2104	35	17	1	120	131	10
-7316	-7996	12136	-9	10	-15	-15704	-2008	-3136	-21	1	4	-15800	-264	-3600	-32	-5	29	-6656	8208	13168	19	5	-17	-16352	784	-2472	30	-24	26	-16048	2536	-2000	44	13	11	120	131	10
-7228	-7888	11964	-3	12	-18	-15640	-1904	-3032	4	5	2	-15824	-216	-3680	-5	4	38	-6672	8136	13136	16	1	-17	-16536	680	-2512	10	-15	25	-16032	2376	-2248	63	15	21	121	132	10
-7184	-7948	12016	-9	10	-20	-15656	-1800	-2976	-4	11	2	-15800	-184	-3776	9	14	53	-6544	8208	12864	19	0	-18	-16424	704	-2680	24	-11	25	-16112	2352	-2168	72	11	21	121	132	10
-7028	-7896	12052	-9	11	-17	-15672	-1792	-2984	-1	16	7	-15808	-360	-3472	31	13	53	-6784	8200	13160	15	-1	-17	-16248	568	-2464	37	-10	26	-15992	2456	-2016	82	7	20	121	132	10
-7000	-7808	11920	-5	11	-25	-15688	-1672	-3016	-5	27	9	-15744	-248	-3472	46	6	49	-6840	8128	13112	18	1	-21	-16400	792	-2248	36	-6	32	-16192	2608	-1808	84	-3	21	121	132	10
-7348	-7984	12188	-6	13	-17	-16032	-1832	-2904	10	32	4	-15928	-96	-3752	47	9	57	-6736	8344	13216	18	0	-21	-16512	944	-2808	26	3	27	-16016	2840	-2152	78	1	23	121	132	10
-7164	-7784	12204	1	11	-25	-16024	-1696	-2904	25	41	4	-15976	0	-3904	38	24	62	-6728	8336	13264	20	7	-18	-16576	784	-2536	18	10	20	-16040	2616	-1944	75	15	22	121	132	10
-7104	-7880	12072	0	12	-26	-15816	-1784	-3336	32	35	12	-15664	112	-3928	31	38	70	-6752	8200	12736	18	2	-21	-16368	784	-2736	0	1	24	-15992	2600	-2264	64	34	29	121	132	10
