#Activity	standing down_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator 
#ActivityID	8 11 8 11 8 11 8 11 
#Date 08-22-17-52
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7144	-7876	12056	-6	14	-24	-15776	-1856	-3640	7	11	-15	-15536	392	-4392	-5	3	17	-6856	8240	13040	12	-4	-23	-16408	760	-2560	11	14	5	-15936	2456	-2616	21	16	-12	122	131	8
-7248	-7944	12068	-4	9	-25	-15664	-1632	-3376	10	11	-16	-15584	120	-4304	18	15	21	-6728	8192	13224	10	-5	-25	-16544	760	-2544	6	9	0	-16032	2584	-2704	6	10	-7	122	131	8
-7168	-7876	12128	-1	5	-26	-15568	-1736	-3360	21	12	-17	-15592	-40	-4184	28	1	21	-6808	8136	13312	12	-7	-19	-16448	760	-2696	-4	5	10	-15888	2512	-2768	-5	12	-12	122	131	8
-7208	-7948	12156	-9	12	-28	-15952	-1776	-3328	28	16	-14	-15768	136	-3984	33	-10	14	-6688	8240	13088	16	-6	-19	-16336	664	-2608	-25	12	5	-15976	2392	-2640	-16	18	-18	122	131	8
-7236	-7948	12168	-10	14	-31	-15880	-1616	-3480	13	12	-15	-15856	288	-4056	20	-8	14	-6808	8176	13120	15	1	-20	-16408	688	-2504	-20	10	6	-15976	2280	-2672	-23	16	-15	122	131	8
-7180	-7896	12004	-10	12	-24	-15608	-1536	-3208	-1	9	-11	-15624	392	-4080	0	0	12	-6736	8176	13304	15	-12	-18	-16312	552	-2480	2	11	8	-15840	2224	-2224	-16	16	-15	122	131	8
-7232	-7920	12060	-11	12	-31	-15616	-1816	-3400	9	9	-16	-15456	432	-4144	-15	2	7	-6616	8344	13168	18	-10	-20	-16368	816	-2504	5	15	14	-15928	2336	-2472	1	7	-8	122	131	8
-7212	-7892	12116	-10	10	-28	-15816	-1768	-3248	23	7	-17	-15624	120	-4008	-19	-7	1	-6648	8208	12848	15	-13	-14	-16488	648	-2600	-2	17	10	-15968	2400	-2464	21	-1	1	122	131	8
-7184	-7892	12068	-8	11	-29	-15776	-1856	-3272	28	17	-17	-15736	-80	-4080	1	-4	2	-6656	8264	12976	14	-8	-19	-16440	696	-2680	-3	16	2	-16136	2456	-2712	31	4	-2	122	131	8
-7128	-7944	11952	-9	13	-26	-15776	-1728	-3376	32	18	-16	-15784	-152	-4168	24	1	7	-6696	8208	13352	19	3	-22	-16400	576	-2968	-8	13	10	-15856	2360	-2976	30	9	-3	122	130	8
