#Activity	up_by_elevator standing up_by_elevator standing up_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	10 8 10 8 10 8 11 8 11 8 11 8 
#Date 08-22-17-54
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7108	-7940	12108	-9	12	-21	-15856	-1504	-3288	-5	10	-4	-15680	352	-4032	-25	3	16	-6632	8176	12944	22	-6	-21	-16472	880	-2272	-15	-1	17	-16048	2592	-1744	1	13	5	121	132	10
-7236	-7916	12188	-8	14	-21	-15856	-1664	-3280	9	8	-6	-15760	328	-4144	-16	3	18	-6704	8296	13256	18	-6	-21	-16704	744	-2216	-10	-1	18	-15944	2648	-2112	22	21	6	121	132	10
-7176	-7968	12076	-10	13	-21	-15816	-1728	-3264	1	11	-9	-15616	264	-4184	-7	6	28	-6608	8384	13336	18	-1	-19	-16616	664	-2112	6	-6	19	-15960	2688	-2040	31	26	2	121	132	10
-7256	-7860	11996	-13	16	-25	-15608	-1576	-3336	-3	3	-6	-15592	344	-3984	3	9	25	-6640	8120	12856	19	-1	-18	-16472	832	-2024	19	-5	21	-16048	2744	-1760	16	26	-3	121	132	10
-7200	-7860	12092	-13	13	-25	-15904	-1640	-3176	-3	4	-10	-15584	336	-4104	13	-6	29	-6704	8160	12792	12	-1	-23	-16512	896	-2024	13	1	20	-16152	3048	-2040	-2	19	-5	122	132	10
-7236	-7944	12036	-9	11	-24	-15808	-1784	-3448	6	7	-9	-15712	448	-4192	14	-21	29	-6704	8232	13048	14	5	-21	-16480	936	-2064	-15	5	18	-16016	2992	-2120	-20	18	2	122	132	10
-7156	-7964	12072	-12	12	-27	-15784	-1768	-3136	12	5	-8	-15752	456	-3864	14	-10	22	-6576	8224	13144	15	-4	-19	-16560	760	-1928	-16	7	13	-16136	2784	-1832	-24	19	1	121	132	10
-7212	-7960	11964	-14	13	-24	-15744	-1736	-3360	3	6	-5	-15648	352	-4088	13	-11	13	-6696	8360	13120	19	-5	-18	-16520	832	-2272	-11	4	18	-16120	2680	-1936	-5	25	-3	121	131	10
-7204	-7844	12132	-9	17	-20	-15800	-1680	-3320	8	5	-7	-15632	440	-4192	0	-8	14	-6744	8168	13176	16	-4	-24	-16536	728	-2352	2	1	18	-15912	2728	-1808	5	28	-7	121	132	10
-7104	-7892	12076	-15	18	-23	-15720	-1688	-3632	10	0	-12	-15672	624	-4400	-5	-4	21	-6688	8224	13168	17	-6	-17	-16616	848	-2208	13	-6	15	-15928	2872	-2032	13	23	-6	121	132	10
-7192	-7888	12096	-9	13	-25	-15768	-1784	-3368	-3	-6	-6	-15704	504	-3960	-9	-6	21	-6696	8192	12984	21	2	-21	-16520	736	-2088	9	-1	18	-16096	2688	-2160	-1	19	-2	122	132	10
-7212	-7944	12120	-17	15	-31	-15664	-1432	-3136	-12	-1	-8	-15584	288	-4032	-3	-16	13	-6728	8224	13096	18	-3	-18	-16384	768	-2304	5	-4	20	-16032	2832	-2056	6	15	1	122	132	10
-7128	-7928	12100	-13	9	-22	-15688	-1680	-3192	-5	-1	-9	-15712	312	-3888	-7	-23	8	-6584	8240	12968	17	-1	-19	-16512	816	-2152	-4	-5	19	-15984	2672	-1880	13	13	7	122	131	10
-7184	-7932	12132	-6	12	-25	-15784	-1656	-3024	11	7	-10	-15776	336	-4024	-18	-18	10	-6712	8208	13264	14	-3	-16	-16520	904	-2088	0	-3	18	-15960	2728	-2008	14	11	3	121	132	10
-7192	-7924	12088	-12	12	-26	-15840	-1536	-3360	9	8	-12	-15648	296	-4016	-15	-11	12	-6776	8176	12904	15	-2	-17	-16424	736	-2096	10	-3	17	-16048	2888	-1872	14	15	-4	121	131	10
-7184	-7896	12120	-12	12	-22	-15632	-1528	-3712	10	4	-12	-15672	568	-4208	-12	-2	15	-6696	8304	13184	16	-2	-17	-16512	832	-2008	23	-4	18	-16096	2648	-1832	3	9	-7	121	132	10
-7180	-7884	12016	-15	13	-23	-15800	-1616	-3512	4	-1	-8	-15600	408	-4088	-1	-2	18	-6728	8072	13192	15	-12	-21	-16408	800	-2136	14	-5	20	-16088	2768	-1864	-3	6	-4	122	132	10
-7136	-7836	12124	-9	17	-26	-15880	-1696	-3408	11	-2	-11	-15856	256	-4192	6	-9	21	-6720	8128	13024	12	-4	-20	-16456	880	-1920	-8	-2	15	-15976	2760	-1776	-3	5	-4	121	132	10
