#Activity	standing walking standing 
#ActivityID	8 1 8 
#Date 08-22-18-37
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8276	-6936	12016	-13	11	-28	-15784	-2776	-3408	29	-25	-5	-15864	104	-4144	-17	-75	-9	-4016	8360	13776	16	-14	-8	-16376	1440	-3528	-39	-13	30	-15840	2360	-3352	-40	-16	1	125	130	8
-8252	-6888	11944	-15	14	-23	-15880	-2568	-3480	-9	-32	-1	-15768	48	-4144	-29	-72	-13	-3992	8368	13792	22	-7	-7	-16264	1600	-3336	-56	-11	26	-15848	2656	-3368	-40	-9	11	124	131	8
-8300	-6900	11900	-15	13	-20	-15600	-2640	-3264	-44	-43	0	-15736	48	-3872	-54	-71	-14	-3952	8392	13936	24	-7	-9	-16368	1496	-3624	-69	-21	25	-15760	2672	-3248	-61	-15	8	124	130	8
-8232	-6872	11872	-18	13	-25	-15624	-2624	-3376	-59	-41	6	-15720	8	-3856	-92	-74	-9	-4040	8248	13896	21	-12	-12	-16272	1360	-3472	-40	-21	19	-15776	2704	-2944	-66	-16	5	124	130	8
-8280	-6916	11940	-14	10	-26	-15632	-2760	-3168	-32	-37	0	-15688	32	-3744	-109	-79	-13	-4064	8464	13904	16	-8	-13	-16280	1384	-3448	-9	-26	23	-15888	2376	-3256	-48	-31	-3	124	130	8
-8300	-6940	11896	-9	9	-23	-15496	-2800	-3424	-5	-33	1	-15776	40	-3904	-114	-84	-20	-4016	8480	14104	18	-14	-12	-16240	1600	-3432	8	-28	25	-15848	2472	-3480	-12	-38	0	124	130	8
-8292	-6896	11884	-6	3	-21	-15648	-2488	-3504	-11	-35	1	-15768	200	-4144	-113	-73	-26	-4256	8384	13744	17	-6	-12	-16416	1720	-3384	-7	-37	21	-15664	2456	-3424	4	-40	4	124	130	8
-8312	-6868	12016	-8	4	-21	-15552	-2624	-3416	-42	-44	-2	-15640	112	-3864	-116	-74	-22	-4016	8512	13840	9	-10	-12	-16152	1584	-3392	-15	-46	13	-15840	2640	-3504	6	-31	14	124	130	8
-8304	-6868	12016	-8	7	-24	-15648	-2552	-3328	-47	-47	-7	-15696	72	-3584	-99	-70	-28	-4176	8416	13920	10	-13	-14	-16304	1416	-3360	2	-50	12	-15784	2624	-2872	4	-13	17	123	130	8
-8316	-6820	11912	-10	10	-20	-15888	-2704	-3328	-35	-49	-11	-15776	168	-3752	-61	-66	-23	-3992	8352	14072	10	-10	-13	-16352	1312	-3256	29	-58	16	-15936	2480	-3152	9	-12	3	123	130	8
-8296	-6900	12012	-14	10	-20	-15648	-2624	-3432	-24	-47	-9	-15888	-56	-3736	-46	-68	-24	-3904	8456	13624	12	-11	-18	-16176	1616	-3176	27	-49	11	-15872	2712	-2928	8	-15	-1	124	130	8
-8300	-6868	11860	-17	10	-22	-15528	-2640	-3208	-6	-43	-10	-15904	-136	-3672	-36	-59	-17	-3952	8520	13888	7	-5	-18	-16344	1680	-3200	2	-43	11	-16032	2840	-2656	7	-11	-6	124	130	8
-8280	-6940	11964	-21	14	-24	-15672	-2656	-3312	-7	-45	-16	-15944	-168	-3664	-34	-51	-13	-4104	8336	13832	3	-13	-18	-16208	1480	-3048	-2	-36	5	-15936	2688	-2464	-9	-4	-11	125	130	8
-8328	-6960	11832	-14	13	-26	-15712	-2536	-3216	-33	-43	-13	-15904	-240	-3536	-36	-53	-13	-3880	8440	13776	4	-7	-18	-16272	1432	-2912	34	-23	4	-15968	2480	-2648	0	5	-20	124	130	8
-8352	-6960	11908	-23	16	-22	-15696	-2600	-2880	-48	-42	-9	-15784	-120	-3352	-44	-43	-10	-3928	8328	13952	3	-5	-23	-16272	1496	-2856	46	-9	9	-16000	2552	-2632	20	7	-13	124	131	8
-8244	-6984	11908	-18	11	-17	-15576	-2672	-3160	-44	-32	-10	-15920	-184	-3624	-65	-40	-16	-4024	8344	14040	0	-6	-22	-16280	1528	-3240	31	0	10	-16064	2560	-2760	44	4	-15	123	131	8
-8296	-6948	12012	-16	14	-21	-15536	-2592	-3192	-37	-25	-8	-15712	-24	-3432	-79	-49	-17	-4120	8576	13640	2	-3	-24	-16368	1456	-3096	23	8	7	-16088	2848	-2824	53	22	-17	123	130	8
-8340	-6912	11908	-11	13	-19	-15672	-2720	-3048	-37	-17	-5	-15824	-128	-3744	-92	-43	-21	-4048	8360	14040	6	-4	-23	-16408	1408	-3200	24	16	13	-15864	2680	-2864	13	26	-17	124	130	8
-8344	-6808	11852	-13	14	-17	-15704	-2528	-3272	-37	-27	-1	-15832	-136	-3720	-102	-39	-18	-4016	8352	14008	8	-5	-22	-16336	1416	-2936	-3	20	14	-15928	2488	-2920	-34	28	-24	125	130	8
-8296	-6908	11920	-17	13	-19	-15688	-2600	-3216	-45	-23	-1	-15656	-152	-3872	-112	-33	-12	-4000	8408	14112	5	-2	-19	-16296	1544	-3032	-44	24	12	-15784	2496	-3168	-68	32	-19	125	130	8
-8324	-6908	11956	-16	13	-23	-15776	-2656	-3248	-42	-21	2	-15672	-200	-3712	-113	-33	-8	-4064	8560	13888	11	-10	-20	-16256	1416	-3440	-54	26	14	-15832	2312	-3000	-67	31	-12	124	130	8
-8284	-6904	11988	-11	16	-23	-15728	-2824	-3104	-32	-31	3	-15664	-368	-3896	-108	-31	-2	-4056	8376	13944	15	-3	-24	-16312	1384	-3400	-37	23	22	-15888	2304	-3280	-66	24	-6	123	130	8
-8272	-6864	12076	-11	11	-25	-15576	-2584	-3104	-37	-28	9	-15656	-200	-3784	-105	-30	-4	-3936	8552	14008	13	2	-24	-16200	1272	-3808	-7	20	26	-15936	2128	-3496	-49	24	-5	123	130	8
