#Activity	standing walking going_up walking going_up walking going_up walking going_up walking 
#ActivityID	8 1 3 1 3 1 3 1 3 1 
#Date 08-27-17-31
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7080	-8460	11592	-123	92	-208	-15816	416	-2912	476	-191	159	-15208	3488	-4712	36	-25	36	-10736	6000	11208	19	-1	-19	-16072	1904	-4472	-43	-20	21	-16096	1880	-3608	100	-198	-65	123	129	8
-7052	-8560	11520	-106	87	-247	-16040	72	-2784	-95	-61	-19	-15144	3400	-4624	35	-24	53	-10768	6016	11048	19	-2	-8	-15992	1848	-4184	-13	-11	15	-15768	1528	-3344	62	-201	-64	124	129	8
-7036	-8596	11548	-90	84	-218	-16120	-132	-2608	-85	-81	-87	-15272	2944	-4672	28	-15	47	-10864	6064	11176	18	-1	-5	-15840	1912	-4240	-4	-8	23	-15472	1512	-2944	0	-163	-7	124	129	8
-7020	-8656	11572	-45	91	-209	-16056	-288	-2636	132	-102	125	-15280	2824	-4464	24	-11	44	-10888	5872	11144	14	-12	-10	-15992	1968	-4352	-23	-19	31	-15384	1832	-3096	22	-92	17	123	133	8
-7100	-8460	11544	-82	96	-176	-16012	-92	-2804	449	-106	155	-15232	2968	-5040	14	-28	25	-10928	5960	11056	16	-18	-12	-16048	1976	-4152	-21	-11	32	-15952	1880	-3544	50	-74	-1	123	132	8
-7064	-8380	11612	-67	58	-198	-15908	312	-2832	196	-118	131	-14976	3448	-4816	27	-36	27	-10920	6152	11240	16	-23	-10	-16000	1776	-4152	11	-17	32	-16048	2176	-3928	86	-136	-42	123	129	8
-7024	-8524	11572	-105	102	-196	-16148	-80	-2716	-40	-94	99	-15200	3392	-4672	18	-31	41	-10952	5960	11152	11	-19	-8	-15856	1984	-4136	22	-23	39	-15352	1736	-3352	53	-105	-7	122	128	8
-7048	-8620	11580	-97	122	-154	-16044	-176	-2664	115	-100	127	-15344	3440	-4592	4	-30	29	-10904	6032	11264	15	-16	-7	-16096	2056	-4304	-7	-20	43	-15456	1696	-2680	18	-36	34	123	130	8
-6964	-8540	11512	-63	124	-156	-15940	68	-2832	23	-136	166	-15168	3208	-4672	-9	-31	13	-10928	6016	11184	12	-20	-13	-16112	1960	-4304	-16	-20	44	-15824	1712	-3224	50	29	36	123	129	8
-7080	-8504	11512	-56	86	-131	-16084	8	-2756	-22	-169	176	-15192	3080	-4768	-20	-16	13	-10912	5968	11392	18	-15	-9	-15968	1936	-4256	1	-23	39	-16008	2048	-3336	76	31	23	123	129	8
-7064	-8544	11568	-78	108	-107	-16136	100	-2820	17	-153	155	-15240	3048	-4808	-40	-11	16	-10736	6032	11032	23	-17	-12	-16024	2120	-4344	1	-16	45	-15744	2088	-3688	64	8	17	123	128	8
-7012	-8488	11440	-98	130	-118	-16096	76	-2584	-74	-99	184	-15352	3104	-4832	-44	-20	19	-11008	5984	10952	16	-17	-14	-15976	1984	-4224	-1	-18	50	-15840	2016	-3144	3	-4	29	123	129	8
-7072	-8524	11612	-84	152	-94	-16044	-12	-2628	37	-120	203	-15272	3272	-4544	-11	-46	19	-10792	6072	11112	20	-15	-13	-15928	1992	-4208	-1	-20	50	-15760	1944	-3352	16	26	38	122	130	8
-7104	-8508	11580	-66	129	-65	-16028	116	-2744	205	-129	267	-15232	3304	-4848	-3	-48	13	-10888	6088	11224	17	-16	-11	-16216	2096	-4376	-7	-23	51	-16000	1992	-3448	-2	46	38	122	128	8
-7136	-8528	11484	-78	169	-72	-16052	216	-2796	-67	-79	268	-15072	3408	-4680	-33	-32	12	-10776	6176	11184	19	-11	-13	-16000	2080	-4416	-14	-31	46	-16104	2264	-3608	35	44	12	122	130	8
-7044	-8520	11480	-74	150	-124	-16044	148	-2764	-315	-73	177	-15216	3408	-4640	-73	-21	8	-10824	6128	11272	20	-14	-12	-15936	1992	-4296	-18	-31	53	-16016	2064	-3640	11	3	6	123	130	8
-7068	-8596	11544	-106	151	-80	-16076	48	-2676	-350	-44	186	-15264	3480	-4624	-90	-13	6	-10840	5888	11048	17	-12	-8	-15912	2080	-4176	-21	-30	52	-15736	1880	-3576	4	-5	10	123	130	8
-7024	-8528	11600	-67	192	-54	-16116	36	-2636	-304	-58	191	-15344	3224	-4560	-81	-21	1	-10920	5968	11120	19	-18	-2	-15776	2072	-4344	-15	-32	46	-15512	1656	-3464	0	-3	32	122	128	8
-7052	-8436	11496	-75	109	-71	-15844	436	-2640	-287	-62	179	-15432	3320	-4560	-76	-22	2	-10792	6056	11256	14	-14	-3	-15936	2064	-4136	-15	-37	56	-15984	1744	-3264	18	1	32	123	131	8
-7088	-8456	11572	-90	103	-92	-16056	216	-2748	-371	-50	158	-15136	2992	-4448	-78	-13	19	-10944	6152	11008	15	-10	-2	-16080	1968	-4136	-11	-31	52	-16024	2016	-3560	54	-11	7	122	128	8
-7088	-8476	11612	-64	145	-110	-16064	180	-2792	-308	-17	191	-15264	2992	-4768	-92	-8	38	-10816	6096	11136	21	-11	-9	-16112	1912	-4440	-17	-45	60	-15688	2032	-3552	46	-21	12	122	128	8
-7060	-8548	11532	-92	166	-111	-16072	-48	-2644	-135	-16	252	-15184	2760	-4568	-47	-26	44	-10856	6016	11192	22	-7	-7	-15816	1968	-4184	-7	-35	55	-15648	1920	-3280	16	-4	25	124	129	8
-7048	-8580	11560	-70	146	-104	-16064	108	-2592	66	-27	309	-15472	2896	-4592	18	-37	42	-10768	6072	11192	17	-8	1	-15824	2168	-4024	0	-35	49	-15632	1840	-2744	23	41	55	123	129	8
