#Activity	standing walking going_down walking going_down walking going_down walking going_down walking 
#ActivityID	8 1 4 1 4 1 4 1 4 1 
#Date 08-27-17-39
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-5632	-8672	12188	-76	105	-223	-15780	680	-2268	495	308	42	-15208	3016	-4280	113	-15	47	-10936	5968	11304	20	-13	-19	-16232	2176	-3680	30	-73	57	-16088	1560	-2352	-2	80	71	125	131	8
-5604	-8836	12216	-86	85	-217	-16208	-188	-2176	217	225	-95	-15320	2888	-4112	110	-1	51	-10928	5904	10984	12	-6	-8	-15920	2256	-3728	46	-58	32	-16160	1904	-2392	33	103	67	124	128	8
-5596	-8852	12076	-52	49	-243	-16184	-248	-2144	397	161	-40	-15560	3032	-4192	91	-2	48	-10768	5984	11064	16	1	-6	-15968	2344	-3752	21	-52	35	-15808	1928	-2640	71	133	48	125	130	8
-5688	-8908	12012	-47	92	-192	-16140	40	-2088	482	167	59	-15624	2928	-4304	86	-7	44	-10944	6048	11256	14	0	-1	-15984	2392	-3952	-7	-32	22	-16016	1656	-2552	100	83	28	125	130	8
-5508	-8692	12156	-5	57	-259	-16044	628	-2024	304	172	-40	-15440	3184	-3992	93	-17	36	-10736	6296	11128	17	-8	-15	-16176	2216	-3528	20	-20	17	-16096	1560	-2496	139	61	30	125	128	8
-5496	-8352	12312	-130	55	-325	-15912	864	-2012	93	256	-176	-15216	3104	-3808	75	-19	45	-10712	6072	11120	24	-3	-28	-16152	1984	-3720	47	-19	23	-15960	1768	-2616	122	80	22	124	130	8
-5548	-8684	12168	-214	114	-308	-16316	-280	-1960	550	244	-136	-15592	3056	-3800	83	-22	77	-10872	6048	10992	19	-7	-25	-15880	2136	-3664	77	-8	21	-15984	1936	-2944	119	75	41	124	132	8
-5588	-8904	12196	-222	187	-239	-16348	-600	-1880	1545	200	52	-15832	2960	-3784	121	-53	78	-10872	5944	11232	15	-12	-24	-16152	2640	-3720	36	-4	11	-15800	2272	-3256	94	83	39	125	129	8
-5568	-9016	12112	-163	152	-180	-16132	-188	-2040	1709	146	227	-15744	2736	-4088	161	-48	31	-10872	6008	11304	20	4	-35	-16280	2392	-3896	-51	2	7	-15552	2160	-3512	14	107	21	125	129	8
-5576	-8768	12260	-77	92	-169	-16032	544	-2420	770	96	96	-15248	2968	-4280	136	-12	1	-10888	5840	11168	16	12	-31	-16296	2000	-4216	-40	3	-6	-15688	2184	-3160	-89	139	22	124	129	8
-5664	-8672	12188	-53	48	-194	-16196	544	-2428	-456	201	-216	-15352	3488	-4488	48	36	1	-10776	6000	11280	15	2	-21	-15832	2056	-3832	3	2	-3	-16104	2552	-3640	-64	151	-8	124	129	8
-5556	-8488	12312	-66	55	-218	-16008	772	-2312	-1055	177	-444	-15344	3952	-4152	-53	47	25	-10800	5920	11080	19	19	-35	-16128	2152	-4096	-6	-19	11	-15960	1896	-3488	-29	153	-8	125	130	8
-5604	-8620	12152	-146	27	-296	-16144	268	-2128	-1165	235	-566	-15160	3680	-4208	-103	17	52	-10840	5712	11200	24	19	-31	-16280	2048	-3992	-9	-6	11	-15864	1480	-3208	-119	156	23	125	129	8
-5540	-8832	12200	-227	134	-274	-16412	-648	-2056	-74	71	-298	-15408	2624	-4096	-85	-6	56	-10952	6032	10768	13	16	-25	-15856	2272	-3760	-5	0	-6	-15632	1344	-3024	-124	177	53	126	130	8
-5620	-8884	12192	-228	184	-186	-16232	-716	-1968	1174	29	167	-15688	2104	-4280	-33	-8	21	-10944	6048	11016	10	3	-17	-15616	2432	-3984	-21	0	3	-15848	1984	-3224	-14	123	20	125	128	8
-5600	-8852	12104	-138	156	-214	-16008	48	-2196	1285	21	226	-15760	2152	-4392	52	-4	0	-10936	6256	11240	12	-7	-23	-16160	2200	-3656	-17	4	6	-15976	2160	-3320	55	82	0	125	130	8
-5628	-8724	12212	-112	97	-173	-16044	504	-2436	340	-11	-7	-15280	2744	-4456	94	2	-1	-10808	6040	11112	18	-4	-36	-16368	2056	-3952	-8	13	15	-15848	1624	-3192	-10	94	19	126	132	8
-5664	-8888	12064	-47	44	-216	-16204	648	-2308	-850	87	-296	-15272	3336	-3984	40	4	25	-10856	5848	10960	22	9	-38	-16128	2032	-3936	27	1	8	-15720	1656	-3408	-48	166	25	124	129	8
-5592	-8664	12304	-51	3	-276	-16024	420	-2052	-1326	128	-559	-15272	3320	-4008	-2	-4	48	-10824	5864	11168	25	5	-27	-15856	1944	-3744	49	0	15	-15744	1880	-3688	-58	195	53	126	129	8
-5504	-8724	12276	-106	54	-276	-16348	-564	-1920	-367	48	-378	-15536	2456	-4416	28	11	70	-11056	5936	11056	18	6	-18	-16016	2272	-3720	50	1	28	-15488	1880	-3664	-90	190	61	125	130	8
-5560	-8752	12240	-191	217	-156	-16464	-688	-2256	1340	-154	92	-15768	2424	-4240	63	8	78	-10904	5880	11248	15	1	-15	-16024	2392	-3936	-33	21	-4	-16016	2120	-3872	-75	134	15	125	131	8
-5584	-8760	12068	-211	234	-179	-16008	-60	-2436	1457	-179	444	-15352	2912	-4360	96	-7	72	-10848	6144	11256	15	-1	-18	-15984	2224	-3864	-61	23	-6	-16104	2312	-4040	-61	62	-14	125	130	8
-5540	-8860	12236	-105	104	-167	-15968	456	-2120	361	-135	148	-15192	3168	-4360	82	-14	44	-10944	6056	10984	14	-7	-24	-16144	1960	-4016	-10	18	5	-15912	1872	-3928	-85	27	2	125	130	8
-5556	-8688	12264	-47	56	-189	-15848	384	-2112	-787	51	-266	-15200	3208	-4288	46	-16	14	-10952	6016	11208	22	-1	-27	-16320	2072	-4224	24	13	26	-16080	1648	-3664	-94	7	24	125	130	8
-5604	-8732	12148	-15	-60	-286	-15912	456	-1984	-1584	135	-379	-15656	3432	-3744	19	-6	45	-10936	5912	11184	27	10	-31	-16312	2000	-4208	37	8	30	-15992	1504	-3720	-48	29	28	125	131	8
-5560	-8848	12228	-55	36	-239	-16412	-504	-2024	-1242	134	-378	-15480	3152	-3920	-68	-8	63	-11136	5912	11072	27	19	-16	-15872	2048	-3824	46	8	23	-15440	1632	-3728	8	42	14	125	129	8
-5596	-8856	12212	-89	126	-180	-16444	-852	-2072	359	-54	79	-15520	2384	-4168	-152	-14	55	-10928	6032	10880	20	16	-16	-15760	2344	-4176	-9	10	22	-15336	1824	-3952	39	41	11	125	130	8
-5584	-8864	12160	-77	163	-170	-16140	-304	-2156	1109	-111	476	-15600	2424	-4456	-93	-17	28	-10992	6016	10984	13	3	-12	-15816	2400	-3872	-50	15	18	-15576	1984	-4352	34	-1	30	125	130	8
-5556	-8812	12196	-118	110	-177	-16124	-144	-2144	1092	-89	453	-15480	2512	-4248	25	-27	28	-10800	6144	11000	16	-11	-21	-16112	2088	-4136	-41	16	22	-15832	2072	-3776	-24	-1	35	125	129	8
-5584	-8812	12156	-68	76	-206	-16072	232	-2160	-450	54	46	-15480	2680	-4128	90	-32	29	-10904	5976	10864	17	-21	-21	-15952	1848	-4112	15	-2	37	-15520	2016	-3912	-66	-1	58	124	130	8
-5548	-8668	12296	-5	72	-160	-16200	-32	-2228	-530	43	-44	-15560	2864	-4088	79	-39	25	-10800	6168	11384	20	-22	-19	-16144	2168	-4024	47	-23	49	-15672	2232	-3896	-47	24	43	124	130	8
-5524	-8648	12256	-20	63	-167	-16072	12	-2116	-496	35	-51	-15400	3512	-4104	25	-50	33	-10912	5968	11176	23	-7	-16	-16152	2072	-3936	23	-35	53	-15896	1936	-4096	12	45	8	125	129	8
-5556	-8656	12300	-32	58	-184	-16136	-60	-2136	-438	68	159	-15104	3704	-4104	-58	-57	33	-10920	5880	10944	21	1	-10	-15928	2104	-4032	13	-25	40	-15680	2016	-4016	28	41	0	125	128	8
-5564	-8800	12140	19	54	-201	-16176	-232	-2032	116	-14	227	-15384	3032	-3864	-89	-50	23	-11024	5952	11104	16	-3	-1	-15936	2320	-3680	-10	-14	41	-15592	1992	-3520	-4	7	4	124	129	8
-5564	-8768	12144	54	83	-224	-16096	0	-2024	348	19	311	-15696	2520	-3976	-66	-24	10	-10912	6080	11216	11	-10	-5	-16120	2432	-3984	-34	-17	43	-15568	2032	-3440	-50	0	39	125	129	8
