#Activity	standing going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 4 8 
#Date 08-27-17-45
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-5328	-9528	11816	-83	50	-223	-16160	868	-1992	100	-54	-157	-15744	3232	-3400	-90	-21	-9	-10496	6560	11144	13	-6	-28	-15824	3408	-4096	27	6	-6	-16200	2888	-2272	63	-21	-31	122	121	8
-5408	-9440	11692	-68	62	-213	-16292	792	-2332	167	-130	-157	-15888	3120	-3232	-59	-19	-3	-10424	6416	11400	14	0	-31	-15816	3448	-4152	-44	11	-8	-15816	2504	-2536	83	-43	-40	122	128	8
-5364	-9372	11720	-56	45	-231	-16072	948	-2148	38	-106	-150	-15560	3368	-3136	-40	-17	-3	-10536	6352	11256	6	-6	-27	-15896	3000	-4024	-26	13	-12	-15808	2600	-1928	25	-17	4	122	128	8
-5288	-9424	11704	16	23	-229	-16100	928	-2148	-46	-197	-238	-15552	3024	-3008	-33	-9	-3	-10416	6392	11216	9	-9	-22	-16104	3000	-3968	34	7	-7	-16080	2784	-2208	8	12	13	122	127	8
-5300	-9364	11784	-43	52	-186	-16284	916	-2220	-24	-301	-266	-15752	3096	-3056	-37	2	9	-10496	6728	11296	15	-13	-21	-16040	3336	-3952	61	3	-1	-16240	3304	-2304	11	-37	-24	122	122	8
-5336	-9376	11856	-93	77	-211	-16064	888	-2328	-109	-251	-248	-15776	3152	-3120	-37	11	23	-10512	6312	11400	10	-10	-27	-15672	3432	-4144	10	15	-11	-15896	2808	-1944	1	-64	-47	121	132	8
-5368	-9316	11836	-41	61	-313	-16000	900	-2052	-109	-221	-200	-15664	3040	-2888	-18	-4	18	-10552	6328	11248	8	-14	-28	-15952	2968	-3816	-21	24	-23	-15912	2240	-1984	-48	-74	-15	122	128	8
-5248	-9512	11884	-74	-11	-232	-16176	884	-1840	-74	-209	-219	-15696	3032	-2912	-5	-9	15	-10392	6448	11352	3	-13	-24	-16104	2960	-4040	-16	24	-16	-15984	2248	-2216	-41	-41	20	122	126	8
-5340	-9384	11896	-82	50	-168	-16236	796	-2120	104	-249	-225	-15824	3120	-2720	-3	-4	16	-10520	6472	11224	8	-10	-22	-16024	3024	-3816	2	26	-12	-16176	2600	-2072	26	-29	2	122	134	8
-5328	-9292	11832	-106	58	-232	-16100	824	-1952	207	-129	-77	-15856	3112	-2848	10	-4	15	-10456	6480	11280	9	-1	-23	-15864	3240	-4152	-12	18	-9	-16128	2896	-2528	37	-38	-25	122	127	8
-5236	-9388	11808	-43	78	-292	-16060	864	-1888	248	-96	-66	-15784	2928	-2648	11	-13	6	-10528	6376	11192	11	-5	-26	-15952	3064	-4144	-10	16	-8	-15944	2448	-2096	-1	-44	-13	122	129	8
-5336	-9496	11880	-62	49	-220	-16212	856	-1916	127	-99	-130	-15856	3064	-3136	-6	-16	14	-10576	6472	11264	11	-2	-24	-15968	2952	-4040	27	13	-4	-16024	2408	-2416	14	-33	18	122	130	8
-5312	-9324	11892	-80	68	-244	-16148	840	-2136	65	-14	-111	-15712	2992	-2832	-22	-23	21	-10480	6520	11328	11	-4	-23	-16000	3008	-3968	20	-3	4	-16264	2560	-2120	60	-26	10	122	130	8
-5292	-9340	11760	-17	45	-238	-16100	832	-2052	23	39	-71	-15568	3120	-2760	-34	-31	21	-10520	6608	11600	14	4	-23	-15880	3048	-4592	-32	-3	8	-15992	2704	-2840	75	-5	-14	122	127	8
-5280	-9356	11936	11	-8	-257	-16056	868	-1864	9	52	-135	-15672	3176	-2808	-40	-20	13	-10544	6408	11368	10	-5	-21	-15880	2800	-4256	-17	-9	12	-15720	2576	-2112	19	2	-10	122	128	8
-5280	-9452	11896	66	48	-124	-16468	704	-2144	322	-148	-182	-15840	3192	-2976	-39	4	20	-10432	6592	11432	15	-14	-17	-15872	2952	-4184	30	-21	11	-16032	2712	-2000	-1	14	9	122	128	8
-5284	-9236	11956	-16	107	-100	-16192	892	-2380	316	-104	-88	-15736	3616	-3400	-50	9	29	-10512	6376	11352	14	-12	-28	-15856	3104	-3952	33	-26	21	-16040	2888	-1896	-4	4	3	122	127	8
-5308	-9264	11852	-123	158	-209	-16128	960	-2264	167	-145	-38	-15424	3176	-3320	-20	12	30	-10432	6464	11168	13	-10	-20	-15808	3216	-4320	7	-10	14	-15984	2752	-2112	-23	10	-8	121	132	8
-5288	-9464	11896	-89	121	-141	-16176	936	-2144	-35	-250	-263	-15632	3176	-3248	2	15	20	-10448	6384	11264	13	-9	-20	-15880	3120	-4056	-21	-2	4	-15936	2584	-2040	-31	19	-3	122	132	8
-5284	-9340	11784	-121	130	-133	-16164	856	-2424	-213	-324	-283	-15600	3128	-3136	12	22	27	-10392	6504	11456	14	-1	-21	-16064	3184	-4056	-44	-4	5	-15872	2616	-1720	-23	24	-5	122	127	8
-5292	-9352	11912	-96	119	-223	-16036	740	-2072	-250	-242	-110	-15528	3128	-3320	23	16	31	-10488	6280	11456	12	-4	-22	-15824	2968	-3992	-27	5	1	-15936	2640	-1928	-31	31	-11	121	130	8
-5324	-9396	11840	-49	68	-236	-16084	768	-1856	-146	-307	-163	-15632	3104	-2992	30	-4	20	-10560	6360	11208	11	-11	-13	-15776	3096	-3864	-5	9	0	-15968	2664	-2032	-34	34	-14	122	136	8
-5324	-9336	11876	-46	51	-269	-16068	864	-1896	-220	-245	-178	-15624	3112	-2992	27	-7	14	-10400	6416	11120	11	-9	-21	-16104	3080	-3728	-10	17	11	-16224	2576	-2160	-20	32	-23	122	126	8
-5196	-9368	11912	5	-9	-264	-16028	836	-1844	-283	-146	-94	-15808	3080	-2632	-3	-16	1	-10624	6336	11344	15	-8	-27	-15944	2968	-4312	-25	19	6	-15968	2480	-1944	-1	25	-22	122	130	8
-5200	-9460	11848	-40	39	-215	-16328	760	-1868	-37	-187	-147	-15752	3416	-2928	-50	-11	-6	-10488	6344	11208	8	-4	-19	-15728	2928	-4008	-10	23	-6	-15904	2472	-2112	-31	18	-20	122	128	8
-5348	-9264	11832	-108	102	-168	-16140	928	-1888	-64	-110	-93	-15824	3432	-2784	-102	-9	-7	-10392	6640	11152	7	-2	-19	-15880	3128	-3992	-11	27	-5	-16208	2976	-2128	-32	27	-18	122	140	8
-5316	-9368	11892	-89	91	-209	-16108	888	-1948	-124	-42	-62	-15632	3256	-2856	-117	-6	-21	-10464	6456	11104	14	-1	-21	-15952	3016	-4240	-40	25	-4	-15936	2752	-2064	-58	18	-23	122	130	8
-5312	-9468	11836	-73	68	-172	-16288	788	-1876	23	-74	-98	-15840	3120	-2808	-136	-6	-28	-10568	6456	11232	11	-3	-28	-15896	2920	-4312	-37	26	-7	-15936	2368	-1976	-82	9	-25	122	128	8
-5232	-9276	11900	-91	97	-183	-16132	848	-2156	-103	-69	-152	-15776	3208	-3112	-132	4	-20	-10496	6288	11200	14	0	-21	-15912	2848	-4232	-18	22	0	-15960	2160	-2032	-77	29	-12	122	128	8
-5264	-9424	11792	-60	83	-158	-16200	860	-2016	-243	-42	-137	-15544	2912	-3168	-113	8	-10	-10496	6416	11096	13	-9	-19	-16032	2784	-3928	13	18	6	-16144	2344	-2000	-41	22	-14	122	132	8
-5340	-9296	11944	-69	80	-179	-16148	812	-1988	-183	-101	-145	-15840	2832	-3224	-90	3	-5	-10400	6512	11344	16	-8	-22	-15840	3264	-3968	8	18	3	-16112	2552	-2192	11	6	-21	122	129	8
-5296	-9320	11852	-111	103	-220	-16036	928	-1912	-131	-85	-74	-15688	2776	-3184	-35	2	5	-10456	6496	11256	13	1	-22	-15832	3200	-4120	-28	21	3	-16024	2472	-2464	28	2	-16	122	130	8
-5272	-9340	11776	-121	82	-228	-16092	704	-1908	-142	-56	-108	-15640	2824	-2896	18	-9	9	-10552	6264	11416	17	-5	-24	-15920	2960	-4312	-30	7	8	-15984	2392	-2016	-1	21	5	122	129	8
-5256	-9408	11856	-68	73	-263	-16208	744	-1852	131	-124	-89	-15680	2880	-3112	39	-11	22	-10512	6288	11272	14	1	-20	-16088	2792	-4224	7	-4	15	-16048	2656	-2496	32	52	12	122	129	8
-5280	-9524	11784	-72	79	-138	-16280	788	-1980	355	-195	-140	-15808	3128	-3128	56	-5	23	-10504	6400	11064	17	0	-16	-15816	2872	-4368	22	-16	23	-15936	2704	-2456	34	52	-8	122	128	8
-5264	-9352	11808	-139	148	-140	-16288	756	-2176	331	-185	-118	-15832	3296	-3048	66	18	37	-10320	6360	11168	18	-2	-17	-15896	3024	-4336	24	-20	22	-16000	2536	-2352	37	46	-17	122	130	8
-5264	-9356	11760	-198	225	-167	-16196	872	-2176	-8	-243	-24	-15744	3296	-3112	44	40	36	-10448	6424	11424	15	4	-18	-15936	3008	-4104	22	-29	26	-16088	2240	-2224	36	47	-1	122	130	8
-5256	-9436	11780	-168	170	-166	-16080	868	-1992	-244	-229	-178	-15664	3344	-2960	12	40	37	-10576	6216	11456	17	1	-20	-15984	3120	-4256	1	-30	31	-15928	2352	-2264	66	57	14	122	128	8
-5288	-9396	11876	-165	166	-170	-16120	728	-1832	-298	-165	-203	-15648	3144	-2912	-8	29	40	-10552	6296	11408	17	-7	-16	-15824	2912	-4200	20	-36	29	-15976	2568	-2120	82	62	24	122	129	8
-5292	-9472	11788	-130	143	-179	-16136	624	-1704	-129	-129	-110	-15864	3104	-2784	-4	14	31	-10568	6536	11288	17	-6	-11	-15744	3080	-3832	28	-38	31	-16088	2512	-2120	60	55	18	122	128	8
-5280	-9412	11740	-74	153	-125	-16224	688	-1776	49	-137	-101	-15840	2928	-2856	-5	13	28	-10296	6448	11424	18	-1	-21	-15904	3128	-4104	5	-43	38	-16120	2824	-2512	66	53	5	122	128	8
-5284	-9312	11972	-141	139	-181	-16056	772	-1780	145	-26	-57	-15888	2832	-2848	15	4	30	-10376	6352	11144	21	-5	-18	-15912	3056	-4024	6	-47	27	-15912	2856	-2344	53	40	-6	122	129	8
-5256	-9320	11828	-78	108	-187	-16020	836	-1752	74	85	-21	-15856	2768	-3048	49	-2	32	-10496	6344	11232	14	-6	-21	-15752	2960	-3992	11	-30	24	-15816	2760	-1880	16	45	6	122	127	8
-5204	-9356	11820	-98	73	-248	-16040	772	-1680	62	116	-34	-15744	2888	-2864	71	-13	28	-10488	6448	11448	16	-11	-15	-15760	3056	-3584	22	-19	27	-16064	2584	-2016	-31	38	12	122	127	8
-5296	-9388	11832	-51	69	-223	-16196	596	-1752	374	163	-4	-15872	2968	-2960	71	-24	35	-10568	6416	11280	14	-4	-17	-16008	3368	-3960	-7	-7	23	-16096	2640	-1920	-27	34	10	122	127	8
-5276	-9364	11960	-106	123	-116	-16320	612	-1932	756	97	71	-15712	3208	-3328	62	-25	42	-10544	6296	11288	19	2	-20	-15984	3392	-4024	-22	7	15	-16136	2624	-2000	7	-6	-2	122	130	8
-5244	-9444	11860	-119	169	-141	-16200	788	-2088	645	183	101	-15760	3264	-3112	72	-21	47	-10504	6392	11488	19	-1	-25	-15896	3024	-4296	-14	15	8	-15872	2376	-2240	20	-5	17	122	129	8
-5312	-9392	11816	-138	198	-112	-16196	900	-2024	326	96	18	-15592	3360	-3120	54	-9	33	-10464	6280	11352	17	0	-24	-15936	2832	-4136	21	8	16	-15904	2400	-2232	30	12	28	122	127	8
-5344	-9368	11784	-175	216	-128	-16128	844	-2092	24	91	-74	-15512	3288	-3408	25	-1	22	-10504	6544	11144	18	-6	-20	-15896	3016	-4008	34	3	20	-16064	2480	-2272	83	19	16	122	129	8
-5324	-9324	11860	-106	151	-180	-16064	828	-2072	-203	129	-62	-15496	3248	-3496	11	7	27	-10648	6392	11240	18	3	-25	-16016	3152	-4200	6	-1	23	-16096	2600	-2304	101	16	4	122	129	8
-5304	-9448	11788	-69	83	-218	-16068	720	-1840	-127	105	-51	-15528	3304	-3088	9	-15	31	-10520	6296	11120	17	-4	-21	-15816	2808	-4216	5	0	18	-15608	2528	-2552	64	1	-3	122	129	8
-5304	-9516	11828	-8	67	-180	-16316	672	-1952	39	64	-20	-15736	3232	-3272	4	-18	28	-10536	6432	11288	14	-10	-17	-15984	2824	-3816	28	-13	28	-15768	2504	-2456	29	28	19	121	129	8
-5240	-9304	11804	-10	130	-91	-16408	728	-2172	275	-45	-60	-15744	3112	-3336	-17	-2	39	-10600	6368	11208	14	0	-24	-16072	3152	-3896	25	-18	34	-16088	2704	-2680	42	60	24	122	127	8
-5292	-9284	11920	-109	242	-129	-16284	904	-2136	186	-36	28	-15744	3176	-3424	1	6	44	-10552	6464	11304	19	3	-18	-15848	3192	-4248	12	-20	28	-15760	2784	-2920	60	39	-4	122	128	8
-5384	-9348	11912	-136	224	-131	-16032	916	-2092	26	-25	9	-15656	3152	-3376	36	6	45	-10416	6376	11296	15	-8	-18	-15664	3056	-4144	-4	-20	21	-15904	2600	-2464	16	14	-10	122	129	8
-5344	-9412	11768	-117	165	-164	-16020	868	-1944	-305	15	-72	-15624	3064	-3048	68	-2	35	-10392	6408	11392	19	0	-19	-15976	3024	-4080	-9	-32	35	-15832	2344	-2184	-10	41	16	122	133	8
-5300	-9404	11796	-69	153	-156	-16208	504	-1920	-213	33	-83	-15520	3128	-3040	64	-8	29	-10616	6336	11032	24	2	-15	-16080	3024	-4496	-1	-33	37	-16208	2536	-2528	19	62	13	122	129	8
-5344	-9344	11792	-35	83	-194	-16104	572	-1908	-27	57	38	-15616	3368	-3008	20	-20	31	-10448	6416	11400	23	-7	-14	-15752	3120	-4128	17	-32	32	-15856	2496	-2696	31	47	10	122	130	8
-5308	-9388	11820	-4	65	-188	-16156	852	-1960	141	69	75	-15720	3248	-3208	-5	-23	27	-10616	6384	11608	19	-5	-16	-15784	3200	-4008	-1	-32	32	-15856	2528	-2240	34	17	4	122	128	8
-5172	-9316	11788	14	65	-164	-16096	788	-2136	120	51	36	-15704	3248	-3176	-24	-20	32	-10408	6248	11408	21	-12	-14	-15920	3184	-3760	9	-33	34	-15936	2264	-2184	4	12	22	122	126	8
-5236	-9360	11828	-48	108	-203	-16216	904	-1968	61	81	81	-15720	3192	-3272	-5	-15	33	-10536	6448	11184	18	-7	-20	-15872	3200	-3704	27	-19	34	-16160	2384	-2360	40	9	25	122	129	8
-5312	-9364	11852	-138	186	-120	-16288	736	-2108	188	-47	18	-15808	3168	-3504	7	-17	35	-10528	6456	11144	21	-8	-14	-15864	3144	-3912	27	-19	29	-16104	2552	-2152	61	-18	18	122	130	8
-5392	-9376	11780	-152	176	-174	-16056	864	-2124	91	18	56	-15656	3304	-3248	22	-25	41	-10544	6384	11320	19	-9	-17	-15840	3128	-3824	18	-8	30	-15872	2576	-2272	81	-29	17	122	129	8
-5328	-9424	11916	-130	165	-175	-16148	804	-2068	-77	58	29	-15712	3136	-3248	31	-28	34	-10440	6328	11328	16	-12	-19	-16032	3080	-4064	24	-11	30	-15944	2504	-2480	72	-21	18	122	130	8
-5288	-9372	11840	-113	156	-185	-16196	804	-1924	-84	-1	-14	-15752	3136	-3072	23	-32	27	-10496	6408	11184	24	-7	-18	-16016	3144	-4104	55	-13	33	-15944	2504	-2472	116	0	16	121	126	8
-5252	-9416	11772	-123	136	-89	-16276	848	-1912	-6	-20	-33	-15688	3216	-3248	30	-24	32	-10528	6456	11216	20	-9	-14	-15864	3304	-3888	57	-11	28	-15984	2816	-2552	131	-12	12	122	128	8
-5356	-9308	11920	-79	179	-132	-16092	836	-2016	54	17	10	-15648	3344	-2960	26	-22	32	-10392	6552	11120	21	-10	-17	-15800	3304	-3912	23	-9	27	-15936	3072	-2128	77	-40	5	122	127	8
-5244	-9312	11844	-161	199	-148	-16196	800	-2056	79	10	51	-15624	3304	-3008	37	-29	30	-10312	6528	11416	18	-9	-21	-15976	3104	-3912	-4	-12	28	-15904	2880	-2248	24	-32	5	122	129	8
-5284	-9424	11848	-144	177	-137	-16092	844	-2056	110	7	-4	-15560	3376	-3336	17	-32	22	-10488	6408	11176	19	-5	-19	-15880	3096	-3864	1	-1	20	-16224	2616	-2344	-27	-11	16	122	132	8
-5300	-9372	11844	-102	131	-181	-16104	856	-1964	20	15	23	-15608	3480	-3184	5	-29	24	-10424	6520	11352	17	-9	-13	-15920	3264	-4024	2	-7	19	-15888	2848	-2536	-23	-18	1	122	128	8
-5348	-9328	11804	-99	143	-190	-16092	784	-2056	-34	-20	4	-15536	3288	-2992	-7	-31	18	-10552	6544	11208	19	-5	-15	-15840	3240	-3872	-19	-2	21	-15960	2656	-2304	-21	-43	-17	121	129	8
-5368	-9312	11820	-57	79	-244	-15996	884	-2000	-91	-11	5	-15592	3408	-3248	-30	-36	13	-10480	6512	11232	17	-6	-16	-15848	3048	-4224	-36	-2	16	-15856	2344	-2072	-26	-29	6	122	128	8
-5252	-9292	11888	-60	89	-230	-16048	864	-2052	-196	47	28	-15800	3304	-2960	-30	-34	6	-10552	6440	11136	17	-8	-20	-15888	2904	-4032	-15	-4	20	-15880	2312	-2264	-6	1	33	122	128	8
-5236	-9456	11924	4	39	-186	-16272	824	-1924	-33	-10	-19	-15792	3192	-3296	-38	-37	8	-10456	6360	11152	19	-8	-20	-15856	3024	-4232	5	-13	27	-16096	2376	-2176	6	13	23	122	133	8
-5300	-9336	11788	-99	110	-173	-16276	864	-2072	30	-32	6	-15944	3408	-3224	-47	-40	14	-10464	6480	11520	18	-9	-17	-15840	3080	-4184	29	-9	30	-15904	2736	-2192	49	-21	-11	122	134	8
-5284	-9296	11856	-164	177	-175	-16216	884	-2096	-17	-32	71	-15912	3272	-3000	-22	-40	21	-10464	6496	10912	18	-4	-15	-15712	3344	-3968	21	-5	29	-15944	2656	-2296	59	-44	-15	122	128	8
-5192	-9356	11860	-173	179	-170	-16124	960	-1980	-118	28	-31	-15776	3056	-2984	1	-43	13	-10448	6360	11480	15	-6	-18	-16056	3488	-4224	-24	-1	24	-15840	2696	-2408	55	-18	18	121	125	8
-5336	-9356	11928	-176	191	-179	-16056	928	-1944	-224	34	-18	-15568	3232	-2856	6	-40	5	-10456	6504	11496	19	-8	-17	-15952	2920	-4440	-20	-7	15	-15784	2720	-2472	28	9	30	122	130	8
-5304	-9344	11768	-113	137	-255	-16048	792	-1932	-208	74	39	-15688	3184	-2848	-1	-45	-5	-10528	6272	11264	13	-15	-16	-15992	3144	-4104	12	-15	21	-15944	2744	-2672	17	20	13	123	126	8
-5248	-9352	11736	-60	116	-220	-16248	760	-1944	-25	61	33	-15792	3264	-2808	-16	-58	-6	-10424	6448	11408	14	-12	-8	-15928	3240	-3992	23	-16	28	-16032	2944	-2304	17	6	-12	122	134	8
-5268	-9288	11796	-103	132	-119	-16340	816	-2056	231	19	22	-15776	3336	-2992	-57	-56	-5	-10448	6368	11376	20	-4	-18	-15712	3448	-3968	-10	-12	20	-16104	2848	-2568	2	-17	-12	122	130	8
-5340	-9208	11872	-122	126	-180	-16000	920	-2216	104	86	50	-15560	3272	-3152	-80	-47	-16	-10432	6440	11488	16	0	-20	-15976	3200	-3768	-46	3	9	-15976	2776	-2336	-6	-25	-15	122	127	8
-5356	-9260	11856	-79	116	-209	-15984	984	-2216	71	54	34	-15456	3272	-3376	-86	-46	-22	-10464	6456	11512	18	-3	-18	-15864	3048	-3864	-57	4	10	-15896	2752	-2392	-51	-42	20	122	134	8
-5308	-9380	11836	-74	62	-208	-16112	868	-2288	11	-86	-45	-15152	3272	-3520	-94	-45	-21	-10464	6552	11352	21	-6	-16	-15912	3056	-4136	-42	-3	15	-15944	2552	-2376	-43	-18	9	122	129	8
-5324	-9264	11756	-11	18	-276	-16084	944	-2300	-161	-76	-6	-15552	3368	-3416	-78	-45	-5	-10528	6416	11232	22	-11	-10	-16016	3176	-4192	-42	-14	22	-16040	2648	-2656	-24	-9	-13	122	126	8
-5268	-9300	11800	13	-62	-293	-16116	872	-2112	-257	-136	-13	-15640	3200	-3344	-68	-50	-4	-10368	6472	11400	18	-6	-12	-15776	3032	-4280	-43	-22	28	-15712	2544	-2504	-72	-14	-3	122	128	8
-5276	-9356	11928	-38	29	-223	-16352	812	-2336	-207	-316	-88	-15664	3128	-3200	-83	-37	-5	-10440	6336	11336	19	-6	-8	-16064	3056	-4024	-25	-23	30	-15952	2520	-2416	-77	-13	3	122	130	8
-5244	-9256	12040	-22	37	-263	-16176	892	-2156	-257	-290	-16	-15656	2984	-3120	-58	-22	6	-10376	6408	11424	16	2	-10	-15912	3072	-3856	-7	-20	24	-16176	2624	-2296	-17	12	28	122	129	8
-5328	-9384	11864	-26	7	-348	-16156	780	-2148	-273	-354	-22	-15640	2792	-2816	-20	-19	13	-10464	6416	11256	22	3	-13	-15864	3280	-3856	-16	-18	27	-16136	2552	-2072	14	-21	3	122	129	8
-5244	-9440	11908	-32	36	-303	-16208	900	-1956	-338	-327	-27	-15696	2912	-2792	13	-29	27	-10416	6472	11264	21	3	-12	-15880	3096	-4064	-40	-14	27	-15904	2392	-2128	24	-24	-1	122	127	8
-5280	-9380	11756	2	10	-291	-16188	808	-1764	-346	-297	-39	-15928	2880	-2488	13	-32	37	-10488	6464	11400	18	0	-16	-15880	3000	-3864	-22	-14	25	-15880	2560	-2376	17	-7	25	122	129	8
-5252	-9376	11892	19	53	-236	-16108	820	-1712	-70	-254	-26	-15960	3184	-2648	-5	-45	39	-10448	6400	11152	20	-2	-16	-15912	3176	-4088	1	-21	32	-15864	2776	-2232	16	6	29	122	130	8
-5248	-9244	11896	-2	59	-244	-16164	884	-1752	33	-184	16	-15736	3176	-2296	4	-42	30	-10368	6608	11176	16	-10	-10	-15936	3192	-3928	18	-15	32	-15992	2912	-2336	15	-8	23	122	128	8
-5220	-9332	11840	-39	43	-235	-16144	912	-1808	100	-137	84	-15712	3176	-2752	4	-36	15	-10376	6560	11376	17	-1	-18	-15888	3360	-3744	-1	-14	28	-16048	2856	-2208	29	-25	6	122	127	8
-5300	-9412	11884	-44	59	-193	-16124	944	-1964	77	-109	74	-15640	3208	-2496	0	-28	15	-10424	6624	11232	22	-3	-18	-15880	3032	-3840	-1	-9	27	-15904	2584	-2280	18	-36	2	122	129	8
-5208	-9408	11928	1	58	-229	-16184	952	-1808	75	-87	25	-15784	3240	-2776	-10	-24	19	-10656	6384	11368	18	-4	-17	-15952	3088	-3944	17	-14	22	-16000	2568	-1824	18	-22	22	121	127	8
