#Activity	standing up_by_elevator standing up_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	8 10 8 10 8 11 8 11 8 
#Date 08-27-17-50
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-5004	-8968	12328	-156	136	-184	-16196	1616	-1808	119	-82	22	-15400	3864	-2936	18	-1	33	-9920	6104	12008	14	-4	-15	-16296	1416	-3208	9	-5	15	-15960	600	-1584	25	-15	8	121	129	8
-4936	-9096	12216	-89	139	-187	-16116	1608	-1516	-138	-37	-56	-15440	3760	-2568	59	-11	34	-9936	5984	11784	18	-10	-15	-16152	1440	-3320	12	-12	17	-16240	816	-1624	38	-1	24	122	126	8
-5056	-9040	12104	-96	118	-212	-16016	1300	-1644	-373	6	-95	-15744	3856	-2480	46	-22	21	-9960	6136	12120	13	-12	-12	-16328	1392	-3304	9	-11	19	-16408	1080	-1576	46	7	-2	121	125	8
-4968	-9020	12208	-51	73	-231	-16124	1368	-1424	-177	51	-16	-15864	3992	-2504	12	-36	14	-9848	6008	11872	12	-10	-19	-16256	1568	-3192	7	-9	16	-16216	1080	-1896	44	-8	-13	121	129	8
-4956	-9016	12180	-86	80	-179	-16292	1496	-1556	118	-49	-49	-15600	3968	-2544	-20	-39	10	-9864	6064	11920	17	-12	-19	-16168	1528	-3296	4	-12	19	-16080	704	-1912	39	-9	7	123	127	8
-4880	-8980	12252	-11	70	-148	-16228	1596	-1528	225	38	-30	-15720	4000	-2728	-31	-26	18	-9984	6016	11936	13	-6	-22	-16296	1560	-3392	20	-12	21	-16216	696	-1544	21	-15	25	121	128	8
-5004	-8916	12244	-99	161	-102	-16376	1368	-1944	533	-211	-86	-15576	4120	-2896	-13	0	31	-9784	6000	12016	19	-15	-19	-16296	1488	-3264	19	-11	19	-16440	1088	-1536	31	3	8	121	126	8
-5004	-9024	12260	-111	147	-151	-16140	1624	-1752	229	-138	52	-15576	3920	-3120	12	5	39	-10088	6128	11928	16	-9	-18	-16392	1528	-3184	15	-14	24	-16464	1104	-1712	16	-1	-21	121	127	8
-4992	-9020	12308	-111	164	-219	-16140	1480	-1560	-226	-128	-105	-15752	3840	-2624	51	-5	31	-9984	6152	11888	16	4	-23	-16344	1544	-3328	-2	-16	17	-16224	1016	-1856	14	4	-14	121	128	8
-4948	-9092	12196	-115	102	-254	-16056	1500	-1324	-483	-49	-104	-15712	3872	-2384	51	-33	13	-9904	5968	11992	17	-1	-19	-16152	1416	-3288	-7	-10	16	-16232	504	-1568	-15	-16	13	122	127	8
-4968	-9076	12232	-115	102	-191	-16168	1416	-1316	-391	-11	-108	-15840	3976	-2088	19	-48	-2	-9880	6048	11920	13	0	-17	-16216	1504	-3176	7	-3	16	-16096	560	-1008	-1	-14	22	122	132	8
-4912	-9052	12228	-81	72	-227	-16248	1504	-1280	-76	-3	-62	-15688	4064	-2496	-39	-41	-5	-9912	6240	12016	16	-7	-18	-16288	1592	-3128	9	-2	16	-16520	1168	-1592	28	-12	-12	122	130	8
-4940	-8956	12200	-90	132	-196	-16156	1432	-1620	268	-31	-26	-15624	3984	-2744	-58	-26	11	-9952	6112	12144	12	-9	-25	-16328	1520	-3176	6	0	19	-16360	1128	-1472	37	-9	-31	123	126	8
-4996	-9100	12236	-109	133	-226	-16180	1456	-1436	328	-27	28	-15520	3904	-2808	-29	-22	23	-9912	6192	12264	13	-7	-21	-16216	1712	-3368	-9	-6	17	-16208	832	-1760	8	-10	1	121	129	8
-4952	-9068	12312	-129	184	-170	-16204	1568	-1724	117	-74	-68	-15624	3704	-2712	17	-21	17	-9992	6048	11952	17	-8	-19	-16240	1432	-3288	-1	-6	11	-16296	544	-1640	-26	-13	25	121	128	8
-4948	-9100	12144	-92	114	-208	-16084	1396	-1444	-110	31	-48	-15600	3960	-2504	19	-16	9	-9976	6080	11936	14	-8	-16	-16496	1424	-3328	13	-8	14	-16240	720	-1568	4	-1	15	123	129	8
-4964	-9076	12240	-79	98	-200	-16244	1376	-1572	-110	-56	-112	-15688	4008	-2840	-16	-12	1	-9896	6192	12072	17	-4	-25	-16304	1464	-3232	25	-13	22	-16288	992	-1624	39	-3	-18	122	133	8
-4976	-9028	12244	-49	113	-146	-16140	1552	-1804	-29	-60	-51	-15720	4088	-2768	-56	-9	9	-9984	6168	11928	15	-10	-14	-16280	1464	-3448	22	-6	16	-16288	1008	-1664	75	-6	-14	122	127	8
-5032	-8976	12236	-84	112	-180	-16152	1612	-1656	-28	-86	-78	-15656	4008	-2696	-35	-21	22	-10088	6024	12248	14	-9	-23	-16224	1520	-3088	3	-10	19	-16144	632	-1608	24	-16	10	122	128	8
