#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting 
#ActivityID	5 7 8 6 5 7 8 6 5 7 8 6 5 7 8 6 5 7 8 6 5 
#Date 09-07-15-50
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9564	-2996	12472	-17	17	-25	-15240	-6104	-2104	11	-3	17	-3608	-5520	15320	-5	-13	22	-9720	3928	13232	15	-3	-21	-15480	2720	-4744	1	-7	-7	-4352	-2024	16376	24	1	6	127	127	5
-9480	-2956	12616	-11	15	-21	-15240	-6152	-2144	13	-1	13	-3512	-5616	15384	4	-15	21	-9808	3728	13208	16	-4	-19	-15352	2760	-4912	4	-2	-10	-4544	-1944	16544	22	2	3	127	127	5
-9524	-2952	12556	-9	18	-25	-15120	-6248	-2128	9	4	18	-3560	-5600	15600	3	-16	20	-9784	3952	13056	15	1	-14	-15352	2720	-4568	-2	-5	-8	-4416	-1856	16160	23	-5	4	127	127	5
-9472	-2988	12640	-12	20	-25	-15200	-6208	-2176	7	-4	18	-3688	-5568	15336	3	-17	21	-9696	3728	13288	13	0	-19	-15240	2816	-4776	6	-1	-8	-4472	-1800	16424	24	-1	0	127	127	5
-9500	-3024	12484	-11	17	-27	-15160	-6200	-2328	9	-1	17	-3528	-5624	15064	3	-16	22	-9752	3848	13200	15	1	-17	-15304	2728	-4712	-1	-1	-7	-4352	-2000	16328	24	-3	2	127	127	5
-9504	-2948	12604	-10	22	-22	-15120	-6232	-2160	6	1	17	-3680	-5656	15040	-1	-17	21	-9720	3800	13120	14	0	-20	-15352	2792	-4864	0	-3	-10	-4360	-1744	16328	22	0	2	127	127	5
-9576	-2956	12564	-13	21	-20	-15032	-6144	-2344	9	-4	15	-3664	-5688	15352	0	-11	23	-9840	3896	13312	14	-2	-17	-15184	2640	-4896	2	-7	-6	-4464	-1800	16384	19	0	0	127	127	5
-9588	-3032	12536	-14	14	-22	-15144	-6152	-2408	9	0	16	-3672	-5624	15336	-1	-16	22	-9824	3752	13312	20	-2	-16	-15400	2896	-4896	0	-8	-7	-4480	-1752	16392	23	2	2	127	127	5
-9532	-2940	12544	-12	11	-26	-15192	-6200	-2088	9	-7	15	-3608	-5600	15568	7	-10	24	-9872	3880	12960	12	0	-15	-15392	2712	-4928	2	-3	-8	-4472	-1968	16224	23	0	5	127	127	5
-9556	-3012	12512	-8	17	-26	-15280	-6288	-2320	10	-3	10	-3568	-5608	15416	6	-17	26	-9872	3832	13152	15	1	-17	-15480	2728	-5096	-7	-3	-9	-4448	-1952	16256	25	-2	8	127	127	5
