#Activity	standing walking 
#ActivityID	8 1 
#Date 09-07-15-57
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8852	-2616	13252	-18	7	-32	-15808	-5008	160	22	-10	16	-15976	-1136	-4080	21	-48	18	-9120	3488	13616	13	-2	-10	-15992	2648	-1656	4	-2	-1	-15888	-288	-2960	26	-7	7	123	129	8
-8780	-2612	13192	-15	21	-26	-16024	-5216	128	22	-13	10	-15888	-872	-3544	30	-50	9	-9280	3384	13768	19	-3	-12	-16264	2608	-1672	-2	-5	1	-16048	-176	-2768	27	-3	10	124	128	8
-8884	-2492	13188	-13	27	-27	-15840	-5032	-256	10	-20	24	-15752	-1080	-3296	7	12	19	-9224	3416	13552	17	0	-18	-15968	2720	-1424	6	-10	4	-16152	-200	-2856	29	-3	9	124	128	8
-8844	-2436	13172	-14	24	-20	-15808	-4920	-120	3	-28	12	-15720	-1232	-3880	-56	36	32	-9224	3392	13632	20	-2	-17	-15936	2672	-1672	7	-1	3	-15952	-232	-2920	17	0	8	119	128	8
-8904	-2516	13244	-17	22	-25	-15632	-5096	24	2	-22	17	-15816	-1056	-3968	-45	2	30	-9352	3320	13536	13	0	-15	-15856	2632	-1656	9	-8	4	-15840	-376	-2640	8	-4	8	121	128	8
-8860	-2492	13128	-10	19	-24	-15584	-4880	408	10	-17	22	-15960	-1000	-3408	34	-53	22	-9192	3456	13784	12	0	-16	-15904	2632	-1480	-2	2	0	-16064	-336	-2704	7	-7	2	122	128	8
-8844	-2552	13152	-13	20	-23	-15784	-5000	224	17	-7	20	-15744	-944	-3376	50	-49	16	-9176	3360	13640	12	1	-16	-16224	2536	-1440	-8	2	-2	-16120	-224	-2856	12	-7	3	123	128	8
-8872	-2516	13036	-10	16	-26	-15688	-5168	24	10	-7	22	-15736	-1024	-3432	9	-18	15	-9160	3480	13600	15	2	-22	-15928	2704	-1776	-3	3	1	-15992	-312	-2520	12	5	7	124	128	8
-8828	-2512	13208	-10	14	-24	-15856	-4936	-32	11	-9	24	-15792	-1160	-3848	-48	3	27	-9240	3280	13624	15	0	-23	-15848	2712	-1336	5	2	1	-16000	-240	-2688	14	5	5	122	128	8
-8860	-2568	13084	-11	15	-26	-15904	-5080	240	6	-4	23	-15920	-984	-4144	-51	-24	24	-9280	3432	13568	14	3	-21	-16000	2736	-1600	-10	2	0	-15952	-152	-2648	8	-8	7	122	128	8
