#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 8 
#Date 09-07-16-00
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8652	-3452	13028	-13	13	-27	-14992	-6648	1552	8	-2	26	-15584	-1824	-4000	-14	-12	23	-8288	3568	14328	13	-9	-19	-16104	3328	-416	0	6	-3	-15944	208	-2712	31	-3	7	120	129	8
-8640	-3440	13044	-10	11	-26	-15056	-6744	1024	10	-15	17	-15568	-1792	-3992	-4	-12	26	-8232	3560	14152	13	2	-16	-16024	3320	-376	2	-4	-1	-16040	216	-2408	21	-5	8	121	129	8
-8584	-3348	13076	-17	11	-31	-15088	-6704	1496	3	-17	19	-15480	-1840	-4064	-2	-9	28	-8464	3440	14184	15	-10	-16	-15880	3272	-472	10	-7	-1	-16112	184	-2416	26	-6	4	121	130	8
-8620	-3404	13188	-20	10	-25	-15136	-6736	1240	10	-15	20	-15456	-1880	-3968	-6	-10	28	-8328	3472	14144	16	-4	-17	-15880	3272	-416	5	-8	-1	-16168	200	-2576	25	-9	4	120	129	8
-8624	-3416	13100	-16	15	-32	-15032	-6808	1392	11	-23	15	-15456	-1912	-4120	6	-10	27	-8408	3456	14008	15	0	-13	-16000	3360	-600	-3	-8	0	-16088	248	-2640	24	-7	3	121	130	8
-8588	-3460	13080	-20	16	-27	-14968	-6832	1304	12	-21	18	-15560	-1896	-4176	6	-9	25	-8376	3504	14288	15	-3	-15	-15896	3392	-272	-3	-11	0	-16192	200	-2264	21	-11	11	121	129	8
-8592	-3392	13116	-16	14	-27	-15000	-6784	1472	9	-25	16	-15608	-1880	-3896	11	-20	23	-8472	3608	14296	14	-1	-13	-16056	3448	-320	3	-20	4	-16248	88	-2248	29	-7	7	121	130	8
-8556	-3372	13228	-13	10	-30	-14992	-6664	1576	14	-28	14	-15672	-1912	-3736	8	-16	26	-8368	3568	14064	16	-4	-18	-15992	3256	-352	10	-26	2	-16112	-40	-2304	33	-12	4	121	129	8
-8588	-3444	13100	-12	18	-29	-15024	-6944	1384	16	-19	9	-15592	-2016	-3928	11	-11	27	-8248	3600	14152	15	-3	-12	-16040	3520	-392	9	-16	1	-16064	408	-2056	40	-11	9	121	129	8
-8644	-3404	13064	-15	20	-30	-15032	-6704	1664	18	-15	9	-15544	-1984	-3800	12	-7	27	-8448	3656	13952	17	-7	-11	-15992	3464	-144	-2	-15	0	-16232	152	-2320	33	-13	9	121	129	8
-8580	-3404	13176	-10	17	-30	-15008	-6784	1584	19	-15	11	-15648	-1912	-3848	16	-8	22	-8440	3480	14120	17	0	-18	-15992	3368	-816	0	-13	0	-16168	64	-2384	27	-11	5	121	129	8
-8580	-3476	13100	-13	14	-25	-14984	-6768	1632	15	-21	10	-15680	-2072	-3872	11	-8	22	-8448	3536	13984	15	-11	-15	-16064	3392	-480	2	-17	-2	-16104	168	-2336	32	-8	9	120	130	8
-8520	-3428	13040	-15	19	-27	-15032	-6800	1720	13	-16	13	-15656	-1816	-3888	9	-6	22	-8248	3624	14000	17	-5	-13	-15984	3528	-312	10	-26	4	-16256	288	-2104	40	-11	5	121	129	8
-8588	-3404	13016	-10	21	-20	-15112	-6776	1768	11	-18	12	-15704	-1976	-3904	18	-6	22	-8312	3608	14216	10	-3	-16	-16056	3360	-216	9	-27	2	-15992	224	-2264	38	-6	1	121	129	8
-8544	-3476	13076	-16	19	-19	-14768	-6872	1648	19	-11	10	-15616	-2008	-3856	20	-9	20	-8200	3568	14152	15	-2	-17	-16008	3512	-136	-7	-22	-3	-16136	248	-2072	30	-2	3	121	129	8
-8572	-3408	12956	-14	23	-17	-15136	-6752	1688	25	-7	3	-15632	-2048	-4032	25	-3	23	-8408	3608	14240	17	-3	-16	-15904	3496	-512	-4	-24	-1	-16280	72	-2208	31	1	1	121	129	8
-8596	-3456	13024	-5	24	-11	-15096	-6856	1712	24	-6	1	-15584	-2040	-3736	28	-7	24	-8328	3552	14208	13	2	-18	-16072	3264	-336	4	-26	-2	-16008	240	-2440	29	2	6	121	129	8
-8612	-3464	13156	-11	25	-16	-14976	-6688	1632	24	5	5	-15784	-2120	-3728	45	-6	23	-8408	3464	14320	17	7	-19	-15952	3416	-192	5	-29	-7	-16152	264	-2032	38	6	0	121	130	8
-8644	-3452	13016	-9	29	-12	-14928	-6752	1712	25	8	4	-15608	-1984	-3800	37	-5	23	-8376	3728	14400	15	-2	-19	-15992	3432	-240	-6	-21	-5	-16192	232	-2144	31	5	0	122	129	8
-8636	-3400	13128	-10	32	-10	-15064	-6800	1392	35	10	-1	-15488	-2040	-3952	25	-2	25	-8336	3472	14360	11	1	-19	-15904	3480	-120	-1	-22	-10	-16144	168	-2184	23	-1	0	122	129	8
-8656	-3428	13032	-13	34	-8	-15000	-6600	1456	36	11	-2	-15544	-1848	-3992	31	-1	24	-8312	3392	14232	11	0	-18	-15888	3432	-168	1	-15	-6	-16104	48	-1984	29	-3	1	121	129	8
-8680	-3400	13032	-13	35	-14	-15280	-6800	1416	26	2	6	-15544	-1840	-4000	31	8	27	-8328	3528	14168	13	-4	-16	-15856	3408	-96	3	-13	-9	-16192	104	-2192	34	-1	-2	122	129	8
-8644	-3428	13032	-16	27	-16	-14824	-6784	1616	20	-8	2	-15576	-1880	-3840	29	5	20	-8360	3544	14280	10	-7	-16	-15864	3552	-112	2	-12	-9	-16072	88	-2168	39	-2	0	122	129	8
-8640	-3396	13124	-9	20	-13	-15056	-6760	1792	23	14	10	-15504	-1944	-4056	26	-3	27	-8328	3576	14264	15	-8	-15	-16056	3552	-216	2	-16	-5	-16176	208	-2120	35	0	3	122	129	8
-8648	-3420	13048	-12	29	-20	-15056	-7048	1816	24	2	6	-15688	-1984	-3928	28	-11	24	-8264	3552	14192	13	-1	-15	-15936	3304	-184	1	-15	-11	-16088	200	-2392	37	0	5	122	129	8
-8728	-3476	13056	-11	30	-10	-14976	-6800	1472	24	0	-1	-15664	-1960	-3832	22	-3	20	-8288	3504	14016	14	1	-20	-15880	3384	-416	-2	-16	-6	-16112	280	-2192	35	0	1	122	129	8
-8644	-3408	12992	-15	34	-21	-14864	-6896	1312	20	-4	6	-15584	-2016	-4080	24	-7	19	-8512	3528	14168	13	7	-17	-15856	3328	-312	2	-16	-4	-16040	256	-2184	28	0	-2	122	130	8
-8712	-3412	13080	-13	28	-23	-14856	-6656	1520	19	-6	3	-15496	-1976	-3976	5	-18	16	-8408	3544	14184	19	4	-18	-15864	3480	-304	5	-14	-10	-16216	184	-2344	21	-6	-3	122	129	8
-8680	-3392	13140	-20	23	-27	-14960	-6800	1704	13	-9	6	-15664	-2096	-3920	22	-28	13	-8264	3680	14336	16	-8	-15	-16160	3384	-248	-1	-12	-5	-16160	112	-1880	20	-10	-4	122	130	8
-8596	-3472	13136	-16	16	-31	-14936	-6872	1424	18	2	8	-15624	-1984	-3776	16	-13	12	-8424	3504	14208	13	-5	-20	-15960	3480	-200	-5	-7	-7	-16080	152	-2120	14	-6	-8	122	129	8
-8668	-3372	13052	-12	14	-25	-14992	-6928	1184	17	5	9	-15632	-2008	-4096	6	-6	9	-8344	3560	14224	11	-3	-17	-16032	3552	-248	-5	-12	-9	-16104	184	-2088	27	-3	-3	122	130	8
-8664	-3436	13088	-18	19	-20	-15040	-6680	1424	8	-6	13	-15664	-2024	-4400	10	-4	5	-8352	3616	14024	11	1	-17	-15984	3520	-168	1	-12	-6	-16080	208	-2264	28	-4	0	122	129	8
-8696	-3440	13204	-15	16	-28	-14992	-6704	1368	5	-8	5	-15504	-1944	-3992	-8	-22	12	-8248	3584	14136	13	-4	-15	-15912	3416	-200	9	-14	-12	-16240	240	-2160	32	-6	-5	122	129	8
-8632	-3436	12988	-19	19	-25	-15056	-6760	1320	5	-9	8	-15568	-1848	-4064	0	-17	11	-8352	3600	14192	15	-2	-19	-15848	3376	-160	12	-15	-4	-16000	128	-2168	30	-10	-6	122	130	8
-8672	-3392	13124	-17	16	-30	-15032	-6752	1440	6	-13	7	-15720	-1960	-4112	-1	-18	13	-8184	3600	14240	11	-4	-14	-15968	3248	-368	2	-7	-7	-16128	64	-2288	22	-11	-8	122	129	8
-8660	-3452	13024	-13	9	-30	-14960	-6752	1520	5	-8	7	-15552	-1928	-4008	2	-19	10	-8384	3640	14152	14	-8	-16	-15896	3504	-160	-5	-6	-9	-16080	80	-2048	20	-5	-5	122	130	8
-8612	-3396	13016	-13	13	-29	-14872	-6920	1424	1	-11	6	-15544	-1960	-4040	2	-20	13	-8392	3544	14024	19	-1	-15	-16032	3264	-32	-5	-10	-8	-16344	288	-2128	14	-14	-7	122	130	8
-8596	-3372	13040	-15	13	-27	-14968	-6760	1368	3	-12	4	-15624	-1904	-3816	1	-24	12	-8400	3544	14120	15	0	-16	-16096	3272	-232	-8	-10	-9	-16216	208	-2464	12	-9	-5	122	129	8
-8616	-3432	13112	-17	14	-30	-14920	-6752	1432	1	-6	8	-15600	-1864	-3728	1	-30	9	-8264	3560	14232	18	4	-21	-15968	3352	-384	0	-12	-7	-16096	16	-2416	18	-8	-8	122	130	8
-8648	-3468	13020	-18	10	-36	-14968	-6784	1584	-3	-11	6	-15616	-2032	-3880	-2	-32	12	-8352	3496	13944	20	8	-17	-15992	3376	-352	5	-14	-13	-16248	-80	-2184	23	-9	-6	122	130	8
-8644	-3424	13024	-16	9	-32	-15168	-7024	1520	-5	-14	12	-15504	-2192	-3896	-3	-33	5	-8424	3584	14200	19	5	-18	-15824	3440	64	3	-11	-3	-16128	136	-1984	26	-12	-6	122	130	8
-8632	-3464	13092	-16	4	-32	-14904	-6840	1440	-4	-12	9	-15616	-2072	-3896	-11	-30	4	-8512	3616	14352	17	0	-18	-15920	3400	-384	0	-10	-6	-16112	168	-2400	26	-12	-6	122	130	8
-8648	-3508	13060	-15	5	-35	-15144	-6848	1704	-7	-13	9	-15608	-2200	-3736	-5	-33	9	-8392	3720	14088	16	-3	-14	-15936	3368	-208	8	-9	-7	-16104	40	-2160	30	-10	-3	122	130	8
-8680	-3444	13024	-13	0	-35	-14768	-6848	1480	-1	-10	12	-15584	-2104	-3864	-2	-40	9	-8424	3560	14320	18	-4	-13	-15952	3440	-448	8	-5	-7	-16152	96	-2240	34	-15	1	123	130	8
-8616	-3412	13104	-15	1	-31	-14984	-6712	1696	4	-6	12	-15664	-1984	-3792	5	-40	11	-8336	3592	14120	19	-3	-16	-15904	3456	-264	-1	-5	-7	-16160	208	-2360	32	-15	5	122	130	8
-8652	-3440	13076	-15	5	-39	-15112	-7040	1584	10	3	14	-15632	-2064	-3944	14	-30	10	-8360	3496	14136	16	0	-21	-16064	3392	-96	-3	-7	-3	-16200	152	-2144	25	-12	1	122	131	8
-8620	-3440	13040	-14	7	-37	-14984	-6752	1144	3	-9	18	-15736	-2000	-3840	1	-27	14	-8480	3504	14008	11	-2	-15	-15952	3400	-168	2	-10	-10	-16008	160	-2112	26	-10	0	122	130	8
-8648	-3440	13012	-16	2	-41	-14832	-6920	1608	-7	-12	20	-15504	-2216	-4168	-6	-30	9	-8424	3560	14344	15	-4	-16	-15800	3512	-120	4	-9	0	-16128	232	-2192	28	-12	-1	122	130	8
-8640	-3396	13012	-17	3	-31	-15072	-6648	1568	-6	-9	18	-15568	-2080	-4152	-5	-29	11	-8392	3520	14096	17	-5	-18	-16024	3488	-384	6	-10	-2	-16088	96	-2160	33	-3	2	122	130	8
-8652	-3492	13092	-15	-1	-38	-15000	-6728	1416	-4	-16	23	-15512	-1880	-3888	-19	-25	14	-8352	3536	13888	17	-4	-15	-16136	3336	-64	3	-8	0	-16264	40	-2232	35	-8	2	122	130	8
