#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 8 
#Date 09-07-16-01
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8432	-3920	13016	-14	19	-19	-14776	-6736	2384	21	3	7	-15736	-2192	-2528	50	5	6	-8344	3872	13952	15	-10	-14	-15776	3672	-288	2	-26	-3	-16120	48	-1472	33	-17	2	123	130	8
-8372	-3848	13004	-9	20	-13	-14896	-6696	2520	30	-3	1	-15952	-2144	-2696	52	4	11	-8328	3864	14000	16	-8	-12	-15968	3824	-336	6	-24	1	-16136	80	-1456	38	-10	-3	122	129	8
-8416	-4012	13012	-5	27	-7	-14792	-7016	2512	27	9	3	-15760	-2400	-2536	33	0	18	-8256	4024	14016	16	-7	-14	-15912	3784	-168	7	-26	-4	-16240	96	-1608	39	-6	-1	121	130	8
-8376	-4124	12976	2	32	13	-14880	-7048	3048	33	24	-5	-15832	-2192	-2504	60	-5	18	-8104	3912	14296	16	-4	-15	-15864	3824	-280	8	-24	-4	-16280	464	-1664	36	-7	0	122	130	8
-8440	-3744	13024	13	27	18	-14792	-6872	2632	96	66	-6	-15944	-2472	-2496	108	3	19	-8448	3888	14008	13	-9	-17	-15704	3856	-136	2	-20	-2	-16096	136	-1720	33	-9	1	123	130	8
-8456	-3828	13156	11	26	22	-14848	-6872	2128	143	92	-1	-15960	-2296	-2472	143	5	16	-8240	3864	14048	12	-11	-19	-15888	3792	-448	-12	-20	-9	-16120	352	-1872	16	-14	2	123	130	8
-8468	-3780	13080	13	26	15	-15176	-6336	2240	115	72	0	-15760	-2000	-2736	130	21	25	-8480	3992	14008	10	-14	-20	-15896	3704	-168	-11	-18	-3	-16112	288	-1952	18	-12	-1	122	130	8
-8536	-3796	13096	8	32	10	-14928	-6696	2216	63	39	1	-15840	-1928	-3120	50	24	34	-8328	3808	14048	6	-16	-20	-15944	3680	-496	-9	-21	-4	-16272	216	-1896	24	-14	3	122	130	8
-8504	-3892	13124	0	39	14	-15032	-6640	1992	59	36	-6	-15880	-1992	-3000	63	32	32	-8128	3912	14152	12	-7	-18	-16096	3536	-120	-9	-24	5	-16368	104	-1944	21	-9	5	122	130	8
-8560	-3640	13188	-3	38	2	-14896	-6720	2072	63	32	1	-15656	-2136	-2720	90	16	42	-8200	3960	14184	18	-2	-14	-15856	3600	-120	-11	-29	7	-16352	32	-2040	23	-8	8	122	131	8
-8580	-3780	13020	-5	36	-10	-14928	-6472	2184	75	29	-1	-15720	-2032	-2584	105	7	47	-8408	3960	14376	26	2	-7	-16064	3800	-192	-9	-34	11	-16088	304	-2128	30	0	12	123	131	8
-8568	-3704	13224	-11	37	-13	-14984	-6688	2272	63	19	4	-15648	-1936	-2704	99	3	52	-8384	3888	14144	28	1	-8	-15888	3800	-304	-31	-30	11	-16136	544	-2048	11	11	19	122	132	8
-8592	-3792	12920	-4	22	-17	-14808	-6616	2056	40	12	9	-15928	-2224	-2568	95	13	51	-8216	3904	14192	27	9	-10	-15936	3696	-432	-56	-35	13	-16072	440	-1976	-19	12	22	122	133	8
-8596	-3788	13080	-7	17	-22	-14856	-6728	2408	32	6	12	-15832	-2288	-2480	91	22	59	-8376	3872	13976	26	1	-13	-15912	3656	-384	-48	-39	13	-16160	120	-1568	-15	23	18	122	134	8
-8520	-3840	13052	-4	7	-27	-14736	-6696	2504	29	14	14	-15776	-2208	-2320	86	15	60	-8192	4048	14104	28	0	-11	-15864	3720	-344	-45	-41	10	-16208	96	-1464	8	20	12	122	134	8
-8512	-3720	13072	-7	4	-26	-14960	-6712	2344	40	21	17	-15792	-2008	-2528	72	18	65	-8224	3952	13984	22	1	-17	-15784	3904	-144	1	-53	16	-16312	320	-1664	34	11	11	122	133	8
