#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down walking going_down walking standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 1 4 1 8 
#Date 09-07-16-03
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8132	-4356	13172	-22	13	-25	-14624	-7600	2240	6	-34	3	-15816	-1088	-2712	-5	-35	-2	-8032	4280	14152	17	-5	-17	-15904	3736	496	-7	-18	6	-16168	-864	-1360	13	-17	-1	122	130	8
-8128	-4364	13240	-40	6	-22	-14264	-7504	2272	-68	-55	-16	-16008	-1288	-2792	-2	-41	-5	-8080	4176	14040	16	-1	-14	-15944	3720	808	-6	-13	3	-16176	-936	-1368	15	-16	-3	122	130	8
-8072	-4304	13112	-38	6	-20	-14456	-7184	2168	-54	-36	-8	-15920	-1520	-2704	10	-50	-5	-7896	4264	14144	14	-5	-12	-15856	3736	776	1	-14	0	-16168	-800	-1424	15	-16	-2	122	130	8
-8124	-4440	13244	-31	4	-20	-14576	-7344	2184	-28	-21	-2	-16112	-1200	-2544	3	-54	-7	-7952	4176	14416	16	-4	-16	-16008	3760	760	-2	-17	-1	-16304	-768	-1552	25	-19	2	122	130	8
-8056	-4404	13172	-19	10	-28	-14520	-7464	2288	-7	-14	5	-15952	-1248	-2664	0	-51	-4	-8048	4136	14384	20	0	-16	-15984	3720	920	-1	-18	3	-16072	-856	-1456	30	-14	2	122	130	8
-8060	-4340	13144	-24	10	-23	-14704	-7408	2664	5	0	5	-15928	-1432	-2912	-4	-48	-5	-8016	4296	13952	21	-7	-18	-15896	3712	960	8	-20	5	-16240	-784	-1424	40	-16	-2	122	130	8
-8104	-4324	13156	-15	10	-28	-14632	-7432	2328	9	-4	3	-15936	-1280	-3184	-6	-51	-6	-8056	4248	14096	21	6	-11	-15824	3672	752	10	-25	9	-16368	-832	-1352	43	-21	3	122	130	8
-8120	-4308	13128	-17	12	-22	-14568	-7488	2176	3	-11	7	-15912	-1136	-2776	-4	-48	0	-7816	4216	14232	24	6	-15	-15896	3736	600	11	-20	3	-16144	-856	-1664	41	-23	3	122	131	8
-8124	-4332	13136	-31	9	-23	-14560	-7504	2280	-41	-30	-6	-16056	-1208	-2704	-13	-51	-5	-8048	4344	14232	20	0	-13	-16008	3704	896	6	-19	5	-16328	-824	-1256	34	-15	3	122	130	8
-8040	-4288	13164	-28	5	-25	-14456	-7400	2424	-41	-18	-2	-15984	-1400	-2704	5	-58	-6	-7960	4200	14280	24	-4	-14	-15776	3640	648	4	-19	3	-16264	-840	-1056	32	-17	2	122	130	8
