#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up standing 
#ActivityID	8 3 1 3 1 3 1 3 1 3 8 
#Date 09-07-16-06
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8268	-4716	12884	-10	21	-17	-14248	-8056	2144	20	16	15	-15776	-1448	-3104	17	-13	14	-7776	4224	14472	13	4	-20	-15992	3472	304	0	-4	-7	-16008	-824	-2232	16	6	1	120	132	8
-8284	-4728	12852	-14	22	-18	-14160	-7976	1984	13	11	18	-15976	-1232	-3240	13	-13	13	-7976	4128	14296	18	1	-18	-15976	3544	264	6	-2	-9	-16240	-888	-2264	22	5	-1	120	132	8
-8276	-4716	12916	-8	17	-17	-14320	-8064	2136	12	10	17	-15824	-1408	-3048	12	-10	21	-7896	4128	14360	15	3	-19	-15768	3776	456	8	-1	-4	-16160	-800	-2296	28	4	0	120	132	8
-8228	-4764	12932	-8	20	-14	-14344	-8104	2232	19	19	15	-16000	-1256	-3192	22	-11	20	-7952	4272	14200	12	7	-27	-15960	3576	272	1	-2	-5	-16016	-776	-2224	30	-4	8	120	132	8
-8304	-4796	13040	-7	21	-16	-14304	-7984	1912	19	16	20	-15976	-1208	-3344	38	-12	21	-7848	4112	14192	12	-1	-25	-15944	3648	184	5	-5	-8	-16048	-824	-2216	37	-10	3	120	132	8
-8320	-4724	12884	-11	17	-22	-14384	-7888	1968	21	21	20	-15840	-1064	-3288	33	-2	25	-7944	4112	14432	10	3	-26	-15888	3488	144	14	-8	-6	-15928	-912	-2416	48	-5	5	120	132	8
-8320	-4764	12876	-9	19	-21	-14280	-8128	2256	23	33	23	-15864	-1448	-3352	22	1	31	-7840	4208	14208	11	3	-19	-15848	3592	296	21	-6	-10	-15960	-632	-2480	56	-3	4	120	132	8
-8244	-4784	12868	-9	15	-22	-14256	-8176	2064	17	27	17	-15720	-1296	-3440	27	-7	26	-7792	4152	14312	13	-2	-24	-16112	3552	96	8	-7	-6	-16040	-624	-2152	48	-2	8	120	132	8
-8304	-4728	12856	-4	18	-18	-14432	-7984	1864	17	15	15	-15896	-1280	-3416	21	-12	27	-7864	4096	14328	11	8	-22	-15960	3384	56	10	-8	-10	-16096	-656	-2408	40	-5	10	120	132	8
-8308	-4756	12856	-6	17	-23	-14432	-8016	2088	16	5	17	-15776	-1088	-3240	20	-14	25	-7960	4184	14304	18	3	-16	-15912	3520	184	21	-17	-5	-15960	-672	-2336	41	-2	7	120	132	8
