#Activity	standing going_up walking going_up standing 
#ActivityID	8 3 1 3 8 
#Date 09-07-16-07
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8284	-5140	12716	-8	62	-43	-13992	-8696	1512	-9	-33	6	-15464	-1880	-4320	-15	1	17	-8248	3784	14176	21	-2	-14	-16112	2488	-1584	1	56	-37	-16192	-2136	680	10	-24	-5	122	127	8
-8268	-5104	12800	-4	68	-43	-14040	-8720	1376	-18	-32	7	-15512	-1728	-4344	-25	-4	17	-8176	4064	14104	23	-6	-15	-16072	2552	-1640	7	48	-43	-16152	-1904	536	14	-20	-13	122	131	8
-8260	-5044	12752	-9	64	-47	-14064	-8848	1608	-23	-39	9	-15632	-1544	-4488	-55	-3	12	-8168	3912	14048	17	5	-16	-16184	2432	-1488	-12	43	-39	-16288	-1816	48	-11	-33	-17	123	130	8
-8368	-5100	12676	-7	57	-44	-13968	-8792	1512	-47	-56	12	-15640	-1656	-4304	-84	-11	-2	-8224	3848	14472	21	5	-16	-16096	2328	-1584	-8	34	-44	-16416	-1872	560	-31	-22	-20	123	131	8
-8228	-5200	12688	-10	36	-37	-13816	-8928	1688	-60	-64	15	-15456	-1656	-4320	-106	-20	-14	-8080	4024	14120	16	0	-17	-16040	2568	-1608	-15	24	-40	-16192	-1888	384	-71	-11	-24	122	130	8
-8340	-5108	12792	-16	44	-34	-13880	-8832	1480	-67	-60	20	-15552	-1720	-4088	-118	-26	-26	-8184	3976	14128	9	-14	-15	-16112	2544	-1888	-34	22	-47	-16088	-1960	376	-100	-15	-18	122	131	8
-8260	-5152	12636	-14	45	-36	-13856	-8792	1608	-61	-58	12	-15600	-1840	-4312	-121	-26	-32	-8136	3896	14224	6	-6	-18	-15896	2376	-1584	-39	22	-49	-16248	-2136	648	-122	-7	-15	122	129	8
-8380	-5132	12732	-16	33	-32	-13928	-8792	1664	-53	-49	15	-15464	-1752	-4424	-129	-28	-31	-8208	4016	14064	13	-4	-18	-16032	2504	-1432	-50	25	-47	-16224	-2312	944	-150	-12	-10	123	129	8
-8360	-5144	12604	-20	16	-29	-13912	-8880	1240	-62	-66	13	-15512	-1704	-4336	-146	-34	-31	-8176	3912	14344	12	4	-16	-15888	2448	-1424	-46	31	-50	-15960	-2736	952	-170	-10	-11	123	129	8
-8368	-5152	12680	-19	-6	-19	-13792	-8888	1320	-82	-83	20	-15440	-1808	-4640	-167	-33	-41	-8200	3920	13952	9	-1	-20	-15976	2600	-1184	-43	45	-51	-15952	-2768	848	-165	-10	-14	123	129	8
-8340	-5152	12676	-19	-26	-19	-13912	-8792	1392	-82	-90	21	-15376	-2120	-4608	-172	-37	-39	-8208	3968	14704	16	9	-16	-16240	2344	-1256	-44	67	-51	-16120	-2888	1264	-156	-14	-6	123	129	8
-8316	-5156	12668	-20	-47	-10	-13712	-8920	1344	-81	-83	20	-15448	-1848	-4560	-181	-43	-41	-8200	3880	14072	14	11	-23	-16208	2240	-1240	-17	73	-60	-15872	-2608	1176	-133	1	-10	123	128	8
-8196	-5164	12684	-27	-68	-6	-13768	-8920	1808	-71	-78	19	-15656	-1776	-4112	-182	-49	-43	-8120	4072	14144	23	27	-25	-16168	2448	-1504	-9	82	-59	-16136	-2592	976	-122	22	-4	123	127	8
-8132	-5100	12744	-45	-86	-2	-13800	-8728	1248	-57	-58	21	-15752	-1792	-4064	-189	-61	-60	-8152	3944	14104	31	30	-30	-16160	2192	-1488	-14	92	-70	-16376	-2448	616	-112	53	-1	124	129	8
-8200	-5180	12764	-52	-96	1	-13696	-8856	1496	-74	-48	21	-15560	-1904	-4184	-190	-72	-75	-8200	4040	14112	28	38	-34	-16040	2440	-1752	-23	93	-73	-16248	-2112	432	-107	58	5	123	128	8
-8232	-5112	12764	-43	-99	-6	-13736	-8984	1560	-93	-46	29	-15632	-2144	-3720	-204	-84	-93	-8112	3928	14232	33	42	-30	-16080	2128	-1792	-30	85	-74	-16200	-1896	376	-137	53	2	124	128	8
-8208	-5256	12856	-26	-98	-2	-13648	-8912	1896	-68	-15	25	-15656	-2416	-3920	-192	-81	-98	-8216	3968	14360	28	39	-25	-16000	2224	-1760	-30	78	-81	-16120	-1824	328	-169	47	-3	124	128	8
-8180	-5216	12764	-6	-85	-1	-13768	-8856	1688	-21	22	17	-15624	-2168	-4072	-151	-76	-94	-8240	3968	14088	21	34	-29	-15896	2280	-1904	-44	86	-82	-16048	-2112	888	-188	17	-6	124	128	8
-8068	-5132	12840	0	-59	-5	-13944	-8760	1656	19	55	10	-15544	-1960	-4176	-91	-65	-81	-8280	3872	14200	6	13	-34	-15680	2384	-1680	-37	89	-93	-16152	-2288	1016	-209	-20	-14	124	127	8
-8168	-5128	12792	0	-38	-8	-14000	-8624	1456	52	71	3	-15616	-1944	-4312	-35	-52	-63	-8336	3952	14088	-4	13	-32	-15864	2344	-1360	-39	102	-103	-16120	-2408	1096	-247	-67	-28	124	129	8
-8140	-5064	12988	-2	-16	-15	-14168	-8648	1424	76	81	-11	-15576	-1608	-4512	12	-36	-46	-8168	3992	14128	-5	6	-35	-15648	2168	-1432	-36	127	-105	-16040	-2912	832	-231	-99	-52	124	128	8
-8156	-4972	12928	-10	4	-27	-14352	-8464	1408	85	79	-22	-15344	-1576	-4448	69	-10	-27	-8152	3904	14152	-1	8	-35	-16040	2040	-1464	-32	142	-114	-15984	-3376	664	-167	-134	-61	124	129	8
-8124	-5060	12996	-21	8	-33	-14168	-8808	1184	101	72	-32	-15360	-1704	-4816	126	22	-11	-8112	3776	14160	0	5	-32	-16096	1648	-1864	-8	153	-103	-16040	-3536	376	-99	-164	-57	124	130	8
-8076	-5184	12784	-16	11	-41	-13960	-9032	1208	130	74	-46	-15072	-2128	-4912	176	51	22	-8368	3888	14312	6	11	-32	-16240	1600	-1960	20	152	-97	-15992	-3248	624	9	-155	-42	124	130	8
-8124	-5300	12848	-19	14	-42	-14168	-8888	1056	157	62	-54	-14968	-2160	-4832	228	77	51	-8424	3736	14200	16	21	-29	-16200	1648	-2168	56	144	-89	-16040	-3232	432	95	-219	-40	124	130	8
-8128	-5028	12816	-18	12	-42	-14120	-8808	1072	169	42	-58	-15032	-2216	-4696	277	103	80	-8176	3912	14232	25	35	-32	-16208	1824	-1968	91	143	-78	-16096	-3056	616	197	-249	-36	124	131	8
-8088	-5160	12740	-20	13	-47	-13792	-8928	1264	185	41	-60	-15240	-2216	-4512	325	137	118	-8320	3816	14024	41	46	-31	-16272	1720	-1888	118	134	-65	-16280	-3264	656	288	-288	-25	124	130	8
-8212	-5168	12796	-14	9	-46	-13632	-8832	1688	218	54	-63	-15232	-2528	-4400	398	144	142	-8168	3992	14296	49	57	-30	-16216	1808	-1952	136	130	-55	-16152	-3080	376	369	-335	-29	123	130	8
-8072	-5216	12824	-12	10	-42	-13528	-9016	1776	254	88	-67	-15408	-2480	-4008	426	152	165	-8328	3856	14344	53	64	-32	-16136	1856	-2472	142	122	-42	-16128	-2968	424	454	-325	-30	124	131	8
-8172	-5232	12804	-7	9	-42	-13704	-8888	1600	249	105	-64	-15648	-2696	-3608	433	153	180	-8384	3920	13920	54	71	-34	-16056	1864	-2216	136	115	-32	-16024	-2848	576	481	-313	-18	123	131	8
-8040	-5132	12924	-9	8	-41	-13568	-8920	1784	228	108	-49	-15896	-2376	-3600	427	140	169	-8408	4016	13976	55	64	-39	-15864	1736	-2360	123	107	-21	-16016	-2560	744	480	-290	11	123	131	8
-8116	-5152	12888	-6	11	-38	-13576	-9144	1664	201	128	-33	-15912	-2360	-3640	392	118	156	-8352	3928	13864	47	49	-29	-16064	1960	-2456	104	91	-21	-16032	-2120	624	450	-268	33	123	132	8
-8016	-5236	12852	1	9	-39	-13576	-9264	1576	192	149	-21	-15592	-2184	-3920	339	95	139	-8392	4072	13984	33	39	-25	-15744	2032	-2376	79	87	-12	-16104	-2240	792	400	-248	70	123	132	8
-8080	-5196	12800	9	5	-30	-13640	-9112	1440	175	157	-6	-15864	-2240	-4304	283	80	123	-8496	3856	14120	26	28	-27	-15912	1976	-2416	65	85	-17	-15944	-2384	672	366	-240	72	123	132	8
-8084	-5028	12868	-1	10	-27	-14080	-9032	1504	132	144	5	-15696	-1888	-4328	223	58	102	-8384	3928	14216	26	13	-24	-16144	1784	-2656	60	57	0	-16168	-1736	648	329	-163	85	123	132	8
-8064	-5120	12948	-4	6	-29	-13656	-8912	1432	86	122	13	-15392	-1704	-4736	173	40	85	-8368	3896	14032	21	13	-25	-16160	1880	-2896	69	34	-4	-16456	-1792	800	264	-99	96	123	132	8
