#Activity	standing going_down walking going_down walking going_down walking going_down walking going_down standing 
#ActivityID	8 4 1 4 1 4 1 4 1 4 8 
#Date 09-07-16-10
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-7800	-4384	13260	-7	9	-24	-14992	-6496	1496	-5	-2	18	-15712	2344	-3216	-47	-49	-6	-7824	4192	14368	10	-7	-21	-16040	3504	608	-39	38	-10	-15960	-1384	-2184	-34	-13	-6	124	129	8
-7804	-4352	13372	-12	9	-31	-15232	-6656	1456	0	-5	9	-15632	2488	-3472	-32	-48	-6	-7944	4080	14224	10	-5	-15	-15952	3384	440	-33	31	-7	-15984	-1432	-2232	-31	-12	-4	124	129	8
-7804	-4416	13432	-14	9	-30	-15136	-6736	1472	6	-6	5	-15824	2064	-3424	-19	-39	-16	-7824	4256	14440	11	-13	-15	-15968	3416	392	-30	21	-9	-16040	-1352	-2248	-31	-17	-6	124	129	8
-7776	-4476	13416	-13	7	-39	-15000	-6792	1736	8	-11	2	-15680	1976	-3424	-12	-43	-17	-7808	4176	14328	10	-11	-16	-15832	3192	408	-36	16	-10	-16040	-1264	-2376	-27	-11	-10	124	130	8
-7636	-4476	13228	-11	6	-33	-15072	-6784	1880	10	-7	1	-16016	2128	-3512	-15	-53	-10	-7736	4280	14568	14	-15	-10	-16104	3536	720	-19	11	-6	-15968	-1384	-2120	-18	-16	-11	124	130	8
-7820	-4392	13460	-17	13	-26	-15440	-6800	1632	10	-8	1	-15888	2072	-3616	-17	-49	-8	-7800	4440	14376	13	-3	-18	-16200	3432	312	-27	6	-8	-16040	-1328	-2184	-9	-12	-8	124	130	8
-7848	-4468	13376	-21	22	-28	-15144	-6664	1496	21	-10	-4	-15880	2184	-3400	1	-35	-15	-8136	4296	14560	18	-6	-15	-15944	3384	184	-18	3	-7	-16016	-1480	-2120	-6	-13	-9	124	130	8
-7716	-4424	13260	-15	19	-33	-14968	-6624	1896	14	-18	0	-15664	2032	-3056	-1	-37	-15	-7864	4096	14320	18	-9	-10	-15936	3352	592	-12	-6	-1	-16112	-1472	-1888	1	-15	-9	124	130	8
-7784	-4496	13280	-15	15	-31	-14992	-6856	1856	8	-15	-1	-15808	1912	-3184	-9	-58	-20	-7816	4088	14168	14	-13	-13	-15968	3280	792	-9	-9	-2	-15856	-1512	-2112	7	-16	-12	125	130	8
-7720	-4464	13448	-15	14	-33	-15128	-6624	1672	9	-9	-2	-15928	2104	-3112	-17	-60	-23	-7912	4136	14296	14	-9	-11	-15928	3432	448	-13	-4	2	-16208	-1704	-2040	3	-16	-7	124	130	8
-7740	-4428	13380	-18	17	-34	-15128	-6744	1664	13	-14	-3	-15752	2056	-3000	-24	-56	-18	-7856	4224	14416	17	-13	-15	-16072	3224	272	-2	-13	4	-16096	-1744	-1880	20	-12	-5	124	130	8
-7816	-4444	13336	-20	16	-36	-14968	-6744	1456	14	-14	1	-15736	2000	-3248	-12	-34	-19	-7768	4264	14200	16	-8	-12	-15944	3472	616	2	-21	10	-16160	-1416	-2176	35	-14	-1	125	129	8
-7760	-4420	13288	-15	11	-35	-14944	-6784	1688	10	-16	4	-15688	1592	-3456	-2	-46	-23	-7936	4128	14392	18	-12	-7	-15944	3408	408	-6	-19	7	-16120	-1304	-2144	24	-13	5	125	129	8
-7656	-4600	13316	-16	8	-32	-14936	-6880	1744	18	-7	1	-15888	1736	-3152	0	-60	-18	-7744	4288	14328	16	-9	-10	-15904	3496	648	-11	-12	7	-16040	-1576	-1984	7	-16	2	125	130	8
-7728	-4420	13332	-18	10	-30	-15144	-6760	1760	15	-8	9	-15896	1792	-3136	-1	-50	-8	-7896	4192	14360	19	-12	-8	-15904	3464	672	-22	-11	8	-16016	-1496	-1936	3	-19	-1	125	130	8
-7780	-4424	13344	-16	12	-27	-15064	-6776	1688	19	-17	8	-15752	2000	-3424	-8	-46	-1	-7856	4320	14096	18	-9	-7	-15944	3680	1008	-14	-5	9	-15992	-1712	-1984	12	-9	6	125	130	8
-7780	-4416	13324	-12	21	-30	-14912	-6800	1568	13	-20	5	-15608	1848	-3392	-7	-46	3	-7880	4240	14296	18	-8	-14	-15992	3456	360	-19	-3	10	-16224	-1416	-1880	20	-4	13	125	130	8
-7736	-4468	13484	-14	15	-24	-15144	-6736	1784	23	-19	4	-15800	1792	-3288	-2	-53	5	-7936	4112	14304	14	-5	-18	-15984	3360	376	-9	-11	11	-16128	-1576	-2208	17	1	15	124	130	8
-7808	-4360	13408	-16	17	-31	-15120	-6872	1536	25	-24	10	-15888	1872	-3128	13	-46	3	-7768	4280	14408	19	-5	-13	-16080	3448	480	0	-11	9	-16232	-1536	-1896	22	9	12	125	130	8
-7788	-4428	13308	-19	18	-28	-15176	-6688	1560	24	-30	11	-15848	2032	-3016	11	-16	1	-7824	4080	14552	24	-3	-10	-15968	3608	616	0	-15	14	-16000	-1712	-1984	25	2	17	124	130	8
-7720	-4472	13408	-17	15	-31	-15000	-6872	1800	17	-33	15	-15816	1736	-2912	-3	-10	5	-7720	4160	14320	24	1	-13	-15936	3752	672	-11	-7	14	-16016	-1392	-2112	23	4	20	124	130	8
-7764	-4560	13372	-16	24	-28	-15024	-6864	1760	13	-31	13	-15856	1664	-3248	-14	-16	12	-7808	4184	14136	23	2	-17	-15976	3360	496	-12	-13	11	-15928	-1408	-2016	25	10	22	124	130	8
-7792	-4364	13416	-9	20	-20	-15088	-6816	1704	10	-34	22	-16064	1688	-2912	-6	-9	17	-7832	4176	14224	17	2	-14	-16008	3368	240	7	-23	14	-15904	-1472	-1944	25	16	19	123	130	8
-7772	-4528	13432	-13	22	-21	-15104	-6648	1680	8	-36	24	-15880	1704	-2888	8	1	27	-7648	4448	14216	17	1	-18	-15792	3608	920	19	-21	15	-16120	-1408	-1896	35	25	17	123	130	8
-7788	-4480	13232	-11	19	-25	-14840	-6680	1864	17	-26	29	-15976	1680	-2944	11	-1	31	-7880	4296	14280	13	6	-18	-16064	3624	536	-3	-14	9	-16160	-1408	-1984	31	36	19	123	130	8
-7764	-4468	13380	-12	20	-20	-15000	-6848	1720	19	-11	34	-16096	1712	-2856	8	0	35	-7816	4232	14256	12	0	-19	-16032	3544	616	-1	-17	14	-16152	-1392	-1960	20	26	18	123	130	8
-7700	-4476	13380	-14	23	-18	-14912	-6768	2008	5	-14	29	-15936	1808	-2944	10	2	37	-7696	4200	14224	17	-3	-19	-15904	3488	792	10	-14	2	-16096	-1400	-1592	24	20	14	123	129	8
-7844	-4496	13296	-6	18	-21	-14920	-6768	1568	-7	-5	37	-15984	1768	-2776	-9	-6	46	-7960	4288	14344	16	-2	-13	-15728	3736	944	12	-5	-6	-16064	-1448	-1424	28	7	15	123	130	8
-7776	-4496	13288	-3	15	-15	-14928	-6664	1720	4	14	34	-15880	1728	-2712	5	-24	38	-7784	4384	14392	8	-4	-18	-15984	3720	1008	4	9	-10	-16176	-1520	-1608	25	8	14	122	130	8
-7784	-4420	13304	-8	12	-20	-15096	-6800	1816	15	28	28	-15984	2008	-2976	17	-16	40	-7840	4224	14288	6	-2	-22	-15888	3488	720	6	18	-14	-16264	-1520	-1624	35	15	14	123	130	8
-7716	-4448	13360	-1	11	-20	-15216	-6688	1600	6	17	34	-15936	2064	-3328	0	-6	40	-7840	4360	14432	12	9	-26	-16048	3448	648	2	23	-11	-16016	-1408	-2232	43	23	18	123	130	8
-7732	-4472	13320	-9	21	-17	-15120	-6768	1720	-6	6	40	-15888	2192	-2976	-9	-1	39	-7800	4080	14368	14	7	-26	-15944	3504	640	7	17	-10	-15960	-1288	-2000	47	27	20	122	130	8
-7788	-4448	13360	-10	18	-22	-14880	-6712	1848	-16	-3	36	-15792	1976	-3208	-5	-3	36	-7864	4144	14280	13	10	-23	-15952	3528	632	15	12	-17	-16000	-1152	-2048	34	13	18	122	130	8
