#Activity	standing down_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 11 8 10 8 10 8 10 8 
#Date 09-07-16-13
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8580	-5668	11608	-24	3	-19	-12792	-9936	-2280	-39	-4	-22	-15072	-4816	4376	-74	-43	4	-7024	3552	15024	27	2	-9	-15856	2712	1944	-34	-33	-10	-16072	-3032	-2512	-44	4	-3	120	135	8
-8896	-5644	12396	-28	18	-15	-12976	-10008	-2096	7	-9	-8	-15200	-4680	4288	-45	-31	-2	-7312	3984	14448	12	-15	-10	-16368	3656	1144	-30	-8	10	-16016	-2368	-2176	-19	5	-9	120	134	8
-8256	-5816	11704	-32	31	-27	-12936	-10232	-2056	-16	-10	9	-15232	-4896	3856	-36	-36	3	-8640	5352	14368	35	15	-1	-14784	3136	376	-4	-9	-10	-15440	-3032	-2248	-5	-16	2	120	135	8
-9360	-5244	12704	-16	0	0	-12696	-10584	-1952	3	-7	-2	-15032	-4768	3968	-20	-42	10	-7488	3792	14712	23	-7	-17	-16624	3104	1312	-19	-6	-3	-16240	-2472	-1960	14	-7	10	121	135	8
-9024	-5692	12072	-22	27	-19	-12696	-10400	-2120	14	-13	13	-14936	-4672	3824	5	-35	25	-7456	3752	14968	1	-17	-19	-15776	3600	1264	21	-1	7	-15688	-2496	-2640	54	-7	16	121	135	8
-9260	-6016	11900	0	4	-30	-12792	-10064	-2696	2	-10	26	-15072	-4912	4376	17	-36	26	-7696	3552	14352	15	1	-18	-16112	3024	896	21	-6	-2	-16168	-2600	-2416	62	3	16	121	135	8
-8996	-5844	11936	-12	17	-30	-12936	-10288	-2272	29	-2	36	-15080	-4768	4368	43	-21	27	-8376	4952	14536	17	-3	-10	-16144	3584	688	27	-10	7	-15848	-2648	-2672	57	10	19	121	135	8
-8924	-5684	12224	8	-9	-19	-13144	-9864	-2080	23	10	33	-15232	-4896	4256	51	-17	20	-7384	3152	14600	32	20	-16	-15512	2576	1368	11	-8	-2	-15968	-2608	-2816	58	1	16	121	135	8
-9348	-5728	12568	0	19	-14	-12632	-9904	-2144	29	1	39	-15048	-4512	4336	59	-18	20	-7264	3752	14232	13	-10	-10	-16240	4056	1184	6	0	27	-15984	-2136	-2440	39	-13	18	120	135	8
-8168	-5656	11484	-1	20	-26	-13064	-10112	-1720	18	0	56	-15056	-4624	4224	62	-19	22	-6544	2800	14456	19	-12	-14	-15144	2848	552	23	-2	11	-15464	-2560	-2160	35	-25	32	120	134	8
-9232	-5292	12232	8	-10	0	-12808	-9440	-2912	-8	6	54	-14976	-4488	4416	64	-29	24	-6232	3448	15192	17	-4	-13	-16928	3696	1976	5	-19	15	-16200	-2056	-2320	36	-4	26	120	133	8
