#Activity	standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 10 8 10 8 10 8 10 8 10 8 10 8 
#Date 09-07-16-20
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8140	-5428	12728	-6	13	-18	-11160	-10616	5432	7	-2	30	-16168	-1720	-464	5	-19	17	-8096	4952	14136	20	3	-22	-15776	4096	-144	22	2	7	-14968	-3224	6344	41	5	9	124	127	8
-8100	-5796	12576	-4	17	-22	-11136	-10696	5848	9	5	33	-16416	-1560	-8	-8	-22	18	-7952	4464	14160	16	1	-16	-15816	4168	-192	9	11	-2	-15016	-3176	6168	30	5	6	124	127	8
-8148	-5548	12708	-12	16	-22	-11120	-10760	5736	-3	5	25	-16152	-1752	-128	-20	-16	8	-8112	4848	14256	20	4	-22	-15720	4088	-120	1	14	-12	-14888	-3312	6080	17	6	5	124	127	8
-8140	-5528	12720	-17	12	-28	-11216	-10744	5600	-4	13	28	-16200	-1808	-280	-21	-22	2	-8000	4728	14232	9	2	-20	-15840	4064	-368	1	16	-7	-15024	-3312	5944	18	7	-4	124	127	8
-8184	-5444	12652	-6	9	-24	-11176	-10824	5640	-6	7	32	-16168	-1960	-456	-19	-27	4	-8312	4784	13936	11	7	-21	-15784	3992	-424	1	20	-12	-15064	-3248	6168	9	7	-2	124	126	8
-8108	-5416	12712	-7	9	-24	-11256	-10832	5544	-8	17	30	-16224	-1608	-464	-15	-25	3	-8008	4880	13944	13	10	-20	-15888	4080	-512	0	23	-16	-15136	-3368	6048	9	4	-4	124	126	8
-8240	-5516	12688	-8	8	-20	-11280	-10744	5464	-8	22	31	-16320	-1648	-416	-16	-24	8	-8112	4904	14088	15	9	-17	-15824	4000	-352	-9	24	-16	-15032	-3360	5952	7	3	1	124	126	8
-8224	-5376	12844	-7	12	-26	-11320	-10704	5496	-11	17	32	-16248	-1632	-632	-14	-26	9	-8168	4824	14360	7	6	-22	-15944	4088	-336	1	26	-13	-15072	-3352	6080	3	3	6	124	126	8
-8196	-5608	12676	-11	14	-23	-11176	-10704	5752	-10	17	32	-16272	-1744	-408	-10	-22	13	-7944	4544	14008	11	8	-27	-15960	3720	-288	2	14	-16	-15120	-3456	5776	16	2	10	124	126	8
-8248	-5424	12780	-6	9	-29	-11216	-10784	5584	-2	24	31	-16136	-1736	-608	-4	-23	12	-7984	4864	14184	13	0	-20	-15864	4024	-600	12	13	-12	-15136	-3552	5816	33	2	2	124	126	8
-8140	-5588	12592	-9	11	-25	-11392	-10864	5272	-3	29	27	-16184	-1616	-600	8	-23	12	-7984	4464	14056	10	12	-26	-15816	3720	-208	14	-3	-16	-15016	-3432	5752	43	6	2	124	126	8
-8040	-5560	12736	-8	17	-22	-11320	-10776	5688	0	18	31	-16160	-1680	-696	4	-14	15	-8072	4648	14376	15	1	-14	-15808	3960	-16	13	-9	-8	-15088	-3384	5632	44	3	0	124	126	8
-8236	-5624	12668	-17	13	-23	-11072	-10808	5232	-9	7	27	-15976	-1688	-568	0	-16	17	-8104	4584	13984	11	3	-27	-15768	3888	-264	7	-9	-7	-15136	-3376	5816	31	-5	4	124	126	8
-7956	-5496	12736	-9	14	-25	-11320	-10872	5768	10	5	28	-16104	-1760	-632	7	-16	15	-7776	4944	14176	14	1	-14	-15808	3984	-376	0	0	-7	-15104	-3520	5808	26	-2	4	124	126	8
-8144	-5612	12560	-11	14	-22	-11032	-10768	5280	2	2	23	-16016	-1688	-552	6	-20	18	-7976	4392	14152	18	1	-18	-15712	3792	-224	5	-10	-1	-14768	-3512	6280	16	1	9	124	126	8
-8248	-5508	12748	-10	10	-20	-11424	-10800	5488	7	12	22	-16232	-1832	-784	11	-12	18	-7896	4800	14040	17	3	-8	-15976	3824	-512	-7	4	-5	-14968	-3720	5864	25	-1	4	124	126	8
-8120	-5576	12692	-7	18	-25	-11104	-10752	5424	6	9	19	-16112	-1512	-344	14	-18	19	-8064	4576	13944	23	1	-20	-15968	4048	-192	12	-18	2	-15144	-3472	5768	31	0	1	124	126	8
-8360	-5448	12676	-8	12	-25	-11240	-10968	5576	6	8	21	-16160	-1768	-272	11	-21	16	-8216	4648	13984	20	5	-12	-15696	3912	-472	2	2	0	-15048	-3616	5840	32	-1	3	124	127	8
-8028	-5536	12796	-6	12	-26	-11416	-10704	5680	16	4	21	-16280	-1440	-408	19	-19	18	-7896	4568	14184	19	-3	-16	-15984	3800	-152	10	-5	4	-14952	-3584	6024	39	-3	2	125	127	8
-8196	-5416	12680	-9	18	-27	-11424	-10744	5448	5	2	16	-16176	-1728	-560	17	-18	21	-8400	4840	14200	23	11	-20	-15632	3784	-304	11	-1	2	-14992	-3392	5896	35	-8	6	125	127	8
-8120	-5416	12944	-5	11	-25	-11576	-10656	5400	19	-5	21	-16120	-1632	-528	11	-16	24	-8088	4752	13960	14	-2	-15	-15936	4232	-360	3	0	5	-15096	-3248	5968	36	-8	6	124	126	8
-8176	-5464	12912	-9	12	-27	-11264	-10768	5616	22	-3	18	-16120	-1664	-408	2	-19	26	-8136	4632	14128	18	0	-17	-15912	3784	-360	5	-2	1	-14984	-3416	5960	39	-11	7	125	126	8
-8108	-5424	12836	-9	18	-25	-11240	-10720	5680	22	-9	17	-16032	-1704	-552	13	-19	16	-8112	4736	14136	15	3	-15	-15848	4080	-384	7	-3	7	-15016	-3488	5848	40	-9	5	124	126	8
-8160	-5584	12840	-11	11	-21	-11288	-10848	5528	20	-5	17	-16136	-1640	-584	6	-21	23	-8048	4600	14208	16	6	-15	-15968	3880	-192	6	-7	4	-15112	-3416	5832	34	-9	5	124	126	8
-8012	-5536	12800	-14	14	-25	-11312	-10872	5792	22	-10	15	-16232	-1800	-504	17	-18	24	-7896	4648	14352	16	-3	-16	-15816	4048	-184	3	-5	7	-15024	-3432	5912	29	-9	3	125	126	8
-8136	-5552	12688	-7	13	-24	-11400	-10784	5472	18	-9	18	-16160	-1688	-192	8	-22	23	-7920	4600	14320	11	2	-13	-15968	4008	-344	6	-8	-1	-15056	-3392	6072	25	-6	7	125	126	8
-8056	-5544	12764	-12	16	-24	-11216	-10880	5568	20	-14	14	-16224	-1872	-472	7	-16	20	-8032	4632	13912	15	-1	-9	-15840	3872	-440	-7	-7	2	-14968	-3336	6016	21	-3	5	125	126	8
-8160	-5472	12756	-11	12	-25	-11168	-10904	5400	14	-10	14	-16184	-1704	-296	11	-18	19	-7936	4640	14064	19	-5	-16	-15856	3872	-552	1	-11	7	-15048	-3440	6072	14	-11	5	125	126	8
-8084	-5544	12800	-12	14	-23	-11312	-10760	5720	19	-7	13	-16320	-1768	-160	7	-17	19	-8128	4632	14256	20	1	-10	-15808	4048	-264	-2	-4	5	-14992	-3560	6000	24	-6	4	125	126	8
-8180	-5560	12752	-8	14	-23	-11216	-10776	5648	10	-10	15	-16072	-1696	-248	5	-16	16	-8040	4608	14136	15	-4	-14	-15920	4136	-368	2	-10	4	-15024	-3408	6104	21	-3	6	125	126	8
-8036	-5496	12800	-8	15	-20	-11232	-10760	5888	15	-5	16	-16208	-1736	-192	3	-18	15	-8016	4872	14192	14	-6	-11	-15968	4064	-336	1	-3	-3	-15072	-3312	5984	26	1	11	125	126	8
-8160	-5556	12636	-9	12	-28	-11104	-10752	5472	10	-7	20	-16080	-1600	-400	0	-16	16	-8272	4800	14240	13	1	-15	-16264	3856	-600	8	-15	4	-15112	-3416	6544	34	16	24	124	127	8
