#Activity	standing down_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	8 11 8 11 8 11 8 11 8 
#Date 09-07-16-22
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8584	-4752	12780	-8	15	-19	-14088	-8520	-408	16	-1	21	-15432	-2696	4688	26	-23	27	-7720	4160	14400	26	6	-11	-15520	5320	-64	56	-28	3	-16072	-304	-1512	93	26	7	123	133	8
-8576	-4724	12816	-10	19	-24	-14152	-8608	-296	9	-6	18	-15480	-2456	5008	17	-26	28	-7696	4512	14360	27	4	-11	-15488	5440	232	94	-45	0	-16224	-40	-1544	128	25	19	123	133	8
-8568	-4860	12880	-12	25	-20	-14080	-8632	-312	8	-6	16	-15576	-2600	4848	2	-26	27	-7592	4384	14360	24	6	-13	-15384	5520	88	91	-40	4	-16312	24	-1608	134	32	25	123	133	8
-8372	-4788	12904	-15	29	-18	-14144	-8640	24	9	-11	21	-15576	-2504	4984	-11	-20	21	-7680	4392	14424	26	5	-16	-15320	5688	32	77	-37	4	-16304	64	-1640	124	28	24	123	133	8
-8492	-4720	12796	-13	33	-20	-13944	-8472	-328	11	-5	21	-15440	-2408	4904	-15	-21	15	-7576	4624	14416	17	-4	-11	-15408	5920	224	37	-24	1	-16312	432	-1608	80	31	19	123	133	8
-8500	-4856	12768	-12	23	-22	-14088	-8720	-320	16	-4	16	-15344	-2608	4976	-17	-23	9	-7624	4360	14408	17	5	-14	-15480	5568	-192	6	-7	2	-16408	264	-1760	34	15	10	123	133	8
-8464	-4556	12784	-13	27	-14	-14280	-8112	-368	6	-11	20	-15488	-2232	5040	-32	-16	14	-7760	4264	14352	18	7	-19	-15360	5536	120	1	-2	-2	-16040	48	-1528	0	5	5	123	133	8
-8656	-4564	12868	-12	16	-19	-14168	-8480	-600	2	-8	11	-15232	-2184	5128	-39	-21	17	-7808	4528	14328	14	-6	-15	-15304	5720	32	-17	10	-4	-16256	96	-1600	-9	7	-1	123	133	8
-8632	-4740	12760	-11	17	-22	-14176	-8328	-440	-6	-9	10	-15424	-2520	4896	-35	-16	18	-7792	4208	14528	6	-1	-19	-15776	5232	184	-30	11	-13	-16464	-208	-1696	-29	-1	3	123	133	8
-8564	-4832	12648	-16	18	-29	-14104	-8656	-280	-3	-2	6	-15536	-2520	4960	-32	-19	17	-7808	4360	14408	8	-4	-19	-15352	5424	-8	-7	3	-11	-16152	-128	-1880	-8	1	-7	123	134	8
-8472	-4708	12612	-18	25	-28	-14000	-8424	-344	3	1	9	-15416	-2536	5072	-27	-10	19	-7912	4368	14776	8	0	-18	-15432	5464	-168	-18	8	-14	-16208	-88	-1696	-2	6	-5	123	133	8
-8444	-4924	12744	-15	25	-27	-14048	-8512	-248	5	5	2	-15488	-2640	4728	-19	-6	12	-7680	4312	14528	11	0	-22	-15424	5512	72	-24	8	-18	-16240	-40	-1592	-2	3	-2	123	134	8
-8636	-4668	12672	-15	30	-24	-14096	-8408	-416	4	9	7	-15424	-2552	4696	-17	-11	14	-7944	4424	14592	9	-8	-22	-15440	5328	-320	-22	3	-24	-16088	-112	-1608	0	1	-5	123	134	8
-8588	-4864	12816	-9	24	-32	-14184	-8632	-224	5	4	9	-15336	-2584	4688	-23	-2	19	-7520	4792	14576	10	-7	-14	-15512	5640	-168	-9	4	-16	-16112	0	-1976	6	-1	-9	123	134	8
-8400	-4740	12744	-11	25	-24	-14056	-8376	-224	2	1	14	-15464	-2640	4872	-23	-4	19	-7536	4488	14168	17	-2	-17	-15304	5536	88	-18	2	-13	-16376	-104	-1768	-5	-6	-5	124	134	8
-8524	-4776	12856	-13	21	-26	-14200	-8512	-280	5	2	13	-15528	-2624	4800	-15	-9	20	-7680	4480	14368	10	-6	-16	-15544	5576	-16	-19	-5	-10	-16152	-200	-1872	-1	-9	-3	123	135	8
-8536	-4712	12844	-11	14	-24	-14048	-8672	-112	13	10	15	-15488	-2776	4784	3	-8	15	-7568	4528	14200	13	0	-16	-15536	5528	328	-17	-3	-1	-16144	-312	-1712	12	-2	3	124	135	8
-8540	-4944	12728	-10	22	-22	-14168	-8648	-232	18	0	15	-15504	-2680	4720	19	-9	18	-7528	4568	14192	16	-1	-14	-15360	5336	-40	-10	-11	1	-15992	-288	-1712	20	-8	9	124	135	8
-8712	-4640	12640	-14	13	-15	-14144	-8408	-632	20	-1	18	-15296	-2680	4688	35	-15	15	-7744	4320	14368	14	2	-16	-15616	5440	248	-3	-16	-2	-16304	-280	-1896	30	-5	9	124	135	8
-8656	-4884	12748	-7	8	-29	-14120	-8760	-512	13	0	18	-15464	-2520	4784	37	-17	16	-7744	4432	14400	13	-2	-17	-15448	5400	464	-6	-22	5	-16096	-368	-1720	26	-7	9	123	135	8
-8672	-4740	12764	-9	9	-23	-13984	-8736	-488	18	-7	13	-15544	-2704	5104	30	-18	21	-7848	4112	14248	13	3	-18	-15528	5288	72	-7	-16	3	-16224	-312	-1584	23	-7	6	124	135	8
-8684	-4748	12728	-7	16	-28	-14208	-8744	-328	12	-5	23	-15520	-2680	4784	30	-15	24	-7592	4128	14576	22	3	-13	-15336	5400	56	-3	-13	4	-16280	-264	-1576	23	-4	12	123	135	8
-8608	-4940	12680	-13	20	-22	-13864	-8672	-408	16	-3	20	-15376	-2760	4720	36	-11	33	-7776	4216	14224	15	5	-16	-15616	5192	104	-6	-9	4	-16352	-336	-1576	32	-7	11	123	135	8
-8632	-4704	12672	-7	14	-23	-14192	-8520	-400	11	-1	22	-15544	-2752	4680	33	-13	31	-7592	4208	14320	20	5	-18	-15504	5632	-72	2	-8	3	-16128	-168	-1480	32	-5	14	124	135	8
-8656	-4680	12752	-6	17	-25	-14024	-8528	-288	16	-2	29	-15512	-2664	4800	41	-6	29	-7608	4400	14200	19	4	-16	-15280	5624	-184	3	-7	1	-16120	-240	-1640	45	-4	14	123	136	8
-8544	-4752	12772	-5	17	-23	-13984	-8528	-368	21	-2	31	-15504	-2480	4744	49	-9	28	-7680	4160	14504	14	0	-15	-15128	5528	-8	15	-4	6	-16192	-200	-1808	51	-4	16	124	136	8
-8644	-4776	12584	-9	15	-26	-14144	-8560	-440	14	-1	33	-15560	-2424	4800	48	-11	32	-7776	4520	14296	16	7	-16	-15232	5448	88	17	-6	0	-16200	-160	-1664	48	1	13	124	136	8
-8412	-4772	12848	0	6	-17	-14144	-8520	-240	24	-1	30	-15464	-2656	4864	43	-14	27	-7544	4408	14544	18	-5	-14	-15528	5576	16	12	-6	3	-16440	-112	-1784	51	4	20	124	135	8
-8412	-4784	12776	-3	6	-20	-14136	-8624	-376	18	-6	36	-15496	-2736	5048	42	-17	32	-7560	4416	14144	21	1	-15	-15528	5344	264	9	-11	2	-16392	-144	-1784	43	-5	24	124	136	8
-8416	-4764	12980	-7	4	-23	-14144	-8512	-152	22	-2	38	-15416	-2640	5144	43	-20	24	-7704	4400	14488	21	4	-12	-15408	5512	80	6	-8	19	-16216	-24	-1656	46	0	24	123	136	8
-8532	-4720	12920	-3	10	-21	-14016	-8568	-464	17	-7	41	-15560	-2608	4808	44	-22	24	-7416	4464	14456	21	-4	-10	-15400	5624	112	7	-8	15	-16248	-96	-1624	36	-7	29	123	136	8
-8408	-4732	12924	-4	9	-19	-14080	-8544	-320	23	-3	38	-15456	-2552	4944	51	-23	29	-8000	4272	14240	19	1	-14	-15320	5560	16	3	-3	14	-16312	-72	-1864	37	-8	25	123	136	8
-8688	-4708	12860	4	16	-19	-14176	-8648	-472	22	1	37	-15544	-2464	4744	55	-20	32	-7656	4472	14328	17	3	-12	-15648	5552	-8	12	-3	16	-16312	-24	-1632	34	-5	24	123	136	8
-8512	-4776	12916	-2	7	-23	-14112	-8632	-272	23	-6	41	-15496	-2472	4760	58	-16	36	-7824	4368	14472	22	5	-15	-15288	5464	-128	7	0	20	-16224	56	-1464	41	-9	22	123	136	8
-8756	-4628	12768	-6	13	-17	-14160	-8424	-448	16	1	41	-15552	-2344	4920	51	-16	34	-7728	4280	14496	21	7	-16	-15424	5512	24	12	2	5	-16104	-88	-1784	43	-10	26	123	136	8
-8620	-4748	12848	-3	11	-25	-14280	-8528	-480	19	-4	39	-15608	-2360	4872	45	-18	37	-7760	4328	14432	18	7	-16	-15400	5592	-208	11	2	4	-16328	160	-1488	48	-2	24	123	135	8
-8644	-4708	12708	-3	11	-16	-14128	-8472	-512	14	0	38	-15448	-2272	4872	42	-19	37	-7744	4224	14336	15	3	-18	-15384	5408	16	18	-1	3	-16120	-8	-1680	49	4	23	123	136	8
-8544	-4784	12784	-2	12	-15	-14200	-8592	-416	17	-6	39	-15456	-2280	5048	36	-11	33	-7808	4400	14400	20	4	-18	-15432	5504	-88	21	-1	3	-16064	168	-1720	50	-1	17	123	136	8
-8536	-4656	12756	-4	11	-16	-14280	-8320	-616	14	-9	38	-15368	-2288	4976	35	-5	34	-7608	4584	14376	18	-1	-17	-15480	5680	32	10	-2	1	-16192	128	-1752	42	-3	16	123	136	8
-8504	-4716	12772	-3	9	-20	-14112	-8456	-120	10	-14	36	-15448	-2328	5064	35	-4	25	-7624	4456	14496	17	5	-19	-15360	5568	144	6	1	2	-16104	-24	-1704	31	-2	16	123	136	8
-8496	-4720	12932	-1	9	-19	-14248	-8632	-136	20	-3	35	-15544	-2424	5024	28	1	23	-7696	4352	14528	15	3	-20	-15472	5784	120	8	0	-1	-16224	120	-1512	34	1	13	123	136	8
-8556	-4668	12824	-5	8	-22	-14264	-8472	-240	17	-5	32	-15528	-2384	4984	29	-4	26	-7552	4520	14288	14	7	-13	-15448	5576	24	6	1	-2	-16336	136	-1592	28	-1	13	123	136	8
-8396	-4636	12888	-4	12	-18	-14232	-8536	-88	16	-3	34	-15496	-2464	5128	29	-8	25	-7656	4400	14576	16	0	-21	-15352	5536	-88	7	-4	0	-16120	32	-1568	31	-7	14	123	136	8
-8536	-4708	12920	-13	14	-21	-14088	-8456	-208	14	2	25	-15600	-2304	5184	28	-13	29	-7768	4512	14368	16	2	-21	-15408	5640	-56	1	0	2	-16256	80	-1864	30	-2	11	123	136	8
-8464	-4688	12828	-7	15	-22	-14296	-8456	-336	13	-1	31	-15520	-2192	4928	26	-19	27	-7704	4536	14440	16	2	-15	-15464	5496	136	1	-3	8	-16072	64	-1840	32	-1	16	123	137	8
-8572	-4760	12848	-10	20	-24	-14120	-8528	-304	11	-3	20	-15480	-2400	4944	20	-17	27	-7736	4408	14248	16	0	-16	-15360	5664	-112	7	2	0	-16128	-32	-1776	29	-3	9	123	137	8
