#Activity	walking running 
#ActivityID	1 2 
#Date 09-07-16-30
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-23292	-4648	16832	147	3585	2270	-22456	-13056	-6808	-1643	3168	1342	-10064	20576	-15520	2298	1271	271	-23472	12368	32144	313	8768	-5037	-32768	17000	8456	2718	3171	-1798	-30536	-7808	3264	2232	462	-760	175	112	1
-32768	-32768	-376	1840	2249	1459	-2856	-26136	-23432	-1363	1793	297	-17984	11968	-21072	-1124	813	572	-32768	25944	32767	2627	7952	-4810	-26568	22560	5760	3394	2509	-2173	-28360	-2976	-5528	4139	-310	-1096	212	119	1
-4232	18880	19688	818	-172	933	-32768	2000	-3168	-483	2179	560	-15424	-3344	-12232	-907	738	1158	-32768	32767	32767	2826	4734	-4307	-20304	10680	-12280	1639	2058	-1650	-32768	360	-17608	3333	-1024	-893	131	138	1
-7372	5504	17904	461	180	262	-22584	-8512	328	-1227	1832	964	-26472	13120	-11840	-587	1698	626	-28816	32767	32767	-1126	-1651	1198	-7792	18144	1744	-28	1359	259	-32768	1688	-15488	1607	-1453	-317	139	132	1
-9960	-5448	13788	162	200	48	-16776	-10808	816	-1753	824	787	-16456	4056	-7368	-1135	1335	738	22416	16360	27488	-1378	-2972	2015	-12848	18840	14808	-452	-875	1230	-31880	2416	-18824	224	-1818	166	109	111	1
-8084	-4260	13064	-75	257	25	-14432	-10896	8	-1735	96	494	-13800	2784	-5552	-704	1515	1154	13928	6064	19832	730	-2365	2417	-5296	5336	10160	-850	-1423	1465	-18912	-1912	-15632	111	-2460	2	109	85	1
-8132	-5980	12524	-95	312	101	-11672	-12504	-1008	-1112	361	334	-18496	2896	-6992	-728	1625	1446	2568	8584	19656	1990	-2942	2683	-5336	3576	1752	-827	-1776	2131	-10712	-3048	-14736	322	-2587	48	106	0	1
-9168	-4816	11944	-36	289	147	-14352	-11800	-632	-203	862	135	-17640	248	-4320	-374	1654	1639	-6720	10160	22200	1576	-4405	2782	-6960	3016	-1240	-950	-2622	2766	-10120	1376	-14160	510	-2641	147	104	153	1
-9244	-5460	11924	-29	300	46	-14656	-9376	-144	19	920	163	-15952	-160	-2712	-86	1913	1758	-5928	4128	17464	976	-5433	2809	-9480	1912	1232	-1107	-3327	3224	-7000	5424	-14808	387	-2879	8	99	161	1
-8864	-5484	11796	-71	271	-13	-12472	-8488	776	-687	503	329	-15608	272	-2912	-411	2097	1779	-5888	16	15072	1236	-5585	2738	-12392	40	1904	-1102	-3876	3328	-5968	6960	-14992	24	-2952	-15	100	162	1
