#Activity	standing going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking going_up walking 
#ActivityID	8 3 1 3 1 3 1 3 1 3 1 3 1 3 1 
#Date 09-07-16-38
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-8552	-6004	12128	26	68	65	-12816	-9976	3312	42	107	69	-16312	432	-1920	68	-4	43	-7576	4712	14096	15	8	-23	-15776	2976	328	-9	53	-22	-16280	104	-1648	15	6	-8	126	128	8
-8720	-5424	12420	18	71	57	-12888	-9656	3520	0	70	74	-16264	808	-1992	31	-22	57	-7640	4632	13840	12	4	-27	-15824	2880	328	4	65	-24	-16224	168	-1752	28	-5	0	126	128	8
-8700	-5832	12164	14	68	52	-12672	-9928	3264	-28	31	83	-16096	648	-1992	-20	-24	69	-7696	4760	13904	4	0	-33	-15920	2576	320	8	66	-24	-16080	96	-2184	43	-18	7	127	127	8
-8852	-5640	12224	7	53	42	-12536	-9944	3400	-34	17	87	-16048	528	-2176	-44	-28	70	-7648	4544	14488	5	-3	-34	-16024	2576	296	15	68	-25	-16064	-72	-2592	70	-12	17	127	126	8
-8832	-5696	12204	3	37	32	-12840	-9632	3208	-17	23	79	-16248	760	-2088	-31	-39	63	-7488	4696	14136	9	0	-32	-16088	2504	72	30	60	-19	-15968	-96	-2808	84	-3	23	126	126	8
-8804	-5584	12168	3	28	12	-12592	-9704	3464	-19	14	80	-16240	1040	-2312	-47	-39	63	-7512	4752	14152	13	1	-28	-16104	2488	-192	30	46	-11	-15848	-40	-2936	106	-2	31	126	126	8
-8748	-5700	12180	1	27	9	-12744	-9688	3488	-30	3	75	-16264	936	-2200	-69	-38	57	-7584	4616	14280	15	0	-27	-16120	2488	-160	27	41	-7	-16008	336	-2624	111	5	33	127	126	8
-8780	-5728	12228	-8	4	-14	-12888	-9720	3216	-41	-16	72	-16232	1032	-2392	-81	-33	53	-7528	4640	14432	21	4	-21	-16288	2512	-136	20	38	-5	-16032	560	-3072	95	6	25	126	126	8
-8768	-5720	12148	-7	3	-17	-12872	-9808	3400	-36	-26	70	-16056	904	-2656	-93	-34	43	-7648	4672	14208	26	10	-18	-16232	2496	-80	5	29	-3	-15976	520	-3168	51	-1	20	126	125	8
-8720	-5772	12212	-4	-2	-23	-12800	-9792	3136	-34	-33	60	-16128	776	-2648	-93	-35	26	-7736	4576	14280	29	11	-20	-16064	2696	-112	-10	21	-1	-15744	600	-2800	16	12	14	126	126	8
-8728	-5564	12100	-15	-2	-31	-13056	-9600	3392	-29	-52	47	-16168	672	-2568	-87	-39	25	-7656	4536	14176	30	8	-10	-16040	2520	-80	-25	11	10	-15936	616	-2744	-24	14	9	127	126	8
-8716	-5628	12176	-21	-3	-38	-12712	-9728	3376	-30	-64	36	-16016	1032	-2624	-82	-40	20	-7608	4672	14152	24	3	-9	-16032	2680	-48	-41	2	5	-15872	544	-2584	-57	11	-4	126	127	8
-8712	-5760	12092	-16	-8	-39	-12784	-10192	3416	-16	-70	27	-16120	600	-2432	-61	-32	3	-7568	4624	14112	18	0	-9	-16064	2576	72	-41	-5	8	-15952	456	-2552	-68	19	-6	126	127	8
-8596	-5812	12164	-17	-2	-30	-12808	-10208	3320	9	-53	16	-16440	624	-2496	-26	-28	-9	-7584	4616	14008	24	7	-10	-15864	2632	-224	-37	-8	5	-16200	384	-2472	-60	25	-7	126	127	8
-8648	-5740	12168	-14	8	-28	-12760	-9728	3312	19	-45	9	-16464	904	-2304	-1	-37	-10	-7592	4760	14016	21	2	-10	-15952	2640	-48	-36	-5	4	-16280	296	-2280	-60	29	-11	126	127	8
-8684	-5688	12148	-17	5	-34	-12720	-9672	3544	6	-50	4	-16072	816	-1568	-14	-42	-8	-7568	4624	14120	17	-2	-13	-16184	2480	104	-46	-5	0	-16256	416	-2208	-63	26	-8	127	127	8
-8704	-5752	12064	-20	2	-36	-12448	-10072	3328	6	-50	12	-16000	560	-1976	-26	-23	0	-7824	4712	14248	25	0	-9	-16120	2496	120	-40	-3	-1	-16064	200	-2344	-47	23	1	127	127	8
-8704	-5648	12088	-9	-12	-35	-12632	-9856	3568	15	-33	6	-16056	520	-1776	-30	-7	-4	-7712	4720	14144	27	6	-10	-16096	2608	56	-13	-17	-7	-16136	168	-2424	-13	35	-7	127	127	8
-8704	-5780	12116	-11	-8	-42	-12840	-9976	3720	14	-38	11	-16416	424	-1856	-15	5	-4	-7624	4792	14184	27	4	-8	-15896	2720	-280	8	-24	0	-16048	456	-2320	-7	26	0	126	127	8
-8704	-5808	12220	-8	-11	-32	-12504	-9872	3680	3	-29	9	-16376	688	-1752	-6	-9	1	-7640	4816	14120	31	3	-8	-16192	2584	-184	5	-30	-2	-16032	520	-2320	19	30	-6	125	126	8
-8612	-5688	12172	-10	-6	-30	-12568	-9904	3696	0	-30	17	-16352	296	-1432	-7	-11	9	-7656	4728	14104	29	1	-12	-16112	2736	96	3	-24	-12	-16344	456	-2160	26	41	-7	126	126	8
-8652	-5804	12204	0	-1	-30	-12432	-9864	3792	-7	-12	20	-16376	184	-1464	11	-13	9	-7656	4896	14136	25	15	-10	-15944	2792	288	2	-24	-19	-16232	304	-1816	33	36	-8	126	126	8
-8668	-5844	12084	-6	-1	-24	-12360	-9928	3744	13	21	28	-16400	160	-1360	41	-6	16	-7544	4864	14040	25	1	-8	-15720	2840	288	15	-15	-27	-16208	400	-2040	42	25	-12	126	126	8
-8664	-5756	12136	4	1	-21	-12488	-9960	3664	20	46	30	-16376	320	-1368	56	-2	24	-7608	4760	14328	20	7	-23	-15880	2920	464	13	0	-33	-16376	248	-1840	51	13	-12	127	126	8
-8624	-5728	12180	3	0	-23	-12568	-9888	3832	10	57	38	-16224	416	-1432	55	13	38	-7632	4792	14040	16	-4	-26	-15832	2752	184	29	5	-40	-16104	264	-1888	70	13	-13	127	126	8
-8584	-5776	12208	4	8	-23	-12672	-9920	3792	5	66	49	-16416	424	-1360	61	26	40	-7648	4952	14088	7	-7	-28	-15912	2776	112	39	8	-45	-15944	280	-2056	93	7	-5	127	126	8
-8608	-5824	12168	-1	9	-21	-12616	-9960	3816	3	80	53	-16256	552	-1520	68	20	41	-7808	4816	14264	-3	-13	-37	-15952	2848	72	56	9	-48	-16152	232	-2392	120	1	1	127	126	8
-8616	-5724	12168	0	14	-24	-12488	-10024	3408	11	102	58	-16400	392	-1648	73	10	37	-7552	4728	14200	-9	-25	-39	-16032	2552	-32	72	6	-45	-16040	160	-2352	147	-7	5	127	127	8
-8628	-5708	12076	0	12	-23	-12688	-9784	3432	12	117	60	-16120	512	-1888	74	9	41	-7680	4696	13944	-7	-14	-39	-16256	2448	-56	87	2	-47	-16040	40	-2688	175	-9	6	127	127	8
-8608	-5712	12332	-4	14	-29	-12888	-9752	3304	-5	104	68	-16160	704	-2152	51	15	44	-7632	4672	14248	-2	-22	-35	-16096	2448	96	94	-4	-49	-16144	232	-2536	201	-9	9	127	127	8
-8676	-5672	12080	-3	9	-30	-12752	-9712	3360	-16	93	62	-15912	776	-2336	37	23	50	-7720	4560	14112	3	-10	-31	-16080	2496	40	86	3	-35	-16160	112	-2696	184	-4	9	127	127	8
-8616	-5700	12236	0	6	-35	-12872	-9744	3360	-14	85	62	-15944	848	-2768	39	36	51	-7744	4592	14032	10	-12	-30	-16176	2560	-72	76	-3	-38	-16120	304	-2712	177	-5	8	128	128	8
-8576	-5728	12368	-10	8	-29	-13096	-9912	3472	-1	79	49	-16088	872	-2904	52	40	60	-7592	4696	13992	13	-11	-29	-16112	2480	56	76	-11	-38	-16064	320	-2944	157	-5	6	127	128	8
-8560	-5548	12364	-12	20	-27	-13072	-9624	3232	3	58	40	-16208	1128	-2928	63	38	63	-7704	4608	14088	16	-13	-26	-15984	2584	-8	75	-16	-36	-15808	464	-2768	148	-1	10	128	128	8
-8612	-5640	12344	-19	16	-32	-12928	-9648	3240	-2	44	27	-16008	1096	-2952	56	34	61	-7648	4736	13936	8	-14	-23	-16096	2544	-192	64	-23	-35	-15952	392	-2688	126	5	9	127	128	8
-8668	-5632	12096	-27	19	-38	-12920	-9744	3192	9	24	15	-16096	936	-2968	59	47	55	-7640	4736	13936	3	-22	-22	-15816	2704	-224	55	-29	-32	-15824	520	-2840	96	4	6	127	128	8
-8636	-5816	12292	-36	25	-45	-12968	-10024	3384	10	11	8	-16072	728	-2712	49	79	50	-7568	4728	14224	-5	-33	-25	-15904	2672	-16	49	-28	-30	-15976	424	-2464	87	16	-1	127	129	8
-8580	-5776	12180	-34	26	-40	-12928	-9920	3392	15	2	8	-16280	696	-2712	56	89	47	-7560	4808	14032	-8	-30	-30	-16168	2536	-80	41	-27	-31	-16208	208	-2160	69	20	-7	127	129	8
-8640	-5756	12116	-36	28	-40	-12648	-9904	3016	30	8	4	-16120	504	-2440	53	88	41	-7568	4408	14128	-7	-34	-33	-16320	2264	-32	47	-31	-27	-16376	-112	-2232	72	13	-15	127	129	8
-8592	-5592	12192	-33	31	-37	-12880	-9752	3272	29	0	11	-16424	480	-2248	43	74	47	-7544	4584	14160	3	-20	-27	-16240	2328	56	55	-23	-25	-16496	-320	-2304	79	23	-15	127	129	8
-8432	-5844	11988	-34	39	-34	-12520	-10064	3520	5	-7	22	-16248	744	-1984	14	61	56	-7440	4496	14136	9	-7	-21	-15928	2480	400	55	-10	-20	-16368	-112	-2376	77	24	-5	127	129	8
-8424	-6028	11996	-26	47	-16	-12040	-10120	3384	13	10	25	-15992	600	-2424	-7	73	51	-7536	4528	14144	18	6	-19	-16248	2392	8	24	2	-26	-16304	0	-1960	63	21	-2	127	129	8
-8672	-5892	12180	-12	45	5	-12848	-9896	3176	32	24	28	-15928	552	-2824	3	91	52	-7512	4560	14176	19	8	-21	-16160	2408	16	5	13	-34	-16168	8	-2440	45	21	0	127	129	8
-8660	-5516	12216	-16	43	-6	-13256	-9592	3328	25	11	24	-15952	1120	-2944	25	97	58	-7768	4624	14248	21	4	-21	-16104	2536	216	3	26	-37	-15944	168	-2248	48	24	6	127	128	8
-8732	-5736	12252	-19	12	-32	-12512	-9784	3304	20	-29	11	-16448	560	-2456	33	49	64	-7520	4680	14184	-7	-20	-28	-15944	2584	-168	7	19	-34	-15944	336	-2624	47	37	-1	126	128	8
-8556	-5856	12284	-10	12	-34	-12720	-10000	3392	32	-1	14	-16512	536	-1640	49	43	58	-7600	4616	14232	-8	-24	-34	-16176	2392	-88	27	14	-27	-16008	104	-2696	72	42	-7	126	128	8
-8720	-5852	12172	-10	19	-26	-12584	-10088	3488	31	21	23	-16664	392	-1624	50	38	62	-7624	4632	14264	-6	-26	-32	-16280	2392	-40	48	4	-25	-16112	-144	-2920	81	27	-6	126	129	8
-8648	-5724	12188	-7	19	-29	-12656	-9872	3328	25	44	36	-16720	576	-1304	63	25	35	-7520	4400	14248	1	-19	-32	-16096	2344	0	47	0	-23	-16304	-40	-2888	74	18	5	126	128	8
-8608	-5804	12140	-12	23	-35	-12528	-9936	3840	19	63	55	-16456	368	-1592	75	20	29	-7472	4744	14312	2	-16	-23	-16280	2304	-8	35	-1	-22	-16304	-296	-2856	88	-2	13	127	129	8
-8684	-5828	12188	-3	23	-21	-12560	-9920	3480	24	91	64	-16312	320	-2040	97	20	31	-7560	4600	14128	9	-15	-26	-16096	2320	-32	37	2	-17	-16152	-160	-2496	125	-14	14	127	129	8
-8656	-5772	12260	2	19	-23	-12632	-9832	3280	32	107	66	-16216	592	-2424	126	14	36	-7464	4632	13992	9	-14	-26	-16040	2432	-232	54	-6	-18	-16072	8	-2856	147	-11	15	127	129	8
-8760	-5636	12104	-1	12	-29	-12936	-9584	3040	36	109	65	-15968	752	-2768	120	3	47	-7424	4600	14064	8	-16	-27	-15928	2416	168	67	-9	-12	-16016	32	-2528	162	-8	22	127	128	8
-8712	-5784	12032	0	7	-38	-12824	-9784	3008	36	106	63	-16048	720	-2904	112	-12	56	-7536	4640	14224	3	-22	-24	-16064	2320	-40	87	-14	-5	-15992	120	-2624	173	-16	31	127	128	8
-8700	-5812	12136	0	-8	-41	-12768	-9824	3200	34	90	66	-16000	720	-2976	107	-19	63	-7624	4592	14192	2	-27	-31	-16048	2344	-56	81	-12	-1	-16016	-8	-2552	171	-9	32	127	128	8
-8608	-5796	12184	2	-2	-41	-12960	-9776	3088	54	93	57	-16160	792	-2936	107	-21	66	-7432	4528	14168	-3	-23	-30	-16128	2320	-72	83	-13	-4	-16176	-64	-2656	162	-6	44	127	128	8
-8608	-5800	12180	4	-1	-37	-13040	-9776	2928	51	85	57	-15976	864	-3296	113	-24	68	-7536	4568	14120	8	-23	-26	-16200	2384	-80	66	-17	11	-16024	-32	-2816	157	-7	44	127	128	8
-8640	-5756	12140	3	3	-39	-12776	-9672	2920	53	75	50	-16184	992	-3024	117	-30	58	-7544	4632	14352	11	-19	-24	-16248	2392	-264	60	-28	9	-16128	184	-2984	154	-11	49	127	128	8
-8592	-5768	12120	-1	0	-35	-12936	-9688	2952	59	67	44	-16024	848	-3008	118	-33	58	-7432	4800	14424	16	-17	-17	-16120	2232	-152	55	-28	14	-16152	168	-2856	134	-13	46	127	129	8
-8596	-5740	12172	-4	0	-38	-12992	-9688	3248	62	57	46	-15968	1040	-3000	120	-31	50	-7528	4432	14088	24	-1	-15	-16224	2368	-240	39	-32	25	-16000	192	-2920	118	-14	42	127	129	8
-8628	-5784	12236	-1	5	-36	-12856	-9600	3128	62	52	39	-16056	1120	-3192	109	-29	48	-7560	4776	14384	28	-12	-19	-15912	2584	16	26	-28	23	-16120	432	-2744	92	-18	36	126	129	8
-8616	-5748	12232	-4	3	-39	-13024	-9640	3032	52	30	34	-15928	1088	-3168	95	-31	41	-7512	4544	14048	21	-3	-18	-16024	2416	40	8	-29	26	-15912	376	-2520	66	-15	34	126	129	8
-8604	-5712	12120	-4	6	-37	-12928	-9832	3208	55	20	30	-16184	1112	-3072	86	-33	38	-7568	4720	14104	22	-11	-16	-16072	2560	-184	0	-28	26	-16032	328	-2248	39	-5	27	126	129	8
-8512	-5712	12216	-3	3	-35	-12976	-9600	3336	62	9	25	-16064	1016	-2864	72	-31	33	-7512	4560	14280	19	-10	-17	-16000	2432	64	-3	-31	29	-16120	344	-2560	31	-9	26	126	129	8
-8608	-5756	12188	-9	5	-37	-13080	-9640	3080	60	2	20	-16048	1056	-2552	61	-31	34	-7560	4680	14256	15	-5	-16	-15952	2488	-72	1	-27	29	-16032	272	-2584	28	-8	24	126	129	8
-8596	-5816	12196	-13	5	-34	-13056	-9640	3232	52	-9	23	-16280	1072	-2816	43	-37	40	-7528	4720	14528	15	-7	-20	-16184	2392	72	4	-31	29	-16168	64	-2400	29	-4	29	126	129	8
-8548	-5720	12292	-16	14	-29	-13032	-9784	3288	43	-29	19	-16280	856	-2456	16	-37	33	-7576	4608	14160	25	-11	-13	-16064	2464	-8	3	-28	29	-16120	208	-2352	26	-8	28	126	129	8
-8520	-5732	12128	-15	15	-31	-12888	-9672	3384	37	-23	21	-16120	864	-2480	16	-42	26	-7448	4480	14232	19	-1	-14	-16056	2600	-120	-6	-24	28	-16024	168	-2576	30	-15	30	126	129	8
-8592	-5772	12312	-14	14	-30	-12848	-9792	3248	44	-24	21	-16288	656	-2392	12	-40	27	-7488	4616	14224	17	-8	-15	-16032	2520	-200	-6	-19	29	-16040	24	-2480	17	-16	35	126	129	8
-8668	-5768	12104	-18	15	-30	-12848	-9912	2992	46	-19	25	-16224	640	-2432	26	-36	21	-7640	4608	14152	21	-8	-19	-16096	2544	24	0	-22	27	-16048	264	-2552	28	-15	38	126	129	8
-8612	-5848	12192	-12	18	-31	-12816	-9696	3384	48	-14	25	-16072	720	-2536	36	-49	30	-7536	4616	14304	21	-12	-19	-16056	2456	96	11	-26	37	-16136	352	-2512	37	-12	37	125	128	8
-8544	-5872	12068	-9	14	-27	-12848	-9792	3288	50	-11	29	-16016	440	-2488	46	-47	34	-7712	4560	14120	18	-12	-16	-16176	2648	-184	6	-25	38	-15904	296	-2456	38	-5	35	126	128	8
-8568	-5832	12220	-6	10	-24	-12864	-9752	3016	60	-2	28	-15992	680	-2544	54	-41	45	-7464	4624	14240	18	-8	-16	-15984	2536	-248	-1	-20	29	-16032	288	-2320	37	-1	32	126	129	8
-8592	-5828	12140	-2	10	-26	-12976	-9760	3208	64	12	29	-16200	944	-2344	62	-39	43	-7392	4624	13968	18	0	-20	-16128	2576	168	-11	-22	33	-16080	248	-2336	31	-4	33	126	129	8
-8524	-5816	12168	0	8	-27	-13016	-9528	3216	71	10	29	-16048	856	-2584	64	-41	42	-7544	4624	14176	14	-7	-14	-16064	2560	88	-12	-18	34	-16064	344	-2528	28	-6	36	126	128	8
-8592	-5808	12200	-2	8	-25	-12904	-9640	3336	67	8	31	-16240	992	-2400	49	-39	38	-7632	4720	14152	10	-13	-14	-15960	2736	120	-10	-18	34	-16112	360	-2760	32	-3	40	127	129	8
