#Activity	sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting standing_up standing sitting_down sitting 
#ActivityID	5 7 8 6 5 7 8 6 5 7 8 6 5 7 8 6 5 
#Date 09-09-17-30
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-12016	40	10628	-116	135	-168	-15484	-804	-4664	31	-23	-57	-1248	-1476	16880	61	-101	153	-12960	2864	10048	108	4	-131	-15916	-1764	-4404	77	20	176	-1004	1688	17048	192	-14	27	127	126	5
-12056	32	10684	-115	143	-215	-15524	-772	-4684	-15	-15	-86	-1264	-1428	16848	38	-106	170	-13024	2900	9960	122	-24	-142	-15960	-1764	-4344	50	-8	162	-1076	1668	16944	197	-4	-16	128	126	5
-12016	76	10648	-88	141	-195	-15468	-784	-4724	4	-15	-53	-1244	-1392	16752	40	-123	157	-12956	2932	10076	137	-33	-125	-15872	-1756	-4344	86	-37	194	-1068	1688	17016	192	-2	12	128	126	5
-12044	84	10668	-124	128	-161	-15548	-812	-4620	1	-32	-73	-1352	-1424	16896	16	-146	147	-13000	2956	10096	114	-46	-105	-15904	-1764	-4440	96	-34	153	-1048	1724	17068	173	-35	-10	128	126	5
-12024	52	10700	-94	142	-219	-15516	-756	-4700	58	-32	-98	-1360	-1432	16804	-4	-127	148	-13012	2856	10056	119	-28	-141	-15892	-1780	-4316	84	-7	161	-1024	1716	16972	152	-30	13	127	126	5
-12072	36	10632	-101	152	-202	-15480	-804	-4668	-3	-57	-103	-1324	-1412	16816	-9	-145	150	-12980	2892	10076	110	-13	-102	-15960	-1708	-4372	104	-39	173	-1028	1624	17080	155	-21	0	126	126	5
-12056	80	10652	-97	121	-221	-15560	-712	-4776	0	-73	-119	-1336	-1452	16764	9	-166	176	-12988	2908	9936	115	-79	-123	-15840	-1792	-4356	113	-81	155	-968	1688	17100	145	-28	16	127	126	5
-12036	84	10728	-108	139	-215	-15536	-748	-4580	0	-46	-151	-1232	-1444	16864	8	-192	192	-13008	2876	10020	108	-73	-103	-15888	-1820	-4368	66	-115	183	-1004	1656	17080	164	-6	17	127	126	5
-12012	96	10588	-91	110	-200	-15484	-772	-4684	-21	-83	-151	-1228	-1464	16832	-27	-172	203	-13016	2936	10028	96	-32	-130	-15860	-1796	-4312	87	-88	158	-1000	1648	17072	158	-4	37	126	126	5
-11964	68	10644	-111	147	-210	-15540	-796	-4624	4	-13	-138	-1248	-1460	16888	-14	-149	150	-13012	2872	10136	114	-50	-152	-15944	-1832	-4296	97	-90	153	-952	1640	17004	138	-9	5	126	126	5
-12108	88	10648	-57	136	-220	-15444	-828	-4664	-18	-74	-135	-1184	-1464	16880	-44	-151	140	-12972	2876	10064	88	6	-96	-15916	-1776	-4412	81	-84	138	-940	1632	17092	113	-39	46	127	126	5
-11988	48	10564	-122	144	-207	-15492	-860	-4668	-7	-41	-132	-1220	-1560	16836	-34	-143	132	-13020	2848	10012	110	-65	-144	-15860	-1724	-4316	70	-70	103	-924	1660	17140	147	-18	50	127	126	5
-11988	100	10588	-93	144	-211	-15516	-848	-4552	33	-35	-76	-1164	-1524	16780	-58	-161	150	-13016	2916	10064	116	-57	-144	-15896	-1776	-4144	83	-41	88	-896	1652	17060	121	21	48	127	125	5
-12112	32	10728	-92	139	-205	-15508	-904	-4596	41	-11	-100	-1192	-1508	16920	-36	-140	144	-13012	2920	9960	104	-64	-126	-15832	-1796	-4280	40	-20	107	-916	1600	17048	135	13	55	127	125	5
-12024	40	10736	-114	167	-166	-15476	-840	-4664	30	-7	-60	-1208	-1504	16832	-3	-116	140	-12968	2880	10028	108	-51	-141	-15932	-1848	-4292	62	-13	123	-940	1528	16992	135	6	17	127	125	5
-12016	24	10648	-102	137	-211	-15484	-852	-4616	50	-18	-60	-1220	-1504	16732	18	-142	146	-13012	2880	9992	129	-43	-148	-15880	-1812	-4320	94	-8	123	-1012	1436	17172	172	-3	50	126	126	5
-12064	52	10556	-82	158	-174	-15460	-864	-4580	57	1	-83	-1196	-1512	16912	-5	-140	127	-12972	2916	10048	106	-36	-124	-15952	-1832	-4316	96	4	148	-960	1548	16992	197	-4	-1	126	126	5
-11996	76	10692	-94	143	-206	-15524	-860	-4744	38	-5	-67	-1240	-1608	16956	-9	-95	151	-13028	2936	10128	129	-6	-131	-15896	-1796	-4388	82	6	108	-976	1548	17056	155	-7	29	126	126	5
-11964	36	10724	-93	122	-201	-15504	-772	-4576	-13	-43	-31	-1236	-1572	16828	17	-112	146	-12984	2856	10040	125	-17	-167	-15916	-1772	-4328	20	-4	138	-984	1548	16988	179	-6	47	126	126	5
-12028	68	10684	-106	136	-182	-15516	-792	-4652	-12	-10	-57	-1244	-1520	16836	36	-104	143	-12992	2864	10088	111	-38	-182	-15840	-1824	-4344	4	-16	141	-944	1524	17056	194	-11	53	125	126	5
-12048	84	10536	-49	153	-213	-15572	-824	-4624	18	-8	-52	-1220	-1504	16876	78	-148	156	-12964	2852	10076	110	-72	-109	-15880	-1804	-4400	41	-43	178	-944	1508	16956	265	-25	54	126	126	5
-12032	84	10564	-81	151	-173	-15496	-780	-4620	0	-38	-42	-1260	-1480	16888	47	-117	144	-12932	2864	10084	109	-16	-111	-15888	-1856	-4456	53	-15	184	-1044	1576	17068	264	13	30	126	126	5
