#Activity	standing down_by_elevator 
#ActivityID	8 11 
#Date 09-09-17-56
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-15284	-2156	6856	1872	-56	-1416	-14872	1992	-8168	2103	-685	738	-15152	2520	-688	1836	-51	86	-12312	6376	9088	116	67	65	-16576	1600	-1496	253	-72	-32	-15936	3144	-3248	320	-70	57	111	127	8
-15700	-2884	6116	2148	124	-1461	-14680	768	-8088	2117	-582	844	-15296	2312	-504	1762	65	62	-12384	6104	9368	99	54	48	-16512	1448	-1352	265	-71	-51	-15672	3240	-3192	332	-73	33	105	129	8
-15996	-3636	5412	2382	296	-1532	-14376	-536	-8096	2286	-429	938	-15496	2232	-168	1701	155	20	-12464	6408	9192	88	46	48	-16680	1608	-1200	267	-72	-72	-15560	3376	-2936	336	-67	2	115	130	8
-15892	-4088	4908	2559	461	-1590	-13960	-1000	-8344	2638	-261	1026	-15592	2336	0	1652	225	-16	-12232	6224	9296	80	38	32	-16528	1592	-1336	270	-80	-88	-15600	3064	-2792	391	-52	-16	126	130	8
-15448	-3836	4348	2553	606	-1591	-13960	-800	-8360	2938	-104	1042	-16008	2728	624	1593	259	-17	-12368	6400	8936	64	28	25	-16568	1600	-1200	287	-63	-119	-15864	2920	-2752	466	-63	-20	133	131	8
-14640	-3764	3620	2346	756	-1449	-13624	72	-8024	2930	22	966	-16168	3256	376	1616	250	-1	-12440	6296	9424	68	18	17	-16768	1392	-1208	313	-66	-140	-16120	2944	-2904	533	-63	-22	135	131	8
-13124	-3976	3168	2123	985	-1215	-13520	312	-7752	2739	115	814	-16360	3688	624	1521	185	48	-12432	6368	9192	66	23	15	-16888	1496	-1056	339	-61	-162	-16096	2968	-2808	583	-56	-26	126	131	8
-12932	-3896	3132	2080	1032	-1166	-13408	744	-6936	2320	133	600	-15920	4512	-200	1326	130	104	-12400	6280	9096	44	1	-23	-16472	816	-760	358	-46	-169	-15944	2872	-2888	591	-54	-29	124	130	8
-10844	-3856	3360	1592	1718	-615	-13704	920	-6656	1847	121	359	-15736	4816	720	1163	12	54	-11504	6592	8888	39	4	-36	-16368	1264	-944	348	-29	-177	-15536	2920	-2728	571	-58	-63	127	129	8
-11128	-14424	8988	-195	-85	-711	-12440	776	-10712	1832	214	270	-16512	5232	664	1064	-109	-94	-9880	7584	9992	7	-21	-41	-16856	1904	-496	274	-29	-193	-15704	3272	-3096	492	-40	-82	135	128	8
-18620	-7924	7316	-94	-104	-468	-14664	1104	-6936	476	91	-21	-16920	6840	1368	743	-128	-59	-12568	6616	9304	-15	-55	-67	-16384	1280	-776	165	-39	-225	-15912	3696	-2984	389	-30	-83	136	128	8
-14444	-3516	7092	-170	-286	-158	-13416	-64	-6680	-64	24	-269	-16384	7168	376	526	46	53	-11472	6344	9288	9	-34	-79	-16856	696	-928	128	-12	-249	-16176	3440	-2672	272	-39	-125	121	129	8
