#Activity	standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 10 8 10 8 10 8 10 8 10 8 
#Date 09-09-18-10
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11740	-2416	10472	-12	14	-19	-15328	-4288	-1432	0	-6	-7	-16016	-1200	-3168	-3	-21	16	-12316	4480	10228	166	-41	-125	-16580	-1860	-284	129	-57	142	-16172	1992	-1576	218	17	-5	125	128	8
-11704	-2376	10556	-9	15	-23	-15568	-4096	-1480	-2	-8	-7	-15968	-1272	-3088	2	-19	16	-12284	4432	10184	168	-52	-95	-16552	-1768	-280	69	-63	171	-16120	1936	-1656	153	-29	38	126	128	8
-11700	-2436	10568	-9	15	-23	-15520	-4264	-1456	-3	-9	-5	-16024	-1384	-3064	6	-15	14	-12304	4412	10192	151	19	-124	-16592	-1840	-380	85	-11	170	-16224	2000	-1556	154	-19	-1	126	127	8
-11664	-2332	10500	-12	17	-26	-15520	-4176	-1344	-7	-13	-9	-16096	-1328	-2904	12	-18	21	-12236	4444	10232	140	-8	-126	-16604	-1856	-268	105	-27	191	-16136	1988	-1636	219	-58	52	127	128	8
-11744	-2432	10536	-11	19	-21	-15496	-4080	-1336	0	-9	-6	-16016	-1312	-3216	17	-24	20	-12280	4520	10192	168	-43	-129	-16540	-1836	-428	135	-56	138	-16048	2044	-1612	224	18	27	126	128	8
-11740	-2372	10488	-10	17	-23	-15488	-4328	-1448	4	-5	-6	-15960	-1304	-3072	14	-24	20	-12300	4480	10144	167	-65	-111	-16572	-1848	-372	114	-37	169	-16144	1980	-1580	242	-54	47	125	128	8
-11744	-2400	10492	-12	21	-20	-15616	-4200	-1456	10	-4	-4	-16064	-1296	-2808	19	-19	21	-12372	4440	10132	156	-39	-171	-16576	-1800	-336	152	-1	142	-16096	2032	-1620	228	-16	47	126	129	8
-11744	-2400	10564	-14	17	-27	-15408	-4312	-1416	9	-2	-4	-16016	-1256	-3072	15	-18	22	-12280	4512	10212	142	-23	-142	-16536	-1900	-328	140	-50	170	-16116	1988	-1480	234	38	30	126	130	8
-11712	-2448	10472	-11	22	-26	-15416	-4200	-1448	4	-8	-1	-15976	-1264	-2960	14	-19	19	-12292	4468	10224	138	-40	-99	-16504	-1880	-304	95	-76	169	-16164	1980	-1592	170	30	44	125	129	8
-11628	-2424	10504	-13	20	-19	-15512	-4160	-1568	-5	-4	-6	-15912	-1312	-3072	20	-19	17	-12264	4564	10152	138	-18	-115	-16568	-1880	-388	75	-6	137	-16092	2048	-1428	220	-33	32	125	128	8
-11680	-2400	10540	-9	16	-18	-15464	-4192	-1336	-5	-6	-8	-16040	-1200	-2968	12	-23	19	-12312	4436	10248	163	-44	-133	-16572	-1868	-324	87	-18	138	-16072	2040	-1532	229	-16	41	125	128	8
-11640	-2368	10568	-15	21	-18	-15544	-4160	-1536	-3	-5	-5	-15840	-1408	-2952	9	-21	19	-12236	4472	10268	180	-26	-136	-16528	-1880	-208	131	10	177	-16144	2048	-1524	216	9	18	124	129	8
-11788	-2380	10440	-10	19	-20	-15488	-4208	-1416	3	-5	0	-16040	-1296	-3016	7	-20	16	-12220	4548	10088	128	-69	-116	-16568	-1840	-340	93	-40	169	-16160	2004	-1568	202	-8	16	124	128	8
-11748	-2388	10556	-13	18	-25	-15504	-4200	-1464	9	-7	-3	-15928	-1280	-3128	5	-18	15	-12280	4448	10260	153	-59	-140	-16548	-1836	-244	114	-17	170	-16180	2024	-1528	130	16	13	124	128	8
-11768	-2356	10496	-15	19	-23	-15536	-4080	-1512	-4	-9	-3	-16048	-1280	-3072	0	-19	18	-12292	4484	10280	131	-47	-136	-16632	-1848	-280	38	-17	161	-16148	2004	-1548	116	-28	-8	123	127	8
-11720	-2400	10572	-7	18	-22	-15512	-4184	-1616	-13	-12	-8	-15992	-1376	-2816	0	-21	13	-12348	4556	10036	116	-60	-133	-16600	-1816	-268	29	-29	177	-16100	2028	-1540	61	3	42	124	128	8
-11800	-2452	10472	-9	14	-20	-15568	-4104	-1280	-4	-7	-6	-15968	-1304	-3112	3	-18	17	-12276	4484	10168	139	15	-125	-16560	-1784	-264	22	12	127	-16104	2024	-1500	89	31	29	125	129	8
-11760	-2432	10496	-10	18	-23	-15416	-4344	-1104	-2	-8	-6	-15968	-1376	-3096	7	-19	23	-12292	4404	10116	88	-74	-137	-16628	-1880	-432	30	-36	166	-16128	1968	-1628	92	34	-4	122	129	8
-11708	-2356	10620	-11	20	-24	-15616	-4336	-1480	1	-7	-4	-16072	-1312	-2960	5	-15	18	-12288	4428	10252	146	-61	-132	-16588	-1912	-364	42	-55	165	-16220	1960	-1664	105	-20	13	123	129	8
-11720	-2412	10584	-10	20	-23	-15528	-4232	-1344	-2	-9	-7	-15984	-1360	-3280	8	-18	24	-12320	4508	10140	135	-32	-147	-16644	-1884	-168	114	-9	174	-16144	1960	-1620	136	-25	28	124	129	8
-11712	-2468	10500	-10	17	-22	-15432	-4240	-1384	-4	-3	-4	-15928	-1264	-3072	6	-19	22	-12184	4428	10324	121	14	-124	-16560	-1872	-380	37	-36	147	-16056	1904	-1660	124	-49	34	125	129	8
-11716	-2380	10460	-8	19	-19	-15392	-4240	-1720	-7	-9	-4	-15816	-1392	-3064	8	-20	20	-12320	4512	10180	144	-22	-129	-16576	-1852	-296	40	-38	154	-16108	1896	-1624	175	-48	50	126	129	8
-11680	-2400	10548	-12	21	-21	-15536	-4240	-1736	10	-5	1	-15928	-1192	-3064	14	-24	18	-12252	4484	10228	148	-64	-129	-16624	-1812	-356	46	-39	184	-16064	2044	-1672	262	-41	53	127	128	8
-11712	-2416	10464	-9	11	-24	-15504	-4072	-1392	-4	-10	-6	-15984	-1304	-3120	15	-22	13	-12340	4488	10232	161	-70	-103	-16560	-1944	-304	116	-73	187	-16172	2036	-1608	219	-61	61	127	129	8
-11736	-2428	10496	-11	16	-25	-15528	-4256	-1624	4	-6	-5	-16032	-1344	-3064	13	-20	21	-12324	4460	10240	172	-46	-107	-16548	-1832	-292	207	-66	143	-16192	2064	-1676	314	-89	35	123	128	8
-11708	-2348	10524	-9	19	-23	-15400	-4224	-1288	7	-5	-3	-16136	-1408	-3064	12	-16	23	-12308	4460	10192	142	-92	-97	-16588	-1852	-240	174	-41	182	-16260	2100	-1624	256	-68	51	124	129	8
-11756	-2384	10496	-11	17	-26	-15416	-4304	-1328	2	-4	-9	-15928	-1240	-2944	17	-12	25	-12276	4396	10232	173	-78	-82	-16588	-1792	-336	128	-22	155	-16160	2084	-1424	162	-97	29	127	128	8
-11732	-2388	10556	-9	15	-24	-15544	-4296	-1504	6	-7	-1	-16040	-1456	-3072	21	-12	23	-12240	4512	10184	137	-75	-150	-16580	-1744	-224	83	-32	161	-16184	2116	-1380	150	-26	47	126	129	8
-11776	-2464	10480	-11	18	-26	-15512	-4312	-1312	1	-2	1	-16000	-1328	-3160	21	-18	24	-12192	4432	10188	152	-60	-106	-16568	-1884	-188	54	-9	155	-16140	2020	-1396	131	-20	35	124	128	8
-11664	-2384	10540	-13	14	-17	-15448	-4272	-1488	-2	-2	-1	-16024	-1360	-2904	21	-23	21	-12236	4452	10136	143	-38	-146	-16584	-1816	-296	115	-1	170	-16124	2032	-1532	135	23	58	124	128	8
-11728	-2424	10592	-5	19	-20	-15488	-4296	-1496	-5	-2	-3	-16048	-1408	-3088	17	-20	20	-12240	4472	10116	145	-55	-121	-16604	-1904	-396	55	8	142	-16040	1948	-1580	153	12	38	127	128	8
