#Activity	standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 10 8 10 8 
#Date 09-09-18-12
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-12148	-2240	10080	0	-53	-26	-14832	-4480	-4768	2	-166	-12	-14680	-1504	-7120	-27	-172	0	-12636	3764	10032	78	-335	51	-16040	-2180	-3372	-89	-1190	170	-15224	1560	-5056	-223	-1042	67	124	128	8
-12140	-2284	10144	-4	-51	-28	-14776	-4672	-4512	3	-165	-11	-14680	-1520	-7032	-42	-185	-6	-12536	3956	10136	98	-371	54	-16204	-2204	-3320	-105	-1132	187	-15308	1508	-5024	-356	-1027	-15	125	127	8
-12044	-2244	10304	-11	-36	-26	-14952	-4528	-4560	12	-172	-7	-14848	-1408	-6928	-56	-193	-10	-12656	3864	10152	55	-327	-12	-16280	-2144	-3376	-149	-1207	150	-15456	1516	-5280	-502	-974	-57	127	128	8
-12152	-2288	10300	-9	-27	-30	-15088	-4584	-4672	15	-170	-14	-14888	-1416	-6880	-48	-194	-14	-12540	3896	10108	109	-282	-53	-16304	-2168	-3336	-314	-1247	158	-15416	1384	-5240	-715	-1055	-52	122	128	8
-12152	-2236	10232	-11	-14	-26	-14792	-4704	-4720	-4	-186	-15	-14624	-1600	-6792	-62	-216	-22	-12556	3884	10144	120	-176	-29	-16208	-2260	-3300	-248	-1171	175	-15524	1288	-5012	-700	-1140	-56	124	127	8
-12164	-2304	10140	-16	-18	-29	-14768	-4824	-4568	9	-185	-8	-14712	-1608	-6952	-84	-227	-29	-12616	3864	10188	148	-187	10	-16116	-2228	-3112	-172	-1214	146	-15456	1332	-4904	-619	-1291	-7	125	128	8
-12164	-2248	10132	-15	-20	-27	-14712	-4584	-4624	-2	-187	-2	-14504	-1648	-6832	-99	-235	-31	-12524	3760	10104	130	-236	26	-16092	-2128	-3144	-80	-1165	159	-15252	1384	-4668	-532	-1346	-16	126	128	8
-12212	-2232	10244	-16	-18	-31	-14736	-4456	-4400	-34	-197	1	-14568	-1608	-6736	-121	-242	-33	-12524	3860	10176	139	-258	-25	-16140	-2168	-3264	-122	-1167	184	-15344	1240	-4980	-367	-1271	-3	126	128	8
-12116	-2260	10140	-18	-34	-26	-14640	-4688	-4456	-56	-205	4	-14472	-1576	-6576	-137	-245	-32	-12604	3824	10236	194	-189	-36	-16356	-2264	-3216	-110	-1229	211	-15272	1332	-5292	-406	-1171	48	125	127	8
-12096	-2372	10132	-11	-48	-21	-14904	-4736	-4360	-50	-214	7	-14512	-1632	-6712	-153	-250	-34	-12640	3832	10116	232	-184	7	-16260	-2324	-3368	-94	-1280	219	-15432	1256	-5304	-477	-1259	22	127	128	8
-12060	-2288	10284	-15	-53	-17	-14944	-4352	-4488	-25	-214	10	-14704	-1824	-6352	-146	-250	-34	-12608	3756	10104	237	-152	58	-16112	-2196	-2980	83	-1356	235	-15424	1340	-5276	-502	-1249	69	127	128	8
-12072	-2248	10180	-22	-59	-25	-14904	-4576	-4016	-23	-220	5	-14792	-1664	-6320	-132	-253	-32	-12600	3724	10076	186	-283	48	-16056	-2180	-3012	39	-1355	258	-15436	1408	-4680	-410	-1716	158	127	129	8
-12140	-2236	10172	-17	-71	-26	-14624	-4504	-4184	-36	-213	14	-14768	-1704	-5736	-123	-258	-23	-12564	3784	10048	118	-406	91	-15900	-2096	-2896	80	-1291	223	-15272	1348	-4492	-444	-1749	233	126	129	8
-11996	-2244	10200	-18	-80	-26	-14872	-4776	-3864	-32	-205	10	-14784	-1784	-6160	-104	-259	-13	-12504	3960	10056	126	-478	82	-16316	-2080	-2868	-41	-1281	262	-15324	1408	-4612	-183	-1721	287	127	129	8
-12004	-2364	10328	-18	-83	-23	-15128	-4608	-3720	13	-195	22	-14976	-1952	-6032	-78	-244	-3	-12472	3828	10204	116	-415	26	-16468	-2240	-2888	15	-1307	254	-15600	1332	-4728	-229	-1672	311	127	129	8
-11948	-2420	10500	-14	-77	-22	-15256	-4880	-3896	48	-188	32	-15064	-1808	-5896	-45	-220	11	-12516	3816	10256	154	-267	9	-16352	-2444	-2992	298	-1367	352	-15692	1280	-4516	-140	-1540	346	127	129	8
-11932	-2260	10540	-8	-58	-13	-15448	-4648	-3864	37	-200	18	-15432	-1600	-5888	-19	-208	22	-12540	3844	10260	208	-284	92	-16308	-2216	-2564	435	-1308	352	-15632	1400	-4276	-47	-1586	315	127	129	8
-11908	-2364	10428	-12	-43	-10	-15320	-4568	-3984	1	-201	13	-15448	-1616	-5568	-23	-214	27	-12492	3912	10164	225	-255	4	-16364	-2028	-2528	285	-1301	393	-15736	1472	-4200	301	-1616	326	127	128	8
-11884	-2400	10448	-10	-33	-12	-15192	-4608	-3264	-18	-192	20	-15192	-1664	-5344	-28	-218	26	-12488	3956	10268	217	-191	19	-16532	-2160	-2492	181	-1279	353	-15736	1552	-4076	305	-1568	442	127	129	8
-11848	-2236	10324	-8	-25	-17	-14888	-4616	-3408	9	-172	29	-15208	-1632	-4984	-34	-216	28	-12488	3860	10300	263	-100	36	-16420	-2212	-2640	192	-1300	362	-15592	1484	-4124	415	-1441	437	128	129	8
-11828	-2300	10476	-6	-23	-12	-15136	-4576	-3328	40	-159	29	-15216	-1576	-5120	-29	-194	35	-12428	3952	10268	287	-44	10	-16320	-2196	-2544	611	-1231	438	-15596	1560	-4124	613	-1451	482	127	127	8
