#Activity	standing up_by_elevator down_by_elevator 
#ActivityID	8 10 11 
#Date 09-09-18-13
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11676	-2192	10784	-14	20	-28	-15600	-4264	-1024	-10	-1	-18	-15824	-1760	-2760	57	14	9	-12276	4332	10416	156	-49	-146	-16612	-1792	-116	102	-44	70	-16096	2240	-1696	106	-9	-85	125	125	8
-11668	-2220	10696	-14	20	-29	-15400	-4232	-1032	39	13	-15	-15792	-1368	-3096	47	2	18	-12244	4344	10360	83	-2	-145	-16560	-1704	-160	86	-47	21	-16148	2196	-1540	103	-20	-75	125	125	8
-11640	-2200	10664	-11	22	-27	-15520	-4048	-1424	51	14	-10	-15856	-1096	-3240	-3	-20	16	-12272	4300	10352	116	-15	-144	-16540	-1776	72	108	-33	99	-16096	2100	-1520	154	-23	-74	125	125	8
-11760	-2168	10600	-16	15	-23	-15504	-3992	-1528	1	-5	-14	-15744	-992	-3488	-27	-45	9	-12216	4240	10392	86	-51	-152	-16500	-1792	-52	73	-27	101	-16076	2128	-1356	210	0	-69	126	125	8
-11736	-2176	10628	-14	14	-24	-15528	-4088	-1432	-38	-19	-22	-15752	-1008	-3408	-3	-35	1	-12304	4232	10328	131	-65	-143	-16544	-1756	-144	2	2	49	-16140	2192	-1488	163	39	-48	126	125	8
-11712	-2188	10708	-12	12	-29	-15664	-4184	-1216	-25	-19	-17	-15944	-1032	-2984	13	-17	-5	-12316	4276	10320	102	-34	-166	-16620	-1756	-32	-20	-86	100	-16200	2192	-1672	73	49	-61	125	125	8
-11628	-2164	10756	-17	18	-26	-15576	-4128	-1040	-2	-14	-20	-15952	-1352	-2824	9	-15	2	-12332	4216	10380	91	-36	-135	-16600	-1784	-28	-22	-101	30	-16104	2164	-1532	67	11	-54	125	124	8
-11652	-2224	10700	-16	20	-30	-15488	-4160	-904	-1	-14	-20	-15976	-1568	-2960	12	-17	8	-12276	4236	10396	131	-17	-138	-16548	-1728	-48	68	-44	101	-16112	2228	-1584	58	-72	-32	124	124	8
-11680	-2208	10712	-11	16	-24	-15472	-4248	-1264	18	5	-15	-15928	-1600	-2784	19	-19	11	-12268	4332	10392	110	-41	-147	-16548	-1732	12	67	-7	104	-16140	2188	-1640	119	-64	-36	123	124	8
-11716	-2224	10616	-12	16	-23	-15424	-4312	-1328	18	5	-9	-16024	-1528	-3104	20	-10	11	-12300	4288	10452	102	-36	-117	-16584	-1772	28	54	6	111	-16144	2132	-1516	193	22	-71	122	124	8
-11648	-2156	10672	-8	17	-22	-15640	-4160	-1408	-3	-2	-10	-15856	-1272	-3440	7	-16	22	-12296	4272	10344	122	7	-146	-16556	-1796	-20	97	1	122	-16196	2128	-1508	171	12	-69	123	123	8
-11712	-2136	10688	-10	19	-26	-15512	-4008	-1376	-7	-4	-8	-15896	-1192	-3272	15	-21	27	-12376	4268	10304	117	-75	-150	-16596	-1780	-40	42	-3	67	-16132	2100	-1560	116	11	-36	123	124	8
-11752	-2160	10712	-10	14	-21	-15528	-4328	-1304	-11	-10	-13	-15912	-1352	-3456	26	-17	26	-12300	4272	10372	110	-31	-126	-16624	-1776	92	-11	-46	107	-16132	2104	-1600	79	-6	-48	122	125	8
-11724	-2172	10672	-15	16	-22	-15376	-4200	-1032	1	-7	-9	-15888	-1256	-3088	20	-17	24	-12344	4316	10484	131	-16	-147	-16552	-1760	60	-37	-79	153	-16144	2056	-1688	93	6	-32	123	124	8
