#Activity	standing down_by_elevator standing up_by_elevator standing up_by_elevator standing up_by_elevator 
#ActivityID	8 11 8 10 8 10 8 10 
#Date 09-23-17-07
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9736	-4824	11424	2	18	-16	-16648	1032	-1072	-47	86	1	-14880	2936	-5984	35	-10	9	-9184	3864	13408	14	-6	-21	-15720	-3296	-376	5	26	-9	-15720	-1640	-3488	20	-10	14	127	119	8
-10088	-4936	11596	5	14	-14	-16544	1272	-672	-101	83	3	-14808	3080	-5432	36	-17	11	-9040	3536	13344	12	-7	-27	-15696	-3440	-64	28	24	-11	-15608	-1288	-3616	17	-23	14	127	120	8
-10052	-4740	11548	-6	13	-17	-16560	1192	-784	-100	68	2	-14912	2968	-5712	31	-16	11	-9344	3784	13456	9	-4	-24	-15896	-3224	-120	-28	29	-4	-15672	-1488	-3528	19	-15	17	127	119	8
-9852	-4756	11336	-14	17	-15	-16648	1224	-896	-113	73	6	-14800	3176	-5360	27	-9	16	-9024	3488	13136	13	-9	-21	-15776	-3464	-152	-56	27	-9	-15672	-1440	-3856	14	-11	18	127	120	8
-9844	-4820	11432	-5	17	-16	-16576	1248	-1296	-94	66	20	-14840	3048	-5632	21	3	16	-9336	3696	13400	16	-3	-30	-16000	-3536	-432	-23	21	-11	-15680	-1664	-3744	27	10	21	127	119	8
-10028	-4716	11532	-9	18	-18	-16576	1072	-1032	-88	60	17	-14976	3008	-5536	22	-1	13	-9080	3568	13368	19	-9	-26	-15760	-3584	-136	18	15	-22	-15704	-1544	-3848	28	7	18	127	120	8
-10056	-4848	11532	-4	11	-19	-16896	1088	-1032	-93	52	8	-15056	3016	-5400	30	11	11	-9168	3680	13208	21	4	-26	-15704	-3480	-160	28	10	-10	-15736	-1608	-3608	25	5	11	127	122	8
-10032	-4712	11496	-4	17	-12	-16576	1328	-944	-72	39	9	-14912	2848	-5568	48	-9	13	-9280	3544	13488	21	-1	-21	-15720	-3320	56	11	3	-9	-15632	-1600	-3736	23	6	8	127	122	8
-9948	-4552	11404	-13	12	-12	-16416	1296	-776	-71	42	11	-15104	3208	-5496	42	-8	16	-9288	3920	13176	22	-7	-18	-15832	-3392	-16	-6	3	-10	-15736	-1632	-3536	2	2	13	127	119	8
-9916	-4660	11584	-16	11	-15	-16608	1208	-880	-44	43	18	-14984	3096	-5416	37	-16	20	-9208	3616	13216	24	-9	-21	-15888	-3368	8	-35	2	-4	-15816	-1392	-3320	-13	-1	19	127	120	8
