#Activity	standing up_by_elevator standing 
#ActivityID	8 10 8 
#Date 09-23-17-06
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-10036	-4484	11400	-11	16	-24	-16472	1496	-1192	61	4	21	-14944	3192	-5312	41	-16	12	-9168	3632	13328	16	2	-21	-15792	-3416	-304	-37	3	-9	-15744	-1584	-3808	-11	-15	21	127	122	8
-9644	-4564	11688	-9	19	-24	-16480	1272	-1184	14	9	9	-14800	3160	-5008	35	-17	9	-9048	3400	13552	20	0	-14	-15632	-3280	-480	1	7	-1	-15536	-1336	-3808	-4	-16	19	127	123	8
-9788	-4972	11580	-16	15	-18	-16792	1120	-904	-6	8	10	-15064	3136	-5408	20	-6	-4	-9360	3608	13320	8	-2	-24	-15664	-3240	-536	11	4	6	-15648	-1336	-3632	-7	-27	17	127	121	8
-9900	-4424	11148	-12	16	-18	-16520	1264	-1472	25	8	11	-14800	3152	-5408	4	0	-7	-9360	3728	13472	14	-6	-26	-15744	-3304	-320	-4	12	-7	-15520	-1544	-3896	-6	-28	20	127	121	8
-10096	-4504	11464	1	11	-14	-16504	1536	-1248	2	6	15	-14784	3184	-5376	8	4	-6	-8672	3640	13664	19	-6	-18	-15912	-3392	272	14	5	-7	-15360	-1608	-4088	5	-16	19	127	122	8
-9724	-5012	11912	-11	12	-25	-16528	1448	-1096	-9	7	12	-14816	3256	-5856	-6	21	1	-9056	3800	13408	17	-3	-20	-16032	-3336	104	11	-19	-2	-15856	-1488	-3656	23	-7	23	127	120	8
-10068	-4480	11432	-19	6	-25	-16280	1160	-1232	20	-21	16	-15104	2880	-5496	2	-14	3	-9672	3408	13224	13	-1	-18	-15400	-3280	-592	-7	-2	-5	-15496	-1048	-3784	3	-29	30	127	120	8
-9836	-4484	11432	-9	13	-33	-16376	1360	-888	-1	-5	25	-15048	3040	-5408	38	-8	1	-8816	3848	13752	16	-2	-21	-16112	-3408	120	30	-9	-15	-15512	-1632	-3744	14	-11	30	127	121	8
-9708	-5176	11928	-1	10	-31	-17104	1224	-704	-36	-24	11	-14944	3080	-5432	23	-3	12	-9192	3960	13624	20	-8	-22	-15896	-3216	-160	23	-27	-5	-15800	-1400	-3840	28	3	20	127	121	8
-10240	-4460	11412	-7	9	-23	-16624	1216	-888	42	-18	17	-15144	3232	-5432	26	1	15	-9704	3608	13352	12	-9	-23	-15752	-3304	-424	-9	-12	-6	-16112	-1352	-3728	-4	-18	17	127	118	8
-10092	-4572	11320	-11	8	-32	-16472	1544	-864	11	-4	14	-15104	3224	-5392	47	1	9	-9272	3664	13656	14	-12	-24	-15896	-3880	-72	17	1	-13	-15776	-1672	-3688	-8	-29	20	127	122	8
