#Activity	standing up_by_elevator standing up_by_elevator standing up_by_elevator standing 
#ActivityID	8 10 8 10 8 10 8 
#Date 09-23-17-04
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9908	-4848	11508	-18	11	-26	-16656	1392	-1288	-8	-1	18	-15200	3240	-5320	15	4	3	-9208	3752	13360	15	-5	-15	-15776	-3264	-592	17	-6	-5	-15368	-1272	-4208	6	-13	17	127	120	8
-9748	-4892	11376	-15	17	-28	-16584	1608	-1352	-1	-11	23	-14968	3512	-5296	16	2	2	-9304	3824	13352	15	0	-22	-15944	-2960	-528	13	-4	-2	-15664	-1192	-3984	0	-15	16	127	122	8
-10332	-4680	11644	-2	12	-22	-16392	1528	-1528	1	-9	9	-14816	3512	-5304	18	-14	2	-9152	3680	13400	14	-13	-16	-15528	-3272	-224	-2	-8	-7	-15696	-1168	-4064	-1	-15	17	127	120	8
-9928	-4780	11396	-8	14	-27	-16544	1664	-1280	-9	-4	14	-15080	3464	-5136	13	-4	-2	-9120	3608	13432	17	-8	-17	-15776	-3288	-552	-5	-9	-12	-15648	-1328	-4096	2	-18	18	127	120	8
-9756	-4732	11572	-10	14	-27	-16640	1512	-1160	-9	-4	19	-14808	3464	-5368	9	-3	-5	-9080	3776	13448	17	0	-23	-15912	-3248	-416	24	-9	-5	-15672	-1360	-4304	5	-8	21	127	120	8
-9944	-4808	11580	-5	12	-21	-16552	1392	-1048	-8	-8	11	-14952	3240	-5432	4	-6	0	-9160	3704	13168	16	-15	-12	-15664	-3000	-456	10	-10	-8	-15592	-1192	-4136	3	-8	20	127	120	8
-9920	-4852	11388	-11	13	-29	-16368	1480	-1288	-2	-9	18	-15192	3352	-5416	15	-5	-1	-9328	3552	13608	5	-4	-20	-15752	-3144	-432	0	-11	-3	-15688	-1312	-3968	-5	-19	25	127	122	8
-9960	-4576	11636	-7	14	-24	-16688	1472	-1424	6	-3	7	-14880	3320	-5416	22	-10	1	-8952	3680	13352	17	-11	-17	-15720	-3408	-272	11	-11	-7	-15816	-1600	-4040	8	-12	13	127	120	8
-9760	-4688	11636	3	15	-22	-16576	1672	-1480	-8	-7	14	-14896	3424	-5368	17	-5	2	-9088	3744	13432	12	-6	-21	-15816	-3280	-384	19	-10	-2	-15520	-1256	-4032	6	-20	15	127	120	8
-9820	-4760	11432	14	23	-25	-16552	1520	-1592	-3	-8	9	-15032	3320	-5136	20	-4	5	-9072	3696	13320	16	-13	-19	-15848	-3096	-536	-7	-7	-7	-15552	-1200	-3920	1	-15	29	127	119	8
-10072	-4676	11556	18	19	-21	-16424	1456	-1176	13	-8	9	-15024	3344	-5112	27	-12	4	-9264	3816	13528	15	-13	-19	-15960	-3376	-496	-8	-5	-9	-15720	-1168	-3816	-5	-25	23	127	119	8
