#Activity	standing up_by_elevator standing down_by_elevator standing down_by_elevator standing down_by_elevator standing 
#ActivityID	8 10 8 11 8 11 8 11 8 
#Date 09-23-17-02
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-9748	-4696	11544	-4	17	-16	-16440	1792	-640	-32	69	14	-15184	3320	-5024	39	-15	29	-9288	3752	13312	17	-9	-24	-15824	-3168	344	2	37	4	-15656	-1464	-4336	5	-11	28	127	119	8
-9952	-4928	11456	-7	18	-18	-16560	1304	-376	-28	87	6	-15112	3488	-5184	35	-21	32	-9336	3632	13200	17	-7	-24	-15816	-3192	616	-10	37	-3	-15448	-1232	-4448	11	-6	34	127	119	8
-9828	-4832	11544	2	16	-10	-16576	1256	-712	-16	99	14	-14976	2920	-5288	41	-7	29	-9344	3696	13272	15	-11	-24	-15752	-3080	216	-2	38	-7	-15512	-1192	-4216	24	-12	26	127	119	8
-9860	-4764	11604	5	12	-3	-16568	1360	-680	-16	93	20	-14896	3120	-5400	45	-1	28	-9264	3736	13160	9	-10	-31	-15864	-3248	-64	-1	41	-7	-15656	-1384	-4376	27	-1	25	127	121	8
-9920	-4732	11568	3	8	-1	-16568	1720	-1016	-65	111	16	-14848	3200	-5648	41	-2	26	-9320	3864	13520	13	-7	-27	-15864	-3120	-112	13	40	-7	-15512	-1288	-4344	27	2	29	127	121	8
-9740	-4736	11528	7	11	0	-16560	1696	-1104	-114	102	11	-14808	3096	-5600	37	-10	31	-9152	3808	13560	15	-2	-22	-15904	-3264	344	21	36	-4	-15552	-1336	-4472	26	-2	29	127	119	8
-9880	-4804	11508	-3	11	-2	-16760	1560	-944	-118	96	11	-14696	3344	-5936	31	-5	30	-9048	3760	13328	9	-4	-27	-15928	-2952	72	14	35	-7	-15400	-1160	-4304	33	-3	29	127	120	8
-10044	-4772	11512	-8	14	-4	-16616	1408	-1088	-92	83	24	-14720	3272	-5600	46	12	33	-9312	3736	13160	14	1	-24	-15864	-3144	224	9	41	-9	-15528	-1328	-4296	32	-5	27	127	118	8
-9956	-4636	11580	-6	17	-7	-16720	1384	-1136	-64	65	22	-14776	3416	-5784	59	13	30	-9224	3584	13360	21	1	-26	-15968	-3120	112	11	41	-6	-15536	-1160	-4288	28	1	25	127	119	8
-9888	-4736	11596	-6	17	-7	-16640	1488	-808	-49	53	28	-14840	3264	-5768	63	23	29	-9080	3568	13360	18	-3	-25	-15856	-3152	272	-23	38	-3	-15568	-1256	-4176	28	16	21	127	120	8
-9796	-4748	11464	-11	22	-13	-16696	1584	-808	-48	35	30	-14912	3560	-5608	69	22	27	-9208	3776	13544	16	-4	-23	-15816	-3352	216	-37	32	-8	-15520	-1176	-4248	8	5	17	127	119	8
-9904	-4740	11588	-10	23	-11	-16648	1584	-696	-29	33	23	-14904	3640	-5432	56	25	26	-9328	3696	13264	16	-5	-24	-15816	-3200	240	-33	26	-8	-15480	-1200	-4288	1	-1	11	127	119	8
-9920	-4664	11440	-19	24	-8	-16456	1544	-736	-3	31	25	-14904	3496	-5080	49	7	20	-9376	3568	13720	20	-9	-25	-15856	-3080	160	-16	33	-7	-15512	-1288	-4368	2	-2	3	127	118	8
-9876	-4592	11564	-16	22	-8	-16520	1576	-792	8	33	27	-15080	3408	-5288	42	9	18	-9160	3792	13432	25	-7	-21	-15864	-3112	248	-14	36	-6	-15584	-1176	-4376	-1	2	0	127	118	8
-9940	-4716	11460	-18	20	-15	-16544	1672	-728	10	40	25	-14952	3464	-5512	44	15	14	-9200	3904	13352	18	-7	-24	-15808	-3080	-16	-18	36	-1	-15560	-1272	-4304	-8	11	9	127	120	8
-9860	-4796	11460	-20	19	-16	-16592	1480	-856	4	39	20	-15008	3416	-5296	37	20	10	-9136	3552	13304	19	-15	-27	-15952	-3232	136	-31	35	-10	-15544	-1264	-4360	-6	8	9	127	120	8
-10024	-4672	11424	-17	15	-12	-16576	1464	-888	34	38	25	-14928	3336	-5128	28	18	9	-9144	3624	13368	23	-5	-25	-15928	-3240	160	-48	37	-1	-15648	-1416	-4344	-5	2	12	127	121	8
-9928	-4804	11476	-18	16	-14	-16632	1400	-816	26	51	28	-15008	3360	-5336	22	9	9	-9288	3744	13472	23	-10	-28	-15760	-3200	224	-45	40	-3	-15608	-1288	-4376	-1	-6	12	127	118	8
